,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,567,1623101213082,-1,-1,-1
1,511,1623101216120,-1,-1,-1
2,455,1623101217099,-1,-1,-1
3,447,1623101217099,-1,-1,-1
4,711,1623101219081,-1,-1,-1
5,751,1623101220095,-1,-1,-1
6,695,1623101220095,-1,-1,-1
7,855,1623101221070,-1,-1,-1
8,679,1623101222119,-1,-1,-1
9,607,1623101225084,-1,-1,-1
10,831,1623101226093,-1,-1,-1
11,911,1623101238095,-1,-1,-1
12,863,1623101239071,-1,-1,-1
13,511,1623101247094,-1,-1,-1
14,799,1623101247094,-1,-1,-1
15,647,1623101248069,-1,-1,-1
16,519,1623101249119,-1,-1,-1
17,479,1623101249119,-1,-1,-1
18,543,1623101250095,-1,-1,-1
19,559,1623101251069,-1,-1,-1
20,503,1623101252079,-1,-1,-1
21,839,1623101254071,-1,-1,-1
22,767,1623101255083,-1,-1,-1
23,607,1623101256094,-1,-1,-1
24,743,1623101259093,-1,-1,-1
25,839,1623101260073,-1,-1,-1
26,615,1623101267122,-1,-1,-1
27,679,1623101276083,-1,-1,-1
28,719,1623101277093,-1,-1,-1
29,439,1623101282121,-1,-1,-1
30,711,1623101285084,-1,-1,-1
31,487,1623101289094,-1,-1,-1
32,583,1623101290070,-1,-1,-1
33,487,1623101295098,-1,-1,-1
34,479,1623101296068,-1,-1,-1
35,543,1623101309079,-1,-1,-1
36,575,1623101319092,-1,-1,-1
37,527,1623101324080,-1,-1,-1
38,599,1623101324080,-1,-1,-1
39,311,1623101325091,-1,-1,-1
40,551,1623101337168,-1,-1,-1
41,679,1623101345087,-1,-1,-1
42,463,1623101346095,-1,-1,-1
43,503,1623101350068,-1,-1,-1
44,327,1623101361094,-1,-1,-1
45,415,1623101363083,-1,-1,-1
46,447,1623101363083,-1,-1,-1
47,575,1623101366082,-1,-1,-1
48,639,1623101367097,-1,-1,-1
49,543,1623101367097,-1,-1,-1
50,631,1623101370091,-1,-1,-1
51,367,1623101371072,-1,-1,-1
52,527,1623101371072,-1,-1,-1
53,519,1623101372196,-1,-1,-1
54,343,1623101374067,-1,-1,-1
55,559,1623101375081,-1,-1,-1
56,383,1623101378156,-1,-1,-1
57,575,1623101384081,-1,-1,-1
58,407,1623101384081,-1,-1,-1
59,575,1623101393081,-1,-1,-1
60,543,1623101393081,-1,-1,-1
61,591,1623101394056,-1,-1,-1
62,383,1623101399083,-1,-1,-1
63,599,1623101401065,-1,-1,-1
64,647,1623101402156,-1,-1,-1
65,407,1623101404068,-1,-1,-1
66,359,1623101409056,-1,-1,-1
67,615,1623101409056,-1,-1,-1
68,543,1623101410105,-1,-1,-1
69,423,1623101415096,-1,-1,-1
70,423,1623101415096,-1,-1,-1
71,375,1623101416068,-1,-1,-1
72,391,1623101416068,-1,-1,-1
73,519,1623101420078,-1,-1,-1
74,463,1623101420078,-1,-1,-1
75,479,1623101421057,-1,-1,-1
76,519,1623101421057,-1,-1,-1
77,567,1623101422068,-1,-1,-1
78,495,1623101422068,-1,-1,-1
79,487,1623101423081,-1,-1,-1
80,591,1623101423081,-1,-1,-1
81,447,1623101424062,-1,-1,-1
82,407,1623101430057,-1,-1,-1
83,559,1623101434066,-1,-1,-1
84,391,1623101436055,-1,-1,-1
85,527,1623101436055,-1,-1,-1
86,479,1623101438078,-1,-1,-1
87,447,1623101439058,-1,-1,-1
88,543,1623101440070,-1,-1,-1
89,335,1623101442092,-1,-1,-1
90,327,1623101442092,-1,-1,-1
91,447,1623101443072,-1,-1,-1
92,343,1623101443072,-1,-1,-1
93,487,1623101444084,-1,-1,-1
94,463,1623101445056,-1,-1,-1
95,455,1623101445056,-1,-1,-1
96,383,1623101446072,-1,-1,-1
97,655,1623101448094,-1,-1,-1
98,423,1623101448094,-1,-1,-1
99,519,1623101449102,-1,-1,-1
100,639,1623101451059,-1,-1,-1
101,543,1623101452070,-1,-1,-1
102,495,1623101454054,-1,-1,-1
103,543,1623101454054,-1,-1,-1
104,479,1623101455065,-1,-1,-1
105,439,1623101455065,-1,-1,-1
106,599,1623101459082,-1,-1,-1
107,655,1623101459082,-1,-1,-1
108,479,1623101460057,-1,-1,-1
109,399,1623101460057,-1,-1,-1
110,647,1623101466059,-1,-1,-1
111,511,1623101467074,-1,-1,-1
112,663,1623101467074,-1,-1,-1
113,527,1623101468078,-1,-1,-1
114,327,1623101468078,-1,-1,-1
115,415,1623101469055,-1,-1,-1
116,583,1623101471080,-1,-1,-1
117,295,1623101473070,-1,-1,-1
118,487,1623101475057,-1,-1,-1
119,615,1623101482144,-1,-1,-1
120,535,1623101483082,-1,-1,-1
121,503,1623101484055,-1,-1,-1
122,335,1623101485070,-1,-1,-1
123,471,1623101486086,-1,-1,-1
124,487,1623101488068,-1,-1,-1
125,567,1623101490057,-1,-1,-1
126,583,1623101491068,-1,-1,-1
127,367,1623101493057,-1,-1,-1
128,407,1623101494067,-1,-1,-1
129,607,1623101494067,-1,-1,-1
130,535,1623101497140,-1,-1,-1
131,703,1623101497140,-1,-1,-1
132,687,1623101498079,-1,-1,-1
133,575,1623101504081,-1,-1,-1
