,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,751,1623230748374,-1,-1,-1
1,751,1623230748374,-1,-1,-1
2,719,1623230748374,-1,-1,-1
3,711,1623230748374,-1,-1,-1
4,719,1623230748374,-1,-1,-1
5,743,1623230748374,-1,-1,-1
6,759,1623230748374,-1,-1,-1
7,759,1623230748374,-1,-1,-1
8,791,1623230748374,-1,-1,-1
9,807,1623230748780,-1,-1,-1
10,815,1623230748781,-1,-1,-1
11,823,1623230748781,-1,-1,-1
12,791,1623230749277,-1,-1,-1
13,687,1623230752272,-1,-1,-1
14,807,1623230753266,-1,-1,-1
15,647,1623230758259,-1,-1,-1
16,895,1623230760260,-1,-1,-1
17,591,1623230761297,-1,-1,-1
18,695,1623230761297,-1,-1,-1
19,663,1623230762265,-1,-1,-1
20,695,1623230763278,-1,-1,-1
21,671,1623230763279,-1,-1,-1
22,695,1623230764272,-1,-1,-1
23,663,1623230765256,-1,-1,-1
24,711,1623230765256,-1,-1,-1
25,511,1623230766271,-1,-1,-1
26,799,1623230767313,-1,-1,-1
27,623,1623230767314,-1,-1,-1
28,575,1623230768274,-1,-1,-1
29,655,1623230770279,-1,-1,-1
30,695,1623230771268,-1,-1,-1
31,823,1623230771268,-1,-1,-1
32,695,1623230772276,-1,-1,-1
33,655,1623230773266,-1,-1,-1
34,687,1623230773266,-1,-1,-1
35,599,1623230775275,-1,-1,-1
36,655,1623230778262,-1,-1,-1
37,551,1623230778262,-1,-1,-1
38,655,1623230780273,-1,-1,-1
39,839,1623230781283,-1,-1,-1
40,751,1623230782275,-1,-1,-1
41,751,1623230783255,-1,-1,-1
42,759,1623230785282,-1,-1,-1
43,631,1623230786275,-1,-1,-1
44,791,1623230788279,-1,-1,-1
45,647,1623230789270,-1,-1,-1
46,671,1623230789270,-1,-1,-1
47,639,1623230790283,-1,-1,-1
48,679,1623230793266,-1,-1,-1
49,719,1623230794257,-1,-1,-1
50,655,1623230795276,-1,-1,-1
