,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,935,1626060457590,-1,-1,-1
1,967,1626060458579,-1,-1,-1
2,991,1626060463590,-1,-1,-1
3,879,1626060467581,-1,-1,-1
4,1087,1626060470582,-1,-1,-1
5,903,1626060471571,-1,-1,-1
6,967,1626060472562,-1,-1,-1
7,935,1626060475563,-1,-1,-1
8,823,1626060476611,-1,-1,-1
9,855,1626060477573,-1,-1,-1
10,1007,1626060480573,-1,-1,-1
11,1063,1626060481563,-1,-1,-1
12,951,1626060482583,-1,-1,-1
13,1055,1626060483573,-1,-1,-1
14,831,1626060484563,-1,-1,-1
15,1023,1626060485583,-1,-1,-1
16,1015,1626060490563,-1,-1,-1
17,527,1626060491582,-1,-1,-1
18,887,1626060493563,-1,-1,-1
19,783,1626060494583,-1,-1,-1
20,1023,1626060503584,-1,-1,-1
21,807,1626060503584,-1,-1,-1
22,951,1626060506583,-1,-1,-1
23,871,1626060507573,-1,-1,-1
24,967,1626060514563,-1,-1,-1
25,863,1626060521583,-1,-1,-1
26,1000,1626060522574,-1,-1,-1
27,927,1626060525573,-1,-1,-1
28,895,1626060526566,-1,-1,-1
29,687,1626060527585,-1,-1,-1
30,911,1626060530584,-1,-1,-1
31,1071,1626060534574,-1,-1,-1
32,1039,1626060535564,-1,-1,-1
33,1023,1626060538564,-1,-1,-1
34,623,1626060538564,-1,-1,-1
35,863,1626060544564,-1,-1,-1
36,919,1626060545584,-1,-1,-1
37,807,1626060546575,-1,-1,-1
38,959,1626060552575,-1,-1,-1
39,935,1626060558574,-1,-1,-1
40,951,1626060559564,-1,-1,-1
41,1023,1626060560585,-1,-1,-1
42,1023,1626060561575,-1,-1,-1
43,639,1626060566584,-1,-1,-1
44,1031,1626060571566,-1,-1,-1
45,967,1626060572585,-1,-1,-1
46,903,1626060573575,-1,-1,-1
47,863,1626060574564,-1,-1,-1
48,903,1626060577564,-1,-1,-1
49,1023,1626060578585,-1,-1,-1
50,975,1626060580564,-1,-1,-1
51,1000,1626060581584,-1,-1,-1
52,887,1626060584584,-1,-1,-1
53,847,1626060587586,-1,-1,-1
54,1079,1626060592595,-1,-1,-1
55,847,1626060592595,-1,-1,-1
56,927,1626060593584,-1,-1,-1
57,935,1626060594575,-1,-1,-1
58,895,1626060595565,-1,-1,-1
59,983,1626060596584,-1,-1,-1
60,967,1626060597575,-1,-1,-1
61,887,1626060598566,-1,-1,-1
62,975,1626060599584,-1,-1,-1
63,967,1626060600575,-1,-1,-1
64,975,1626060601565,-1,-1,-1
65,1039,1626060602584,-1,-1,-1
66,943,1626060603574,-1,-1,-1
67,1079,1626060604565,-1,-1,-1
68,951,1626060605584,-1,-1,-1
69,1071,1626060606574,-1,-1,-1
70,975,1626060607564,-1,-1,-1
71,1047,1626060608584,-1,-1,-1
72,895,1626060609576,-1,-1,-1
73,863,1626060610567,-1,-1,-1
74,991,1626060611586,-1,-1,-1
75,983,1626060612575,-1,-1,-1
76,919,1626060615575,-1,-1,-1
77,791,1626060616564,-1,-1,-1
78,1031,1626060617588,-1,-1,-1
79,903,1626060617588,-1,-1,-1
80,687,1626060618591,-1,-1,-1
81,1175,1626060619564,-1,-1,-1
82,1000,1626060620584,-1,-1,-1
83,855,1626060621575,-1,-1,-1
84,983,1626060622565,-1,-1,-1
85,927,1626060623584,-1,-1,-1
86,943,1626060624576,-1,-1,-1
87,991,1626060625596,-1,-1,-1
88,927,1626060626584,-1,-1,-1
89,815,1626060627575,-1,-1,-1
90,879,1626060628565,-1,-1,-1
91,935,1626060629587,-1,-1,-1
92,855,1626060629587,-1,-1,-1
93,983,1626060630574,-1,-1,-1
94,903,1626060631565,-1,-1,-1
95,903,1626060632585,-1,-1,-1
96,1015,1626060633574,-1,-1,-1
97,1087,1626060637566,-1,-1,-1
98,903,1626060640566,-1,-1,-1
99,815,1626060641555,-1,-1,-1
100,895,1626060642575,-1,-1,-1
101,791,1626060643565,-1,-1,-1
102,807,1626060644555,-1,-1,-1
103,647,1626060644555,-1,-1,-1
104,695,1626060645575,-1,-1,-1
105,935,1626060647556,-1,-1,-1
106,879,1626060648575,-1,-1,-1
107,839,1626060649565,-1,-1,-1
108,823,1626060650555,-1,-1,-1
109,847,1626060651575,-1,-1,-1
110,839,1626060652565,-1,-1,-1
111,775,1626060652566,-1,-1,-1
112,855,1626060653555,-1,-1,-1
113,983,1626060654575,-1,-1,-1
114,839,1626060655565,-1,-1,-1
115,831,1626060656555,-1,-1,-1
116,871,1626060657577,-1,-1,-1
117,839,1626060658596,-1,-1,-1
118,879,1626060658596,-1,-1,-1
119,935,1626060659584,-1,-1,-1
120,879,1626060660575,-1,-1,-1
121,903,1626060661564,-1,-1,-1
122,959,1626060662554,-1,-1,-1
123,863,1626060663577,-1,-1,-1
124,967,1626060664565,-1,-1,-1
125,895,1626060665557,-1,-1,-1
126,831,1626060666575,-1,-1,-1
127,871,1626060667565,-1,-1,-1
128,911,1626060668558,-1,-1,-1
129,911,1626060668558,-1,-1,-1
130,887,1626060669582,-1,-1,-1
131,1127,1626060672576,-1,-1,-1
132,911,1626060673565,-1,-1,-1
133,991,1626060674556,-1,-1,-1
134,927,1626060675580,-1,-1,-1
135,951,1626060676567,-1,-1,-1
136,983,1626060677555,-1,-1,-1
137,631,1626060678575,-1,-1,-1
138,1159,1626060680555,-1,-1,-1
139,823,1626060681575,-1,-1,-1
140,991,1626060682566,-1,-1,-1
141,1055,1626060683555,-1,-1,-1
142,943,1626060684576,-1,-1,-1
143,719,1626060688567,-1,-1,-1
144,1175,1626060694566,-1,-1,-1
145,1007,1626060695558,-1,-1,-1
146,895,1626060695558,-1,-1,-1
147,839,1626060696576,-1,-1,-1
148,815,1626060697565,-1,-1,-1
149,919,1626060698556,-1,-1,-1
150,895,1626060699575,-1,-1,-1
151,903,1626060700566,-1,-1,-1
152,983,1626060701557,-1,-1,-1
153,1047,1626060702577,-1,-1,-1
154,911,1626060703566,-1,-1,-1
155,951,1626060706565,-1,-1,-1
156,967,1626060707556,-1,-1,-1
157,919,1626060708576,-1,-1,-1
158,1039,1626060709565,-1,-1,-1
159,695,1626060712566,-1,-1,-1
160,815,1626060714582,-1,-1,-1
161,847,1626060715567,-1,-1,-1
162,823,1626060716555,-1,-1,-1
163,815,1626060717576,-1,-1,-1
164,927,1626060718567,-1,-1,-1
165,815,1626060719556,-1,-1,-1
166,919,1626060720576,-1,-1,-1
167,1015,1626060721567,-1,-1,-1
168,911,1626060722557,-1,-1,-1
169,855,1626060722557,-1,-1,-1
170,911,1626060723606,-1,-1,-1
171,863,1626060724596,-1,-1,-1
172,935,1626060725585,-1,-1,-1
173,799,1626060726576,-1,-1,-1
174,879,1626060727566,-1,-1,-1
175,967,1626060736569,-1,-1,-1
176,911,1626060737556,-1,-1,-1
177,927,1626060738576,-1,-1,-1
178,887,1626060740556,-1,-1,-1
179,815,1626060751567,-1,-1,-1
180,815,1626060752557,-1,-1,-1
181,839,1626060753546,-1,-1,-1
182,871,1626060754568,-1,-1,-1
183,919,1626060755556,-1,-1,-1
184,943,1626060756547,-1,-1,-1
185,895,1626060757598,-1,-1,-1
186,895,1626060757599,-1,-1,-1
187,847,1626060758589,-1,-1,-1
188,903,1626060759547,-1,-1,-1
189,839,1626060760567,-1,-1,-1
190,767,1626060761557,-1,-1,-1
191,807,1626060762546,-1,-1,-1
192,823,1626060762546,-1,-1,-1
193,847,1626060763568,-1,-1,-1
194,807,1626060764556,-1,-1,-1
195,951,1626060765548,-1,-1,-1
196,839,1626060766567,-1,-1,-1
197,855,1626060767556,-1,-1,-1
198,919,1626060768549,-1,-1,-1
199,807,1626060768549,-1,-1,-1
200,839,1626060769568,-1,-1,-1
201,911,1626060770557,-1,-1,-1
202,959,1626060774549,-1,-1,-1
203,1039,1626060776557,-1,-1,-1
204,847,1626060779557,-1,-1,-1
205,799,1626060780547,-1,-1,-1
206,783,1626060781567,-1,-1,-1
207,791,1626060781567,-1,-1,-1
208,887,1626060782557,-1,-1,-1
209,927,1626060783547,-1,-1,-1
210,863,1626060788557,-1,-1,-1
211,895,1626060789546,-1,-1,-1
212,823,1626060790597,-1,-1,-1
213,871,1626060791557,-1,-1,-1
214,1103,1626060792548,-1,-1,-1
215,887,1626060795548,-1,-1,-1
216,887,1626060796567,-1,-1,-1
217,919,1626060797556,-1,-1,-1
218,911,1626060798547,-1,-1,-1
219,887,1626060799567,-1,-1,-1
220,911,1626060800560,-1,-1,-1
221,895,1626060801546,-1,-1,-1
222,895,1626060802568,-1,-1,-1
223,879,1626060803558,-1,-1,-1
224,911,1626060803558,-1,-1,-1
225,791,1626060804548,-1,-1,-1
226,967,1626060805566,-1,-1,-1
227,903,1626060806557,-1,-1,-1
228,887,1626060807547,-1,-1,-1
229,855,1626060808568,-1,-1,-1
230,1119,1626060809557,-1,-1,-1
231,927,1626060810546,-1,-1,-1
232,951,1626060811566,-1,-1,-1
233,863,1626060812557,-1,-1,-1
234,895,1626060813548,-1,-1,-1
235,1095,1626060814570,-1,-1,-1
236,751,1626060814570,-1,-1,-1
237,871,1626060820566,-1,-1,-1
238,831,1626060821558,-1,-1,-1
239,775,1626060821558,-1,-1,-1
240,855,1626060822546,-1,-1,-1
241,1000,1626060827558,-1,-1,-1
242,879,1626060827558,-1,-1,-1
243,951,1626060828548,-1,-1,-1
244,799,1626060832568,-1,-1,-1
245,775,1626060833559,-1,-1,-1
246,767,1626060833559,-1,-1,-1
247,799,1626060834549,-1,-1,-1
248,839,1626060835568,-1,-1,-1
249,879,1626060836558,-1,-1,-1
250,719,1626060841567,-1,-1,-1
251,903,1626060842559,-1,-1,-1
252,775,1626060843547,-1,-1,-1
253,711,1626060848558,-1,-1,-1
254,903,1626060849547,-1,-1,-1
255,879,1626060852548,-1,-1,-1
256,831,1626060852548,-1,-1,-1
257,919,1626060853572,-1,-1,-1
258,839,1626060854557,-1,-1,-1
259,887,1626060855548,-1,-1,-1
260,855,1626060856599,-1,-1,-1
261,871,1626060857558,-1,-1,-1
262,903,1626060858548,-1,-1,-1
263,895,1626060860558,-1,-1,-1
264,887,1626060861548,-1,-1,-1
265,903,1626060862568,-1,-1,-1
266,911,1626060863558,-1,-1,-1
267,927,1626060864549,-1,-1,-1
268,895,1626060865568,-1,-1,-1
269,791,1626060866558,-1,-1,-1
270,1079,1626060867548,-1,-1,-1
271,943,1626060868568,-1,-1,-1
272,927,1626060869558,-1,-1,-1
273,919,1626060869558,-1,-1,-1
274,911,1626060872558,-1,-1,-1
275,887,1626060873548,-1,-1,-1
276,903,1626060874569,-1,-1,-1
277,839,1626060875558,-1,-1,-1
278,967,1626060876547,-1,-1,-1
279,871,1626060877568,-1,-1,-1
280,695,1626060877568,-1,-1,-1
281,791,1626060880568,-1,-1,-1
282,791,1626060881557,-1,-1,-1
283,895,1626060882547,-1,-1,-1
284,903,1626060883566,-1,-1,-1
285,871,1626060883566,-1,-1,-1
286,871,1626060884557,-1,-1,-1
287,879,1626060885547,-1,-1,-1
288,631,1626060886541,-1,-1,-1
289,1087,1626060887559,-1,-1,-1
290,823,1626060888548,-1,-1,-1
291,959,1626060889538,-1,-1,-1
292,895,1626060890559,-1,-1,-1
293,863,1626060890559,-1,-1,-1
294,895,1626060891547,-1,-1,-1
295,767,1626060892540,-1,-1,-1
296,583,1626060893558,-1,-1,-1
297,879,1626060894547,-1,-1,-1
298,847,1626060894547,-1,-1,-1
299,935,1626060895537,-1,-1,-1
300,871,1626060896558,-1,-1,-1
301,951,1626060897550,-1,-1,-1
302,847,1626060898538,-1,-1,-1
303,631,1626060899558,-1,-1,-1
304,1063,1626060900549,-1,-1,-1
305,871,1626060901538,-1,-1,-1
306,951,1626060902559,-1,-1,-1
307,1039,1626060903548,-1,-1,-1
308,839,1626060905560,-1,-1,-1
309,783,1626060906578,-1,-1,-1
310,823,1626060906578,-1,-1,-1
311,855,1626060907567,-1,-1,-1
312,1055,1626060908559,-1,-1,-1
313,895,1626060909549,-1,-1,-1
314,831,1626060910536,-1,-1,-1
315,847,1626060911558,-1,-1,-1
316,935,1626060912548,-1,-1,-1
317,911,1626060913537,-1,-1,-1
318,943,1626060914558,-1,-1,-1
319,919,1626060916538,-1,-1,-1
320,887,1626060919538,-1,-1,-1
321,895,1626060920558,-1,-1,-1
322,935,1626060927549,-1,-1,-1
323,935,1626060928539,-1,-1,-1
324,887,1626060929559,-1,-1,-1
325,831,1626060930565,-1,-1,-1
326,791,1626060931538,-1,-1,-1
327,847,1626060931538,-1,-1,-1
328,847,1626060932558,-1,-1,-1
329,887,1626060933551,-1,-1,-1
330,831,1626060934539,-1,-1,-1
331,887,1626060935559,-1,-1,-1
332,863,1626060936548,-1,-1,-1
333,855,1626060937538,-1,-1,-1
334,735,1626060937538,-1,-1,-1
335,807,1626060940568,-1,-1,-1
336,903,1626060944559,-1,-1,-1
337,775,1626060945549,-1,-1,-1
338,807,1626060946540,-1,-1,-1
339,847,1626060947557,-1,-1,-1
340,743,1626060947557,-1,-1,-1
341,807,1626060952539,-1,-1,-1
342,847,1626060953558,-1,-1,-1
343,783,1626060954549,-1,-1,-1
344,759,1626060954549,-1,-1,-1
345,655,1626060956559,-1,-1,-1
346,687,1626060957549,-1,-1,-1
347,759,1626060958539,-1,-1,-1
348,719,1626060959560,-1,-1,-1
349,695,1626060959560,-1,-1,-1
350,743,1626060963549,-1,-1,-1
351,695,1626060964539,-1,-1,-1
352,711,1626060964539,-1,-1,-1
353,591,1626060965559,-1,-1,-1
354,751,1626060967540,-1,-1,-1
355,767,1626060968559,-1,-1,-1
356,767,1626060969548,-1,-1,-1
357,775,1626060970539,-1,-1,-1
358,727,1626060970539,-1,-1,-1
359,839,1626060971557,-1,-1,-1
360,783,1626060972579,-1,-1,-1
361,799,1626060973569,-1,-1,-1
362,879,1626060974559,-1,-1,-1
363,943,1626060975550,-1,-1,-1
364,847,1626060975550,-1,-1,-1
365,919,1626060976538,-1,-1,-1
366,951,1626060977559,-1,-1,-1
367,887,1626060978549,-1,-1,-1
368,903,1626060979539,-1,-1,-1
369,911,1626060980560,-1,-1,-1
370,871,1626060981550,-1,-1,-1
371,887,1626060982539,-1,-1,-1
372,919,1626060983559,-1,-1,-1
373,951,1626060984549,-1,-1,-1
374,967,1626060985539,-1,-1,-1
375,1007,1626060986562,-1,-1,-1
376,1007,1626060987550,-1,-1,-1
377,943,1626060988539,-1,-1,-1
378,943,1626060989559,-1,-1,-1
379,927,1626060989559,-1,-1,-1
380,871,1626060990550,-1,-1,-1
381,887,1626060991540,-1,-1,-1
382,959,1626060992560,-1,-1,-1
383,911,1626060993552,-1,-1,-1
384,919,1626060994540,-1,-1,-1
385,871,1626060995560,-1,-1,-1
386,911,1626060996549,-1,-1,-1
387,911,1626060997543,-1,-1,-1
388,871,1626060998558,-1,-1,-1
389,959,1626060999549,-1,-1,-1
390,943,1626061000539,-1,-1,-1
391,919,1626061000539,-1,-1,-1
392,879,1626061001560,-1,-1,-1
393,935,1626061002553,-1,-1,-1
394,919,1626061003538,-1,-1,-1
395,871,1626061006572,-1,-1,-1
396,895,1626061007560,-1,-1,-1
397,839,1626061007561,-1,-1,-1
398,831,1626061008550,-1,-1,-1
399,863,1626061009540,-1,-1,-1
400,943,1626061010561,-1,-1,-1
401,927,1626061011550,-1,-1,-1
402,887,1626061012539,-1,-1,-1
403,847,1626061013562,-1,-1,-1
404,871,1626061014550,-1,-1,-1
405,967,1626061015539,-1,-1,-1
406,1023,1626061016561,-1,-1,-1
407,1007,1626061017551,-1,-1,-1
408,1000,1626061018540,-1,-1,-1
