,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,711,1627914406080,-1,-1,-1
1,679,1627914406080,-1,-1,-1
2,791,1627914406080,-1,-1,-1
3,791,1627914406080,-1,-1,-1
4,687,1627914406080,-1,-1,-1
5,783,1627914406080,-1,-1,-1
6,695,1627914406080,-1,-1,-1
7,735,1627914406080,-1,-1,-1
8,767,1627914406080,-1,-1,-1
9,647,1627914406589,-1,-1,-1
10,839,1627914406589,-1,-1,-1
11,695,1627914409078,-1,-1,-1
12,727,1627914410098,-1,-1,-1
13,671,1627914412078,-1,-1,-1
14,719,1627914413098,-1,-1,-1
15,607,1627914417089,-1,-1,-1
16,719,1627914418079,-1,-1,-1
17,671,1627914419098,-1,-1,-1
18,831,1627914420089,-1,-1,-1
19,711,1627914420089,-1,-1,-1
20,751,1627914421078,-1,-1,-1
21,871,1627914422098,-1,-1,-1
22,727,1627914423088,-1,-1,-1
23,615,1627914425099,-1,-1,-1
24,727,1627914427108,-1,-1,-1
25,783,1627914429089,-1,-1,-1
26,783,1627914430078,-1,-1,-1
27,791,1627914431098,-1,-1,-1
28,775,1627914432088,-1,-1,-1
29,743,1627914433079,-1,-1,-1
30,727,1627914433079,-1,-1,-1
31,735,1627914434098,-1,-1,-1
32,727,1627914435088,-1,-1,-1
33,711,1627914435088,-1,-1,-1
34,735,1627914436078,-1,-1,-1
35,751,1627914437098,-1,-1,-1
36,759,1627914438088,-1,-1,-1
37,751,1627914438088,-1,-1,-1
38,783,1627914439078,-1,-1,-1
39,815,1627914440099,-1,-1,-1
40,815,1627914441088,-1,-1,-1
41,799,1627914442078,-1,-1,-1
42,807,1627914443099,-1,-1,-1
43,815,1627914443099,-1,-1,-1
44,775,1627914444088,-1,-1,-1
45,767,1627914445079,-1,-1,-1
46,783,1627914446098,-1,-1,-1
47,799,1627914446098,-1,-1,-1
48,791,1627914447088,-1,-1,-1
49,791,1627914448078,-1,-1,-1
50,871,1627914449099,-1,-1,-1
51,823,1627914450088,-1,-1,-1
52,799,1627914451078,-1,-1,-1
53,823,1627914451078,-1,-1,-1
54,711,1627914452098,-1,-1,-1
55,823,1627914453088,-1,-1,-1
56,727,1627914454078,-1,-1,-1
57,711,1627914454078,-1,-1,-1
58,767,1627914457079,-1,-1,-1
59,783,1627914458098,-1,-1,-1
60,711,1627914459088,-1,-1,-1
61,687,1627914460108,-1,-1,-1
62,751,1627914460108,-1,-1,-1
63,695,1627914461098,-1,-1,-1
64,663,1627914462088,-1,-1,-1
65,735,1627914462088,-1,-1,-1
66,775,1627914463078,-1,-1,-1
67,719,1627914464098,-1,-1,-1
68,871,1627914465089,-1,-1,-1
69,695,1627914465089,-1,-1,-1
70,727,1627914466078,-1,-1,-1
71,807,1627914467098,-1,-1,-1
72,767,1627914468088,-1,-1,-1
73,767,1627914469078,-1,-1,-1
74,775,1627914469078,-1,-1,-1
75,735,1627914470097,-1,-1,-1
76,743,1627914471088,-1,-1,-1
77,679,1627914471088,-1,-1,-1
78,679,1627914472078,-1,-1,-1
79,615,1627914473098,-1,-1,-1
80,711,1627914473098,-1,-1,-1
81,671,1627914475078,-1,-1,-1
82,831,1627914478078,-1,-1,-1
83,799,1627914479098,-1,-1,-1
84,783,1627914479098,-1,-1,-1
85,735,1627914480088,-1,-1,-1
86,727,1627914481078,-1,-1,-1
87,743,1627914482098,-1,-1,-1
88,767,1627914482098,-1,-1,-1
89,631,1627914483087,-1,-1,-1
90,855,1627914485099,-1,-1,-1
91,743,1627914489087,-1,-1,-1
92,735,1627914489087,-1,-1,-1
93,735,1627914490077,-1,-1,-1
94,727,1627914491098,-1,-1,-1
95,719,1627914491098,-1,-1,-1
96,727,1627914492087,-1,-1,-1
97,735,1627914493107,-1,-1,-1
98,735,1627914494097,-1,-1,-1
99,719,1627914494097,-1,-1,-1
100,735,1627914495089,-1,-1,-1
101,743,1627914496078,-1,-1,-1
102,719,1627914497098,-1,-1,-1
103,727,1627914497098,-1,-1,-1
104,727,1627914498088,-1,-1,-1
105,727,1627914499077,-1,-1,-1
106,831,1627914502078,-1,-1,-1
107,703,1627914502078,-1,-1,-1
108,823,1627914503097,-1,-1,-1
109,743,1627914509099,-1,-1,-1
110,759,1627914509099,-1,-1,-1
111,671,1627914510087,-1,-1,-1
112,775,1627914511077,-1,-1,-1
113,703,1627914511077,-1,-1,-1
114,695,1627914512099,-1,-1,-1
115,727,1627914513087,-1,-1,-1
116,767,1627914514078,-1,-1,-1
117,759,1627914514078,-1,-1,-1
118,775,1627914515097,-1,-1,-1
119,791,1627914516088,-1,-1,-1
120,759,1627914517078,-1,-1,-1
121,767,1627914518097,-1,-1,-1
122,759,1627914518097,-1,-1,-1
123,583,1627914519089,-1,-1,-1
124,671,1627914525118,-1,-1,-1
125,607,1627914525118,-1,-1,-1
126,663,1627914526108,-1,-1,-1
127,927,1627914529077,-1,-1,-1
128,623,1627914531105,-1,-1,-1
