,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,735,1625629804865,-1,-1,-1
1,671,1625629804865,-1,-1,-1
2,863,1625629804865,-1,-1,-1
3,719,1625629804865,-1,-1,-1
4,671,1625629804865,-1,-1,-1
5,839,1625629804865,-1,-1,-1
6,767,1625629807862,-1,-1,-1
7,775,1625629809873,-1,-1,-1
8,847,1625629810864,-1,-1,-1
9,871,1625629811852,-1,-1,-1
10,751,1625629814852,-1,-1,-1
11,775,1625629815874,-1,-1,-1
12,615,1625629820854,-1,-1,-1
13,943,1625629821906,-1,-1,-1
14,735,1625629822895,-1,-1,-1
15,743,1625629823853,-1,-1,-1
16,783,1625629823853,-1,-1,-1
17,823,1625629824873,-1,-1,-1
18,831,1625629825864,-1,-1,-1
19,807,1625629826853,-1,-1,-1
20,783,1625629829854,-1,-1,-1
21,847,1625629830873,-1,-1,-1
22,871,1625629831863,-1,-1,-1
23,831,1625629832853,-1,-1,-1
24,783,1625629832853,-1,-1,-1
25,967,1625629841854,-1,-1,-1
26,775,1625629844855,-1,-1,-1
27,791,1625629845844,-1,-1,-1
28,799,1625629846832,-1,-1,-1
29,743,1625629847853,-1,-1,-1
30,743,1625629849834,-1,-1,-1
31,767,1625629850854,-1,-1,-1
32,767,1625629851846,-1,-1,-1
33,799,1625629851846,-1,-1,-1
34,903,1625629852832,-1,-1,-1
35,951,1625629853853,-1,-1,-1
36,903,1625629854843,-1,-1,-1
37,887,1625629855832,-1,-1,-1
38,871,1625629856883,-1,-1,-1
39,903,1625629857873,-1,-1,-1
40,871,1625629858834,-1,-1,-1
41,911,1625629859854,-1,-1,-1
42,983,1625629860844,-1,-1,-1
43,1071,1625629861834,-1,-1,-1
44,1000,1625629862852,-1,-1,-1
45,911,1625629862852,-1,-1,-1
46,951,1625629863844,-1,-1,-1
47,903,1625629864835,-1,-1,-1
48,919,1625629865854,-1,-1,-1
49,943,1625629866844,-1,-1,-1
50,975,1625629867834,-1,-1,-1
51,919,1625629868855,-1,-1,-1
52,911,1625629869845,-1,-1,-1
53,887,1625629870834,-1,-1,-1
54,839,1625629871825,-1,-1,-1
55,839,1625629872845,-1,-1,-1
56,823,1625629872845,-1,-1,-1
57,815,1625629875844,-1,-1,-1
58,775,1625629877856,-1,-1,-1
59,759,1625629878855,-1,-1,-1
60,767,1625629879834,-1,-1,-1
61,775,1625629879834,-1,-1,-1
62,751,1625629880863,-1,-1,-1
63,783,1625629881846,-1,-1,-1
64,783,1625629882834,-1,-1,-1
65,791,1625629883823,-1,-1,-1
66,767,1625629883823,-1,-1,-1
67,775,1625629884845,-1,-1,-1
68,791,1625629885834,-1,-1,-1
69,823,1625629886830,-1,-1,-1
70,815,1625629888835,-1,-1,-1
71,871,1625629889824,-1,-1,-1
72,799,1625629890874,-1,-1,-1
73,791,1625629891833,-1,-1,-1
74,831,1625629891833,-1,-1,-1
75,807,1625629892825,-1,-1,-1
76,831,1625629893845,-1,-1,-1
77,823,1625629894835,-1,-1,-1
78,863,1625629895826,-1,-1,-1
79,815,1625629896848,-1,-1,-1
80,863,1625629896848,-1,-1,-1
81,951,1625629897841,-1,-1,-1
82,887,1625629898825,-1,-1,-1
83,839,1625629899845,-1,-1,-1
84,871,1625629900834,-1,-1,-1
85,863,1625629901823,-1,-1,-1
86,855,1625629902844,-1,-1,-1
87,839,1625629903835,-1,-1,-1
88,935,1625629904824,-1,-1,-1
89,879,1625629904824,-1,-1,-1
90,903,1625629905846,-1,-1,-1
91,935,1625629906837,-1,-1,-1
92,847,1625629907861,-1,-1,-1
93,855,1625629908847,-1,-1,-1
94,863,1625629909836,-1,-1,-1
95,807,1625629910824,-1,-1,-1
96,855,1625629910824,-1,-1,-1
97,951,1625629911844,-1,-1,-1
98,879,1625629912836,-1,-1,-1
99,919,1625629913825,-1,-1,-1
100,927,1625629914845,-1,-1,-1
101,839,1625629915836,-1,-1,-1
102,903,1625629916826,-1,-1,-1
103,863,1625629917847,-1,-1,-1
104,839,1625629918838,-1,-1,-1
105,879,1625629918838,-1,-1,-1
106,847,1625629919825,-1,-1,-1
107,823,1625629920847,-1,-1,-1
108,927,1625629923847,-1,-1,-1
109,679,1625629924838,-1,-1,-1
110,1079,1625629925826,-1,-1,-1
111,783,1625629926847,-1,-1,-1
112,767,1625629926847,-1,-1,-1
113,799,1625629927837,-1,-1,-1
114,831,1625629930849,-1,-1,-1
115,823,1625629930849,-1,-1,-1
116,775,1625629931826,-1,-1,-1
117,799,1625629932848,-1,-1,-1
118,807,1625629935847,-1,-1,-1
119,823,1625629936839,-1,-1,-1
120,791,1625629937826,-1,-1,-1
121,759,1625629937826,-1,-1,-1
122,871,1625629940857,-1,-1,-1
123,831,1625629941846,-1,-1,-1
124,855,1625629942836,-1,-1,-1
125,903,1625629943825,-1,-1,-1
126,783,1625629943825,-1,-1,-1
127,647,1625629944845,-1,-1,-1
128,815,1625629946827,-1,-1,-1
129,791,1625629947845,-1,-1,-1
130,815,1625629949827,-1,-1,-1
131,799,1625629950818,-1,-1,-1
132,895,1625629951842,-1,-1,-1
133,767,1625629953818,-1,-1,-1
134,695,1625629954839,-1,-1,-1
135,783,1625629955827,-1,-1,-1
136,799,1625629956818,-1,-1,-1
137,855,1625629958828,-1,-1,-1
138,863,1625629959838,-1,-1,-1
139,823,1625629960839,-1,-1,-1
140,879,1625629961829,-1,-1,-1
141,855,1625629962818,-1,-1,-1
142,895,1625629962818,-1,-1,-1
143,887,1625629963837,-1,-1,-1
144,847,1625629964826,-1,-1,-1
145,855,1625629965818,-1,-1,-1
146,871,1625629966839,-1,-1,-1
147,863,1625629967830,-1,-1,-1
148,879,1625629968819,-1,-1,-1
149,879,1625629969838,-1,-1,-1
150,823,1625629969838,-1,-1,-1
151,863,1625629970826,-1,-1,-1
152,831,1625629971820,-1,-1,-1
153,815,1625629972838,-1,-1,-1
154,839,1625629974846,-1,-1,-1
155,799,1625629975838,-1,-1,-1
156,807,1625629976828,-1,-1,-1
157,783,1625629977818,-1,-1,-1
158,799,1625629978837,-1,-1,-1
159,831,1625629978837,-1,-1,-1
160,839,1625629979827,-1,-1,-1
161,823,1625629980816,-1,-1,-1
