,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,663,1623343393046,-1,-1,-1
1,623,1623343393046,-1,-1,-1
2,671,1623343393046,-1,-1,-1
3,647,1623343393046,-1,-1,-1
4,615,1623343393046,-1,-1,-1
5,567,1623343393046,-1,-1,-1
6,671,1623343393047,-1,-1,-1
7,607,1623343393047,-1,-1,-1
8,607,1623343393047,-1,-1,-1
9,695,1623343393538,-1,-1,-1
10,695,1623343393538,-1,-1,-1
11,711,1623343393538,-1,-1,-1
12,663,1623343394033,-1,-1,-1
13,655,1623343394033,-1,-1,-1
14,695,1623343395036,-1,-1,-1
15,687,1623343396034,-1,-1,-1
16,655,1623343396034,-1,-1,-1
17,655,1623343397039,-1,-1,-1
18,639,1623343398044,-1,-1,-1
19,623,1623343398044,-1,-1,-1
20,631,1623343406042,-1,-1,-1
21,567,1623343407040,-1,-1,-1
22,895,1623343408042,-1,-1,-1
23,695,1623343408042,-1,-1,-1
24,647,1623343409040,-1,-1,-1
25,639,1623343410040,-1,-1,-1
26,623,1623343410040,-1,-1,-1
27,623,1623343411041,-1,-1,-1
28,631,1623343412039,-1,-1,-1
29,607,1623343412039,-1,-1,-1
30,607,1623343413039,-1,-1,-1
31,655,1623343413040,-1,-1,-1
32,639,1623343414042,-1,-1,-1
33,631,1623343415040,-1,-1,-1
34,663,1623343415040,-1,-1,-1
35,663,1623343416041,-1,-1,-1
36,479,1623343417042,-1,-1,-1
37,655,1623343418042,-1,-1,-1
38,479,1623343419080,-1,-1,-1
39,823,1623343419080,-1,-1,-1
40,727,1623343420041,-1,-1,-1
41,879,1623343421045,-1,-1,-1
42,767,1623343424044,-1,-1,-1
43,647,1623343425044,-1,-1,-1
44,631,1623343427042,-1,-1,-1
45,631,1623343428041,-1,-1,-1
46,671,1623343428041,-1,-1,-1
47,719,1623343429044,-1,-1,-1
48,799,1623343430040,-1,-1,-1
49,807,1623343431044,-1,-1,-1
50,823,1623343431044,-1,-1,-1
51,799,1623343432044,-1,-1,-1
52,791,1623343433040,-1,-1,-1
53,727,1623343434042,-1,-1,-1
54,679,1623343434043,-1,-1,-1
55,687,1623343435084,-1,-1,-1
56,687,1623343436042,-1,-1,-1
57,759,1623343437044,-1,-1,-1
58,759,1623343437044,-1,-1,-1
59,719,1623343438041,-1,-1,-1
60,751,1623343439039,-1,-1,-1
61,823,1623343440044,-1,-1,-1
62,703,1623343440044,-1,-1,-1
63,735,1623343441046,-1,-1,-1
64,727,1623343442042,-1,-1,-1
65,743,1623343443043,-1,-1,-1
66,671,1623343443043,-1,-1,-1
67,727,1623343444047,-1,-1,-1
68,671,1623343445042,-1,-1,-1
69,647,1623343445042,-1,-1,-1
70,655,1623343446042,-1,-1,-1
71,671,1623343447043,-1,-1,-1
72,687,1623343447043,-1,-1,-1
73,623,1623343448042,-1,-1,-1
74,647,1623343449044,-1,-1,-1
75,751,1623343449044,-1,-1,-1
76,471,1623343450044,-1,-1,-1
77,687,1623343451042,-1,-1,-1
78,799,1623343452080,-1,-1,-1
79,735,1623343453041,-1,-1,-1
80,711,1623343454127,-1,-1,-1
81,735,1623343454127,-1,-1,-1
82,687,1623343455041,-1,-1,-1
83,695,1623343456052,-1,-1,-1
84,695,1623343457043,-1,-1,-1
85,703,1623343457043,-1,-1,-1
86,663,1623343458041,-1,-1,-1
87,655,1623343459044,-1,-1,-1
88,711,1623343459044,-1,-1,-1
89,639,1623343460042,-1,-1,-1
90,639,1623343461042,-1,-1,-1
91,679,1623343461043,-1,-1,-1
92,671,1623343462042,-1,-1,-1
93,631,1623343463044,-1,-1,-1
94,655,1623343463044,-1,-1,-1
95,703,1623343464043,-1,-1,-1
96,695,1623343465051,-1,-1,-1
97,679,1623343465051,-1,-1,-1
98,703,1623343466042,-1,-1,-1
99,767,1623343467082,-1,-1,-1
100,695,1623343467082,-1,-1,-1
101,735,1623343468084,-1,-1,-1
102,799,1623343469043,-1,-1,-1
103,751,1623343470091,-1,-1,-1
104,671,1623343470091,-1,-1,-1
105,751,1623343471044,-1,-1,-1
106,751,1623343472044,-1,-1,-1
107,671,1623343473043,-1,-1,-1
108,703,1623343473044,-1,-1,-1
109,759,1623343474042,-1,-1,-1
110,679,1623343475047,-1,-1,-1
111,679,1623343475047,-1,-1,-1
112,735,1623343476043,-1,-1,-1
113,663,1623343477048,-1,-1,-1
114,671,1623343477048,-1,-1,-1
115,703,1623343478044,-1,-1,-1
116,671,1623343479044,-1,-1,-1
117,639,1623343480043,-1,-1,-1
118,695,1623343480043,-1,-1,-1
119,695,1623343481052,-1,-1,-1
120,663,1623343482043,-1,-1,-1
121,655,1623343482043,-1,-1,-1
122,719,1623343483042,-1,-1,-1
123,719,1623343484083,-1,-1,-1
124,663,1623343484083,-1,-1,-1
125,671,1623343485084,-1,-1,-1
126,711,1623343486055,-1,-1,-1
127,711,1623343486056,-1,-1,-1
128,663,1623343487046,-1,-1,-1
129,719,1623343488046,-1,-1,-1
130,719,1623343489042,-1,-1,-1
131,623,1623343489042,-1,-1,-1
132,703,1623343490043,-1,-1,-1
133,719,1623343491043,-1,-1,-1
134,663,1623343491044,-1,-1,-1
135,679,1623343492084,-1,-1,-1
136,511,1623343492084,-1,-1,-1
137,863,1623343493044,-1,-1,-1
138,591,1623343494044,-1,-1,-1
139,711,1623343495043,-1,-1,-1
140,639,1623343495043,-1,-1,-1
141,615,1623343496043,-1,-1,-1
142,607,1623343496043,-1,-1,-1
143,615,1623343497045,-1,-1,-1
144,751,1623343498042,-1,-1,-1
145,735,1623343499124,-1,-1,-1
146,743,1623343501084,-1,-1,-1
147,735,1623343502043,-1,-1,-1
148,735,1623343502043,-1,-1,-1
149,679,1623343503042,-1,-1,-1
150,687,1623343504044,-1,-1,-1
151,711,1623343504044,-1,-1,-1
152,631,1623343505045,-1,-1,-1
153,663,1623343506044,-1,-1,-1
154,679,1623343506044,-1,-1,-1
155,639,1623343507084,-1,-1,-1
156,655,1623343508042,-1,-1,-1
157,703,1623343508042,-1,-1,-1
158,639,1623343509041,-1,-1,-1
159,703,1623343510042,-1,-1,-1
160,719,1623343510042,-1,-1,-1
161,751,1623343511046,-1,-1,-1
162,671,1623343512042,-1,-1,-1
163,671,1623343513047,-1,-1,-1
164,695,1623343513047,-1,-1,-1
165,687,1623343514042,-1,-1,-1
166,663,1623343515044,-1,-1,-1
167,639,1623343515044,-1,-1,-1
168,711,1623343516043,-1,-1,-1
169,623,1623343517044,-1,-1,-1
170,631,1623343517045,-1,-1,-1
171,663,1623343518083,-1,-1,-1
172,735,1623343519043,-1,-1,-1
173,647,1623343519043,-1,-1,-1
174,687,1623343520044,-1,-1,-1
175,703,1623343521041,-1,-1,-1
176,695,1623343521042,-1,-1,-1
177,695,1623343522043,-1,-1,-1
178,719,1623343523042,-1,-1,-1
179,679,1623343523042,-1,-1,-1
180,671,1623343524044,-1,-1,-1
181,711,1623343525044,-1,-1,-1
182,615,1623343525044,-1,-1,-1
183,719,1623343526042,-1,-1,-1
184,663,1623343527041,-1,-1,-1
185,575,1623343527042,-1,-1,-1
186,671,1623343528047,-1,-1,-1
187,695,1623343529041,-1,-1,-1
188,671,1623343529041,-1,-1,-1
189,655,1623343530047,-1,-1,-1
190,615,1623343531083,-1,-1,-1
191,679,1623343531083,-1,-1,-1
192,663,1623343532043,-1,-1,-1
193,679,1623343533054,-1,-1,-1
194,671,1623343533054,-1,-1,-1
195,679,1623343534124,-1,-1,-1
196,639,1623343535043,-1,-1,-1
197,639,1623343537124,-1,-1,-1
198,639,1623343537124,-1,-1,-1
199,639,1623343538044,-1,-1,-1
200,655,1623343539044,-1,-1,-1
201,655,1623343541048,-1,-1,-1
202,719,1623343541048,-1,-1,-1
203,847,1623343544043,-1,-1,-1
204,815,1623343545043,-1,-1,-1
205,567,1623343545043,-1,-1,-1
206,719,1623343547042,-1,-1,-1
207,687,1623343548091,-1,-1,-1
208,719,1623343548091,-1,-1,-1
209,655,1623343549044,-1,-1,-1
210,551,1623343550041,-1,-1,-1
211,807,1623343550042,-1,-1,-1
212,663,1623343551164,-1,-1,-1
213,631,1623343552046,-1,-1,-1
214,711,1623343552047,-1,-1,-1
215,719,1623343553042,-1,-1,-1
