,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,647,1623621462766,-1,-1,-1
1,775,1623621463759,-1,-1,-1
2,863,1623621464771,-1,-1,-1
3,751,1623621464771,-1,-1,-1
4,823,1623621465784,-1,-1,-1
5,759,1623621466755,-1,-1,-1
6,927,1623621467772,-1,-1,-1
7,751,1623621468764,-1,-1,-1
8,775,1623621469766,-1,-1,-1
9,775,1623621469766,-1,-1,-1
10,735,1623621470828,-1,-1,-1
11,767,1623621471765,-1,-1,-1
12,847,1623621472775,-1,-1,-1
13,743,1623621472775,-1,-1,-1
14,1039,1623621473786,-1,-1,-1
15,543,1623621478805,-1,-1,-1
16,823,1623621484814,-1,-1,-1
17,815,1623621488772,-1,-1,-1
18,855,1623621491787,-1,-1,-1
19,783,1623621492761,-1,-1,-1
20,791,1623621494817,-1,-1,-1
21,711,1623621495748,-1,-1,-1
22,879,1623621496760,-1,-1,-1
23,735,1623621501764,-1,-1,-1
24,807,1623621502773,-1,-1,-1
25,759,1623621505771,-1,-1,-1
26,807,1623621516746,-1,-1,-1
27,791,1623621520775,-1,-1,-1
28,783,1623621523773,-1,-1,-1
29,871,1623621525765,-1,-1,-1
30,1000,1623621527808,-1,-1,-1
31,799,1623621528746,-1,-1,-1
32,591,1623621531753,-1,-1,-1
33,575,1623621531753,-1,-1,-1
34,847,1623621532774,-1,-1,-1
35,935,1623621533791,-1,-1,-1
36,855,1623621534759,-1,-1,-1
37,815,1623621535765,-1,-1,-1
38,831,1623621535765,-1,-1,-1
39,807,1623621536771,-1,-1,-1
40,863,1623621537745,-1,-1,-1
41,783,1623621538759,-1,-1,-1
42,951,1623621543799,-1,-1,-1
43,775,1623621544851,-1,-1,-1
44,671,1623621545792,-1,-1,-1
45,951,1623621545792,-1,-1,-1
46,775,1623621546747,-1,-1,-1
47,887,1623621547759,-1,-1,-1
48,743,1623621548773,-1,-1,-1
49,863,1623621549759,-1,-1,-1
50,607,1623621549759,-1,-1,-1
51,639,1623621553777,-1,-1,-1
52,927,1623621554780,-1,-1,-1
53,983,1623621555765,-1,-1,-1
54,823,1623621555765,-1,-1,-1
55,1151,1623621557771,-1,-1,-1
56,559,1623621557771,-1,-1,-1
57,887,1623621558748,-1,-1,-1
58,847,1623621559833,-1,-1,-1
59,775,1623621560827,-1,-1,-1
60,959,1623621561790,-1,-1,-1
61,671,1623621561790,-1,-1,-1
62,783,1623621564836,-1,-1,-1
63,839,1623621565773,-1,-1,-1
64,815,1623621566811,-1,-1,-1
65,783,1623621566811,-1,-1,-1
66,823,1623621567747,-1,-1,-1
67,703,1623621568759,-1,-1,-1
68,919,1623621569771,-1,-1,-1
69,767,1623621570746,-1,-1,-1
70,951,1623621571765,-1,-1,-1
71,855,1623621571765,-1,-1,-1
72,791,1623621576747,-1,-1,-1
73,719,1623621576747,-1,-1,-1
74,903,1623621577797,-1,-1,-1
75,871,1623621578771,-1,-1,-1
76,847,1623621579748,-1,-1,-1
