,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,679,1626067814625,-1,-1,-1
1,647,1626067815644,-1,-1,-1
2,655,1626067818644,-1,-1,-1
3,647,1626067820623,-1,-1,-1
4,647,1626067820623,-1,-1,-1
5,703,1626067821642,-1,-1,-1
6,639,1626067822633,-1,-1,-1
7,639,1626067822633,-1,-1,-1
8,663,1626067823624,-1,-1,-1
9,679,1626067826624,-1,-1,-1
10,807,1626067827645,-1,-1,-1
11,687,1626067831636,-1,-1,-1
12,631,1626067831636,-1,-1,-1
13,687,1626067834634,-1,-1,-1
14,735,1626067835624,-1,-1,-1
15,639,1626067836645,-1,-1,-1
16,647,1626067836645,-1,-1,-1
17,623,1626067839645,-1,-1,-1
18,631,1626067839645,-1,-1,-1
19,671,1626067840635,-1,-1,-1
20,703,1626067844624,-1,-1,-1
21,591,1626067844624,-1,-1,-1
22,679,1626067845644,-1,-1,-1
23,711,1626067846635,-1,-1,-1
24,679,1626067846635,-1,-1,-1
25,663,1626067847624,-1,-1,-1
26,663,1626067848674,-1,-1,-1
27,687,1626067848674,-1,-1,-1
28,687,1626067849665,-1,-1,-1
29,687,1626067850655,-1,-1,-1
30,703,1626067851642,-1,-1,-1
31,655,1626067851642,-1,-1,-1
32,655,1626067852633,-1,-1,-1
33,735,1626067853624,-1,-1,-1
34,679,1626067853624,-1,-1,-1
35,671,1626067857645,-1,-1,-1
36,631,1626067857645,-1,-1,-1
37,567,1626067858635,-1,-1,-1
38,759,1626067859624,-1,-1,-1
39,591,1626067859624,-1,-1,-1
40,663,1626067860647,-1,-1,-1
41,647,1626067861637,-1,-1,-1
42,711,1626067861638,-1,-1,-1
43,655,1626067862624,-1,-1,-1
44,807,1626067864635,-1,-1,-1
45,671,1626067865624,-1,-1,-1
46,551,1626067865624,-1,-1,-1
47,655,1626067868624,-1,-1,-1
48,679,1626067869645,-1,-1,-1
49,615,1626067869645,-1,-1,-1
50,671,1626067870636,-1,-1,-1
51,703,1626067874624,-1,-1,-1
52,727,1626067874624,-1,-1,-1
53,663,1626067875614,-1,-1,-1
54,743,1626067876635,-1,-1,-1
55,671,1626067878616,-1,-1,-1
56,671,1626067879635,-1,-1,-1
57,479,1626067879635,-1,-1,-1
58,623,1626067881615,-1,-1,-1
59,655,1626067882665,-1,-1,-1
60,799,1626067883625,-1,-1,-1
61,711,1626067893615,-1,-1,-1
62,631,1626067897635,-1,-1,-1
63,679,1626067898624,-1,-1,-1
64,639,1626067898624,-1,-1,-1
65,623,1626067899615,-1,-1,-1
66,679,1626067901625,-1,-1,-1
67,671,1626067902614,-1,-1,-1
68,711,1626067902614,-1,-1,-1
69,671,1626067903634,-1,-1,-1
70,559,1626067904625,-1,-1,-1
71,647,1626067908614,-1,-1,-1
72,687,1626067909636,-1,-1,-1
73,679,1626067910625,-1,-1,-1
74,727,1626067910625,-1,-1,-1
75,615,1626067911614,-1,-1,-1
76,711,1626067912635,-1,-1,-1
77,671,1626067912635,-1,-1,-1
78,679,1626067913626,-1,-1,-1
79,687,1626067914614,-1,-1,-1
80,679,1626067914614,-1,-1,-1
81,687,1626067915664,-1,-1,-1
82,671,1626067916625,-1,-1,-1
83,639,1626067918634,-1,-1,-1
84,639,1626067918634,-1,-1,-1
85,727,1626067921635,-1,-1,-1
86,711,1626067923615,-1,-1,-1
87,655,1626067925626,-1,-1,-1
88,623,1626067927634,-1,-1,-1
89,655,1626067928626,-1,-1,-1
90,679,1626067928626,-1,-1,-1
91,687,1626067929614,-1,-1,-1
92,679,1626067930635,-1,-1,-1
93,871,1626067933635,-1,-1,-1
94,719,1626067935615,-1,-1,-1
95,663,1626067936635,-1,-1,-1
96,687,1626067936635,-1,-1,-1
97,735,1626067938615,-1,-1,-1
98,879,1626067939636,-1,-1,-1
99,599,1626067945636,-1,-1,-1
100,855,1626067946625,-1,-1,-1
101,623,1626067950617,-1,-1,-1
102,551,1626067954636,-1,-1,-1
103,671,1626067955626,-1,-1,-1
104,735,1626067955626,-1,-1,-1
105,751,1626067956615,-1,-1,-1
106,687,1626067959615,-1,-1,-1
107,639,1626067960636,-1,-1,-1
108,663,1626067962616,-1,-1,-1
109,703,1626067963636,-1,-1,-1
110,671,1626067965712,-1,-1,-1
111,631,1626067967627,-1,-1,-1
112,647,1626067967627,-1,-1,-1
113,631,1626067968616,-1,-1,-1
114,695,1626067969635,-1,-1,-1
115,703,1626067969635,-1,-1,-1
116,599,1626067970626,-1,-1,-1
117,655,1626067971615,-1,-1,-1
118,679,1626067971615,-1,-1,-1
119,639,1626067972636,-1,-1,-1
120,623,1626067973662,-1,-1,-1
121,671,1626067973662,-1,-1,-1
122,663,1626067974614,-1,-1,-1
123,639,1626067975636,-1,-1,-1
124,663,1626067975636,-1,-1,-1
125,623,1626067976626,-1,-1,-1
