,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,623,1625032661458,-1,-1,-1
1,455,1625032661458,-1,-1,-1
2,591,1625032661458,-1,-1,-1
3,503,1625032661458,-1,-1,-1
4,551,1625032661458,-1,-1,-1
5,399,1625032661458,-1,-1,-1
6,519,1625032661458,-1,-1,-1
7,455,1625032661458,-1,-1,-1
8,487,1625032661458,-1,-1,-1
9,391,1625032661957,-1,-1,-1
10,599,1625032661957,-1,-1,-1
11,487,1625032661957,-1,-1,-1
12,519,1625032662459,-1,-1,-1
13,487,1625032666473,-1,-1,-1
14,527,1625032669490,-1,-1,-1
15,543,1625032670486,-1,-1,-1
16,631,1625032677475,-1,-1,-1
17,407,1625032682474,-1,-1,-1
18,575,1625032683475,-1,-1,-1
19,495,1625032684480,-1,-1,-1
20,375,1625032685473,-1,-1,-1
21,535,1625032686515,-1,-1,-1
22,487,1625032686515,-1,-1,-1
23,583,1625032687513,-1,-1,-1
24,383,1625032687513,-1,-1,-1
25,543,1625032688473,-1,-1,-1
26,679,1625032692480,-1,-1,-1
27,535,1625032693474,-1,-1,-1
28,615,1625032693474,-1,-1,-1
29,615,1625032695553,-1,-1,-1
30,599,1625032696474,-1,-1,-1
31,615,1625032702475,-1,-1,-1
32,639,1625032703472,-1,-1,-1
33,647,1625032706473,-1,-1,-1
34,687,1625032708473,-1,-1,-1
35,607,1625032708473,-1,-1,-1
36,447,1625032711475,-1,-1,-1
37,687,1625032712479,-1,-1,-1
38,615,1625032714480,-1,-1,-1
39,687,1625032719481,-1,-1,-1
40,399,1625032719481,-1,-1,-1
41,663,1625032726482,-1,-1,-1
42,503,1625032726482,-1,-1,-1
43,775,1625032727480,-1,-1,-1
44,551,1625032731480,-1,-1,-1
45,543,1625032731480,-1,-1,-1
46,575,1625032732474,-1,-1,-1
47,519,1625032732474,-1,-1,-1
48,407,1625032734560,-1,-1,-1
49,743,1625032737512,-1,-1,-1
50,687,1625032740476,-1,-1,-1
51,527,1625032742475,-1,-1,-1
52,583,1625032744475,-1,-1,-1
53,599,1625032745480,-1,-1,-1
54,607,1625032745480,-1,-1,-1
55,663,1625032751477,-1,-1,-1
56,527,1625032752472,-1,-1,-1
57,551,1625032752472,-1,-1,-1
58,607,1625032755482,-1,-1,-1
59,679,1625032756481,-1,-1,-1
60,655,1625032756482,-1,-1,-1
61,655,1625032757472,-1,-1,-1
62,655,1625032758482,-1,-1,-1
63,703,1625032760472,-1,-1,-1
64,615,1625032764481,-1,-1,-1
65,575,1625032764481,-1,-1,-1
66,583,1625032765479,-1,-1,-1
67,583,1625032765479,-1,-1,-1
68,607,1625032766476,-1,-1,-1
69,599,1625032766476,-1,-1,-1
70,567,1625032767561,-1,-1,-1
71,599,1625032768480,-1,-1,-1
72,583,1625032768480,-1,-1,-1
73,583,1625032769481,-1,-1,-1
74,559,1625032769481,-1,-1,-1
75,535,1625032770558,-1,-1,-1
76,543,1625032770558,-1,-1,-1
77,559,1625032771474,-1,-1,-1
78,575,1625032772475,-1,-1,-1
79,575,1625032772475,-1,-1,-1
80,599,1625032773480,-1,-1,-1
81,647,1625032773480,-1,-1,-1
82,767,1625032775478,-1,-1,-1
83,751,1625032776474,-1,-1,-1
84,727,1625032776474,-1,-1,-1
85,711,1625032777473,-1,-1,-1
86,671,1625032778474,-1,-1,-1
87,647,1625032778474,-1,-1,-1
88,679,1625032779479,-1,-1,-1
89,623,1625032780482,-1,-1,-1
90,631,1625032780482,-1,-1,-1
91,639,1625032781520,-1,-1,-1
92,655,1625032782481,-1,-1,-1
93,607,1625032782481,-1,-1,-1
94,615,1625032783481,-1,-1,-1
95,615,1625032784473,-1,-1,-1
96,623,1625032784473,-1,-1,-1
97,599,1625032785473,-1,-1,-1
98,607,1625032785473,-1,-1,-1
99,623,1625032786515,-1,-1,-1
100,607,1625032787472,-1,-1,-1
101,615,1625032787472,-1,-1,-1
102,615,1625032788475,-1,-1,-1
103,655,1625032789481,-1,-1,-1
104,623,1625032789481,-1,-1,-1
105,607,1625032790473,-1,-1,-1
106,647,1625032790474,-1,-1,-1
107,631,1625032791481,-1,-1,-1
108,599,1625032792478,-1,-1,-1
109,623,1625032792478,-1,-1,-1
110,607,1625032793475,-1,-1,-1
111,615,1625032793475,-1,-1,-1
112,599,1625032794478,-1,-1,-1
113,599,1625032795473,-1,-1,-1
114,583,1625032795473,-1,-1,-1
115,607,1625032796477,-1,-1,-1
116,607,1625032796477,-1,-1,-1
117,599,1625032797481,-1,-1,-1
118,607,1625032798480,-1,-1,-1
119,607,1625032798480,-1,-1,-1
120,575,1625032799479,-1,-1,-1
121,591,1625032799479,-1,-1,-1
122,567,1625032800474,-1,-1,-1
123,559,1625032801480,-1,-1,-1
124,567,1625032801480,-1,-1,-1
125,535,1625032802474,-1,-1,-1
126,583,1625032803520,-1,-1,-1
127,687,1625032804481,-1,-1,-1
