,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,687,1624307486242,-1,-1,-1
1,655,1624307486242,-1,-1,-1
2,623,1624307487239,-1,-1,-1
3,607,1624307487239,-1,-1,-1
4,671,1624307488247,-1,-1,-1
5,679,1624307489236,-1,-1,-1
6,639,1624307489236,-1,-1,-1
7,631,1624307490248,-1,-1,-1
8,679,1624307491238,-1,-1,-1
9,647,1624307491238,-1,-1,-1
10,623,1624307492223,-1,-1,-1
11,615,1624307493252,-1,-1,-1
12,695,1624307493252,-1,-1,-1
13,615,1624307494263,-1,-1,-1
14,599,1624307495263,-1,-1,-1
15,607,1624307495264,-1,-1,-1
16,511,1624307496244,-1,-1,-1
17,655,1624307499240,-1,-1,-1
18,8175,1624307507274,-1,-1,-1
19,543,1624307509295,-1,-1,-1
20,503,1624307509295,-1,-1,-1
21,447,1624307510248,-1,-1,-1
22,647,1624307510248,-1,-1,-1
23,535,1624307511255,-1,-1,-1
24,623,1624307513225,-1,-1,-1
25,671,1624307514232,-1,-1,-1
26,351,1624307514232,-1,-1,-1
27,615,1624307520238,-1,-1,-1
28,551,1624307524240,-1,-1,-1
29,591,1624307525263,-1,-1,-1
30,431,1624307525263,-1,-1,-1
31,495,1624307526229,-1,-1,-1
32,359,1624307527255,-1,-1,-1
33,567,1624307530238,-1,-1,-1
34,407,1624307535241,-1,-1,-1
35,519,1624307537228,-1,-1,-1
36,599,1624307537228,-1,-1,-1
37,431,1624307538261,-1,-1,-1
38,495,1624307539246,-1,-1,-1
39,503,1624307539246,-1,-1,-1
40,503,1624307540243,-1,-1,-1
41,543,1624307540243,-1,-1,-1
42,599,1624307541238,-1,-1,-1
43,463,1624307541238,-1,-1,-1
44,503,1624307542236,-1,-1,-1
45,415,1624307542236,-1,-1,-1
46,471,1624307543252,-1,-1,-1
47,655,1624307543252,-1,-1,-1
48,607,1624307544236,-1,-1,-1
49,495,1624307545247,-1,-1,-1
50,407,1624307545247,-1,-1,-1
51,399,1624307545247,-1,-1,-1
52,591,1624307547233,-1,-1,-1
53,519,1624307548276,-1,-1,-1
54,511,1624307548276,-1,-1,-1
55,519,1624307549245,-1,-1,-1
56,495,1624307549245,-1,-1,-1
57,535,1624307550245,-1,-1,-1
58,511,1624307550245,-1,-1,-1
59,351,1624307551267,-1,-1,-1
60,495,1624307552265,-1,-1,-1
61,543,1624307552265,-1,-1,-1
62,519,1624307554238,-1,-1,-1
63,559,1624307554238,-1,-1,-1
64,503,1624307555261,-1,-1,-1
65,495,1624307555261,-1,-1,-1
66,375,1624307556281,-1,-1,-1
67,511,1624307557246,-1,-1,-1
68,471,1624307557246,-1,-1,-1
69,551,1624307558218,-1,-1,-1
70,575,1624307559245,-1,-1,-1
71,519,1624307559245,-1,-1,-1
72,519,1624307560241,-1,-1,-1
73,535,1624307560241,-1,-1,-1
74,543,1624307561241,-1,-1,-1
75,535,1624307561241,-1,-1,-1
76,559,1624307562235,-1,-1,-1
77,495,1624307565240,-1,-1,-1
78,599,1624307566286,-1,-1,-1
79,511,1624307566286,-1,-1,-1
80,503,1624307567249,-1,-1,-1
81,431,1624307567249,-1,-1,-1
82,655,1624307568222,-1,-1,-1
83,527,1624307568222,-1,-1,-1
84,527,1624307569273,-1,-1,-1
85,487,1624307569273,-1,-1,-1
86,383,1624307570241,-1,-1,-1
87,535,1624307581217,-1,-1,-1
88,591,1624307582275,-1,-1,-1
89,599,1624307583254,-1,-1,-1
90,575,1624307584245,-1,-1,-1
91,367,1624307586237,-1,-1,-1
92,543,1624307586237,-1,-1,-1
93,407,1624307588243,-1,-1,-1
94,359,1624307588243,-1,-1,-1
95,623,1624307590245,-1,-1,-1
96,623,1624307590245,-1,-1,-1
97,527,1624307592243,-1,-1,-1
98,575,1624307592243,-1,-1,-1
99,615,1624307593240,-1,-1,-1
100,551,1624307594239,-1,-1,-1
101,423,1624307594239,-1,-1,-1
102,711,1624307595233,-1,-1,-1
103,575,1624307595233,-1,-1,-1
104,551,1624307596260,-1,-1,-1
105,631,1624307597246,-1,-1,-1
106,559,1624307597246,-1,-1,-1
