,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,575,1624021987074,-1,-1,-1
1,575,1624021987074,-1,-1,-1
2,583,1624021987074,-1,-1,-1
3,559,1624021987074,-1,-1,-1
4,551,1624021987074,-1,-1,-1
5,551,1624021987074,-1,-1,-1
6,551,1624021987074,-1,-1,-1
7,567,1624021987074,-1,-1,-1
8,599,1624021987074,-1,-1,-1
9,719,1624021987570,-1,-1,-1
10,767,1624021987570,-1,-1,-1
11,743,1624021988570,-1,-1,-1
12,679,1624021989578,-1,-1,-1
13,631,1624021989579,-1,-1,-1
14,615,1624021990581,-1,-1,-1
15,607,1624021990581,-1,-1,-1
16,583,1624021991578,-1,-1,-1
17,583,1624021992581,-1,-1,-1
18,599,1624021992581,-1,-1,-1
19,631,1624021993661,-1,-1,-1
20,615,1624021993661,-1,-1,-1
21,583,1624021994584,-1,-1,-1
22,607,1624021995588,-1,-1,-1
23,599,1624021995588,-1,-1,-1
24,615,1624021996585,-1,-1,-1
25,655,1624021997580,-1,-1,-1
26,687,1624021997580,-1,-1,-1
27,655,1624021998583,-1,-1,-1
28,599,1624021998583,-1,-1,-1
29,599,1624021999587,-1,-1,-1
30,591,1624022000578,-1,-1,-1
31,599,1624022000578,-1,-1,-1
32,599,1624022001581,-1,-1,-1
33,591,1624022001581,-1,-1,-1
34,583,1624022002618,-1,-1,-1
35,559,1624022003578,-1,-1,-1
36,599,1624022003578,-1,-1,-1
37,567,1624022004580,-1,-1,-1
38,615,1624022004580,-1,-1,-1
39,655,1624022005584,-1,-1,-1
40,655,1624022006587,-1,-1,-1
41,655,1624022006587,-1,-1,-1
42,583,1624022007584,-1,-1,-1
43,607,1624022008587,-1,-1,-1
44,591,1624022008587,-1,-1,-1
45,591,1624022009627,-1,-1,-1
46,575,1624022009627,-1,-1,-1
47,567,1624022010585,-1,-1,-1
48,551,1624022010585,-1,-1,-1
49,535,1624022011580,-1,-1,-1
50,511,1624022011580,-1,-1,-1
51,543,1624022012586,-1,-1,-1
52,511,1624022013578,-1,-1,-1
53,415,1624022013578,-1,-1,-1
54,647,1624022014578,-1,-1,-1
55,607,1624022014578,-1,-1,-1
56,727,1624022015588,-1,-1,-1
57,631,1624022016580,-1,-1,-1
58,703,1624022016580,-1,-1,-1
59,679,1624022017588,-1,-1,-1
60,655,1624022018579,-1,-1,-1
61,695,1624022018579,-1,-1,-1
62,639,1624022019585,-1,-1,-1
63,607,1624022020587,-1,-1,-1
64,599,1624022020587,-1,-1,-1
65,599,1624022021588,-1,-1,-1
66,583,1624022021588,-1,-1,-1
67,583,1624022022581,-1,-1,-1
68,583,1624022022581,-1,-1,-1
69,599,1624022023587,-1,-1,-1
70,599,1624022024587,-1,-1,-1
71,567,1624022024587,-1,-1,-1
72,559,1624022025587,-1,-1,-1
73,567,1624022025587,-1,-1,-1
74,647,1624022027630,-1,-1,-1
75,687,1624022028586,-1,-1,-1
76,671,1624022029582,-1,-1,-1
77,631,1624022029582,-1,-1,-1
78,599,1624022030586,-1,-1,-1
79,591,1624022030586,-1,-1,-1
80,583,1624022031586,-1,-1,-1
81,551,1624022032588,-1,-1,-1
82,527,1624022032588,-1,-1,-1
83,519,1624022033584,-1,-1,-1
84,559,1624022034627,-1,-1,-1
85,551,1624022035704,-1,-1,-1
86,559,1624022035704,-1,-1,-1
87,591,1624022036588,-1,-1,-1
88,575,1624022037585,-1,-1,-1
89,567,1624022037585,-1,-1,-1
90,607,1624022038586,-1,-1,-1
91,583,1624022038586,-1,-1,-1
92,623,1624022039586,-1,-1,-1
93,639,1624022040588,-1,-1,-1
94,671,1624022040588,-1,-1,-1
95,663,1624022041586,-1,-1,-1
96,559,1624022043584,-1,-1,-1
97,559,1624022043584,-1,-1,-1
98,535,1624022044586,-1,-1,-1
99,527,1624022046628,-1,-1,-1
100,551,1624022046628,-1,-1,-1
101,607,1624022047587,-1,-1,-1
102,615,1624022048583,-1,-1,-1
103,615,1624022048584,-1,-1,-1
104,631,1624022049580,-1,-1,-1
105,687,1624022050586,-1,-1,-1
106,687,1624022050586,-1,-1,-1
107,751,1624022051587,-1,-1,-1
108,703,1624022053584,-1,-1,-1
109,639,1624022053584,-1,-1,-1
110,631,1624022054587,-1,-1,-1
111,655,1624022055588,-1,-1,-1
112,591,1624022055588,-1,-1,-1
113,599,1624022056585,-1,-1,-1
114,583,1624022056585,-1,-1,-1
115,559,1624022057586,-1,-1,-1
116,559,1624022057586,-1,-1,-1
117,551,1624022058580,-1,-1,-1
118,559,1624022059628,-1,-1,-1
119,543,1624022059628,-1,-1,-1
120,551,1624022060586,-1,-1,-1
121,559,1624022060587,-1,-1,-1
122,567,1624022061577,-1,-1,-1
123,583,1624022061577,-1,-1,-1
124,575,1624022062577,-1,-1,-1
125,647,1624022063585,-1,-1,-1
126,711,1624022063585,-1,-1,-1
127,695,1624022064587,-1,-1,-1
128,671,1624022065588,-1,-1,-1
129,631,1624022065588,-1,-1,-1
130,623,1624022066627,-1,-1,-1
131,615,1624022066627,-1,-1,-1
132,599,1624022067587,-1,-1,-1
133,567,1624022068628,-1,-1,-1
134,559,1624022068628,-1,-1,-1
135,559,1624022069585,-1,-1,-1
136,567,1624022069586,-1,-1,-1
137,599,1624022070588,-1,-1,-1
138,543,1624022070588,-1,-1,-1
139,559,1624022071587,-1,-1,-1
140,543,1624022072589,-1,-1,-1
141,527,1624022072589,-1,-1,-1
142,535,1624022073585,-1,-1,-1
143,535,1624022073585,-1,-1,-1
144,543,1624022074586,-1,-1,-1
145,567,1624022074586,-1,-1,-1
146,559,1624022075625,-1,-1,-1
147,583,1624022075625,-1,-1,-1
148,631,1624022076589,-1,-1,-1
149,719,1624022077586,-1,-1,-1
150,743,1624022078587,-1,-1,-1
151,703,1624022078587,-1,-1,-1
152,663,1624022079585,-1,-1,-1
153,631,1624022080586,-1,-1,-1
154,599,1624022080586,-1,-1,-1
155,591,1624022081586,-1,-1,-1
156,567,1624022081586,-1,-1,-1
157,567,1624022082587,-1,-1,-1
158,551,1624022082587,-1,-1,-1
159,551,1624022083585,-1,-1,-1
160,551,1624022084585,-1,-1,-1
161,535,1624022084585,-1,-1,-1
162,479,1624022085586,-1,-1,-1
163,543,1624022087586,-1,-1,-1
164,607,1624022087586,-1,-1,-1
165,711,1624022088586,-1,-1,-1
166,719,1624022090586,-1,-1,-1
167,695,1624022093625,-1,-1,-1
168,695,1624022093625,-1,-1,-1
169,663,1624022094592,-1,-1,-1
170,631,1624022095587,-1,-1,-1
171,607,1624022095587,-1,-1,-1
172,575,1624022096586,-1,-1,-1
173,559,1624022096586,-1,-1,-1
174,543,1624022097587,-1,-1,-1
175,575,1624022097588,-1,-1,-1
176,583,1624022098623,-1,-1,-1
177,575,1624022099577,-1,-1,-1
178,583,1624022099577,-1,-1,-1
179,551,1624022100584,-1,-1,-1
180,607,1624022100584,-1,-1,-1
181,575,1624022101586,-1,-1,-1
182,551,1624022101586,-1,-1,-1
183,567,1624022102585,-1,-1,-1
184,535,1624022103586,-1,-1,-1
185,527,1624022103586,-1,-1,-1
186,559,1624022104585,-1,-1,-1
187,575,1624022104585,-1,-1,-1
188,599,1624022105587,-1,-1,-1
189,687,1624022106585,-1,-1,-1
190,703,1624022106585,-1,-1,-1
191,703,1624022107587,-1,-1,-1
192,695,1624022108617,-1,-1,-1
193,703,1624022108617,-1,-1,-1
194,719,1624022109588,-1,-1,-1
195,695,1624022110578,-1,-1,-1
196,655,1624022110579,-1,-1,-1
197,631,1624022111578,-1,-1,-1
198,591,1624022112577,-1,-1,-1
199,607,1624022112577,-1,-1,-1
200,623,1624022113580,-1,-1,-1
201,607,1624022113580,-1,-1,-1
202,583,1624022114580,-1,-1,-1
203,543,1624022115580,-1,-1,-1
204,551,1624022115580,-1,-1,-1
205,543,1624022116577,-1,-1,-1
206,535,1624022116577,-1,-1,-1
207,559,1624022117577,-1,-1,-1
208,503,1624022118586,-1,-1,-1
209,623,1624022120578,-1,-1,-1
210,463,1624022121578,-1,-1,-1
211,575,1624022123578,-1,-1,-1
212,687,1624022124578,-1,-1,-1
213,599,1624022124578,-1,-1,-1
214,471,1624022125617,-1,-1,-1
215,703,1624022126578,-1,-1,-1
216,591,1624022126578,-1,-1,-1
217,551,1624022127578,-1,-1,-1
218,535,1624022127578,-1,-1,-1
219,631,1624022128578,-1,-1,-1
220,543,1624022131579,-1,-1,-1
221,567,1624022135577,-1,-1,-1
222,615,1624022136582,-1,-1,-1
223,615,1624022136582,-1,-1,-1
224,639,1624022137588,-1,-1,-1
225,615,1624022138585,-1,-1,-1
226,687,1624022138585,-1,-1,-1
227,647,1624022139587,-1,-1,-1
228,639,1624022139587,-1,-1,-1
229,687,1624022140578,-1,-1,-1
230,655,1624022141620,-1,-1,-1
231,607,1624022141620,-1,-1,-1
232,623,1624022142586,-1,-1,-1
233,647,1624022143585,-1,-1,-1
234,647,1624022143585,-1,-1,-1
235,551,1624022144586,-1,-1,-1
236,695,1624022145583,-1,-1,-1
237,631,1624022145583,-1,-1,-1
238,503,1624022146589,-1,-1,-1
239,767,1624022147585,-1,-1,-1
240,631,1624022147585,-1,-1,-1
241,607,1624022148585,-1,-1,-1
242,615,1624022150577,-1,-1,-1
243,431,1624022150577,-1,-1,-1
244,679,1624022152583,-1,-1,-1
245,639,1624022152584,-1,-1,-1
246,655,1624022153579,-1,-1,-1
247,655,1624022154585,-1,-1,-1
248,631,1624022154585,-1,-1,-1
249,623,1624022155586,-1,-1,-1
250,647,1624022156585,-1,-1,-1
251,607,1624022156585,-1,-1,-1
252,615,1624022157585,-1,-1,-1
253,607,1624022157585,-1,-1,-1
254,583,1624022158577,-1,-1,-1
255,599,1624022159578,-1,-1,-1
256,575,1624022159578,-1,-1,-1
257,599,1624022160586,-1,-1,-1
258,575,1624022160586,-1,-1,-1
259,583,1624022161585,-1,-1,-1
260,767,1624022163545,-1,-1,-1
261,591,1624022163546,-1,-1,-1
262,575,1624022164546,-1,-1,-1
263,647,1624022166547,-1,-1,-1
264,751,1624022166547,-1,-1,-1
265,695,1624022167545,-1,-1,-1
266,471,1624022168539,-1,-1,-1
267,703,1624022168539,-1,-1,-1
268,663,1624022169539,-1,-1,-1
269,415,1624022169539,-1,-1,-1
270,799,1624022172545,-1,-1,-1
271,679,1624022173546,-1,-1,-1
272,775,1624022175585,-1,-1,-1
273,567,1624022177587,-1,-1,-1
274,647,1624022177587,-1,-1,-1
275,591,1624022178545,-1,-1,-1
276,599,1624022178545,-1,-1,-1
277,615,1624022179542,-1,-1,-1
278,647,1624022180544,-1,-1,-1
279,711,1624022180544,-1,-1,-1
280,751,1624022181542,-1,-1,-1
281,719,1624022182540,-1,-1,-1
282,719,1624022183541,-1,-1,-1
283,679,1624022183541,-1,-1,-1
284,599,1624022184537,-1,-1,-1
285,615,1624022184537,-1,-1,-1
286,591,1624022185539,-1,-1,-1
287,583,1624022186546,-1,-1,-1
288,575,1624022186546,-1,-1,-1
289,591,1624022187538,-1,-1,-1
290,591,1624022187538,-1,-1,-1
291,663,1624022188545,-1,-1,-1
292,767,1624022189537,-1,-1,-1
293,743,1624022190543,-1,-1,-1
294,767,1624022190543,-1,-1,-1
295,759,1624022191542,-1,-1,-1
296,783,1624022192546,-1,-1,-1
297,775,1624022193585,-1,-1,-1
298,751,1624022193585,-1,-1,-1
299,703,1624022194540,-1,-1,-1
300,711,1624022195545,-1,-1,-1
301,671,1624022195545,-1,-1,-1
302,663,1624022196545,-1,-1,-1
303,639,1624022197544,-1,-1,-1
304,615,1624022197544,-1,-1,-1
305,671,1624022198541,-1,-1,-1
306,663,1624022199538,-1,-1,-1
307,663,1624022199538,-1,-1,-1
308,631,1624022200544,-1,-1,-1
309,639,1624022201539,-1,-1,-1
310,623,1624022201539,-1,-1,-1
311,615,1624022202542,-1,-1,-1
312,775,1624022204538,-1,-1,-1
313,695,1624022205544,-1,-1,-1
314,679,1624022205544,-1,-1,-1
315,671,1624022206541,-1,-1,-1
316,519,1624022208544,-1,-1,-1
317,639,1624022210546,-1,-1,-1
318,503,1624022210546,-1,-1,-1
319,631,1624022211544,-1,-1,-1
320,575,1624022211544,-1,-1,-1
321,583,1624022212544,-1,-1,-1
322,567,1624022213543,-1,-1,-1
323,567,1624022213543,-1,-1,-1
324,575,1624022214542,-1,-1,-1
325,575,1624022214542,-1,-1,-1
326,591,1624022215543,-1,-1,-1
327,615,1624022215543,-1,-1,-1
328,535,1624022218542,-1,-1,-1
329,591,1624022219541,-1,-1,-1
330,607,1624022220540,-1,-1,-1
331,599,1624022221544,-1,-1,-1
332,615,1624022221544,-1,-1,-1
333,615,1624022222544,-1,-1,-1
334,599,1624022222544,-1,-1,-1
335,583,1624022223538,-1,-1,-1
336,567,1624022224536,-1,-1,-1
337,575,1624022224537,-1,-1,-1
338,583,1624022225544,-1,-1,-1
339,591,1624022225544,-1,-1,-1
340,591,1624022226617,-1,-1,-1
341,631,1624022227545,-1,-1,-1
342,679,1624022227545,-1,-1,-1
343,735,1624022228543,-1,-1,-1
344,735,1624022229584,-1,-1,-1
345,719,1624022229584,-1,-1,-1
346,695,1624022230541,-1,-1,-1
347,671,1624022231537,-1,-1,-1
348,647,1624022231537,-1,-1,-1
349,639,1624022232545,-1,-1,-1
350,631,1624022233545,-1,-1,-1
351,639,1624022233545,-1,-1,-1
