,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,711,1628105362358,-1,-1,-1
1,703,1628105362358,-1,-1,-1
2,711,1628105362792,-1,-1,-1
3,639,1628105362792,-1,-1,-1
4,679,1628105364788,-1,-1,-1
5,703,1628105365782,-1,-1,-1
6,591,1628105366797,-1,-1,-1
7,679,1628105366797,-1,-1,-1
8,679,1628105367788,-1,-1,-1
9,687,1628105368779,-1,-1,-1
10,687,1628105368779,-1,-1,-1
11,703,1628105369803,-1,-1,-1
12,695,1628105370793,-1,-1,-1
13,679,1628105370793,-1,-1,-1
14,663,1628105371779,-1,-1,-1
15,679,1628105372798,-1,-1,-1
16,647,1628105372799,-1,-1,-1
17,631,1628105373787,-1,-1,-1
18,639,1628105374778,-1,-1,-1
19,663,1628105374778,-1,-1,-1
20,663,1628105375798,-1,-1,-1
21,639,1628105376787,-1,-1,-1
22,639,1628105376787,-1,-1,-1
23,647,1628105377777,-1,-1,-1
24,663,1628105378798,-1,-1,-1
25,679,1628105378798,-1,-1,-1
26,631,1628105379789,-1,-1,-1
27,663,1628105380776,-1,-1,-1
28,663,1628105380776,-1,-1,-1
29,655,1628105381797,-1,-1,-1
30,639,1628105381797,-1,-1,-1
31,687,1628105382818,-1,-1,-1
32,711,1628105383807,-1,-1,-1
33,671,1628105384799,-1,-1,-1
34,655,1628105384799,-1,-1,-1
35,687,1628105385788,-1,-1,-1
36,655,1628105386779,-1,-1,-1
37,647,1628105386779,-1,-1,-1
38,647,1628105387799,-1,-1,-1
39,639,1628105388787,-1,-1,-1
40,647,1628105388787,-1,-1,-1
41,647,1628105389778,-1,-1,-1
42,631,1628105389779,-1,-1,-1
43,631,1628105390798,-1,-1,-1
44,655,1628105391787,-1,-1,-1
45,687,1628105391787,-1,-1,-1
46,615,1628105392776,-1,-1,-1
47,687,1628105393798,-1,-1,-1
48,679,1628105393798,-1,-1,-1
49,663,1628105394787,-1,-1,-1
50,679,1628105395777,-1,-1,-1
51,663,1628105395777,-1,-1,-1
52,703,1628105396798,-1,-1,-1
53,647,1628105397787,-1,-1,-1
54,655,1628105397787,-1,-1,-1
55,647,1628105398777,-1,-1,-1
56,687,1628105399796,-1,-1,-1
57,615,1628105399797,-1,-1,-1
58,655,1628105400786,-1,-1,-1
59,639,1628105401776,-1,-1,-1
60,711,1628105401776,-1,-1,-1
61,591,1628105402798,-1,-1,-1
62,655,1628105403787,-1,-1,-1
63,655,1628105403787,-1,-1,-1
64,679,1628105404777,-1,-1,-1
65,639,1628105405797,-1,-1,-1
66,671,1628105405798,-1,-1,-1
67,647,1628105406787,-1,-1,-1
68,679,1628105407777,-1,-1,-1
69,655,1628105407777,-1,-1,-1
70,647,1628105408798,-1,-1,-1
71,663,1628105409786,-1,-1,-1
72,671,1628105409786,-1,-1,-1
73,655,1628105410776,-1,-1,-1
74,631,1628105411796,-1,-1,-1
75,639,1628105411796,-1,-1,-1
76,679,1628105412786,-1,-1,-1
77,631,1628105412786,-1,-1,-1
78,647,1628105413777,-1,-1,-1
79,631,1628105414797,-1,-1,-1
80,639,1628105414797,-1,-1,-1
81,655,1628105415817,-1,-1,-1
82,631,1628105416806,-1,-1,-1
83,663,1628105416807,-1,-1,-1
84,663,1628105417798,-1,-1,-1
85,655,1628105418791,-1,-1,-1
86,655,1628105418791,-1,-1,-1
87,647,1628105419777,-1,-1,-1
88,655,1628105420797,-1,-1,-1
89,663,1628105420797,-1,-1,-1
90,639,1628105421788,-1,-1,-1
91,631,1628105422779,-1,-1,-1
92,607,1628105422779,-1,-1,-1
93,639,1628105423802,-1,-1,-1
94,615,1628105423802,-1,-1,-1
95,615,1628105424787,-1,-1,-1
96,615,1628105425777,-1,-1,-1
97,631,1628105425777,-1,-1,-1
98,615,1628105426801,-1,-1,-1
99,623,1628105427788,-1,-1,-1
100,607,1628105427788,-1,-1,-1
101,431,1628105428778,-1,-1,-1
102,847,1628105428778,-1,-1,-1
103,631,1628105429797,-1,-1,-1
104,719,1628105430787,-1,-1,-1
105,711,1628105430787,-1,-1,-1
106,791,1628105433788,-1,-1,-1
107,719,1628105433788,-1,-1,-1
108,679,1628105434777,-1,-1,-1
109,663,1628105435767,-1,-1,-1
110,671,1628105435767,-1,-1,-1
111,663,1628105436787,-1,-1,-1
112,623,1628105437778,-1,-1,-1
113,631,1628105437778,-1,-1,-1
114,671,1628105438767,-1,-1,-1
115,615,1628105438768,-1,-1,-1
116,631,1628105439788,-1,-1,-1
117,623,1628105440777,-1,-1,-1
118,623,1628105440777,-1,-1,-1
119,623,1628105441767,-1,-1,-1
120,615,1628105442788,-1,-1,-1
121,567,1628105442788,-1,-1,-1
122,695,1628105443778,-1,-1,-1
123,647,1628105443779,-1,-1,-1
124,615,1628105444767,-1,-1,-1
125,695,1628105445787,-1,-1,-1
126,703,1628105446779,-1,-1,-1
127,687,1628105446779,-1,-1,-1
128,663,1628105447769,-1,-1,-1
129,679,1628105449812,-1,-1,-1
130,663,1628105450768,-1,-1,-1
131,687,1628105450768,-1,-1,-1
132,679,1628105451787,-1,-1,-1
133,631,1628105452777,-1,-1,-1
134,695,1628105452777,-1,-1,-1
135,671,1628105453767,-1,-1,-1
136,727,1628105454787,-1,-1,-1
137,703,1628105454787,-1,-1,-1
138,663,1628105455780,-1,-1,-1
139,703,1628105456774,-1,-1,-1
140,719,1628105456774,-1,-1,-1
141,679,1628105457795,-1,-1,-1
142,639,1628105458778,-1,-1,-1
143,695,1628105458778,-1,-1,-1
144,679,1628105459768,-1,-1,-1
145,519,1628105460786,-1,-1,-1
146,583,1628105465767,-1,-1,-1
147,567,1628105466787,-1,-1,-1
148,591,1628105470778,-1,-1,-1
149,607,1628105471767,-1,-1,-1
150,615,1628105471767,-1,-1,-1
151,607,1628105472787,-1,-1,-1
152,623,1628105472787,-1,-1,-1
153,647,1628105473777,-1,-1,-1
154,671,1628105474767,-1,-1,-1
155,687,1628105474767,-1,-1,-1
156,663,1628105475787,-1,-1,-1
157,631,1628105476777,-1,-1,-1
158,663,1628105476777,-1,-1,-1
159,671,1628105477767,-1,-1,-1
160,679,1628105478787,-1,-1,-1
161,703,1628105478787,-1,-1,-1
162,671,1628105479780,-1,-1,-1
163,679,1628105480767,-1,-1,-1
164,679,1628105480767,-1,-1,-1
165,631,1628105481818,-1,-1,-1
166,695,1628105482807,-1,-1,-1
167,695,1628105482807,-1,-1,-1
168,663,1628105483766,-1,-1,-1
169,575,1628105484788,-1,-1,-1
170,767,1628105484788,-1,-1,-1
171,727,1628105485778,-1,-1,-1
172,655,1628105486767,-1,-1,-1
173,703,1628105487787,-1,-1,-1
174,719,1628105489767,-1,-1,-1
175,695,1628105489767,-1,-1,-1
176,695,1628105490786,-1,-1,-1
177,671,1628105491778,-1,-1,-1
178,655,1628105491778,-1,-1,-1
179,671,1628105492766,-1,-1,-1
180,687,1628105493787,-1,-1,-1
181,655,1628105493787,-1,-1,-1
182,679,1628105494778,-1,-1,-1
183,671,1628105495767,-1,-1,-1
184,695,1628105495767,-1,-1,-1
185,679,1628105496787,-1,-1,-1
186,719,1628105497777,-1,-1,-1
187,623,1628105497777,-1,-1,-1
188,687,1628105498767,-1,-1,-1
189,655,1628105499787,-1,-1,-1
190,679,1628105500777,-1,-1,-1
191,663,1628105504767,-1,-1,-1
192,679,1628105504767,-1,-1,-1
193,647,1628105505788,-1,-1,-1
194,711,1628105506777,-1,-1,-1
195,623,1628105507767,-1,-1,-1
196,663,1628105508787,-1,-1,-1
197,655,1628105509777,-1,-1,-1
198,647,1628105509777,-1,-1,-1
199,655,1628105510767,-1,-1,-1
200,703,1628105511787,-1,-1,-1
201,855,1628105512781,-1,-1,-1
202,663,1628105513767,-1,-1,-1
203,679,1628105514818,-1,-1,-1
204,639,1628105515807,-1,-1,-1
205,647,1628105515807,-1,-1,-1
206,647,1628105516767,-1,-1,-1
207,639,1628105517787,-1,-1,-1
208,647,1628105517787,-1,-1,-1
209,639,1628105518778,-1,-1,-1
210,671,1628105519767,-1,-1,-1
211,655,1628105519767,-1,-1,-1
212,679,1628105520789,-1,-1,-1
213,647,1628105521777,-1,-1,-1
214,639,1628105521777,-1,-1,-1
215,663,1628105522767,-1,-1,-1
216,655,1628105523787,-1,-1,-1
217,639,1628105523787,-1,-1,-1
218,631,1628105524777,-1,-1,-1
219,671,1628105527778,-1,-1,-1
220,711,1628105528767,-1,-1,-1
221,615,1628105528767,-1,-1,-1
222,695,1628105529790,-1,-1,-1
223,655,1628105530778,-1,-1,-1
224,663,1628105530778,-1,-1,-1
225,655,1628105531767,-1,-1,-1
226,655,1628105532787,-1,-1,-1
227,663,1628105532787,-1,-1,-1
228,631,1628105533777,-1,-1,-1
229,655,1628105534767,-1,-1,-1
230,615,1628105534767,-1,-1,-1
231,655,1628105535788,-1,-1,-1
232,663,1628105536778,-1,-1,-1
233,663,1628105536778,-1,-1,-1
234,655,1628105537767,-1,-1,-1
235,647,1628105538786,-1,-1,-1
236,647,1628105538786,-1,-1,-1
237,631,1628105539777,-1,-1,-1
238,615,1628105540767,-1,-1,-1
239,631,1628105540767,-1,-1,-1
240,639,1628105541787,-1,-1,-1
241,639,1628105541787,-1,-1,-1
242,655,1628105542778,-1,-1,-1
243,591,1628105543767,-1,-1,-1
244,631,1628105543767,-1,-1,-1
245,655,1628105544787,-1,-1,-1
246,639,1628105545778,-1,-1,-1
247,615,1628105545778,-1,-1,-1
248,615,1628105546767,-1,-1,-1
249,631,1628105548777,-1,-1,-1
250,607,1628105548778,-1,-1,-1
251,623,1628105549767,-1,-1,-1
252,567,1628105551778,-1,-1,-1
253,679,1628105553787,-1,-1,-1
254,623,1628105555767,-1,-1,-1
255,559,1628105556787,-1,-1,-1
256,663,1628105557778,-1,-1,-1
257,583,1628105569778,-1,-1,-1
258,639,1628105572777,-1,-1,-1
259,543,1628105573767,-1,-1,-1
260,711,1628105574787,-1,-1,-1
261,663,1628105574787,-1,-1,-1
262,639,1628105575778,-1,-1,-1
263,631,1628105576768,-1,-1,-1
264,647,1628105576768,-1,-1,-1
265,639,1628105579767,-1,-1,-1
266,639,1628105580757,-1,-1,-1
267,647,1628105580757,-1,-1,-1
268,575,1628105581778,-1,-1,-1
269,615,1628105581778,-1,-1,-1
270,663,1628105582767,-1,-1,-1
271,663,1628105583787,-1,-1,-1
272,647,1628105583787,-1,-1,-1
273,647,1628105584777,-1,-1,-1
274,623,1628105585767,-1,-1,-1
275,663,1628105585767,-1,-1,-1
276,647,1628105586787,-1,-1,-1
277,623,1628105587777,-1,-1,-1
278,647,1628105587777,-1,-1,-1
279,655,1628105588767,-1,-1,-1
280,615,1628105588767,-1,-1,-1
281,655,1628105589757,-1,-1,-1
282,671,1628105590777,-1,-1,-1
283,623,1628105590777,-1,-1,-1
284,647,1628105591767,-1,-1,-1
285,671,1628105592757,-1,-1,-1
286,663,1628105592757,-1,-1,-1
287,631,1628105593778,-1,-1,-1
288,663,1628105594768,-1,-1,-1
289,663,1628105594768,-1,-1,-1
290,639,1628105595757,-1,-1,-1
291,663,1628105596778,-1,-1,-1
292,631,1628105596778,-1,-1,-1
293,631,1628105601757,-1,-1,-1
294,639,1628105601757,-1,-1,-1
295,599,1628105602779,-1,-1,-1
296,631,1628105603767,-1,-1,-1
297,647,1628105603767,-1,-1,-1
298,607,1628105604757,-1,-1,-1
299,631,1628105604757,-1,-1,-1
300,655,1628105605777,-1,-1,-1
301,647,1628105606767,-1,-1,-1
302,623,1628105606767,-1,-1,-1
303,615,1628105607757,-1,-1,-1
304,615,1628105608777,-1,-1,-1
305,663,1628105608777,-1,-1,-1
306,647,1628105609767,-1,-1,-1
307,623,1628105610757,-1,-1,-1
308,599,1628105610757,-1,-1,-1
309,703,1628105611779,-1,-1,-1
310,615,1628105611779,-1,-1,-1
311,687,1628105612767,-1,-1,-1
312,639,1628105613756,-1,-1,-1
313,679,1628105613756,-1,-1,-1
314,671,1628105614777,-1,-1,-1
315,679,1628105615767,-1,-1,-1
316,655,1628105615767,-1,-1,-1
317,687,1628105616787,-1,-1,-1
318,671,1628105617777,-1,-1,-1
319,671,1628105618767,-1,-1,-1
320,663,1628105618767,-1,-1,-1
321,663,1628105619757,-1,-1,-1
322,639,1628105619757,-1,-1,-1
323,639,1628105620778,-1,-1,-1
324,679,1628105621768,-1,-1,-1
325,647,1628105623777,-1,-1,-1
326,647,1628105623778,-1,-1,-1
327,655,1628105624767,-1,-1,-1
328,655,1628105625757,-1,-1,-1
329,655,1628105625757,-1,-1,-1
330,671,1628105626777,-1,-1,-1
331,679,1628105627767,-1,-1,-1
332,671,1628105627767,-1,-1,-1
333,663,1628105628757,-1,-1,-1
334,679,1628105629777,-1,-1,-1
335,535,1628105629778,-1,-1,-1
336,791,1628105630800,-1,-1,-1
337,631,1628105631787,-1,-1,-1
338,639,1628105631787,-1,-1,-1
339,623,1628105632778,-1,-1,-1
340,647,1628105638777,-1,-1,-1
341,639,1628105638777,-1,-1,-1
342,615,1628105639766,-1,-1,-1
343,671,1628105639766,-1,-1,-1
344,559,1628105640756,-1,-1,-1
345,663,1628105642767,-1,-1,-1
346,631,1628105643757,-1,-1,-1
347,615,1628105643757,-1,-1,-1
348,647,1628105644777,-1,-1,-1
349,631,1628105645767,-1,-1,-1
350,639,1628105645767,-1,-1,-1
351,647,1628105646757,-1,-1,-1
352,663,1628105646757,-1,-1,-1
353,663,1628105647777,-1,-1,-1
