,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,735,1622913978518,-1,-1,-1
1,751,1622913978518,-1,-1,-1
2,679,1622913978518,-1,-1,-1
3,727,1622913978518,-1,-1,-1
4,743,1622913978518,-1,-1,-1
5,767,1622913978518,-1,-1,-1
6,743,1622913978518,-1,-1,-1
7,775,1622913978518,-1,-1,-1
8,919,1622913978518,-1,-1,-1
9,887,1622913979016,-1,-1,-1
10,759,1622913979016,-1,-1,-1
11,767,1622913979016,-1,-1,-1
12,735,1622913981526,-1,-1,-1
13,799,1622913986527,-1,-1,-1
14,775,1622913986527,-1,-1,-1
15,855,1622913987526,-1,-1,-1
16,863,1622913988531,-1,-1,-1
17,703,1622913989528,-1,-1,-1
18,767,1622913991525,-1,-1,-1
19,767,1622913992521,-1,-1,-1
20,799,1622913993522,-1,-1,-1
21,855,1622913993522,-1,-1,-1
22,831,1622913994537,-1,-1,-1
23,871,1622913995531,-1,-1,-1
24,847,1622913996570,-1,-1,-1
25,855,1622913997571,-1,-1,-1
26,839,1622913998533,-1,-1,-1
27,879,1622913999522,-1,-1,-1
28,687,1622914002525,-1,-1,-1
29,823,1622914004528,-1,-1,-1
30,807,1622914005531,-1,-1,-1
31,815,1622914006528,-1,-1,-1
32,815,1622914006529,-1,-1,-1
33,791,1622914007571,-1,-1,-1
34,783,1622914008524,-1,-1,-1
35,759,1622914009522,-1,-1,-1
36,847,1622914010526,-1,-1,-1
37,743,1622914010526,-1,-1,-1
38,879,1622914011525,-1,-1,-1
39,871,1622914012572,-1,-1,-1
40,871,1622914013533,-1,-1,-1
41,871,1622914014528,-1,-1,-1
42,1087,1622914015530,-1,-1,-1
43,823,1622914017529,-1,-1,-1
44,879,1622914018527,-1,-1,-1
45,911,1622914019527,-1,-1,-1
46,863,1622914020523,-1,-1,-1
47,887,1622914021571,-1,-1,-1
48,863,1622914022528,-1,-1,-1
49,847,1622914022528,-1,-1,-1
50,871,1622914023529,-1,-1,-1
51,847,1622914026521,-1,-1,-1
52,751,1622914026521,-1,-1,-1
53,783,1622914027521,-1,-1,-1
54,783,1622914028522,-1,-1,-1
55,687,1622914029562,-1,-1,-1
56,743,1622914029562,-1,-1,-1
57,703,1622914030521,-1,-1,-1
58,727,1622914031522,-1,-1,-1
59,727,1622914032521,-1,-1,-1
60,751,1622914032521,-1,-1,-1
61,711,1622914035581,-1,-1,-1
62,727,1622914036521,-1,-1,-1
63,775,1622914037522,-1,-1,-1
64,719,1622914038535,-1,-1,-1
65,703,1622914038535,-1,-1,-1
66,767,1622914039521,-1,-1,-1
67,623,1622914040523,-1,-1,-1
68,839,1622914041521,-1,-1,-1
69,647,1622914041521,-1,-1,-1
70,799,1622914042529,-1,-1,-1
71,799,1622914043529,-1,-1,-1
72,767,1622914044527,-1,-1,-1
73,823,1622914044527,-1,-1,-1
74,847,1622914045607,-1,-1,-1
75,863,1622914046529,-1,-1,-1
76,855,1622914047528,-1,-1,-1
77,823,1622914052523,-1,-1,-1
78,719,1622914054563,-1,-1,-1
79,743,1622914058521,-1,-1,-1
80,623,1622914058521,-1,-1,-1
81,695,1622914060528,-1,-1,-1
82,743,1622914063525,-1,-1,-1
83,599,1622914064523,-1,-1,-1
84,671,1622914066522,-1,-1,-1
85,863,1622914068521,-1,-1,-1
86,719,1622914073531,-1,-1,-1
87,543,1622914073531,-1,-1,-1
88,839,1622914074527,-1,-1,-1
89,695,1622914075528,-1,-1,-1
90,695,1622914078578,-1,-1,-1
91,719,1622914078578,-1,-1,-1
92,687,1622914079527,-1,-1,-1
93,527,1622914080521,-1,-1,-1
94,855,1622914080521,-1,-1,-1
95,679,1622914081525,-1,-1,-1
96,775,1622914082521,-1,-1,-1
97,671,1622914083530,-1,-1,-1
98,735,1622914083530,-1,-1,-1
99,911,1622914084526,-1,-1,-1
100,751,1622914085528,-1,-1,-1
101,855,1622914086527,-1,-1,-1
102,823,1622914087528,-1,-1,-1
103,871,1622914088524,-1,-1,-1
104,879,1622914088524,-1,-1,-1
105,799,1622914089529,-1,-1,-1
106,751,1622914090529,-1,-1,-1
107,735,1622914091521,-1,-1,-1
108,719,1622914091521,-1,-1,-1
109,719,1622914092529,-1,-1,-1
110,719,1622914093590,-1,-1,-1
111,727,1622914094528,-1,-1,-1
112,719,1622914094528,-1,-1,-1
113,711,1622914095584,-1,-1,-1
114,711,1622914096528,-1,-1,-1
115,695,1622914096528,-1,-1,-1
116,695,1622914097531,-1,-1,-1
117,679,1622914098527,-1,-1,-1
118,687,1622914099525,-1,-1,-1
119,679,1622914099525,-1,-1,-1
120,687,1622914100529,-1,-1,-1
121,687,1622914101526,-1,-1,-1
122,679,1622914101526,-1,-1,-1
123,703,1622914102521,-1,-1,-1
124,719,1622914103523,-1,-1,-1
125,759,1622914103523,-1,-1,-1
126,879,1622914104521,-1,-1,-1
127,903,1622914106528,-1,-1,-1
128,903,1622914107524,-1,-1,-1
129,919,1622914108522,-1,-1,-1
130,935,1622914109523,-1,-1,-1
131,871,1622914110539,-1,-1,-1
132,911,1622914111581,-1,-1,-1
133,903,1622914112555,-1,-1,-1
134,863,1622914113522,-1,-1,-1
135,895,1622914113522,-1,-1,-1
136,903,1622914114527,-1,-1,-1
137,863,1622914115523,-1,-1,-1
138,895,1622914116600,-1,-1,-1
139,927,1622914117521,-1,-1,-1
140,895,1622914118528,-1,-1,-1
141,895,1622914119558,-1,-1,-1
142,903,1622914120521,-1,-1,-1
143,863,1622914121521,-1,-1,-1
144,895,1622914121521,-1,-1,-1
145,887,1622914122528,-1,-1,-1
146,855,1622914123521,-1,-1,-1
147,863,1622914124522,-1,-1,-1
148,855,1622914125602,-1,-1,-1
149,839,1622914126527,-1,-1,-1
150,847,1622914127528,-1,-1,-1
151,903,1622914129522,-1,-1,-1
152,911,1622914130522,-1,-1,-1
153,959,1622914138557,-1,-1,-1
154,823,1622914139526,-1,-1,-1
155,1023,1622914140526,-1,-1,-1
156,871,1622914141555,-1,-1,-1
157,831,1622914143522,-1,-1,-1
158,663,1622914144576,-1,-1,-1
159,591,1622914146525,-1,-1,-1
160,855,1622914149523,-1,-1,-1
161,807,1622914150526,-1,-1,-1
162,775,1622914150526,-1,-1,-1
163,703,1622914153521,-1,-1,-1
164,751,1622914154529,-1,-1,-1
165,719,1622914155527,-1,-1,-1
166,895,1622914162520,-1,-1,-1
167,831,1622914163521,-1,-1,-1
168,783,1622914163521,-1,-1,-1
169,783,1622914164536,-1,-1,-1
170,751,1622914165523,-1,-1,-1
171,775,1622914166523,-1,-1,-1
172,799,1622914167520,-1,-1,-1
173,839,1622914167520,-1,-1,-1
174,879,1622914168521,-1,-1,-1
175,887,1622914169520,-1,-1,-1
176,911,1622914170528,-1,-1,-1
177,863,1622914171525,-1,-1,-1
178,911,1622914172530,-1,-1,-1
179,863,1622914173523,-1,-1,-1
180,887,1622914174528,-1,-1,-1
181,879,1622914175526,-1,-1,-1
182,863,1622914175526,-1,-1,-1
183,871,1622914176538,-1,-1,-1
184,871,1622914177578,-1,-1,-1
185,879,1622914178521,-1,-1,-1
186,911,1622914179570,-1,-1,-1
187,863,1622914180528,-1,-1,-1
188,879,1622914181526,-1,-1,-1
189,863,1622914182529,-1,-1,-1
190,831,1622914182529,-1,-1,-1
191,839,1622914183526,-1,-1,-1
192,807,1622914184561,-1,-1,-1
193,823,1622914185526,-1,-1,-1
194,839,1622914186525,-1,-1,-1
195,823,1622914186525,-1,-1,-1
196,791,1622914187528,-1,-1,-1
197,855,1622914188524,-1,-1,-1
198,807,1622914189579,-1,-1,-1
199,839,1622914190600,-1,-1,-1
200,871,1622914191528,-1,-1,-1
201,943,1622914192525,-1,-1,-1
202,847,1622914195562,-1,-1,-1
203,719,1622914201527,-1,-1,-1
204,799,1622914202521,-1,-1,-1
205,815,1622914203520,-1,-1,-1
206,903,1622914204568,-1,-1,-1
207,879,1622914204568,-1,-1,-1
208,927,1622914205522,-1,-1,-1
209,783,1622914206567,-1,-1,-1
210,1023,1622914209521,-1,-1,-1
211,831,1622914210577,-1,-1,-1
212,783,1622914210577,-1,-1,-1
213,791,1622914211520,-1,-1,-1
214,783,1622914212522,-1,-1,-1
215,815,1622914215562,-1,-1,-1
216,847,1622914216524,-1,-1,-1
217,943,1622914218520,-1,-1,-1
218,807,1622914223521,-1,-1,-1
219,775,1622914224522,-1,-1,-1
220,767,1622914224522,-1,-1,-1
221,807,1622914225525,-1,-1,-1
222,871,1622914226561,-1,-1,-1
223,951,1622914227527,-1,-1,-1
224,919,1622914228528,-1,-1,-1
225,943,1622914229521,-1,-1,-1
226,911,1622914230520,-1,-1,-1
227,903,1622914231521,-1,-1,-1
228,839,1622914232528,-1,-1,-1
229,863,1622914232528,-1,-1,-1
230,879,1622914233527,-1,-1,-1
231,895,1622914234525,-1,-1,-1
232,871,1622914235519,-1,-1,-1
233,839,1622914236525,-1,-1,-1
234,807,1622914237521,-1,-1,-1
235,791,1622914237521,-1,-1,-1
236,775,1622914238528,-1,-1,-1
237,767,1622914239521,-1,-1,-1
238,783,1622914240520,-1,-1,-1
239,759,1622914241522,-1,-1,-1
240,815,1622914241522,-1,-1,-1
241,815,1622914242526,-1,-1,-1
242,847,1622914243596,-1,-1,-1
243,879,1622914244525,-1,-1,-1
244,847,1622914245522,-1,-1,-1
245,831,1622914246528,-1,-1,-1
246,807,1622914246528,-1,-1,-1
247,783,1622914247580,-1,-1,-1
248,775,1622914248526,-1,-1,-1
249,735,1622914253560,-1,-1,-1
250,807,1622914261527,-1,-1,-1
251,831,1622914261527,-1,-1,-1
252,767,1622914262524,-1,-1,-1
253,743,1622914263527,-1,-1,-1
254,887,1622914264527,-1,-1,-1
255,663,1622914266524,-1,-1,-1
256,799,1622914267567,-1,-1,-1
257,719,1622914268520,-1,-1,-1
258,879,1622914269564,-1,-1,-1
259,767,1622914269564,-1,-1,-1
260,743,1622914270526,-1,-1,-1
261,831,1622914271541,-1,-1,-1
262,807,1622914272523,-1,-1,-1
263,839,1622914273521,-1,-1,-1
264,599,1622914273521,-1,-1,-1
265,983,1622914274520,-1,-1,-1
266,799,1622914275525,-1,-1,-1
267,847,1622914276603,-1,-1,-1
268,839,1622914277522,-1,-1,-1
269,847,1622914277522,-1,-1,-1
270,703,1622914278481,-1,-1,-1
271,791,1622914279486,-1,-1,-1
272,703,1622914280488,-1,-1,-1
273,711,1622914282482,-1,-1,-1
274,687,1622914283482,-1,-1,-1
275,775,1622914283482,-1,-1,-1
276,815,1622914284485,-1,-1,-1
277,695,1622914285565,-1,-1,-1
278,815,1622914286486,-1,-1,-1
279,791,1622914286486,-1,-1,-1
280,703,1622914289480,-1,-1,-1
281,783,1622914290479,-1,-1,-1
282,671,1622914291522,-1,-1,-1
283,807,1622914292480,-1,-1,-1
284,711,1622914292480,-1,-1,-1
285,823,1622914293563,-1,-1,-1
286,727,1622914294520,-1,-1,-1
287,815,1622914297481,-1,-1,-1
288,703,1622914298523,-1,-1,-1
289,847,1622914299481,-1,-1,-1
290,743,1622914299481,-1,-1,-1
291,847,1622914300483,-1,-1,-1
292,791,1622914301566,-1,-1,-1
293,823,1622914302485,-1,-1,-1
294,791,1622914303482,-1,-1,-1
295,751,1622914303482,-1,-1,-1
296,719,1622914304480,-1,-1,-1
297,863,1622914305486,-1,-1,-1
298,823,1622914306480,-1,-1,-1
299,615,1622914306480,-1,-1,-1
300,727,1622914307487,-1,-1,-1
301,711,1622914309510,-1,-1,-1
302,791,1622914311521,-1,-1,-1
303,879,1622914312511,-1,-1,-1
304,687,1622914313486,-1,-1,-1
305,807,1622914315480,-1,-1,-1
306,655,1622914316481,-1,-1,-1
307,831,1622914317482,-1,-1,-1
308,767,1622914318492,-1,-1,-1
309,767,1622914318493,-1,-1,-1
310,879,1622914319483,-1,-1,-1
311,847,1622914320521,-1,-1,-1
312,855,1622914321479,-1,-1,-1
313,735,1622914323485,-1,-1,-1
314,719,1622914324481,-1,-1,-1
315,783,1622914325481,-1,-1,-1
316,823,1622914327486,-1,-1,-1
317,743,1622914328526,-1,-1,-1
318,679,1622914329481,-1,-1,-1
319,839,1622914329481,-1,-1,-1
320,783,1622914330486,-1,-1,-1
321,735,1622914331485,-1,-1,-1
322,743,1622914332481,-1,-1,-1
323,791,1622914332481,-1,-1,-1
324,815,1622914333487,-1,-1,-1
325,831,1622914334481,-1,-1,-1
326,751,1622914336480,-1,-1,-1
327,791,1622914337520,-1,-1,-1
328,727,1622914338479,-1,-1,-1
329,807,1622914341480,-1,-1,-1
330,855,1622914342522,-1,-1,-1
331,767,1622914343480,-1,-1,-1
332,943,1622914344521,-1,-1,-1
333,727,1622914344521,-1,-1,-1
334,775,1622914345531,-1,-1,-1
335,855,1622914346486,-1,-1,-1
336,783,1622914347480,-1,-1,-1
337,719,1622914348482,-1,-1,-1
338,823,1622914348483,-1,-1,-1
339,823,1622914349479,-1,-1,-1
340,823,1622914350479,-1,-1,-1
341,783,1622914351480,-1,-1,-1
342,783,1622914352481,-1,-1,-1
343,919,1622914353480,-1,-1,-1
344,855,1622914353480,-1,-1,-1
345,799,1622914356480,-1,-1,-1
346,751,1622914357522,-1,-1,-1
347,791,1622914357522,-1,-1,-1
348,815,1622914358562,-1,-1,-1
349,791,1622914359480,-1,-1,-1
350,879,1622914360487,-1,-1,-1
351,703,1622914361519,-1,-1,-1
352,783,1622914361519,-1,-1,-1
353,655,1622914373480,-1,-1,-1
354,735,1622914375480,-1,-1,-1
355,759,1622914377523,-1,-1,-1
356,719,1622914378479,-1,-1,-1
357,759,1622914379526,-1,-1,-1
358,783,1622914380485,-1,-1,-1
359,735,1622914380485,-1,-1,-1
360,735,1622914381482,-1,-1,-1
361,655,1622914382479,-1,-1,-1
362,703,1622914382479,-1,-1,-1
363,703,1622914383480,-1,-1,-1
364,719,1622914384480,-1,-1,-1
365,703,1622914390520,-1,-1,-1
366,831,1622914391481,-1,-1,-1
367,639,1622914392482,-1,-1,-1
368,687,1622914393486,-1,-1,-1
369,783,1622914393486,-1,-1,-1
370,847,1622914394522,-1,-1,-1
371,959,1622914395480,-1,-1,-1
372,919,1622914396523,-1,-1,-1
373,919,1622914397479,-1,-1,-1
374,863,1622914398520,-1,-1,-1
375,895,1622914399480,-1,-1,-1
376,887,1622914400483,-1,-1,-1
377,879,1622914401481,-1,-1,-1
378,807,1622914401481,-1,-1,-1
379,671,1622914402479,-1,-1,-1
380,855,1622914405480,-1,-1,-1
381,943,1622914408480,-1,-1,-1
382,847,1622914409485,-1,-1,-1
383,751,1622914410544,-1,-1,-1
384,871,1622914413487,-1,-1,-1
385,871,1622914414481,-1,-1,-1
386,879,1622914415482,-1,-1,-1
387,919,1622914416479,-1,-1,-1
388,911,1622914417483,-1,-1,-1
389,871,1622914418524,-1,-1,-1
390,847,1622914418524,-1,-1,-1
391,903,1622914419480,-1,-1,-1
392,847,1622914420486,-1,-1,-1
393,847,1622914421480,-1,-1,-1
394,751,1622914422526,-1,-1,-1
395,775,1622914423483,-1,-1,-1
396,767,1622914423483,-1,-1,-1
397,807,1622914424578,-1,-1,-1
398,719,1622914425529,-1,-1,-1
399,751,1622914426485,-1,-1,-1
400,719,1622914426485,-1,-1,-1
401,767,1622914427522,-1,-1,-1
402,775,1622914428480,-1,-1,-1
403,863,1622914430480,-1,-1,-1
404,663,1622914431486,-1,-1,-1
405,839,1622914432482,-1,-1,-1
406,711,1622914434480,-1,-1,-1
407,935,1622914435480,-1,-1,-1
408,935,1622914436486,-1,-1,-1
409,927,1622914437486,-1,-1,-1
410,743,1622914437486,-1,-1,-1
411,903,1622914438479,-1,-1,-1
412,815,1622914439479,-1,-1,-1
413,703,1622914441485,-1,-1,-1
414,839,1622914444481,-1,-1,-1
415,831,1622914445561,-1,-1,-1
416,759,1622914445561,-1,-1,-1
417,703,1622914448480,-1,-1,-1
418,775,1622914448480,-1,-1,-1
419,743,1622914449481,-1,-1,-1
420,775,1622914450531,-1,-1,-1
421,783,1622914451479,-1,-1,-1
422,807,1622914452479,-1,-1,-1
423,751,1622914452479,-1,-1,-1
424,759,1622914453482,-1,-1,-1
425,759,1622914454523,-1,-1,-1
426,767,1622914455480,-1,-1,-1
427,791,1622914455480,-1,-1,-1
428,815,1622914456576,-1,-1,-1
429,871,1622914459485,-1,-1,-1
430,887,1622914460483,-1,-1,-1
431,855,1622914461483,-1,-1,-1
432,991,1622914462482,-1,-1,-1
433,751,1622914462482,-1,-1,-1
434,887,1622914463481,-1,-1,-1
435,863,1622914464479,-1,-1,-1
436,807,1622914467483,-1,-1,-1
437,631,1622914467483,-1,-1,-1
438,1039,1622914468484,-1,-1,-1
439,903,1622914469486,-1,-1,-1
440,895,1622914470479,-1,-1,-1
441,911,1622914471486,-1,-1,-1
442,903,1622914472480,-1,-1,-1
443,823,1622914473479,-1,-1,-1
444,879,1622914474479,-1,-1,-1
445,807,1622914474479,-1,-1,-1
446,855,1622914475479,-1,-1,-1
447,863,1622914476560,-1,-1,-1
448,911,1622914477488,-1,-1,-1
449,807,1622914479485,-1,-1,-1
450,871,1622914480481,-1,-1,-1
451,791,1622914481484,-1,-1,-1
452,775,1622914482479,-1,-1,-1
453,927,1622914483479,-1,-1,-1
454,671,1622914484479,-1,-1,-1
455,895,1622914484479,-1,-1,-1
456,815,1622914485486,-1,-1,-1
457,791,1622914486522,-1,-1,-1
458,759,1622914487496,-1,-1,-1
459,831,1622914488480,-1,-1,-1
460,895,1622914489479,-1,-1,-1
461,919,1622914489479,-1,-1,-1
462,839,1622914490486,-1,-1,-1
463,911,1622914491481,-1,-1,-1
464,807,1622914492483,-1,-1,-1
465,831,1622914493484,-1,-1,-1
466,767,1622914494481,-1,-1,-1
467,727,1622914494481,-1,-1,-1
468,831,1622914495481,-1,-1,-1
469,743,1622914496481,-1,-1,-1
470,759,1622914497479,-1,-1,-1
471,775,1622914497479,-1,-1,-1
472,751,1622914498514,-1,-1,-1
473,831,1622914499487,-1,-1,-1
474,743,1622914500479,-1,-1,-1
475,855,1622914501480,-1,-1,-1
476,831,1622914501480,-1,-1,-1
477,807,1622914502484,-1,-1,-1
478,783,1622914503480,-1,-1,-1
479,879,1622914504486,-1,-1,-1
480,839,1622914505482,-1,-1,-1
481,847,1622914506481,-1,-1,-1
482,791,1622914506481,-1,-1,-1
483,791,1622914507481,-1,-1,-1
484,743,1622914511479,-1,-1,-1
485,775,1622914512482,-1,-1,-1
486,927,1622914513485,-1,-1,-1
487,919,1622914514480,-1,-1,-1
488,903,1622914514480,-1,-1,-1
489,871,1622914515480,-1,-1,-1
490,743,1622914516526,-1,-1,-1
491,759,1622914517479,-1,-1,-1
492,823,1622914518519,-1,-1,-1
493,807,1622914518519,-1,-1,-1
494,863,1622914519479,-1,-1,-1
495,799,1622914520486,-1,-1,-1
496,823,1622914521486,-1,-1,-1
497,855,1622914522479,-1,-1,-1
498,871,1622914523481,-1,-1,-1
499,991,1622914524481,-1,-1,-1
500,847,1622914525522,-1,-1,-1
501,847,1622914525522,-1,-1,-1
502,743,1622914528482,-1,-1,-1
503,831,1622914529488,-1,-1,-1
504,823,1622914529488,-1,-1,-1
505,687,1622914530485,-1,-1,-1
506,735,1622914531480,-1,-1,-1
507,767,1622914532487,-1,-1,-1
508,727,1622914532487,-1,-1,-1
509,727,1622914533515,-1,-1,-1
510,735,1622914534485,-1,-1,-1
511,735,1622914535481,-1,-1,-1
512,647,1622914535481,-1,-1,-1
513,711,1622914536523,-1,-1,-1
514,935,1622914537479,-1,-1,-1
515,951,1622914538481,-1,-1,-1
516,951,1622914539573,-1,-1,-1
517,887,1622914541481,-1,-1,-1
518,887,1622914542564,-1,-1,-1
519,823,1622914542564,-1,-1,-1
520,767,1622914549481,-1,-1,-1
521,799,1622914550520,-1,-1,-1
522,767,1622914551482,-1,-1,-1
523,871,1622914555480,-1,-1,-1
524,791,1622914556479,-1,-1,-1
525,783,1622914557481,-1,-1,-1
526,831,1622914558518,-1,-1,-1
527,783,1622914558518,-1,-1,-1
528,759,1622914559484,-1,-1,-1
529,831,1622914560484,-1,-1,-1
530,727,1622914561479,-1,-1,-1
531,775,1622914562480,-1,-1,-1
532,775,1622914562480,-1,-1,-1
533,719,1622914564483,-1,-1,-1
534,751,1622914565544,-1,-1,-1
535,823,1622914566481,-1,-1,-1
536,863,1622914567481,-1,-1,-1
537,855,1622914568485,-1,-1,-1
538,799,1622914569479,-1,-1,-1
539,807,1622914569479,-1,-1,-1
540,759,1622914570486,-1,-1,-1
541,831,1622914571479,-1,-1,-1
