,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,887,1627070173649,-1,-1,-1
1,935,1627070174550,-1,-1,-1
2,903,1627070175564,-1,-1,-1
3,879,1627070176540,-1,-1,-1
4,919,1627070177551,-1,-1,-1
5,855,1627070178528,-1,-1,-1
6,959,1627070179543,-1,-1,-1
7,967,1627070179543,-1,-1,-1
8,1055,1627070185541,-1,-1,-1
9,863,1627070186552,-1,-1,-1
10,943,1627070187526,-1,-1,-1
11,855,1627070188538,-1,-1,-1
12,983,1627070189591,-1,-1,-1
13,919,1627070190525,-1,-1,-1
14,983,1627070191541,-1,-1,-1
15,991,1627070197540,-1,-1,-1
16,791,1627070198552,-1,-1,-1
17,1015,1627070199527,-1,-1,-1
18,951,1627070200541,-1,-1,-1
19,943,1627070201552,-1,-1,-1
20,919,1627070202530,-1,-1,-1
21,911,1627070202531,-1,-1,-1
22,887,1627070203539,-1,-1,-1
23,903,1627070204554,-1,-1,-1
24,919,1627070205529,-1,-1,-1
25,903,1627070206536,-1,-1,-1
26,871,1627070207556,-1,-1,-1
27,943,1627070208527,-1,-1,-1
28,847,1627070209541,-1,-1,-1
29,887,1627070210552,-1,-1,-1
30,903,1627070211527,-1,-1,-1
31,855,1627070211528,-1,-1,-1
32,967,1627070212539,-1,-1,-1
33,871,1627070213550,-1,-1,-1
34,1015,1627070214531,-1,-1,-1
35,991,1627070215539,-1,-1,-1
36,679,1627070221542,-1,-1,-1
37,1135,1627070223526,-1,-1,-1
38,903,1627070223526,-1,-1,-1
39,895,1627070224540,-1,-1,-1
40,895,1627070227539,-1,-1,-1
41,943,1627070230541,-1,-1,-1
42,903,1627070231551,-1,-1,-1
43,951,1627070236540,-1,-1,-1
44,975,1627070246556,-1,-1,-1
45,919,1627070247528,-1,-1,-1
46,983,1627070250529,-1,-1,-1
47,919,1627070251541,-1,-1,-1
48,1055,1627070252553,-1,-1,-1
49,895,1627070256529,-1,-1,-1
50,935,1627070257541,-1,-1,-1
51,983,1627070258630,-1,-1,-1
52,871,1627070260545,-1,-1,-1
53,911,1627070261555,-1,-1,-1
54,911,1627070262528,-1,-1,-1
55,751,1627070263616,-1,-1,-1
56,1063,1627070264637,-1,-1,-1
57,903,1627070265527,-1,-1,-1
58,975,1627070266543,-1,-1,-1
59,911,1627070267554,-1,-1,-1
60,919,1627070268604,-1,-1,-1
61,975,1627070269543,-1,-1,-1
62,879,1627070275541,-1,-1,-1
63,663,1627070278617,-1,-1,-1
64,735,1627070278618,-1,-1,-1
65,895,1627070279628,-1,-1,-1
66,855,1627070281544,-1,-1,-1
67,855,1627070282556,-1,-1,-1
68,607,1627070283605,-1,-1,-1
69,879,1627070285552,-1,-1,-1
70,895,1627070286524,-1,-1,-1
71,807,1627070287544,-1,-1,-1
72,959,1627070289564,-1,-1,-1
73,815,1627070289564,-1,-1,-1
74,1079,1627070291552,-1,-1,-1
75,663,1627070291552,-1,-1,-1
76,919,1627070293538,-1,-1,-1
77,895,1627070294549,-1,-1,-1
78,775,1627070295524,-1,-1,-1
79,1007,1627070296539,-1,-1,-1
80,855,1627070297552,-1,-1,-1
81,959,1627070300562,-1,-1,-1
82,895,1627070301529,-1,-1,-1
83,855,1627070302543,-1,-1,-1
84,879,1627070303555,-1,-1,-1
85,903,1627070304527,-1,-1,-1
86,855,1627070305579,-1,-1,-1
87,927,1627070306552,-1,-1,-1
88,839,1627070306552,-1,-1,-1
89,903,1627070307529,-1,-1,-1
90,927,1627070308540,-1,-1,-1
91,871,1627070309555,-1,-1,-1
