,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,583,1627323132464,-1,-1,-1
1,543,1627323132465,-1,-1,-1
2,543,1627323132465,-1,-1,-1
3,487,1627323133465,-1,-1,-1
4,559,1627323136471,-1,-1,-1
5,479,1627323137460,-1,-1,-1
6,615,1627323138450,-1,-1,-1
7,519,1627323139462,-1,-1,-1
8,583,1627323139462,-1,-1,-1
9,559,1627323141480,-1,-1,-1
10,455,1627323142506,-1,-1,-1
11,503,1627323142506,-1,-1,-1
12,551,1627323143480,-1,-1,-1
13,551,1627323143480,-1,-1,-1
14,519,1627323144469,-1,-1,-1
15,511,1627323144470,-1,-1,-1
16,543,1627323145461,-1,-1,-1
17,615,1627323145461,-1,-1,-1
18,511,1627323146460,-1,-1,-1
19,479,1627323146460,-1,-1,-1
20,583,1627323147472,-1,-1,-1
21,519,1627323147473,-1,-1,-1
22,519,1627323148477,-1,-1,-1
23,591,1627323149454,-1,-1,-1
24,543,1627323149454,-1,-1,-1
25,559,1627323150453,-1,-1,-1
26,503,1627323150454,-1,-1,-1
27,607,1627323151453,-1,-1,-1
28,527,1627323151453,-1,-1,-1
29,519,1627323152481,-1,-1,-1
30,591,1627323152481,-1,-1,-1
31,479,1627323153486,-1,-1,-1
32,535,1627323156490,-1,-1,-1
33,535,1627323156491,-1,-1,-1
34,543,1627323157469,-1,-1,-1
35,423,1627323157469,-1,-1,-1
36,607,1627323158523,-1,-1,-1
37,663,1627323158523,-1,-1,-1
38,543,1627323159489,-1,-1,-1
39,551,1627323161452,-1,-1,-1
40,567,1627323162478,-1,-1,-1
41,543,1627323163476,-1,-1,-1
42,527,1627323163476,-1,-1,-1
43,567,1627323164461,-1,-1,-1
44,623,1627323164461,-1,-1,-1
45,543,1627323165471,-1,-1,-1
46,527,1627323166468,-1,-1,-1
47,479,1627323166468,-1,-1,-1
48,655,1627323167472,-1,-1,-1
49,511,1627323167472,-1,-1,-1
50,479,1627323170448,-1,-1,-1
51,559,1627323172440,-1,-1,-1
52,567,1627323172440,-1,-1,-1
53,551,1627323173468,-1,-1,-1
54,591,1627323173468,-1,-1,-1
55,575,1627323174433,-1,-1,-1
56,607,1627323174433,-1,-1,-1
57,567,1627323175496,-1,-1,-1
58,615,1627323176460,-1,-1,-1
59,615,1627323176460,-1,-1,-1
60,599,1627323178456,-1,-1,-1
61,623,1627323179453,-1,-1,-1
62,559,1627323179453,-1,-1,-1
63,591,1627323180450,-1,-1,-1
64,567,1627323180450,-1,-1,-1
65,591,1627323181447,-1,-1,-1
66,567,1627323182447,-1,-1,-1
67,551,1627323184436,-1,-1,-1
68,591,1627323185460,-1,-1,-1
69,575,1627323186462,-1,-1,-1
70,543,1627323186462,-1,-1,-1
71,551,1627323187459,-1,-1,-1
72,607,1627323187459,-1,-1,-1
73,591,1627323188459,-1,-1,-1
74,551,1627323188459,-1,-1,-1
75,567,1627323189450,-1,-1,-1
76,607,1627323190505,-1,-1,-1
77,591,1627323190505,-1,-1,-1
78,551,1627323191502,-1,-1,-1
79,599,1627323191502,-1,-1,-1
80,591,1627323192473,-1,-1,-1
81,567,1627323192473,-1,-1,-1
82,591,1627323193469,-1,-1,-1
83,607,1627323194442,-1,-1,-1
84,607,1627323194442,-1,-1,-1
85,591,1627323195438,-1,-1,-1
86,559,1627323197462,-1,-1,-1
87,575,1627323198456,-1,-1,-1
88,559,1627323198456,-1,-1,-1
89,575,1627323199479,-1,-1,-1
90,575,1627323199479,-1,-1,-1
91,623,1627323200452,-1,-1,-1
92,599,1627323201448,-1,-1,-1
93,615,1627323201448,-1,-1,-1
94,623,1627323202451,-1,-1,-1
95,583,1627323202451,-1,-1,-1
96,631,1627323203448,-1,-1,-1
