,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,770,1623241593562,-1,-1,-1
1,655,1623241594575,-1,-1,-1
2,770,1623241595560,-1,-1,-1
3,701,1623241595560,-1,-1,-1
4,701,1623241596611,-1,-1,-1
5,708,1623241597612,-1,-1,-1
6,693,1623241597612,-1,-1,-1
7,686,1623241598611,-1,-1,-1
8,708,1623241599614,-1,-1,-1
9,693,1623241600610,-1,-1,-1
10,701,1623241600610,-1,-1,-1
11,724,1623241601622,-1,-1,-1
12,732,1623241602724,-1,-1,-1
13,739,1623241603612,-1,-1,-1
14,732,1623241603612,-1,-1,-1
15,739,1623241604661,-1,-1,-1
16,747,1623241605610,-1,-1,-1
17,732,1623241606610,-1,-1,-1
18,747,1623241606610,-1,-1,-1
19,747,1623241607615,-1,-1,-1
20,670,1623241622612,-1,-1,-1
21,708,1623241622612,-1,-1,-1
22,670,1623241622612,-1,-1,-1
23,724,1623241622612,-1,-1,-1
24,724,1623241623612,-1,-1,-1
25,701,1623241624614,-1,-1,-1
26,716,1623241624614,-1,-1,-1
27,708,1623241625612,-1,-1,-1
28,693,1623241626618,-1,-1,-1
29,701,1623241626618,-1,-1,-1
30,693,1623241627614,-1,-1,-1
31,701,1623241628613,-1,-1,-1
32,686,1623241629610,-1,-1,-1
33,739,1623241629610,-1,-1,-1
34,747,1623241630618,-1,-1,-1
35,770,1623241631617,-1,-1,-1
36,792,1623241632616,-1,-1,-1
37,716,1623241633611,-1,-1,-1
38,846,1623241633611,-1,-1,-1
39,670,1623241640611,-1,-1,-1
40,701,1623241640611,-1,-1,-1
41,732,1623241640611,-1,-1,-1
42,724,1623241640611,-1,-1,-1
43,701,1623241641619,-1,-1,-1
44,686,1623241642611,-1,-1,-1
45,670,1623241642611,-1,-1,-1
46,686,1623241643611,-1,-1,-1
47,701,1623241644660,-1,-1,-1
48,708,1623241645674,-1,-1,-1
49,708,1623241645674,-1,-1,-1
50,732,1623241646665,-1,-1,-1
51,739,1623241647675,-1,-1,-1
52,716,1623241648661,-1,-1,-1
53,716,1623241648661,-1,-1,-1
54,732,1623241649661,-1,-1,-1
55,739,1623241650662,-1,-1,-1
56,739,1623241651665,-1,-1,-1
57,747,1623241651665,-1,-1,-1
58,739,1623241652668,-1,-1,-1
59,747,1623241653666,-1,-1,-1
60,747,1623241654667,-1,-1,-1
61,747,1623241654667,-1,-1,-1
62,754,1623241655666,-1,-1,-1
63,770,1623241656711,-1,-1,-1
64,777,1623241657666,-1,-1,-1
65,739,1623241658676,-1,-1,-1
66,739,1623241658676,-1,-1,-1
67,747,1623241659676,-1,-1,-1
68,724,1623241660669,-1,-1,-1
69,708,1623241661668,-1,-1,-1
70,708,1623241661668,-1,-1,-1
71,716,1623241662669,-1,-1,-1
72,724,1623241663674,-1,-1,-1
73,739,1623241664674,-1,-1,-1
74,762,1623241664675,-1,-1,-1
75,762,1623241665718,-1,-1,-1
76,739,1623241666668,-1,-1,-1
77,747,1623241667661,-1,-1,-1
78,732,1623241667661,-1,-1,-1
79,747,1623241668675,-1,-1,-1
80,739,1623241669674,-1,-1,-1
81,716,1623241670661,-1,-1,-1
82,708,1623241670661,-1,-1,-1
83,724,1623241671661,-1,-1,-1
84,708,1623241672676,-1,-1,-1
85,708,1623241673661,-1,-1,-1
86,732,1623241673661,-1,-1,-1
87,739,1623241674665,-1,-1,-1
88,732,1623241675664,-1,-1,-1
89,739,1623241676661,-1,-1,-1
90,686,1623241688663,-1,-1,-1
91,739,1623241688663,-1,-1,-1
92,739,1623241688663,-1,-1,-1
93,693,1623241688663,-1,-1,-1
94,708,1623241689675,-1,-1,-1
95,693,1623241689675,-1,-1,-1
96,708,1623241690727,-1,-1,-1
97,716,1623241691712,-1,-1,-1
98,716,1623241691713,-1,-1,-1
99,732,1623241692718,-1,-1,-1
100,739,1623241693726,-1,-1,-1
101,732,1623241694718,-1,-1,-1
102,739,1623241694718,-1,-1,-1
103,732,1623241695712,-1,-1,-1
104,732,1623241696713,-1,-1,-1
105,716,1623241697729,-1,-1,-1
106,708,1623241697730,-1,-1,-1
107,732,1623241698727,-1,-1,-1
108,724,1623241699714,-1,-1,-1
109,732,1623241700716,-1,-1,-1
110,739,1623241700716,-1,-1,-1
111,732,1623241701715,-1,-1,-1
112,724,1623241702719,-1,-1,-1
113,739,1623241703721,-1,-1,-1
114,724,1623241703721,-1,-1,-1
115,724,1623241704726,-1,-1,-1
116,708,1623241705727,-1,-1,-1
117,716,1623241706718,-1,-1,-1
118,708,1623241706718,-1,-1,-1
119,724,1623241707718,-1,-1,-1
120,724,1623241708716,-1,-1,-1
121,716,1623241709723,-1,-1,-1
122,708,1623241709723,-1,-1,-1
123,716,1623241710726,-1,-1,-1
124,716,1623241711777,-1,-1,-1
125,708,1623241711777,-1,-1,-1
126,708,1623241712713,-1,-1,-1
127,708,1623241713725,-1,-1,-1
128,708,1623241714721,-1,-1,-1
129,701,1623241714721,-1,-1,-1
130,708,1623241715725,-1,-1,-1
131,708,1623241716712,-1,-1,-1
132,823,1623241717726,-1,-1,-1
133,632,1623241717727,-1,-1,-1
134,754,1623241725761,-1,-1,-1
135,846,1623241725761,-1,-1,-1
136,808,1623241725761,-1,-1,-1
137,754,1623241725761,-1,-1,-1
138,708,1623241754775,-1,-1,-1
139,708,1623241754776,-1,-1,-1
140,732,1623241754776,-1,-1,-1
141,648,1623241754776,-1,-1,-1
142,670,1623241754777,-1,-1,-1
143,648,1623241755776,-1,-1,-1
144,625,1623241756776,-1,-1,-1
145,617,1623241756776,-1,-1,-1
146,617,1623241757771,-1,-1,-1
147,632,1623241758775,-1,-1,-1
148,648,1623241758775,-1,-1,-1
149,670,1623241759778,-1,-1,-1
150,708,1623241760776,-1,-1,-1
151,739,1623241760776,-1,-1,-1
152,762,1623241761776,-1,-1,-1
153,770,1623241762825,-1,-1,-1
154,754,1623241763775,-1,-1,-1
155,739,1623241764775,-1,-1,-1
156,724,1623241764775,-1,-1,-1
157,716,1623241765774,-1,-1,-1
158,701,1623241766773,-1,-1,-1
159,686,1623241766773,-1,-1,-1
160,686,1623241767772,-1,-1,-1
161,708,1623241768774,-1,-1,-1
162,747,1623241769772,-1,-1,-1
163,785,1623241769773,-1,-1,-1
164,846,1623241770774,-1,-1,-1
165,861,1623241771769,-1,-1,-1
166,861,1623241772775,-1,-1,-1
167,663,1623241906874,-1,-1,-1
168,556,1623241906874,-1,-1,-1
169,640,1623241906874,-1,-1,-1
170,632,1623241906874,-1,-1,-1
171,640,1623241906874,-1,-1,-1
172,632,1623241907876,-1,-1,-1
173,648,1623241908862,-1,-1,-1
174,655,1623241908862,-1,-1,-1
175,648,1623241909912,-1,-1,-1
176,663,1623241910913,-1,-1,-1
177,663,1623241910913,-1,-1,-1
178,670,1623241911911,-1,-1,-1
179,655,1623241912915,-1,-1,-1
180,670,1623241912915,-1,-1,-1
181,670,1623241913962,-1,-1,-1
182,686,1623241914911,-1,-1,-1
183,701,1623241914911,-1,-1,-1
184,732,1623241915924,-1,-1,-1
185,762,1623241916923,-1,-1,-1
