,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,455,1626443365392,-1,-1,-1
1,767,1626443365392,-1,-1,-1
2,479,1626443365874,-1,-1,-1
3,479,1626443365874,-1,-1,-1
4,783,1626443367867,-1,-1,-1
5,599,1626443371858,-1,-1,-1
6,575,1626443371858,-1,-1,-1
7,559,1626443372892,-1,-1,-1
8,599,1626443373887,-1,-1,-1
9,647,1626443373888,-1,-1,-1
10,495,1626443379900,-1,-1,-1
11,599,1626443379900,-1,-1,-1
12,527,1626443381867,-1,-1,-1
13,655,1626443381867,-1,-1,-1
14,599,1626443384884,-1,-1,-1
15,607,1626443384884,-1,-1,-1
16,623,1626443385882,-1,-1,-1
17,591,1626443385882,-1,-1,-1
18,671,1626443386898,-1,-1,-1
19,607,1626443387873,-1,-1,-1
20,575,1626443387873,-1,-1,-1
21,615,1626443394861,-1,-1,-1
22,655,1626443418878,-1,-1,-1
23,6359,1626443425860,-1,-1,-1
24,615,1626443427170,-1,-1,-1
25,7903,1626443456035,-1,-1,-1
26,503,1626443456035,-1,-1,-1
27,1247,1626443457880,-1,-1,-1
28,711,1626443482902,-1,-1,-1
29,383,1626443482902,-1,-1,-1
30,527,1626443484872,-1,-1,-1
31,471,1626443485924,-1,-1,-1
32,559,1626443485924,-1,-1,-1
33,511,1626443486865,-1,-1,-1
34,439,1626443486865,-1,-1,-1
35,575,1626443489860,-1,-1,-1
36,575,1626443491852,-1,-1,-1
37,551,1626443492847,-1,-1,-1
38,431,1626443492847,-1,-1,-1
39,367,1626443494875,-1,-1,-1
40,567,1626443495865,-1,-1,-1
41,535,1626443496890,-1,-1,-1
42,511,1626443498867,-1,-1,-1
43,527,1626443501848,-1,-1,-1
44,591,1626443504873,-1,-1,-1
45,527,1626443504873,-1,-1,-1
46,623,1626443505866,-1,-1,-1
47,591,1626443506865,-1,-1,-1
48,543,1626443506865,-1,-1,-1
49,583,1626443507862,-1,-1,-1
50,607,1626443507862,-1,-1,-1
51,583,1626443508861,-1,-1,-1
52,559,1626443509891,-1,-1,-1
53,583,1626443509891,-1,-1,-1
54,615,1626443510856,-1,-1,-1
55,567,1626443510856,-1,-1,-1
56,559,1626443511848,-1,-1,-1
57,591,1626443511848,-1,-1,-1
58,631,1626443512873,-1,-1,-1
59,583,1626443513871,-1,-1,-1
60,583,1626443513871,-1,-1,-1
61,599,1626443514921,-1,-1,-1
62,623,1626443514921,-1,-1,-1
63,543,1626443515935,-1,-1,-1
64,639,1626443516888,-1,-1,-1
65,591,1626443516888,-1,-1,-1
66,567,1626443517860,-1,-1,-1
67,487,1626443517860,-1,-1,-1
68,623,1626443518889,-1,-1,-1
69,551,1626443518889,-1,-1,-1
70,631,1626443519858,-1,-1,-1
71,575,1626443520858,-1,-1,-1
72,607,1626443520858,-1,-1,-1
73,639,1626443521854,-1,-1,-1
74,639,1626443522850,-1,-1,-1
75,639,1626443522850,-1,-1,-1
76,655,1626443523855,-1,-1,-1
77,655,1626443524850,-1,-1,-1
78,623,1626443524850,-1,-1,-1
79,615,1626443525874,-1,-1,-1
80,631,1626443525874,-1,-1,-1
81,631,1626443526866,-1,-1,-1
82,599,1626443527867,-1,-1,-1
83,599,1626443527867,-1,-1,-1
84,607,1626443528870,-1,-1,-1
85,599,1626443528870,-1,-1,-1
86,591,1626443529857,-1,-1,-1
87,583,1626443530886,-1,-1,-1
88,599,1626443530886,-1,-1,-1
89,607,1626443531883,-1,-1,-1
90,599,1626443531883,-1,-1,-1
91,607,1626443532880,-1,-1,-1
92,623,1626443533905,-1,-1,-1
93,599,1626443533905,-1,-1,-1
94,599,1626443534848,-1,-1,-1
95,615,1626443536893,-1,-1,-1
96,607,1626443536893,-1,-1,-1
