,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,287,1621931203241,-1,-1,-1
1,543,1621931205254,-1,-1,-1
2,359,1621931207262,-1,-1,-1
3,319,1621931210264,-1,-1,-1
4,375,1621931212242,-1,-1,-1
5,391,1621931215243,-1,-1,-1
6,479,1621931220252,-1,-1,-1
7,303,1621931225263,-1,-1,-1
8,319,1621931225263,-1,-1,-1
9,311,1621931228293,-1,-1,-1
10,303,1621931235256,-1,-1,-1
11,279,1621931235256,-1,-1,-1
12,607,1621931249264,-1,-1,-1
13,431,1621931255235,-1,-1,-1
14,599,1621931260243,-1,-1,-1
15,447,1621931261233,-1,-1,-1
16,359,1621931261233,-1,-1,-1
17,639,1621931268255,-1,-1,-1
18,551,1621931270237,-1,-1,-1
19,663,1621931271253,-1,-1,-1
20,639,1621931272245,-1,-1,-1
21,679,1621931274271,-1,-1,-1
22,647,1621931274271,-1,-1,-1
23,615,1621931276242,-1,-1,-1
24,607,1621931278246,-1,-1,-1
25,623,1621931279273,-1,-1,-1
26,647,1621931279273,-1,-1,-1
27,719,1621931280271,-1,-1,-1
28,639,1621931281245,-1,-1,-1
29,671,1621931281245,-1,-1,-1
30,631,1621931282236,-1,-1,-1
31,519,1621931282236,-1,-1,-1
32,615,1621931284245,-1,-1,-1
33,655,1621931293262,-1,-1,-1
34,751,1621931294237,-1,-1,-1
35,495,1621931296263,-1,-1,-1
36,639,1621931296263,-1,-1,-1
37,743,1621931297237,-1,-1,-1
38,519,1621931298263,-1,-1,-1
39,687,1621931300237,-1,-1,-1
40,727,1621931300237,-1,-1,-1
41,479,1621931303237,-1,-1,-1
42,775,1621931304264,-1,-1,-1
43,703,1621931307261,-1,-1,-1
44,735,1621931309237,-1,-1,-1
45,687,1621931310265,-1,-1,-1
46,743,1621931310265,-1,-1,-1
47,615,1621931319258,-1,-1,-1
48,727,1621931329248,-1,-1,-1
49,775,1621931340259,-1,-1,-1
50,447,1621931340259,-1,-1,-1
51,631,1621931343260,-1,-1,-1
52,743,1621931344279,-1,-1,-1
53,639,1621931345269,-1,-1,-1
54,655,1621931346258,-1,-1,-1
55,623,1621931347251,-1,-1,-1
56,647,1621931347251,-1,-1,-1
57,687,1621931348239,-1,-1,-1
58,623,1621931349237,-1,-1,-1
59,559,1621931349237,-1,-1,-1
60,743,1621931350249,-1,-1,-1
61,599,1621931351240,-1,-1,-1
62,591,1621931351240,-1,-1,-1
63,607,1621931354240,-1,-1,-1
64,607,1621931356250,-1,-1,-1
65,719,1621931357240,-1,-1,-1
66,647,1621931358237,-1,-1,-1
67,727,1621931358237,-1,-1,-1
68,631,1621931359250,-1,-1,-1
69,631,1621931360240,-1,-1,-1
70,631,1621931360240,-1,-1,-1
71,647,1621931361230,-1,-1,-1
72,631,1621931361230,-1,-1,-1
73,623,1621931362260,-1,-1,-1
74,663,1621931363240,-1,-1,-1
75,647,1621931363240,-1,-1,-1
76,655,1621931364231,-1,-1,-1
77,655,1621931365260,-1,-1,-1
78,647,1621931365260,-1,-1,-1
79,671,1621931366257,-1,-1,-1
80,655,1621931367230,-1,-1,-1
81,711,1621931369240,-1,-1,-1
82,663,1621931370230,-1,-1,-1
83,671,1621931370230,-1,-1,-1
84,663,1621931371259,-1,-1,-1
85,719,1621931372241,-1,-1,-1
86,639,1621931372242,-1,-1,-1
87,623,1621931373231,-1,-1,-1
88,663,1621931374260,-1,-1,-1
89,679,1621931374260,-1,-1,-1
90,639,1621931375252,-1,-1,-1
91,671,1621931375252,-1,-1,-1
92,647,1621931376231,-1,-1,-1
93,663,1621931377281,-1,-1,-1
94,551,1621931377281,-1,-1,-1
95,791,1621931378250,-1,-1,-1
96,663,1621931379231,-1,-1,-1
97,639,1621931379231,-1,-1,-1
98,663,1621931380251,-1,-1,-1
99,647,1621931381250,-1,-1,-1
100,655,1621931381250,-1,-1,-1
101,663,1621931382248,-1,-1,-1
102,671,1621931383252,-1,-1,-1
103,663,1621931383252,-1,-1,-1
104,655,1621931384250,-1,-1,-1
105,639,1621931385231,-1,-1,-1
106,647,1621931385231,-1,-1,-1
107,655,1621931386251,-1,-1,-1
108,687,1621931387250,-1,-1,-1
109,663,1621931387250,-1,-1,-1
110,655,1621931388232,-1,-1,-1
111,647,1621931389251,-1,-1,-1
112,663,1621931389252,-1,-1,-1
113,647,1621931390240,-1,-1,-1
114,639,1621931391237,-1,-1,-1
115,623,1621931391238,-1,-1,-1
116,615,1621931392252,-1,-1,-1
117,631,1621931393242,-1,-1,-1
118,607,1621931393242,-1,-1,-1
119,631,1621931394233,-1,-1,-1
120,703,1621931396242,-1,-1,-1
121,695,1621931397264,-1,-1,-1
122,623,1621931398252,-1,-1,-1
123,663,1621931398252,-1,-1,-1
124,639,1621931399241,-1,-1,-1
125,647,1621931400236,-1,-1,-1
126,679,1621931400236,-1,-1,-1
127,607,1621931401252,-1,-1,-1
128,719,1621931402243,-1,-1,-1
129,671,1621931402243,-1,-1,-1
130,663,1621931403233,-1,-1,-1
131,679,1621931404252,-1,-1,-1
132,655,1621931404253,-1,-1,-1
133,663,1621931405251,-1,-1,-1
134,719,1621931406248,-1,-1,-1
135,679,1621931406248,-1,-1,-1
136,679,1621931407253,-1,-1,-1
137,671,1621931408251,-1,-1,-1
138,711,1621931408251,-1,-1,-1
139,639,1621931409233,-1,-1,-1
140,655,1621931410298,-1,-1,-1
141,687,1621931410298,-1,-1,-1
142,671,1621931412233,-1,-1,-1
143,655,1621931415249,-1,-1,-1
144,671,1621931415250,-1,-1,-1
145,687,1621931416253,-1,-1,-1
146,687,1621931417251,-1,-1,-1
147,663,1621931417251,-1,-1,-1
148,655,1621931418248,-1,-1,-1
149,679,1621931419224,-1,-1,-1
150,695,1621931419224,-1,-1,-1
151,671,1621931420244,-1,-1,-1
152,663,1621931421237,-1,-1,-1
153,671,1621931421237,-1,-1,-1
154,695,1621931422235,-1,-1,-1
155,655,1621931423244,-1,-1,-1
156,663,1621931423244,-1,-1,-1
157,663,1621931424235,-1,-1,-1
158,671,1621931425236,-1,-1,-1
159,687,1621931425236,-1,-1,-1
160,671,1621931426244,-1,-1,-1
161,679,1621931427262,-1,-1,-1
162,663,1621931427262,-1,-1,-1
163,639,1621931428259,-1,-1,-1
164,671,1621931429241,-1,-1,-1
165,623,1621931436249,-1,-1,-1
166,671,1621931436249,-1,-1,-1
167,631,1621931437225,-1,-1,-1
168,679,1621931440225,-1,-1,-1
169,687,1621931441249,-1,-1,-1
170,663,1621931442249,-1,-1,-1
171,679,1621931442249,-1,-1,-1
172,639,1621931443224,-1,-1,-1
173,655,1621931444251,-1,-1,-1
174,703,1621931444251,-1,-1,-1
175,663,1621931462249,-1,-1,-1
176,695,1621931467226,-1,-1,-1
