,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,775,1613924996158,-1,-1,-1
1,767,1613924997148,-1,-1,-1
2,711,1613925009149,-1,-1,-1
3,751,1613925010167,-1,-1,-1
4,711,1613925011156,-1,-1,-1
5,703,1613925011156,-1,-1,-1
6,687,1613925012148,-1,-1,-1
7,687,1613925013167,-1,-1,-1
8,727,1613925013168,-1,-1,-1
9,647,1613925014158,-1,-1,-1
10,895,1613925015148,-1,-1,-1
11,751,1613925016166,-1,-1,-1
12,743,1613925016166,-1,-1,-1
13,815,1613925025167,-1,-1,-1
14,919,1613925026158,-1,-1,-1
15,983,1613925043167,-1,-1,-1
16,743,1613925047159,-1,-1,-1
17,751,1613925048148,-1,-1,-1
18,927,1613925049166,-1,-1,-1
19,943,1613925052166,-1,-1,-1
20,767,1613925053157,-1,-1,-1
21,687,1613925056186,-1,-1,-1
22,703,1613925061166,-1,-1,-1
23,711,1613925062157,-1,-1,-1
24,671,1613925062157,-1,-1,-1
25,719,1613925063149,-1,-1,-1
26,759,1613925064167,-1,-1,-1
27,647,1613925064167,-1,-1,-1
28,599,1613925066148,-1,-1,-1
29,639,1613925070166,-1,-1,-1
30,711,1613925071157,-1,-1,-1
31,663,1613925072148,-1,-1,-1
32,559,1613925072149,-1,-1,-1
33,687,1613925079166,-1,-1,-1
34,631,1613925082166,-1,-1,-1
35,687,1613925089187,-1,-1,-1
36,719,1613925091167,-1,-1,-1
37,495,1613925092156,-1,-1,-1
38,711,1613925100166,-1,-1,-1
39,767,1613925114148,-1,-1,-1
40,743,1613925115166,-1,-1,-1
41,607,1613925119157,-1,-1,-1
42,703,1613925126150,-1,-1,-1
43,711,1613925127138,-1,-1,-1
44,735,1613925127138,-1,-1,-1
45,623,1613925128157,-1,-1,-1
46,751,1613925129148,-1,-1,-1
47,783,1613925129148,-1,-1,-1
48,671,1613925130139,-1,-1,-1
49,711,1613925134158,-1,-1,-1
50,711,1613925136136,-1,-1,-1
51,679,1613925137158,-1,-1,-1
52,719,1613925150150,-1,-1,-1
53,791,1613925150150,-1,-1,-1
54,759,1613925151138,-1,-1,-1
55,719,1613925152157,-1,-1,-1
56,479,1613925152157,-1,-1,-1
57,471,1613925154138,-1,-1,-1
58,703,1613925163138,-1,-1,-1
59,647,1613925164157,-1,-1,-1
60,799,1613925171150,-1,-1,-1
61,687,1613925172166,-1,-1,-1
62,775,1613925172166,-1,-1,-1
63,535,1613925173158,-1,-1,-1
64,671,1613925181139,-1,-1,-1
65,711,1613925188154,-1,-1,-1
66,791,1613925189146,-1,-1,-1
67,719,1613925190137,-1,-1,-1
68,607,1613925190137,-1,-1,-1
69,823,1613925191157,-1,-1,-1
70,711,1613925192150,-1,-1,-1
71,679,1613925193136,-1,-1,-1
72,695,1613925193136,-1,-1,-1
73,855,1613925198150,-1,-1,-1
74,687,1613925198150,-1,-1,-1
75,799,1613925199138,-1,-1,-1
76,751,1613925200157,-1,-1,-1
77,783,1613925201152,-1,-1,-1
78,703,1613925201152,-1,-1,-1
79,727,1613925202137,-1,-1,-1
80,767,1613925203156,-1,-1,-1
81,727,1613925204147,-1,-1,-1
82,767,1613925204147,-1,-1,-1
83,535,1613925205167,-1,-1,-1
84,863,1613925206157,-1,-1,-1
85,767,1613925209157,-1,-1,-1
86,727,1613925210149,-1,-1,-1
87,679,1613925211138,-1,-1,-1
88,743,1613925211138,-1,-1,-1
89,759,1613925212157,-1,-1,-1
90,615,1613925213150,-1,-1,-1
91,791,1613925214138,-1,-1,-1
92,655,1613925214138,-1,-1,-1
93,751,1613925215158,-1,-1,-1
94,703,1613925216150,-1,-1,-1
95,711,1613925218158,-1,-1,-1
96,743,1613925223138,-1,-1,-1
97,535,1613925224157,-1,-1,-1
98,631,1613925230158,-1,-1,-1
99,823,1613925233159,-1,-1,-1
100,751,1613925234149,-1,-1,-1
101,767,1613925235138,-1,-1,-1
102,727,1613925236157,-1,-1,-1
103,695,1613925238170,-1,-1,-1
104,903,1613925246148,-1,-1,-1
105,759,1613925248159,-1,-1,-1
106,703,1613925249150,-1,-1,-1
107,639,1613925258150,-1,-1,-1
108,823,1613925259138,-1,-1,-1
109,599,1613925259138,-1,-1,-1
110,727,1613925260157,-1,-1,-1
111,751,1613925261150,-1,-1,-1
112,687,1613925261150,-1,-1,-1
113,703,1613925262138,-1,-1,-1
114,703,1613925263156,-1,-1,-1
115,727,1613925267146,-1,-1,-1
116,791,1613925268136,-1,-1,-1
117,743,1613925269128,-1,-1,-1
118,783,1613925269128,-1,-1,-1
119,743,1613925270150,-1,-1,-1
120,687,1613925271167,-1,-1,-1
121,655,1613925272156,-1,-1,-1
122,951,1613925272156,-1,-1,-1
123,671,1613925273146,-1,-1,-1
124,639,1613925274138,-1,-1,-1
125,815,1613925281158,-1,-1,-1
126,831,1613925282149,-1,-1,-1
127,711,1613925287158,-1,-1,-1
128,775,1613925288148,-1,-1,-1
129,743,1613925289138,-1,-1,-1
130,719,1613925289138,-1,-1,-1
131,935,1613925290128,-1,-1,-1
132,743,1613925299128,-1,-1,-1
133,663,1613925300147,-1,-1,-1
134,767,1613925301136,-1,-1,-1
135,727,1613925301136,-1,-1,-1
136,743,1613925302128,-1,-1,-1
137,711,1613925303148,-1,-1,-1
138,719,1613925308128,-1,-1,-1
139,583,1613925308128,-1,-1,-1
140,895,1613925309149,-1,-1,-1
141,743,1613925310137,-1,-1,-1
142,711,1613925311156,-1,-1,-1
143,759,1613925312149,-1,-1,-1
144,759,1613925312149,-1,-1,-1
145,535,1613925313138,-1,-1,-1
146,743,1613925317128,-1,-1,-1
147,671,1613925317128,-1,-1,-1
148,695,1613925318149,-1,-1,-1
149,599,1613925319138,-1,-1,-1
150,815,1613925330147,-1,-1,-1
151,687,1613925333148,-1,-1,-1
152,703,1613925334138,-1,-1,-1
153,951,1613925339147,-1,-1,-1
154,767,1613925339147,-1,-1,-1
155,759,1613925340138,-1,-1,-1
156,743,1613925341127,-1,-1,-1
157,735,1613925342148,-1,-1,-1
158,751,1613925342148,-1,-1,-1
159,719,1613925343136,-1,-1,-1
160,751,1613925344126,-1,-1,-1
161,703,1613925344126,-1,-1,-1
162,719,1613925345149,-1,-1,-1
163,735,1613925346138,-1,-1,-1
164,663,1613925347127,-1,-1,-1
165,815,1613925347127,-1,-1,-1
166,711,1613925350127,-1,-1,-1
167,727,1613925350127,-1,-1,-1
168,719,1613925351149,-1,-1,-1
169,743,1613925352136,-1,-1,-1
170,743,1613925352136,-1,-1,-1
171,783,1613925353126,-1,-1,-1
172,759,1613925354150,-1,-1,-1
173,719,1613925355138,-1,-1,-1
174,719,1613925355138,-1,-1,-1
175,719,1613925356129,-1,-1,-1
176,647,1613925357148,-1,-1,-1
177,783,1613925358137,-1,-1,-1
178,735,1613925358137,-1,-1,-1
179,735,1613925359129,-1,-1,-1
180,767,1613925360151,-1,-1,-1
181,847,1613925361137,-1,-1,-1
182,719,1613925361137,-1,-1,-1
183,623,1613925362128,-1,-1,-1
184,767,1613925365158,-1,-1,-1
185,743,1613925365158,-1,-1,-1
186,599,1613925367138,-1,-1,-1
187,535,1613925374130,-1,-1,-1
188,487,1613925377128,-1,-1,-1
189,527,1613925378148,-1,-1,-1
190,711,1613925379138,-1,-1,-1
191,751,1613925379138,-1,-1,-1
192,727,1613925382138,-1,-1,-1
193,735,1613925382138,-1,-1,-1
194,847,1613925389130,-1,-1,-1
195,647,1613925391138,-1,-1,-1
196,767,1613925392128,-1,-1,-1
197,551,1613925392128,-1,-1,-1
198,455,1613925393149,-1,-1,-1
199,855,1613925400138,-1,-1,-1
200,599,1613925400138,-1,-1,-1
201,559,1613925401128,-1,-1,-1
202,879,1613925404157,-1,-1,-1
203,487,1613925404157,-1,-1,-1
204,871,1613925405148,-1,-1,-1
205,935,1613925406138,-1,-1,-1
206,823,1613925407125,-1,-1,-1
207,783,1613925409139,-1,-1,-1
208,767,1613925410129,-1,-1,-1
209,863,1613925410129,-1,-1,-1
210,839,1613925411150,-1,-1,-1
211,503,1613925412139,-1,-1,-1
212,863,1613925417150,-1,-1,-1
213,783,1613925418138,-1,-1,-1
214,799,1613925418138,-1,-1,-1
215,791,1613925421138,-1,-1,-1
216,775,1613925422126,-1,-1,-1
217,735,1613925422126,-1,-1,-1
218,527,1613925423149,-1,-1,-1
219,775,1613925425127,-1,-1,-1
220,839,1613925426149,-1,-1,-1
221,799,1613925426149,-1,-1,-1
222,847,1613925427138,-1,-1,-1
223,751,1613925428128,-1,-1,-1
224,783,1613925431127,-1,-1,-1
225,871,1613925432148,-1,-1,-1
226,807,1613925433138,-1,-1,-1
227,799,1613925434125,-1,-1,-1
228,823,1613925434125,-1,-1,-1
229,743,1613925437158,-1,-1,-1
230,823,1613925438150,-1,-1,-1
231,831,1613925441149,-1,-1,-1
232,775,1613925443127,-1,-1,-1
233,807,1613925444149,-1,-1,-1
234,783,1613925445137,-1,-1,-1
235,695,1613925445138,-1,-1,-1
236,767,1613925448138,-1,-1,-1
237,719,1613925448138,-1,-1,-1
238,719,1613925449127,-1,-1,-1
239,847,1613925450149,-1,-1,-1
240,703,1613925451138,-1,-1,-1
241,839,1613925452127,-1,-1,-1
242,751,1613925452127,-1,-1,-1
243,791,1613925454138,-1,-1,-1
244,751,1613925455127,-1,-1,-1
245,543,1613925461127,-1,-1,-1
246,855,1613925464127,-1,-1,-1
247,591,1613925466137,-1,-1,-1
248,815,1613925470128,-1,-1,-1
249,487,1613925471149,-1,-1,-1
250,743,1613925472137,-1,-1,-1
251,815,1613925473128,-1,-1,-1
252,639,1613925480147,-1,-1,-1
253,935,1613925483147,-1,-1,-1
254,631,1613925484138,-1,-1,-1
255,703,1613925485128,-1,-1,-1
256,719,1613925485128,-1,-1,-1
257,615,1613925486148,-1,-1,-1
258,839,1613925487138,-1,-1,-1
259,663,1613925487138,-1,-1,-1
260,695,1613925488128,-1,-1,-1
261,631,1613925491128,-1,-1,-1
262,871,1613925492150,-1,-1,-1
263,703,1613925496138,-1,-1,-1
264,543,1613925510119,-1,-1,-1
