,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,431,1625116417937,-1,-1,-1
1,551,1625116417937,-1,-1,-1
2,439,1625116419949,-1,-1,-1
3,663,1625116421990,-1,-1,-1
4,575,1625116423937,-1,-1,-1
5,631,1625116424960,-1,-1,-1
6,639,1625116424960,-1,-1,-1
7,639,1625116425949,-1,-1,-1
8,639,1625116425949,-1,-1,-1
9,623,1625116426936,-1,-1,-1
10,599,1625116427960,-1,-1,-1
11,615,1625116427960,-1,-1,-1
12,607,1625116428949,-1,-1,-1
13,583,1625116431948,-1,-1,-1
14,559,1625116432938,-1,-1,-1
15,607,1625116433961,-1,-1,-1
16,583,1625116433961,-1,-1,-1
17,583,1625116434948,-1,-1,-1
18,623,1625116434948,-1,-1,-1
19,567,1625116435939,-1,-1,-1
20,663,1625116436962,-1,-1,-1
21,631,1625116436962,-1,-1,-1
22,599,1625116437950,-1,-1,-1
23,591,1625116437950,-1,-1,-1
24,583,1625116438969,-1,-1,-1
25,487,1625116438969,-1,-1,-1
26,607,1625116441939,-1,-1,-1
27,583,1625116442959,-1,-1,-1
28,383,1625116444939,-1,-1,-1
29,575,1625116445962,-1,-1,-1
30,383,1625116448961,-1,-1,-1
31,583,1625116449948,-1,-1,-1
32,607,1625116450938,-1,-1,-1
33,591,1625116453938,-1,-1,-1
34,607,1625116454960,-1,-1,-1
35,599,1625116454960,-1,-1,-1
36,591,1625116455948,-1,-1,-1
37,599,1625116456938,-1,-1,-1
38,575,1625116456938,-1,-1,-1
39,583,1625116457960,-1,-1,-1
40,607,1625116457960,-1,-1,-1
41,607,1625116458949,-1,-1,-1
42,607,1625116459938,-1,-1,-1
43,591,1625116459938,-1,-1,-1
44,615,1625116460959,-1,-1,-1
45,647,1625116460959,-1,-1,-1
46,591,1625116461950,-1,-1,-1
47,463,1625116461950,-1,-1,-1
48,743,1625116462938,-1,-1,-1
49,607,1625116463958,-1,-1,-1
50,575,1625116463958,-1,-1,-1
51,559,1625116464950,-1,-1,-1
52,695,1625116465938,-1,-1,-1
53,543,1625116465938,-1,-1,-1
54,751,1625116468968,-1,-1,-1
55,687,1625116468968,-1,-1,-1
56,623,1625116469959,-1,-1,-1
57,623,1625116470952,-1,-1,-1
58,615,1625116470952,-1,-1,-1
59,639,1625116471969,-1,-1,-1
60,631,1625116472960,-1,-1,-1
61,383,1625116472960,-1,-1,-1
62,615,1625116479951,-1,-1,-1
63,599,1625116479951,-1,-1,-1
