,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,783,1626101657192,-1,-1,-1
1,759,1626101658196,-1,-1,-1
2,775,1626101659192,-1,-1,-1
3,783,1626101659192,-1,-1,-1
4,767,1626101660193,-1,-1,-1
5,759,1626101661193,-1,-1,-1
6,775,1626101662195,-1,-1,-1
7,759,1626101662195,-1,-1,-1
8,751,1626101663193,-1,-1,-1
9,767,1626101664193,-1,-1,-1
10,791,1626101665193,-1,-1,-1
11,791,1626101665193,-1,-1,-1
12,559,1626101666193,-1,-1,-1
13,847,1626101667193,-1,-1,-1
14,807,1626101668194,-1,-1,-1
15,767,1626101668194,-1,-1,-1
16,791,1626101669196,-1,-1,-1
17,799,1626101670218,-1,-1,-1
18,815,1626101671193,-1,-1,-1
19,831,1626101672193,-1,-1,-1
20,863,1626101673193,-1,-1,-1
21,863,1626101673193,-1,-1,-1
22,855,1626101674195,-1,-1,-1
23,863,1626101675193,-1,-1,-1
24,831,1626101676193,-1,-1,-1
25,839,1626101677194,-1,-1,-1
26,831,1626101678193,-1,-1,-1
27,767,1626101680193,-1,-1,-1
28,775,1626101681194,-1,-1,-1
29,775,1626101681194,-1,-1,-1
30,807,1626101682194,-1,-1,-1
31,855,1626101683198,-1,-1,-1
32,815,1626101684195,-1,-1,-1
33,831,1626101685195,-1,-1,-1
34,863,1626101686218,-1,-1,-1
35,823,1626101686218,-1,-1,-1
36,815,1626101687193,-1,-1,-1
37,831,1626101688195,-1,-1,-1
38,791,1626101689194,-1,-1,-1
39,815,1626101690193,-1,-1,-1
40,815,1626101690193,-1,-1,-1
41,799,1626101691194,-1,-1,-1
42,791,1626101692195,-1,-1,-1
43,807,1626101693194,-1,-1,-1
44,799,1626101694194,-1,-1,-1
45,799,1626101694194,-1,-1,-1
46,799,1626101695194,-1,-1,-1
47,823,1626101696193,-1,-1,-1
48,759,1626101697194,-1,-1,-1
49,775,1626101698194,-1,-1,-1
50,791,1626101698194,-1,-1,-1
51,767,1626101699194,-1,-1,-1
52,775,1626101700194,-1,-1,-1
53,759,1626101701194,-1,-1,-1
54,743,1626101701194,-1,-1,-1
55,751,1626101702195,-1,-1,-1
56,759,1626101703194,-1,-1,-1
57,767,1626101704195,-1,-1,-1
58,743,1626101704195,-1,-1,-1
59,759,1626101705194,-1,-1,-1
60,727,1626101706194,-1,-1,-1
61,743,1626101707195,-1,-1,-1
62,711,1626101707195,-1,-1,-1
63,791,1626101708195,-1,-1,-1
64,743,1626101709194,-1,-1,-1
65,783,1626101710194,-1,-1,-1
66,783,1626101711196,-1,-1,-1
67,759,1626101711196,-1,-1,-1
68,775,1626101712208,-1,-1,-1
69,791,1626101713195,-1,-1,-1
70,767,1626101714195,-1,-1,-1
71,759,1626101714195,-1,-1,-1
72,775,1626101715195,-1,-1,-1
73,799,1626101716195,-1,-1,-1
74,791,1626101717195,-1,-1,-1
75,815,1626101718196,-1,-1,-1
76,831,1626101718196,-1,-1,-1
77,799,1626101719221,-1,-1,-1
78,815,1626101720195,-1,-1,-1
79,815,1626101721194,-1,-1,-1
80,783,1626101722195,-1,-1,-1
81,823,1626101722195,-1,-1,-1
82,807,1626101723196,-1,-1,-1
83,807,1626101724203,-1,-1,-1
84,751,1626101726195,-1,-1,-1
85,791,1626101727195,-1,-1,-1
86,727,1626101728196,-1,-1,-1
87,799,1626101728196,-1,-1,-1
88,815,1626101729195,-1,-1,-1
89,823,1626101730195,-1,-1,-1
90,839,1626101731196,-1,-1,-1
91,855,1626101732196,-1,-1,-1
92,863,1626101733199,-1,-1,-1
93,823,1626101733199,-1,-1,-1
94,799,1626101734195,-1,-1,-1
95,831,1626101735222,-1,-1,-1
96,775,1626101736196,-1,-1,-1
97,743,1626101737196,-1,-1,-1
98,759,1626101737196,-1,-1,-1
99,759,1626101738196,-1,-1,-1
100,791,1626101740172,-1,-1,-1
101,807,1626101741172,-1,-1,-1
102,767,1626101742173,-1,-1,-1
103,791,1626101743172,-1,-1,-1
104,831,1626101744174,-1,-1,-1
105,831,1626101744174,-1,-1,-1
106,823,1626101745172,-1,-1,-1
107,855,1626101746183,-1,-1,-1
