,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,743,1613358273907,-1,-1,-1
1,751,1613358274928,-1,-1,-1
2,727,1613358276910,-1,-1,-1
3,727,1613358277928,-1,-1,-1
4,655,1613358278919,-1,-1,-1
5,935,1613358280929,-1,-1,-1
6,815,1613358281918,-1,-1,-1
7,831,1613358284918,-1,-1,-1
8,799,1613358285909,-1,-1,-1
9,919,1613358300940,-1,-1,-1
10,463,1613358300940,-1,-1,-1
11,607,1613358304928,-1,-1,-1
12,511,1613358307927,-1,-1,-1
13,783,1613358314920,-1,-1,-1
14,807,1613358315908,-1,-1,-1
15,583,1613358319928,-1,-1,-1
16,495,1613358323918,-1,-1,-1
17,599,1613358324908,-1,-1,-1
18,463,1613358327908,-1,-1,-1
19,719,1613358329918,-1,-1,-1
20,767,1613358331928,-1,-1,-1
21,559,1613358332948,-1,-1,-1
22,767,1613358335917,-1,-1,-1
23,831,1613358336908,-1,-1,-1
24,559,1613358337929,-1,-1,-1
25,703,1613358338918,-1,-1,-1
26,559,1613358340928,-1,-1,-1
27,719,1613358341917,-1,-1,-1
28,687,1613358342908,-1,-1,-1
29,871,1613358345908,-1,-1,-1
30,759,1613358346928,-1,-1,-1
31,903,1613358362919,-1,-1,-1
32,623,1613358367928,-1,-1,-1
33,831,1613358368918,-1,-1,-1
34,727,1613358376928,-1,-1,-1
35,799,1613358377919,-1,-1,-1
36,407,1613358377919,-1,-1,-1
37,807,1613358384908,-1,-1,-1
38,911,1613358390908,-1,-1,-1
39,519,1613358403901,-1,-1,-1
40,719,1613358408909,-1,-1,-1
41,607,1613358409898,-1,-1,-1
42,863,1613358418901,-1,-1,-1
43,751,1613358427914,-1,-1,-1
44,647,1613358434943,-1,-1,-1
45,703,1613358435934,-1,-1,-1
46,647,1613358435934,-1,-1,-1
47,775,1613358436925,-1,-1,-1
48,711,1613358446951,-1,-1,-1
49,935,1613358456943,-1,-1,-1
50,519,1613358462944,-1,-1,-1
51,743,1613358463934,-1,-1,-1
52,703,1613358466935,-1,-1,-1
53,807,1613358468945,-1,-1,-1
54,775,1613358469935,-1,-1,-1
55,575,1613358470955,-1,-1,-1
56,735,1613358470955,-1,-1,-1
57,831,1613358471945,-1,-1,-1
58,631,1613358472935,-1,-1,-1
59,735,1613358472935,-1,-1,-1
60,839,1613358473956,-1,-1,-1
61,687,1613358476957,-1,-1,-1
62,919,1613358477946,-1,-1,-1
63,711,1613358477946,-1,-1,-1
64,831,1613358479986,-1,-1,-1
65,807,1613358485956,-1,-1,-1
66,543,1613358487936,-1,-1,-1
67,679,1613358488956,-1,-1,-1
68,687,1613358489946,-1,-1,-1
69,759,1613358489946,-1,-1,-1
70,807,1613358497986,-1,-1,-1
71,767,1613358497987,-1,-1,-1
72,847,1613358498977,-1,-1,-1
73,879,1613358499936,-1,-1,-1
74,887,1613358508937,-1,-1,-1
75,1047,1613358510947,-1,-1,-1
76,639,1613358510947,-1,-1,-1
77,719,1613358511937,-1,-1,-1
78,1047,1613358514937,-1,-1,-1
79,639,1613358514937,-1,-1,-1
80,895,1613358515956,-1,-1,-1
81,935,1613358517937,-1,-1,-1
82,727,1613358518957,-1,-1,-1
83,1007,1613358521957,-1,-1,-1
84,807,1613358521957,-1,-1,-1
85,591,1613358523937,-1,-1,-1
86,735,1613358526937,-1,-1,-1
87,679,1613358533957,-1,-1,-1
88,455,1613358539957,-1,-1,-1
89,615,1613358542957,-1,-1,-1
90,639,1613358542957,-1,-1,-1
91,623,1613358545957,-1,-1,-1
92,623,1613358545957,-1,-1,-1
93,479,1613358546947,-1,-1,-1
94,503,1613358549947,-1,-1,-1
95,639,1613358555946,-1,-1,-1
96,455,1613358559936,-1,-1,-1
97,591,1613358571937,-1,-1,-1
98,639,1613358573977,-1,-1,-1
99,543,1613358582948,-1,-1,-1
100,767,1613358588946,-1,-1,-1
101,735,1613358589936,-1,-1,-1
102,831,1613358593926,-1,-1,-1
103,591,1613358595936,-1,-1,-1
104,767,1613358596925,-1,-1,-1
105,823,1613358598936,-1,-1,-1
106,575,1613358600946,-1,-1,-1
107,807,1613358603945,-1,-1,-1
108,943,1613358606947,-1,-1,-1
109,839,1613358609946,-1,-1,-1
110,679,1613358610936,-1,-1,-1
111,663,1613358610937,-1,-1,-1
112,887,1613358612946,-1,-1,-1
113,767,1613358613936,-1,-1,-1
114,847,1613358614955,-1,-1,-1
115,903,1613358615971,-1,-1,-1
116,615,1613358615971,-1,-1,-1
117,1087,1613358617925,-1,-1,-1
118,775,1613358617925,-1,-1,-1
119,991,1613358618946,-1,-1,-1
120,959,1613358619937,-1,-1,-1
121,935,1613358624945,-1,-1,-1
122,1055,1613358625936,-1,-1,-1
123,991,1613358626926,-1,-1,-1
124,623,1613358627949,-1,-1,-1
125,759,1613358629926,-1,-1,-1
126,1079,1613358630947,-1,-1,-1
127,1231,1613358631937,-1,-1,-1
128,695,1613358632926,-1,-1,-1
129,879,1613358633946,-1,-1,-1
130,1071,1613358634936,-1,-1,-1
131,1055,1613358641984,-1,-1,-1
132,895,1613358644924,-1,-1,-1
133,1135,1613358653925,-1,-1,-1
134,887,1613358654945,-1,-1,-1
135,903,1613358655935,-1,-1,-1
136,719,1613358656925,-1,-1,-1
137,847,1613358657945,-1,-1,-1
138,903,1613358660945,-1,-1,-1
139,767,1613358661935,-1,-1,-1
140,807,1613358662927,-1,-1,-1
141,591,1613358663947,-1,-1,-1
142,567,1613358664937,-1,-1,-1
143,823,1613358665927,-1,-1,-1
144,567,1613358665927,-1,-1,-1
145,623,1613358668927,-1,-1,-1
146,1111,1613358669947,-1,-1,-1
147,935,1613358670937,-1,-1,-1
148,911,1613358671926,-1,-1,-1
149,871,1613358672947,-1,-1,-1
150,911,1613358672947,-1,-1,-1
151,943,1613358673937,-1,-1,-1
152,919,1613358674925,-1,-1,-1
153,839,1613358675918,-1,-1,-1
154,583,1613358676937,-1,-1,-1
155,735,1613358676937,-1,-1,-1
156,631,1613358680957,-1,-1,-1
157,879,1613358681945,-1,-1,-1
158,983,1613358682934,-1,-1,-1
159,759,1613358685937,-1,-1,-1
160,1015,1613358688937,-1,-1,-1
161,575,1613358689927,-1,-1,-1
162,895,1613358690946,-1,-1,-1
163,559,1613358692926,-1,-1,-1
164,1103,1613358693946,-1,-1,-1
165,711,1613358696947,-1,-1,-1
166,807,1613358697937,-1,-1,-1
167,943,1613358698926,-1,-1,-1
168,831,1613358699946,-1,-1,-1
169,599,1613358699946,-1,-1,-1
170,7911,1613358707926,-1,-1,-1
171,671,1613358710926,-1,-1,-1
172,815,1613358713957,-1,-1,-1
173,551,1613358713957,-1,-1,-1
174,519,1613358717947,-1,-1,-1
175,951,1613358718936,-1,-1,-1
176,535,1613358721937,-1,-1,-1
177,663,1613358721937,-1,-1,-1
178,711,1613358722924,-1,-1,-1
179,751,1613358725927,-1,-1,-1
180,895,1613358726946,-1,-1,-1
181,655,1613358726947,-1,-1,-1
182,879,1613358727938,-1,-1,-1
183,703,1613358730936,-1,-1,-1
184,943,1613358731928,-1,-1,-1
185,807,1613358731928,-1,-1,-1
186,863,1613358732914,-1,-1,-1
187,639,1613358734931,-1,-1,-1
188,839,1613358738916,-1,-1,-1
189,1000,1613358740925,-1,-1,-1
190,975,1613358741917,-1,-1,-1
191,951,1613358742941,-1,-1,-1
192,959,1613358743926,-1,-1,-1
193,951,1613358744914,-1,-1,-1
194,1095,1613358745967,-1,-1,-1
195,1063,1613358746956,-1,-1,-1
196,951,1613358747946,-1,-1,-1
197,1119,1613358748936,-1,-1,-1
198,943,1613358749926,-1,-1,-1
199,935,1613358750916,-1,-1,-1
200,1007,1613358755927,-1,-1,-1
201,1135,1613358758927,-1,-1,-1
202,951,1613358762917,-1,-1,-1
203,847,1613358767927,-1,-1,-1
204,943,1613358768916,-1,-1,-1
205,871,1613358769936,-1,-1,-1
206,1039,1613358780985,-1,-1,-1
207,823,1613358781958,-1,-1,-1
208,1023,1613358782925,-1,-1,-1
209,1279,1613358786915,-1,-1,-1
210,991,1613358792916,-1,-1,-1
211,975,1613358793935,-1,-1,-1
212,991,1613358799935,-1,-1,-1
213,967,1613358802938,-1,-1,-1
214,975,1613358803924,-1,-1,-1
215,943,1613358803924,-1,-1,-1
216,975,1613358804916,-1,-1,-1
217,975,1613358805936,-1,-1,-1
218,1007,1613358806925,-1,-1,-1
219,983,1613358807915,-1,-1,-1
220,839,1613358814935,-1,-1,-1
221,775,1613358816916,-1,-1,-1
222,1119,1613358818924,-1,-1,-1
223,775,1613358818924,-1,-1,-1
224,639,1613358822915,-1,-1,-1
225,943,1613358824926,-1,-1,-1
226,1000,1613358825915,-1,-1,-1
227,935,1613358826905,-1,-1,-1
228,903,1613358827925,-1,-1,-1
229,895,1613358828914,-1,-1,-1
230,759,1613358828914,-1,-1,-1
231,895,1613358832906,-1,-1,-1
232,855,1613358833924,-1,-1,-1
233,815,1613358834914,-1,-1,-1
234,791,1613358835905,-1,-1,-1
235,775,1613358835905,-1,-1,-1
236,807,1613358836926,-1,-1,-1
237,823,1613358837914,-1,-1,-1
238,743,1613358838905,-1,-1,-1
239,791,1613358840915,-1,-1,-1
240,719,1613358841904,-1,-1,-1
241,703,1613358842924,-1,-1,-1
242,743,1613358842924,-1,-1,-1
243,1111,1613358845957,-1,-1,-1
244,599,1613358845957,-1,-1,-1
245,783,1613358846914,-1,-1,-1
246,663,1613358849916,-1,-1,-1
247,615,1613358849916,-1,-1,-1
248,607,1613358857926,-1,-1,-1
249,743,1613358859935,-1,-1,-1
250,663,1613358863926,-1,-1,-1
251,503,1613358864914,-1,-1,-1
252,511,1613358864914,-1,-1,-1
253,527,1613358865934,-1,-1,-1
254,495,1613358865934,-1,-1,-1
255,855,1613358866924,-1,-1,-1
256,679,1613358868938,-1,-1,-1
257,655,1613358868938,-1,-1,-1
258,599,1613358869926,-1,-1,-1
259,783,1613358874935,-1,-1,-1
260,751,1613358880934,-1,-1,-1
261,871,1613358885917,-1,-1,-1
262,975,1613358895936,-1,-1,-1
263,1031,1613358896926,-1,-1,-1
264,599,1613358896927,-1,-1,-1
265,975,1613358897915,-1,-1,-1
266,959,1613358898935,-1,-1,-1
267,695,1613358899925,-1,-1,-1
268,903,1613358900915,-1,-1,-1
269,983,1613358911954,-1,-1,-1
270,615,1613358919904,-1,-1,-1
271,559,1613358919904,-1,-1,-1
272,583,1613358920925,-1,-1,-1
273,735,1613358922904,-1,-1,-1
274,583,1613358923927,-1,-1,-1
275,703,1613358923927,-1,-1,-1
276,991,1613358929925,-1,-1,-1
277,991,1613358934904,-1,-1,-1
278,615,1613358934904,-1,-1,-1
279,1023,1613358937904,-1,-1,-1
280,975,1613358940904,-1,-1,-1
281,863,1613358944957,-1,-1,-1
282,983,1613358955905,-1,-1,-1
283,927,1613358958906,-1,-1,-1
284,1071,1613358963915,-1,-1,-1
285,1063,1613358964904,-1,-1,-1
286,879,1613358972915,-1,-1,-1
287,1263,1613358973905,-1,-1,-1
288,919,1613358988907,-1,-1,-1
289,1000,1613358989924,-1,-1,-1
290,1031,1613359001925,-1,-1,-1
291,943,1613359006904,-1,-1,-1
292,1047,1613359007925,-1,-1,-1
293,1000,1613359012904,-1,-1,-1
294,831,1613359013926,-1,-1,-1
295,703,1613359014914,-1,-1,-1
296,919,1613359017914,-1,-1,-1
297,775,1613359018905,-1,-1,-1
298,1295,1613359026913,-1,-1,-1
299,719,1613359032914,-1,-1,-1
300,951,1613359034925,-1,-1,-1
301,1111,1613359035916,-1,-1,-1
302,831,1613359036904,-1,-1,-1
303,1039,1613359042904,-1,-1,-1
304,855,1613359043924,-1,-1,-1
305,1159,1613359044915,-1,-1,-1
306,1335,1613359046926,-1,-1,-1
307,823,1613359048905,-1,-1,-1
308,1103,1613359049925,-1,-1,-1
309,1127,1613359051906,-1,-1,-1
