,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,863,1618248876198,-1,-1,-1
1,675,1618248876198,-1,-1,-1
2,1344,1618248876198,-1,-1,-1
3,788,1618248876198,-1,-1,-1
4,865,1618248877186,-1,-1,-1
5,758,1618248877186,-1,-1,-1
6,896,1618248878176,-1,-1,-1
7,775,1618248879138,-1,-1,-1
8,720,1618248880131,-1,-1,-1
9,792,1618248881088,-1,-1,-1
10,717,1618248881088,-1,-1,-1
11,753,1618248882077,-1,-1,-1
12,392,1618248882077,-1,-1,-1
13,344,1618248883068,-1,-1,-1
14,730,1618248884029,-1,-1,-1
15,716,1618248884029,-1,-1,-1
16,745,1618248885017,-1,-1,-1
17,1270,1618248885977,-1,-1,-1
18,1074,1618248887958,-1,-1,-1
19,727,1618248887958,-1,-1,-1
20,1056,1618248888921,-1,-1,-1
21,529,1618248889911,-1,-1,-1
22,879,1618248890928,-1,-1,-1
23,711,1618248890928,-1,-1,-1
24,810,1618248891861,-1,-1,-1
25,466,1618248892850,-1,-1,-1
26,1002,1618248893841,-1,-1,-1
27,819,1618248894832,-1,-1,-1
28,725,1618248894832,-1,-1,-1
29,711,1618248895791,-1,-1,-1
30,727,1618248896752,-1,-1,-1
31,720,1618248897741,-1,-1,-1
32,619,1618248897741,-1,-1,-1
33,753,1618248898732,-1,-1,-1
34,640,1618248899691,-1,-1,-1
35,793,1618248899691,-1,-1,-1
36,989,1618248901673,-1,-1,-1
37,437,1618248901673,-1,-1,-1
38,972,1618248902631,-1,-1,-1
39,297,1618248902631,-1,-1,-1
40,804,1618248903622,-1,-1,-1
41,572,1618248904582,-1,-1,-1
42,487,1618248904582,-1,-1,-1
43,1001,1618248905571,-1,-1,-1
44,758,1618248906528,-1,-1,-1
45,1060,1618248907518,-1,-1,-1
46,904,1618248908511,-1,-1,-1
47,566,1618248909468,-1,-1,-1
48,851,1618248909468,-1,-1,-1
49,552,1618248910464,-1,-1,-1
50,853,1618248911451,-1,-1,-1
51,1115,1618248912412,-1,-1,-1
52,302,1618248912412,-1,-1,-1
53,659,1618248913402,-1,-1,-1
54,639,1618248914393,-1,-1,-1
55,660,1618248914393,-1,-1,-1
56,697,1618248915352,-1,-1,-1
57,683,1618248916341,-1,-1,-1
58,1009,1618248917302,-1,-1,-1
59,1123,1618248918292,-1,-1,-1
60,599,1618248919253,-1,-1,-1
61,708,1618248919253,-1,-1,-1
62,706,1618248920242,-1,-1,-1
63,1008,1618248921231,-1,-1,-1
64,946,1618248922187,-1,-1,-1
65,727,1618248923181,-1,-1,-1
66,863,1618248924171,-1,-1,-1
67,388,1618248924172,-1,-1,-1
68,506,1618248925129,-1,-1,-1
69,950,1618248926119,-1,-1,-1
70,799,1618248926119,-1,-1,-1
71,943,1618248927082,-1,-1,-1
72,1691,1618248929033,-1,-1,-1
73,1804,1618248931008,-1,-1,-1
74,599,1618248931973,-1,-1,-1
75,494,1618248931973,-1,-1,-1
76,411,1618248931973,-1,-1,-1
77,730,1618248932962,-1,-1,-1
78,724,1618248933952,-1,-1,-1
79,495,1618248933952,-1,-1,-1
80,506,1618248934912,-1,-1,-1
81,1185,1618248935902,-1,-1,-1
82,696,1618248936863,-1,-1,-1
83,706,1618248937853,-1,-1,-1
84,750,1618248937853,-1,-1,-1
85,780,1618248938842,-1,-1,-1
86,744,1618248939802,-1,-1,-1
87,769,1618248940793,-1,-1,-1
88,746,1618248940794,-1,-1,-1
89,541,1618248941753,-1,-1,-1
90,852,1618248942742,-1,-1,-1
91,688,1618248943733,-1,-1,-1
92,645,1618248943733,-1,-1,-1
93,557,1618248944691,-1,-1,-1
94,988,1618248945683,-1,-1,-1
95,513,1618248945683,-1,-1,-1
96,529,1618248946672,-1,-1,-1
97,651,1618248946672,-1,-1,-1
98,372,1618248947659,-1,-1,-1
99,685,1618248948624,-1,-1,-1
100,646,1618248948624,-1,-1,-1
101,773,1618248949583,-1,-1,-1
102,598,1618248950572,-1,-1,-1
103,1762,1618248952522,-1,-1,-1
104,737,1618248952522,-1,-1,-1
105,651,1618248953511,-1,-1,-1
106,330,1618248953511,-1,-1,-1
107,1205,1618248955463,-1,-1,-1
108,1229,1618248956453,-1,-1,-1
109,693,1618248957414,-1,-1,-1
110,681,1618248957414,-1,-1,-1
111,654,1618248958402,-1,-1,-1
112,675,1618248959393,-1,-1,-1
113,673,1618248959394,-1,-1,-1
114,639,1618248960353,-1,-1,-1
115,717,1618248961403,-1,-1,-1
116,682,1618248961403,-1,-1,-1
117,359,1618248962303,-1,-1,-1
118,691,1618248962303,-1,-1,-1
119,452,1618248963293,-1,-1,-1
120,613,1618248964283,-1,-1,-1
121,761,1618248964283,-1,-1,-1
122,778,1618248965244,-1,-1,-1
123,796,1618248966234,-1,-1,-1
124,804,1618248967253,-1,-1,-1
125,812,1618248968183,-1,-1,-1
126,705,1618248968183,-1,-1,-1
127,800,1618248969172,-1,-1,-1
128,696,1618248970133,-1,-1,-1
129,742,1618248971125,-1,-1,-1
130,683,1618248971125,-1,-1,-1
131,832,1618248973103,-1,-1,-1
132,2014,1618248974064,-1,-1,-1
133,697,1618248975115,-1,-1,-1
134,732,1618248976223,-1,-1,-1
135,1446,1618248977005,-1,-1,-1
136,561,1618248977963,-1,-1,-1
137,979,1618248978953,-1,-1,-1
138,426,1618248978953,-1,-1,-1
139,494,1618248979945,-1,-1,-1
140,1139,1618248980904,-1,-1,-1
141,1675,1618248982854,-1,-1,-1
142,1250,1618248983844,-1,-1,-1
143,661,1618248984830,-1,-1,-1
144,1002,1618248985793,-1,-1,-1
145,554,1618248985793,-1,-1,-1
146,646,1618248986813,-1,-1,-1
147,716,1618248987744,-1,-1,-1
148,677,1618248987744,-1,-1,-1
149,632,1618248988736,-1,-1,-1
150,716,1618248989814,-1,-1,-1
151,693,1618248989814,-1,-1,-1
152,696,1618248990684,-1,-1,-1
153,694,1618248991674,-1,-1,-1
154,701,1618248992635,-1,-1,-1
155,695,1618248992635,-1,-1,-1
156,667,1618248993623,-1,-1,-1
157,493,1618248993623,-1,-1,-1
158,359,1618248994584,-1,-1,-1
159,618,1618248994584,-1,-1,-1
160,632,1618248995574,-1,-1,-1
161,772,1618248996564,-1,-1,-1
162,592,1618248996564,-1,-1,-1
163,507,1618248997526,-1,-1,-1
164,745,1618248998514,-1,-1,-1
165,811,1618248999501,-1,-1,-1
166,856,1618248999501,-1,-1,-1
167,832,1618249000465,-1,-1,-1
168,458,1618249001455,-1,-1,-1
169,944,1618249002414,-1,-1,-1
170,1115,1618249003404,-1,-1,-1
171,685,1618249004391,-1,-1,-1
172,1189,1618249005412,-1,-1,-1
173,681,1618249005412,-1,-1,-1
174,848,1618249006347,-1,-1,-1
175,908,1618249007362,-1,-1,-1
176,541,1618249008295,-1,-1,-1
177,690,1618249008295,-1,-1,-1
178,522,1618249009284,-1,-1,-1
179,515,1618249010244,-1,-1,-1
180,532,1618249010244,-1,-1,-1
181,657,1618249011235,-1,-1,-1
182,454,1618249011235,-1,-1,-1
183,494,1618249012225,-1,-1,-1
184,610,1618249013181,-1,-1,-1
185,464,1618249013181,-1,-1,-1
186,513,1618249013181,-1,-1,-1
187,506,1618249014173,-1,-1,-1
188,602,1618249015134,-1,-1,-1
189,593,1618249015134,-1,-1,-1
190,1175,1618249016127,-1,-1,-1
191,1310,1618249018075,-1,-1,-1
192,672,1618249018075,-1,-1,-1
193,651,1618249019091,-1,-1,-1
194,651,1618249020054,-1,-1,-1
195,578,1618249021016,-1,-1,-1
196,761,1618249021016,-1,-1,-1
197,692,1618249022004,-1,-1,-1
198,741,1618249022962,-1,-1,-1
199,725,1618249022962,-1,-1,-1
200,667,1618249023953,-1,-1,-1
201,813,1618249024944,-1,-1,-1
202,1052,1618249025907,-1,-1,-1
203,780,1618249026895,-1,-1,-1
204,669,1618249026895,-1,-1,-1
205,353,1618249027885,-1,-1,-1
206,307,1618249027885,-1,-1,-1
207,715,1618249028845,-1,-1,-1
208,1128,1618249029836,-1,-1,-1
209,747,1618249030826,-1,-1,-1
210,750,1618249030826,-1,-1,-1
211,761,1618249031785,-1,-1,-1
212,881,1618249032775,-1,-1,-1
213,1001,1618249033735,-1,-1,-1
214,811,1618249034725,-1,-1,-1
215,617,1618249035717,-1,-1,-1
216,712,1618249035717,-1,-1,-1
217,706,1618249037665,-1,-1,-1
218,1619,1618249038622,-1,-1,-1
219,1075,1618249039614,-1,-1,-1
220,671,1618249040607,-1,-1,-1
221,566,1618249040607,-1,-1,-1
222,424,1618249041561,-1,-1,-1
223,530,1618249041561,-1,-1,-1
224,762,1618249042554,-1,-1,-1
225,1197,1618249043515,-1,-1,-1
226,1423,1618249045495,-1,-1,-1
227,741,1618249045495,-1,-1,-1
228,851,1618249046485,-1,-1,-1
229,550,1618249047446,-1,-1,-1
230,648,1618249047446,-1,-1,-1
231,733,1618249048405,-1,-1,-1
232,578,1618249049396,-1,-1,-1
233,686,1618249049396,-1,-1,-1
234,697,1618249050386,-1,-1,-1
235,761,1618249051346,-1,-1,-1
236,703,1618249052335,-1,-1,-1
237,756,1618249053296,-1,-1,-1
238,717,1618249053296,-1,-1,-1
239,751,1618249054288,-1,-1,-1
240,705,1618249055275,-1,-1,-1
241,698,1618249055276,-1,-1,-1
242,720,1618249056235,-1,-1,-1
243,696,1618249057225,-1,-1,-1
244,722,1618249058216,-1,-1,-1
245,691,1618249058216,-1,-1,-1
246,1121,1618249060165,-1,-1,-1
247,1810,1618249061124,-1,-1,-1
248,770,1618249062143,-1,-1,-1
249,696,1618249063106,-1,-1,-1
250,770,1618249064066,-1,-1,-1
251,711,1618249064066,-1,-1,-1
252,739,1618249065056,-1,-1,-1
253,691,1618249066017,-1,-1,-1
254,1200,1618249067007,-1,-1,-1
255,1083,1618249067997,-1,-1,-1
256,1331,1618249069946,-1,-1,-1
257,982,1618249070905,-1,-1,-1
258,1310,1618249071896,-1,-1,-1
259,785,1618249072886,-1,-1,-1
260,465,1618249072886,-1,-1,-1
261,808,1618249073846,-1,-1,-1
262,746,1618249074837,-1,-1,-1
263,754,1618249075826,-1,-1,-1
264,776,1618249075826,-1,-1,-1
265,790,1618249076786,-1,-1,-1
266,816,1618249077776,-1,-1,-1
267,781,1618249078733,-1,-1,-1
268,901,1618249079728,-1,-1,-1
269,1637,1618249080716,-1,-1,-1
270,566,1618249081707,-1,-1,-1
271,1632,1618249083657,-1,-1,-1
272,764,1618249084616,-1,-1,-1
273,934,1618249085607,-1,-1,-1
274,714,1618249085607,-1,-1,-1
275,769,1618249086595,-1,-1,-1
276,782,1618249087555,-1,-1,-1
277,806,1618249087555,-1,-1,-1
278,712,1618249088549,-1,-1,-1
279,514,1618249089507,-1,-1,-1
280,1051,1618249090496,-1,-1,-1
281,762,1618249091516,-1,-1,-1
282,804,1618249091516,-1,-1,-1
283,726,1618249092447,-1,-1,-1
284,775,1618249093438,-1,-1,-1
285,526,1618249093438,-1,-1,-1
286,343,1618249094427,-1,-1,-1
287,657,1618249095387,-1,-1,-1
288,889,1618249095387,-1,-1,-1
289,346,1618249096377,-1,-1,-1
290,627,1618249096377,-1,-1,-1
291,579,1618249097337,-1,-1,-1
292,1047,1618249098329,-1,-1,-1
293,1131,1618249099314,-1,-1,-1
294,817,1618249100277,-1,-1,-1
295,1357,1618249102227,-1,-1,-1
296,934,1618249103218,-1,-1,-1
297,1289,1618249104207,-1,-1,-1
298,641,1618249104207,-1,-1,-1
299,682,1618249105166,-1,-1,-1
300,1038,1618249106162,-1,-1,-1
301,829,1618249107150,-1,-1,-1
302,843,1618249108139,-1,-1,-1
303,1463,1618249110057,-1,-1,-1
304,1875,1618249111047,-1,-1,-1
305,784,1618249112037,-1,-1,-1
306,791,1618249112997,-1,-1,-1
307,1028,1618249113984,-1,-1,-1
308,928,1618249114977,-1,-1,-1
309,468,1618249114978,-1,-1,-1
310,807,1618249115937,-1,-1,-1
311,792,1618249116930,-1,-1,-1
312,598,1618249117888,-1,-1,-1
313,1534,1618249118874,-1,-1,-1
