,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,927,1628231868178,-1,-1,-1
1,863,1628231869190,-1,-1,-1
2,775,1628231869190,-1,-1,-1
3,751,1628231870181,-1,-1,-1
4,711,1628231871194,-1,-1,-1
5,711,1628231871194,-1,-1,-1
6,775,1628231872184,-1,-1,-1
7,839,1628231873196,-1,-1,-1
8,871,1628231874187,-1,-1,-1
9,903,1628231875177,-1,-1,-1
10,807,1628231877179,-1,-1,-1
11,759,1628231878191,-1,-1,-1
12,727,1628231879182,-1,-1,-1
13,687,1628231880172,-1,-1,-1
14,695,1628231880172,-1,-1,-1
15,719,1628231881184,-1,-1,-1
16,743,1628231882175,-1,-1,-1
17,895,1628231883188,-1,-1,-1
18,903,1628231884178,-1,-1,-1
19,927,1628231885212,-1,-1,-1
20,503,1628231885212,-1,-1,-1
21,559,1628231889173,-1,-1,-1
22,527,1628231890185,-1,-1,-1
23,799,1628231893179,-1,-1,-1
24,591,1628231893179,-1,-1,-1
25,1071,1628231894191,-1,-1,-1
26,799,1628231895181,-1,-1,-1
27,927,1628231896172,-1,-1,-1
28,863,1628231897184,-1,-1,-1
29,951,1628231898174,-1,-1,-1
30,935,1628231899187,-1,-1,-1
31,1039,1628231900177,-1,-1,-1
32,831,1628231903214,-1,-1,-1
33,807,1628231904182,-1,-1,-1
34,815,1628231905173,-1,-1,-1
35,823,1628231906185,-1,-1,-1
36,887,1628231906185,-1,-1,-1
37,791,1628231907175,-1,-1,-1
38,735,1628231908188,-1,-1,-1
39,711,1628231909178,-1,-1,-1
40,543,1628231909178,-1,-1,-1
41,791,1628231910190,-1,-1,-1
42,535,1628231911181,-1,-1,-1
43,927,1628231913183,-1,-1,-1
44,879,1628231916176,-1,-1,-1
45,791,1628231917188,-1,-1,-1
46,839,1628231917188,-1,-1,-1
47,735,1628231918179,-1,-1,-1
48,727,1628231920181,-1,-1,-1
49,671,1628231921172,-1,-1,-1
50,895,1628231923175,-1,-1,-1
51,919,1628231925177,-1,-1,-1
52,919,1628231926189,-1,-1,-1
53,839,1628231927179,-1,-1,-1
54,799,1628231928192,-1,-1,-1
55,759,1628231929182,-1,-1,-1
56,711,1628231929182,-1,-1,-1
57,599,1628231930172,-1,-1,-1
58,967,1628231935190,-1,-1,-1
59,967,1628231936180,-1,-1,-1
60,935,1628231937171,-1,-1,-1
61,879,1628231938183,-1,-1,-1
62,839,1628231939173,-1,-1,-1
63,815,1628231939173,-1,-1,-1
64,695,1628231940185,-1,-1,-1
65,695,1628231941176,-1,-1,-1
66,679,1628231942188,-1,-1,-1
67,687,1628231942188,-1,-1,-1
68,703,1628231943178,-1,-1,-1
69,775,1628231944190,-1,-1,-1
70,975,1628231945181,-1,-1,-1
71,927,1628231950176,-1,-1,-1
72,823,1628231950176,-1,-1,-1
73,687,1628231951213,-1,-1,-1
74,735,1628231952180,-1,-1,-1
75,775,1628231953193,-1,-1,-1
76,655,1628231953193,-1,-1,-1
77,711,1628231954182,-1,-1,-1
78,767,1628231955173,-1,-1,-1
79,767,1628231955173,-1,-1,-1
80,807,1628231959177,-1,-1,-1
81,863,1628231960167,-1,-1,-1
82,655,1628231962169,-1,-1,-1
83,647,1628231963183,-1,-1,-1
84,807,1628231964172,-1,-1,-1
85,711,1628231965184,-1,-1,-1
86,727,1628231967165,-1,-1,-1
87,1039,1628231974187,-1,-1,-1
88,919,1628231976165,-1,-1,-1
89,903,1628231978167,-1,-1,-1
90,911,1628231979179,-1,-1,-1
91,887,1628231980170,-1,-1,-1
92,655,1628231981182,-1,-1,-1
93,535,1628231981182,-1,-1,-1
94,759,1628231983162,-1,-1,-1
95,735,1628231984199,-1,-1,-1
96,839,1628231986178,-1,-1,-1
97,895,1628231987169,-1,-1,-1
98,839,1628231988180,-1,-1,-1
99,919,1628231989171,-1,-1,-1
100,935,1628231990183,-1,-1,-1
101,615,1628231991173,-1,-1,-1
102,823,1628231994167,-1,-1,-1
103,823,1628231995178,-1,-1,-1
104,863,1628231996168,-1,-1,-1
105,831,1628231999183,-1,-1,-1
106,831,1628232000174,-1,-1,-1
107,871,1628232001164,-1,-1,-1
108,839,1628232002176,-1,-1,-1
109,799,1628232003167,-1,-1,-1
110,767,1628232003167,-1,-1,-1
111,815,1628232008161,-1,-1,-1
112,839,1628232009174,-1,-1,-1
113,903,1628232010165,-1,-1,-1
114,1039,1628232011176,-1,-1,-1
115,639,1628232014170,-1,-1,-1
116,975,1628232015183,-1,-1,-1
117,679,1628232016174,-1,-1,-1
118,559,1628232017163,-1,-1,-1
119,703,1628232019166,-1,-1,-1
120,879,1628232020178,-1,-1,-1
121,751,1628232021168,-1,-1,-1
122,991,1628232022182,-1,-1,-1
123,959,1628232028167,-1,-1,-1
124,903,1628232029179,-1,-1,-1
125,1039,1628232030169,-1,-1,-1
126,911,1628232030169,-1,-1,-1
127,943,1628232031159,-1,-1,-1
128,775,1628232032172,-1,-1,-1
129,791,1628232033162,-1,-1,-1
130,759,1628232034197,-1,-1,-1
131,855,1628232036177,-1,-1,-1
132,791,1628232037167,-1,-1,-1
133,783,1628232038158,-1,-1,-1
134,759,1628232039171,-1,-1,-1
135,783,1628232039171,-1,-1,-1
136,775,1628232040160,-1,-1,-1
137,767,1628232041172,-1,-1,-1
138,759,1628232042163,-1,-1,-1
139,767,1628232042163,-1,-1,-1
140,751,1628232043176,-1,-1,-1
141,759,1628232044166,-1,-1,-1
142,751,1628232045178,-1,-1,-1
143,767,1628232045178,-1,-1,-1
144,719,1628232046169,-1,-1,-1
145,735,1628232047159,-1,-1,-1
146,735,1628232048171,-1,-1,-1
147,799,1628232048171,-1,-1,-1
148,943,1628232049161,-1,-1,-1
149,655,1628232050196,-1,-1,-1
150,735,1628232053166,-1,-1,-1
151,847,1628232056161,-1,-1,-1
152,967,1628232058162,-1,-1,-1
153,743,1628232059175,-1,-1,-1
154,815,1628232060164,-1,-1,-1
155,815,1628232061177,-1,-1,-1
156,783,1628232061177,-1,-1,-1
157,831,1628232062168,-1,-1,-1
158,767,1628232063159,-1,-1,-1
159,727,1628232064171,-1,-1,-1
160,727,1628232064171,-1,-1,-1
161,775,1628232065162,-1,-1,-1
162,767,1628232066173,-1,-1,-1
163,591,1628232067163,-1,-1,-1
164,735,1628232068176,-1,-1,-1
165,775,1628232069166,-1,-1,-1
166,807,1628232070179,-1,-1,-1
167,799,1628232071169,-1,-1,-1
168,799,1628232072158,-1,-1,-1
169,703,1628232072158,-1,-1,-1
170,767,1628232073172,-1,-1,-1
171,791,1628232074162,-1,-1,-1
172,815,1628232075174,-1,-1,-1
173,743,1628232075174,-1,-1,-1
174,775,1628232076163,-1,-1,-1
175,799,1628232077177,-1,-1,-1
176,791,1628232078167,-1,-1,-1
177,871,1628232082173,-1,-1,-1
178,839,1628232083163,-1,-1,-1
179,839,1628232084175,-1,-1,-1
180,631,1628232084175,-1,-1,-1
181,1047,1628232085165,-1,-1,-1
182,831,1628232086178,-1,-1,-1
183,767,1628232087168,-1,-1,-1
184,751,1628232088157,-1,-1,-1
185,767,1628232088157,-1,-1,-1
