,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,1426,1622020045009,-1,-1,-1
1,863,1622020046002,-1,-1,-1
2,351,1622020046002,-1,-1,-1
3,647,1622020046959,-1,-1,-1
4,863,1622020047949,-1,-1,-1
5,410,1622020076329,-1,-1,-1
6,1004,1622020076329,-1,-1,-1
7,590,1622020076329,-1,-1,-1
8,532,1622020076329,-1,-1,-1
9,309,1622020076329,-1,-1,-1
10,1134,1622020076329,-1,-1,-1
11,856,1622020076329,-1,-1,-1
12,934,1622020076329,-1,-1,-1
13,483,1622020076329,-1,-1,-1
14,904,1622020077320,-1,-1,-1
15,890,1622020077320,-1,-1,-1
16,1990,1622020077320,-1,-1,-1
17,775,1622020077320,-1,-1,-1
18,1339,1622020077320,-1,-1,-1
19,753,1622020077320,-1,-1,-1
20,802,1622020077320,-1,-1,-1
21,514,1622020077320,-1,-1,-1
22,1148,1622020077320,-1,-1,-1
23,500,1622024165190,-1,-1,-1
24,853,1622024166181,-1,-1,-1
25,827,1622024167115,-1,-1,-1
26,648,1622024167115,-1,-1,-1
27,450,1622024168106,-1,-1,-1
28,544,1622024168106,-1,-1,-1
29,537,1622024169066,-1,-1,-1
30,633,1622024169066,-1,-1,-1
31,1418,1622024171049,-1,-1,-1
32,641,1622024172007,-1,-1,-1
