,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,775,1629209781970,-1,-1,-1
1,879,1629209781970,-1,-1,-1
2,927,1629209782971,-1,-1,-1
3,959,1629209783970,-1,-1,-1
4,679,1629209787972,-1,-1,-1
5,759,1629209787972,-1,-1,-1
6,783,1629209788996,-1,-1,-1
7,791,1629209789971,-1,-1,-1
8,775,1629209790971,-1,-1,-1
9,759,1629209791971,-1,-1,-1
10,727,1629209793973,-1,-1,-1
11,679,1629209794972,-1,-1,-1
12,751,1629209800907,-1,-1,-1
13,663,1629209800907,-1,-1,-1
14,823,1629209802973,-1,-1,-1
15,1007,1629209803973,-1,-1,-1
16,759,1629209805973,-1,-1,-1
17,775,1629209805973,-1,-1,-1
18,759,1629209806975,-1,-1,-1
19,679,1629209807997,-1,-1,-1
20,975,1629209810895,-1,-1,-1
21,823,1629209818950,-1,-1,-1
22,831,1629209819950,-1,-1,-1
23,823,1629209820950,-1,-1,-1
24,799,1629209821950,-1,-1,-1
25,959,1629209822976,-1,-1,-1
26,567,1629209822976,-1,-1,-1
27,551,1629209823950,-1,-1,-1
28,559,1629209824951,-1,-1,-1
29,1007,1629209827957,-1,-1,-1
30,799,1629209832127,-1,-1,-1
31,775,1629209832951,-1,-1,-1
32,671,1629209842954,-1,-1,-1
33,431,1629209842954,-1,-1,-1
34,375,1629209843953,-1,-1,-1
35,607,1629209844953,-1,-1,-1
36,359,1629209846953,-1,-1,-1
37,423,1629209850954,-1,-1,-1
38,583,1629209855981,-1,-1,-1
39,759,1629209858970,-1,-1,-1
40,783,1629209858970,-1,-1,-1
41,807,1629209861956,-1,-1,-1
42,791,1629209864956,-1,-1,-1
43,847,1629209865957,-1,-1,-1
44,751,1629209866957,-1,-1,-1
45,799,1629209866957,-1,-1,-1
46,759,1629209870957,-1,-1,-1
47,719,1629209870957,-1,-1,-1
48,735,1629209871983,-1,-1,-1
49,687,1629209872958,-1,-1,-1
50,711,1629209873959,-1,-1,-1
51,943,1629209873959,-1,-1,-1
52,527,1629209874959,-1,-1,-1
53,815,1629209876958,-1,-1,-1
54,855,1629209877959,-1,-1,-1
55,655,1629209877959,-1,-1,-1
56,799,1629209880959,-1,-1,-1
57,863,1629209881959,-1,-1,-1
58,767,1629209881959,-1,-1,-1
59,615,1629209882959,-1,-1,-1
60,847,1629209883959,-1,-1,-1
61,759,1629209884960,-1,-1,-1
62,599,1629209884960,-1,-1,-1
63,703,1629209885960,-1,-1,-1
64,711,1629209886962,-1,-1,-1
65,703,1629209886962,-1,-1,-1
66,751,1629209887984,-1,-1,-1
67,847,1629209888960,-1,-1,-1
68,919,1629209891960,-1,-1,-1
69,871,1629209892960,-1,-1,-1
70,911,1629209893960,-1,-1,-1
71,855,1629209894961,-1,-1,-1
72,855,1629209894961,-1,-1,-1
73,767,1629209895961,-1,-1,-1
74,831,1629209896963,-1,-1,-1
75,807,1629209897964,-1,-1,-1
76,775,1629209898962,-1,-1,-1
77,735,1629209898963,-1,-1,-1
78,767,1629209899961,-1,-1,-1
79,847,1629209900965,-1,-1,-1
80,815,1629209901964,-1,-1,-1
81,767,1629209902961,-1,-1,-1
82,823,1629209902961,-1,-1,-1
83,799,1629209903961,-1,-1,-1
84,783,1629209904987,-1,-1,-1
85,807,1629209905964,-1,-1,-1
86,783,1629209906965,-1,-1,-1
87,783,1629209906965,-1,-1,-1
88,791,1629209907962,-1,-1,-1
89,711,1629209910964,-1,-1,-1
90,831,1629209911963,-1,-1,-1
91,775,1629209912964,-1,-1,-1
92,815,1629209913963,-1,-1,-1
93,847,1629209913963,-1,-1,-1
94,879,1629209914964,-1,-1,-1
95,823,1629209918963,-1,-1,-1
96,791,1629209918963,-1,-1,-1
97,783,1629209919964,-1,-1,-1
98,783,1629209920989,-1,-1,-1
99,759,1629209921968,-1,-1,-1
100,799,1629209921968,-1,-1,-1
101,783,1629209922965,-1,-1,-1
102,751,1629209923967,-1,-1,-1
103,807,1629209924964,-1,-1,-1
104,823,1629209925968,-1,-1,-1
105,727,1629209930969,-1,-1,-1
106,799,1629209931968,-1,-1,-1
107,703,1629209932967,-1,-1,-1
108,823,1629209932967,-1,-1,-1
109,775,1629209933967,-1,-1,-1
110,815,1629209934968,-1,-1,-1
111,807,1629209935968,-1,-1,-1
112,631,1629209935968,-1,-1,-1
113,743,1629209938967,-1,-1,-1
114,703,1629209939967,-1,-1,-1
115,527,1629209939967,-1,-1,-1
116,975,1629209940969,-1,-1,-1
117,751,1629209941968,-1,-1,-1
118,855,1629209942967,-1,-1,-1
119,727,1629209942967,-1,-1,-1
120,807,1629209943942,-1,-1,-1
121,823,1629209944941,-1,-1,-1
122,615,1629209945942,-1,-1,-1
123,975,1629209946943,-1,-1,-1
124,799,1629209946943,-1,-1,-1
125,775,1629209947942,-1,-1,-1
126,791,1629209948943,-1,-1,-1
127,711,1629209949943,-1,-1,-1
128,783,1629209950942,-1,-1,-1
129,791,1629209950942,-1,-1,-1
