,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,719,1628139133169,-1,-1,-1
1,679,1628139134157,-1,-1,-1
2,751,1628139135180,-1,-1,-1
3,703,1628139135180,-1,-1,-1
4,719,1628139136167,-1,-1,-1
5,743,1628139137157,-1,-1,-1
6,655,1628139140157,-1,-1,-1
7,711,1628139140158,-1,-1,-1
8,639,1628139143187,-1,-1,-1
9,671,1628139143188,-1,-1,-1
10,623,1628139144177,-1,-1,-1
11,591,1628139146158,-1,-1,-1
12,719,1628139149157,-1,-1,-1
13,735,1628139152187,-1,-1,-1
14,847,1628139152188,-1,-1,-1
15,743,1628139153178,-1,-1,-1
16,623,1628139154169,-1,-1,-1
17,815,1628139155157,-1,-1,-1
18,815,1628139155157,-1,-1,-1
19,695,1628139156178,-1,-1,-1
20,799,1628139157168,-1,-1,-1
21,807,1628139158157,-1,-1,-1
22,879,1628139159178,-1,-1,-1
23,743,1628139159178,-1,-1,-1
24,855,1628139162178,-1,-1,-1
25,783,1628139163167,-1,-1,-1
26,791,1628139164158,-1,-1,-1
27,855,1628139164158,-1,-1,-1
28,783,1628139165178,-1,-1,-1
29,775,1628139166167,-1,-1,-1
30,791,1628139167157,-1,-1,-1
31,767,1628139168179,-1,-1,-1
32,783,1628139168179,-1,-1,-1
33,831,1628139169168,-1,-1,-1
34,767,1628139170157,-1,-1,-1
35,799,1628139171178,-1,-1,-1
36,783,1628139171178,-1,-1,-1
37,751,1628139172167,-1,-1,-1
38,799,1628139173157,-1,-1,-1
39,719,1628139174177,-1,-1,-1
40,783,1628139175168,-1,-1,-1
41,807,1628139175168,-1,-1,-1
42,615,1628139176158,-1,-1,-1
43,911,1628139177177,-1,-1,-1
44,863,1628139178168,-1,-1,-1
45,807,1628139179157,-1,-1,-1
46,799,1628139179157,-1,-1,-1
47,743,1628139180177,-1,-1,-1
48,735,1628139181167,-1,-1,-1
49,711,1628139182158,-1,-1,-1
50,695,1628139182158,-1,-1,-1
51,735,1628139183208,-1,-1,-1
52,991,1628139184197,-1,-1,-1
53,831,1628139185189,-1,-1,-1
54,799,1628139189179,-1,-1,-1
55,775,1628139190168,-1,-1,-1
56,839,1628139191157,-1,-1,-1
57,791,1628139191157,-1,-1,-1
58,791,1628139192180,-1,-1,-1
59,871,1628139193167,-1,-1,-1
60,751,1628139195178,-1,-1,-1
61,863,1628139198177,-1,-1,-1
