	RR	Timestamp	écart		moyenne	min	max	mode	écart-type	durée	somme RR	max écart tmsp	écart-type tmsp	25e centile	50e centile	75e centile	RR/durée	durée (min)	état	deconnexion
0	505	1623388390872		11/06/2021 07:13	757,19	282,00	2685,00	593,00	314,16	2 809 561	2 810 680	7 830	564	574	627	850	100%	47		
1	506	1623388390872	0	11/06/2021 07:13																
2	490	1623388390872	0	11/06/2021 07:13																
3	510	1623388390872	0	11/06/2021 07:13			1098	1623388396818												
4	522	1623388390872	0	11/06/2021 07:13			320	1623388755974												
5	492	1623388390872	0	11/06/2021 07:13																
6	494	1623388390872	0	11/06/2021 07:13																
7	543	1623388390872	0	11/06/2021 07:13		299425	1623388396818	11/06/2021 07:13	1 tmp 1er bRT											
8	465	1623388390872	0	11/06/2021 07:13			1623388696243	11/06/2021 07:18	timestamp serveur 1er BRT											
9	515	1623388391863	991	11/06/2021 07:13		59731	1623388755974	11/06/2021 07:19	dernier tmp 1er BRT	359156										
10	1091	1623388392852	989	11/06/2021 07:13																
11	542	1623388393883	1031	11/06/2021 07:13																
12	870	1623388393883	0	11/06/2021 07:13																
13	1088	1623388394867	984	11/06/2021 07:13																
14	1098	1623388396818	1951	11/06/2021 07:13	1 tmp 1er bRT															
15	1384	1623388397809	991	11/06/2021 07:13																
16	653	1623388398769	960	11/06/2021 07:13																
17	1547	1623388399759	990	11/06/2021 07:13																
18	1173	1623388400720	961	11/06/2021 07:13																
19	1324	1623388402699	1979	11/06/2021 07:13																
20	646	1623388403658	959	11/06/2021 07:13																
21	498	1623388403658	0	11/06/2021 07:13																
22	955	1623388404649	991	11/06/2021 07:13																
23	1588	1623388406599	1950	11/06/2021 07:13																
24	952	1623388406599	0	11/06/2021 07:13																
25	686	1623388407589	990	11/06/2021 07:13																
26	498	1623388408549	960	11/06/2021 07:13																
27	541	1623388408549	0	11/06/2021 07:13																
28	1636	1623388416379	7830	11/06/2021 07:13																
29	342	1623388416379	0	11/06/2021 07:13																
30	801	1623388417367	988	11/06/2021 07:13																
31	533	1623388418358	991	11/06/2021 07:13																
32	540	1623388418358	0	11/06/2021 07:13																
33	559	1623388419317	959	11/06/2021 07:13																
34	545	1623388419317	0	11/06/2021 07:13																
35	512	1623388420307	990	11/06/2021 07:13																
36	572	1623388420307	0	11/06/2021 07:13																
37	537	1623388421267	960	11/06/2021 07:13																
38	506	1623388421267	0	11/06/2021 07:13																
39	564	1623388422257	990	11/06/2021 07:13																
40	1589	1623388424207	1950	11/06/2021 07:13																
41	1116	1623388425197	990	11/06/2021 07:13																
42	657	1623388426187	990	11/06/2021 07:13																
43	1505	1623388427147	960	11/06/2021 07:13																
44	986	1623388428167	1020	11/06/2021 07:13																
45	989	1623388429097	930	11/06/2021 07:13																
46	1202	1623388430089	992	11/06/2021 07:13																
47	1078	1623388431077	988	11/06/2021 07:13																
48	808	1623388433029	1952	11/06/2021 07:13																
49	1852	1623388433989	960	11/06/2021 07:13																
50	544	1623388434979	990	11/06/2021 07:13																
51	1055	1623388435969	990	11/06/2021 07:13																
52	552	1623388435969	0	11/06/2021 07:13																
53	531	1623388436929	960	11/06/2021 07:13																
54	473	1623388436929	0	11/06/2021 07:13																
55	558	1623388437919	990	11/06/2021 07:13																
56	772	1623388438881	962	11/06/2021 07:13																
57	710	1623388438881	0	11/06/2021 07:13																
58	676	1623388439869	988	11/06/2021 07:14																
59	1365	1623388440859	990	11/06/2021 07:14																
60	705	1623388441817	958	11/06/2021 07:14																
61	1034	1623388443769	1952	11/06/2021 07:14																
62	1970	1623388444758	989	11/06/2021 07:14																
63	870	1623388446708	1950	11/06/2021 07:14																
64	1972	1623388447701	993	11/06/2021 07:14																
65	668	1623388448688	987	11/06/2021 07:14																
66	481	1623388448689	1	11/06/2021 07:14																
67	616	1623388449649	960	11/06/2021 07:14																
68	576	1623388449649	0	11/06/2021 07:14																
69	497	1623388450638	989	11/06/2021 07:14																
70	632	1623388451598	960	11/06/2021 07:14																
71	590	1623388451598	0	11/06/2021 07:14																
72	1479	1623388453577	1979	11/06/2021 07:14																
73	1039	1623388454538	961	11/06/2021 07:14																
74	1137	1623388455528	990	11/06/2021 07:14																
75	1099	1623388456518	990	11/06/2021 07:14																
76	507	1623388457477	959	11/06/2021 07:14																
77	561	1623388457477	0	11/06/2021 07:14																
78	559	1623388458468	991	11/06/2021 07:14																
