,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,956,1624442760779,-1,-1,-1
1,715,1624442760779,-1,-1,-1
2,608,1624442760779,-1,-1,-1
3,639,1624442760780,-1,-1,-1
4,897,1624442760780,-1,-1,-1
5,566,1624442760780,-1,-1,-1
6,1257,1624442760780,-1,-1,-1
7,919,1624442760780,-1,-1,-1
8,1387,1624442760780,-1,-1,-1
9,1435,1624442761769,-1,-1,-1
10,891,1624442761769,-1,-1,-1
11,580,1624442761769,-1,-1,-1
12,956,1624442761769,-1,-1,-1
13,498,1624442761770,-1,-1,-1
14,398,1624442762729,-1,-1,-1
15,314,1624442762729,-1,-1,-1
16,1235,1624442763717,-1,-1,-1
17,523,1624442764707,-1,-1,-1
18,876,1624442765668,-1,-1,-1
19,590,1624442765668,-1,-1,-1
20,619,1624442766660,-1,-1,-1
21,1299,1624442767764,-1,-1,-1
22,480,1624442768757,-1,-1,-1
23,512,1624442768757,-1,-1,-1
24,421,1624442769749,-1,-1,-1
25,1200,1624442770710,-1,-1,-1
26,339,1624442770710,-1,-1,-1
27,486,1624442771699,-1,-1,-1
28,941,1624442772690,-1,-1,-1
29,924,1624442773650,-1,-1,-1
30,518,1624442773650,-1,-1,-1
31,505,1624442774639,-1,-1,-1
32,462,1624442774639,-1,-1,-1
33,508,1624442775601,-1,-1,-1
34,504,1624442775601,-1,-1,-1
35,475,1624442776589,-1,-1,-1
36,497,1624442776589,-1,-1,-1
37,493,1624442777579,-1,-1,-1
38,494,1624442777579,-1,-1,-1
39,502,1624442778538,-1,-1,-1
40,503,1624442778538,-1,-1,-1
41,481,1624442779529,-1,-1,-1
42,507,1624442779529,-1,-1,-1
43,504,1624442780516,-1,-1,-1
44,492,1624442780516,-1,-1,-1
45,500,1624442781476,-1,-1,-1
46,494,1624442781476,-1,-1,-1
47,507,1624442782468,-1,-1,-1
48,489,1624442782468,-1,-1,-1
49,497,1624442783457,-1,-1,-1
50,992,1624442784419,-1,-1,-1
51,531,1624442784419,-1,-1,-1
52,517,1624442785407,-1,-1,-1
53,482,1624442785407,-1,-1,-1
54,513,1624442786374,-1,-1,-1
55,530,1624442786374,-1,-1,-1
56,484,1624442787355,-1,-1,-1
57,507,1624442787355,-1,-1,-1
58,521,1624442788345,-1,-1,-1
59,490,1624442788345,-1,-1,-1
60,537,1624442789335,-1,-1,-1
61,462,1624442790296,-1,-1,-1
62,544,1624442790296,-1,-1,-1
63,460,1624442791287,-1,-1,-1
64,503,1624442791287,-1,-1,-1
65,493,1624442792256,-1,-1,-1
66,1016,1624442793236,-1,-1,-1
67,1282,1624442794224,-1,-1,-1
68,912,1624442795184,-1,-1,-1
69,319,1624442795184,-1,-1,-1
70,547,1624442796174,-1,-1,-1
71,492,1624442796174,-1,-1,-1
72,1019,1624442797134,-1,-1,-1
73,605,1624442798124,-1,-1,-1
74,800,1624442799115,-1,-1,-1
75,1004,1624442800075,-1,-1,-1
76,472,1624442800075,-1,-1,-1
77,475,1624442801064,-1,-1,-1
78,502,1624442801064,-1,-1,-1
79,587,1624442802026,-1,-1,-1
80,1357,1624442803018,-1,-1,-1
81,503,1624442804006,-1,-1,-1
82,272,1624442804007,-1,-1,-1
83,340,1624442804007,-1,-1,-1
84,838,1624442804964,-1,-1,-1
85,490,1624442805955,-1,-1,-1
86,558,1624442805956,-1,-1,-1
87,864,1624442806915,-1,-1,-1
