,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,647,1623070612421,-1,-1,-1
1,887,1623070612421,-1,-1,-1
2,711,1623070612421,-1,-1,-1
3,639,1623070612421,-1,-1,-1
4,751,1623070612421,-1,-1,-1
5,711,1623070612421,-1,-1,-1
6,687,1623070612421,-1,-1,-1
7,775,1623070612422,-1,-1,-1
8,743,1623070612422,-1,-1,-1
9,767,1623070612861,-1,-1,-1
10,783,1623070612861,-1,-1,-1
11,807,1623070612861,-1,-1,-1
12,791,1623070613860,-1,-1,-1
13,751,1623070614841,-1,-1,-1
14,719,1623070614841,-1,-1,-1
15,711,1623070617841,-1,-1,-1
16,687,1623070617841,-1,-1,-1
17,743,1623070627831,-1,-1,-1
18,759,1623070629841,-1,-1,-1
19,743,1623070630831,-1,-1,-1
20,735,1623070630832,-1,-1,-1
21,711,1623070631851,-1,-1,-1
22,703,1623070632841,-1,-1,-1
23,671,1623070633831,-1,-1,-1
24,671,1623070636860,-1,-1,-1
25,671,1623070637851,-1,-1,-1
26,679,1623070637852,-1,-1,-1
27,703,1623070638847,-1,-1,-1
28,695,1623070639831,-1,-1,-1
29,695,1623070640881,-1,-1,-1
30,703,1623070640881,-1,-1,-1
31,727,1623070641871,-1,-1,-1
32,719,1623070642860,-1,-1,-1
33,719,1623070642860,-1,-1,-1
34,759,1623070643850,-1,-1,-1
35,711,1623070644842,-1,-1,-1
36,767,1623070645830,-1,-1,-1
37,687,1623070645830,-1,-1,-1
38,647,1623070646851,-1,-1,-1
39,647,1623070647840,-1,-1,-1
40,655,1623070647841,-1,-1,-1
41,663,1623070648859,-1,-1,-1
42,695,1623070649848,-1,-1,-1
43,703,1623070649848,-1,-1,-1
44,695,1623070650839,-1,-1,-1
45,695,1623070651859,-1,-1,-1
46,735,1623070651859,-1,-1,-1
47,711,1623070652849,-1,-1,-1
48,671,1623070653840,-1,-1,-1
49,751,1623070654860,-1,-1,-1
50,655,1623070654860,-1,-1,-1
51,703,1623070655858,-1,-1,-1
52,679,1623070656848,-1,-1,-1
53,687,1623070656848,-1,-1,-1
54,727,1623070657837,-1,-1,-1
55,711,1623070658858,-1,-1,-1
56,767,1623070659840,-1,-1,-1
57,767,1623070659841,-1,-1,-1
58,823,1623070660839,-1,-1,-1
59,775,1623070661857,-1,-1,-1
60,807,1623070662876,-1,-1,-1
61,735,1623070662876,-1,-1,-1
62,783,1623070663831,-1,-1,-1
63,719,1623070664858,-1,-1,-1
64,727,1623070665847,-1,-1,-1
65,711,1623070665848,-1,-1,-1
66,743,1623070666838,-1,-1,-1
67,735,1623070667858,-1,-1,-1
68,719,1623070668848,-1,-1,-1
69,743,1623070668848,-1,-1,-1
70,759,1623070669838,-1,-1,-1
71,735,1623070670860,-1,-1,-1
72,711,1623070671847,-1,-1,-1
73,719,1623070671847,-1,-1,-1
74,727,1623070672839,-1,-1,-1
75,719,1623070673879,-1,-1,-1
76,703,1623070673879,-1,-1,-1
77,703,1623070674871,-1,-1,-1
78,703,1623070675861,-1,-1,-1
79,679,1623070676851,-1,-1,-1
80,671,1623070676851,-1,-1,-1
81,671,1623070677840,-1,-1,-1
82,703,1623070678831,-1,-1,-1
83,735,1623070678831,-1,-1,-1
84,759,1623070679851,-1,-1,-1
85,783,1623070680840,-1,-1,-1
86,807,1623070681829,-1,-1,-1
87,799,1623070681829,-1,-1,-1
88,783,1623070682850,-1,-1,-1
89,807,1623070683841,-1,-1,-1
90,823,1623070684830,-1,-1,-1
91,735,1623070685848,-1,-1,-1
92,807,1623070685848,-1,-1,-1
93,751,1623070686840,-1,-1,-1
94,799,1623070687830,-1,-1,-1
95,743,1623070688917,-1,-1,-1
96,799,1623070689847,-1,-1,-1
97,799,1623070689847,-1,-1,-1
98,775,1623070690837,-1,-1,-1
99,783,1623070691858,-1,-1,-1
100,735,1623070693830,-1,-1,-1
101,767,1623070694850,-1,-1,-1
102,919,1623070696832,-1,-1,-1
103,735,1623070700858,-1,-1,-1
104,791,1623070701846,-1,-1,-1
105,711,1623070702830,-1,-1,-1
106,703,1623070702830,-1,-1,-1
107,671,1623070703857,-1,-1,-1
108,759,1623070704846,-1,-1,-1
109,695,1623070704846,-1,-1,-1
110,687,1623070705836,-1,-1,-1
111,695,1623070706880,-1,-1,-1
112,695,1623070706880,-1,-1,-1
113,687,1623070707870,-1,-1,-1
114,663,1623070708866,-1,-1,-1
115,663,1623070708866,-1,-1,-1
116,639,1623070709856,-1,-1,-1
117,647,1623070710846,-1,-1,-1
118,575,1623070710846,-1,-1,-1
119,655,1623070712862,-1,-1,-1
120,623,1623070713845,-1,-1,-1
121,655,1623070714837,-1,-1,-1
122,655,1623070714838,-1,-1,-1
123,679,1623070715855,-1,-1,-1
124,687,1623070716847,-1,-1,-1
125,703,1623070716847,-1,-1,-1
126,703,1623070717835,-1,-1,-1
127,719,1623070718856,-1,-1,-1
128,663,1623070718856,-1,-1,-1
129,671,1623070719846,-1,-1,-1
130,703,1623070720836,-1,-1,-1
131,703,1623070720837,-1,-1,-1
132,719,1623070721857,-1,-1,-1
133,727,1623070722845,-1,-1,-1
134,711,1623070723836,-1,-1,-1
135,719,1623070723837,-1,-1,-1
136,735,1623070724851,-1,-1,-1
137,735,1623070725843,-1,-1,-1
138,735,1623070726831,-1,-1,-1
139,727,1623070726831,-1,-1,-1
140,767,1623070727850,-1,-1,-1
141,759,1623070728838,-1,-1,-1
142,695,1623070728838,-1,-1,-1
143,711,1623070729838,-1,-1,-1
144,703,1623070730859,-1,-1,-1
145,743,1623070731846,-1,-1,-1
146,759,1623070731846,-1,-1,-1
147,743,1623070732838,-1,-1,-1
148,767,1623070733855,-1,-1,-1
149,799,1623070734845,-1,-1,-1
150,823,1623070735836,-1,-1,-1
151,799,1623070735836,-1,-1,-1
152,727,1623070738836,-1,-1,-1
153,719,1623070738836,-1,-1,-1
154,759,1623070739879,-1,-1,-1
155,743,1623070740870,-1,-1,-1
156,735,1623070741837,-1,-1,-1
157,743,1623070741837,-1,-1,-1
