,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,703,1626957878617,-1,-1,-1
1,791,1626957881609,-1,-1,-1
2,815,1626957883603,-1,-1,-1
3,791,1626957884613,-1,-1,-1
4,847,1626957886600,-1,-1,-1
5,687,1626957891626,-1,-1,-1
6,695,1626957902618,-1,-1,-1
7,735,1626957905619,-1,-1,-1
8,671,1626957913601,-1,-1,-1
9,559,1626957913601,-1,-1,-1
10,591,1626957915593,-1,-1,-1
11,679,1626957938611,-1,-1,-1
12,695,1626957939590,-1,-1,-1
13,783,1626957940679,-1,-1,-1
14,751,1626957940679,-1,-1,-1
15,823,1626957941613,-1,-1,-1
16,735,1626957942589,-1,-1,-1
17,727,1626957947650,-1,-1,-1
18,791,1626957950614,-1,-1,-1
19,767,1626957951597,-1,-1,-1
20,759,1626957952678,-1,-1,-1
21,623,1626957952678,-1,-1,-1
22,847,1626957963590,-1,-1,-1
23,871,1626957965614,-1,-1,-1
24,631,1626957965614,-1,-1,-1
25,639,1626957974616,-1,-1,-1
26,815,1626957975589,-1,-1,-1
27,959,1626957976675,-1,-1,-1
28,567,1626957977616,-1,-1,-1
29,735,1626957977616,-1,-1,-1
30,567,1626957978589,-1,-1,-1
31,935,1626957979604,-1,-1,-1
32,791,1626957980653,-1,-1,-1
33,775,1626957984591,-1,-1,-1
34,719,1626957985612,-1,-1,-1
35,703,1626957985612,-1,-1,-1
36,671,1626957986617,-1,-1,-1
37,735,1626957988678,-1,-1,-1
38,695,1626957989612,-1,-1,-1
39,639,1626957990589,-1,-1,-1
40,679,1626957990589,-1,-1,-1
41,887,1626957991600,-1,-1,-1
42,719,1626957992650,-1,-1,-1
43,751,1626957993666,-1,-1,-1
44,767,1626957993666,-1,-1,-1
45,647,1626957994606,-1,-1,-1
46,807,1626958009642,-1,-1,-1
47,559,1626958010619,-1,-1,-1
48,647,1626958011594,-1,-1,-1
49,599,1626958012605,-1,-1,-1
50,615,1626958013652,-1,-1,-1
51,519,1626958017589,-1,-1,-1
52,599,1626958018606,-1,-1,-1
53,519,1626958020592,-1,-1,-1
54,687,1626958020592,-1,-1,-1
55,783,1626958025659,-1,-1,-1
56,711,1626958026590,-1,-1,-1
57,535,1626958026590,-1,-1,-1
58,583,1626958027604,-1,-1,-1
59,615,1626958029593,-1,-1,-1
60,479,1626958030638,-1,-1,-1
61,695,1626958031612,-1,-1,-1
62,623,1626958038595,-1,-1,-1
63,647,1626958039606,-1,-1,-1
64,543,1626958043619,-1,-1,-1
65,559,1626958050589,-1,-1,-1
66,631,1626958052582,-1,-1,-1
67,575,1626958053594,-1,-1,-1
68,679,1626958054606,-1,-1,-1
69,495,1626958056594,-1,-1,-1
70,647,1626958064581,-1,-1,-1
71,503,1626958064581,-1,-1,-1
72,415,1626958069606,-1,-1,-1
73,583,1626958072606,-1,-1,-1
74,511,1626958073582,-1,-1,-1
75,647,1626958073582,-1,-1,-1
76,479,1626958074595,-1,-1,-1
77,591,1626958074595,-1,-1,-1
78,455,1626958075606,-1,-1,-1
79,623,1626958076618,-1,-1,-1
80,487,1626958076618,-1,-1,-1
81,551,1626958077593,-1,-1,-1
82,479,1626958077593,-1,-1,-1
83,567,1626958078606,-1,-1,-1
84,527,1626958078606,-1,-1,-1
85,535,1626958079576,-1,-1,-1
86,551,1626958080628,-1,-1,-1
87,719,1626958082619,-1,-1,-1
88,567,1626958083593,-1,-1,-1
89,511,1626958083593,-1,-1,-1
90,567,1626958084602,-1,-1,-1
91,527,1626958084602,-1,-1,-1
92,479,1626958085579,-1,-1,-1
93,623,1626958087604,-1,-1,-1
94,551,1626958088582,-1,-1,-1
95,423,1626958089594,-1,-1,-1
96,655,1626958089594,-1,-1,-1
97,503,1626958090607,-1,-1,-1
98,551,1626958090607,-1,-1,-1
99,455,1626958091656,-1,-1,-1
100,551,1626958091656,-1,-1,-1
101,511,1626958092591,-1,-1,-1
102,559,1626958093605,-1,-1,-1
103,471,1626958093605,-1,-1,-1
104,607,1626958094584,-1,-1,-1
105,423,1626958094584,-1,-1,-1
106,599,1626958095590,-1,-1,-1
107,487,1626958095590,-1,-1,-1
108,623,1626958096715,-1,-1,-1
109,495,1626958096715,-1,-1,-1
110,751,1626958097578,-1,-1,-1
111,471,1626958097578,-1,-1,-1
112,487,1626958099607,-1,-1,-1
113,759,1626958101629,-1,-1,-1
114,639,1626958106581,-1,-1,-1
115,495,1626958107593,-1,-1,-1
116,551,1626958107593,-1,-1,-1
117,527,1626958108681,-1,-1,-1
118,567,1626958109579,-1,-1,-1
119,487,1626958110591,-1,-1,-1
120,551,1626958110591,-1,-1,-1
121,439,1626958111603,-1,-1,-1
122,543,1626958111603,-1,-1,-1
123,559,1626958112582,-1,-1,-1
124,583,1626958113633,-1,-1,-1
125,663,1626958115662,-1,-1,-1
126,463,1626958115662,-1,-1,-1
127,639,1626958117602,-1,-1,-1
128,519,1626958117602,-1,-1,-1
129,631,1626958120641,-1,-1,-1
130,439,1626958121575,-1,-1,-1
131,599,1626958121575,-1,-1,-1
132,463,1626958123605,-1,-1,-1
133,567,1626958124578,-1,-1,-1
134,495,1626958125589,-1,-1,-1
135,583,1626958125589,-1,-1,-1
136,495,1626958126678,-1,-1,-1
137,551,1626958126678,-1,-1,-1
138,431,1626958127615,-1,-1,-1
139,623,1626958127615,-1,-1,-1
140,463,1626958128590,-1,-1,-1
141,623,1626958131668,-1,-1,-1
142,639,1626958133578,-1,-1,-1
143,463,1626958133578,-1,-1,-1
144,543,1626958134591,-1,-1,-1
145,431,1626958134592,-1,-1,-1
146,495,1626958135605,-1,-1,-1
147,599,1626958135605,-1,-1,-1
148,567,1626958136655,-1,-1,-1
149,511,1626958136655,-1,-1,-1
150,567,1626958137665,-1,-1,-1
151,519,1626958138604,-1,-1,-1
