,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,831,1622700708948,-1,-1,-1
1,775,1622700761768,-1,-1,-1
2,743,1622700761778,-1,-1,-1
3,775,1622700762868,-1,-1,-1
4,759,1622700763868,-1,-1,-1
5,719,1622700764768,-1,-1,-1
6,743,1622700764778,-1,-1,-1
7,711,1622700765868,-1,-1,-1
8,703,1622700766868,-1,-1,-1
9,727,1622700767768,-1,-1,-1
10,751,1622700767778,-1,-1,-1
11,751,1622700768868,-1,-1,-1
12,767,1622700769868,-1,-1,-1
13,767,1622700770768,-1,-1,-1
14,759,1622700770778,-1,-1,-1
15,815,1622700771868,-1,-1,-1
16,735,1622700772868,-1,-1,-1
17,855,1622700773768,-1,-1,-1
18,639,1622700773778,-1,-1,-1
19,639,1622700774868,-1,-1,-1
20,735,1622700775868,-1,-1,-1
21,767,1622700776768,-1,-1,-1
22,759,1622700776778,-1,-1,-1
23,751,1622700777907,-1,-1,-1
24,719,1622700778867,-1,-1,-1
25,735,1622700779768,-1,-1,-1
26,743,1622700779778,-1,-1,-1
27,695,1622700780867,-1,-1,-1
28,727,1622700781768,-1,-1,-1
29,751,1622700781778,-1,-1,-1
30,751,1622700782867,-1,-1,-1
31,775,1622700783867,-1,-1,-1
32,783,1622700784768,-1,-1,-1
33,743,1622700784778,-1,-1,-1
34,767,1622700785867,-1,-1,-1
35,727,1622700786867,-1,-1,-1
36,727,1622700787768,-1,-1,-1
37,743,1622700787778,-1,-1,-1
38,591,1622700788867,-1,-1,-1
39,735,1622700794867,-1,-1,-1
40,735,1622700795767,-1,-1,-1
41,703,1622700795778,-1,-1,-1
42,703,1622700796867,-1,-1,-1
43,759,1622700797867,-1,-1,-1
44,703,1622700798767,-1,-1,-1
45,727,1622700798777,-1,-1,-1
46,719,1622700799867,-1,-1,-1
47,727,1622700800767,-1,-1,-1
48,767,1622700800777,-1,-1,-1
49,743,1622700801867,-1,-1,-1
50,783,1622700802867,-1,-1,-1
51,815,1622700803867,-1,-1,-1
52,807,1622700804767,-1,-1,-1
53,759,1622700804777,-1,-1,-1
54,775,1622700805867,-1,-1,-1
55,783,1622700806867,-1,-1,-1
56,735,1622700807767,-1,-1,-1
57,783,1622700807777,-1,-1,-1
