,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,511,1623643880710,-1,-1,-1
1,551,1623643880710,-1,-1,-1
2,479,1623643880710,-1,-1,-1
3,527,1623643881690,-1,-1,-1
4,543,1623643882758,-1,-1,-1
5,559,1623643883686,-1,-1,-1
6,535,1623643883686,-1,-1,-1
7,463,1623643893699,-1,-1,-1
8,543,1623643893700,-1,-1,-1
9,567,1623643894682,-1,-1,-1
10,535,1623643895694,-1,-1,-1
11,551,1623643898764,-1,-1,-1
12,535,1623643899706,-1,-1,-1
13,607,1623643900678,-1,-1,-1
14,583,1623643901688,-1,-1,-1
15,479,1623643901688,-1,-1,-1
16,423,1623643901688,-1,-1,-1
17,639,1623643902710,-1,-1,-1
18,615,1623643903680,-1,-1,-1
19,551,1623643904695,-1,-1,-1
20,647,1623643906680,-1,-1,-1
21,575,1623643907695,-1,-1,-1
22,543,1623643908707,-1,-1,-1
23,535,1623643909683,-1,-1,-1
24,591,1623643909685,-1,-1,-1
25,567,1623643910694,-1,-1,-1
26,559,1623643910694,-1,-1,-1
27,559,1623643911698,-1,-1,-1
28,583,1623643911698,-1,-1,-1
29,583,1623643912681,-1,-1,-1
30,575,1623643913694,-1,-1,-1
31,583,1623643913694,-1,-1,-1
32,615,1623643914706,-1,-1,-1
33,599,1623643914706,-1,-1,-1
34,687,1623643915681,-1,-1,-1
35,567,1623643916693,-1,-1,-1
36,639,1623643916693,-1,-1,-1
37,575,1623643917706,-1,-1,-1
38,615,1623643917706,-1,-1,-1
39,631,1623643918720,-1,-1,-1
40,567,1623643919692,-1,-1,-1
41,567,1623643919692,-1,-1,-1
42,631,1623643920700,-1,-1,-1
43,575,1623643920700,-1,-1,-1
44,583,1623643921673,-1,-1,-1
45,623,1623643922683,-1,-1,-1
46,583,1623643922683,-1,-1,-1
47,599,1623643923698,-1,-1,-1
48,591,1623643923698,-1,-1,-1
49,559,1623643924674,-1,-1,-1
50,591,1623643925686,-1,-1,-1
51,583,1623643925686,-1,-1,-1
52,559,1623643926709,-1,-1,-1
53,607,1623643926709,-1,-1,-1
54,527,1623643927682,-1,-1,-1
55,719,1623643928695,-1,-1,-1
56,647,1623643928695,-1,-1,-1
57,599,1623643929706,-1,-1,-1
58,575,1623643931693,-1,-1,-1
59,639,1623643931693,-1,-1,-1
60,551,1623643932706,-1,-1,-1
61,591,1623643932706,-1,-1,-1
62,599,1623643933681,-1,-1,-1
63,575,1623643933681,-1,-1,-1
64,599,1623643934693,-1,-1,-1
65,623,1623643935707,-1,-1,-1
66,583,1623643935707,-1,-1,-1
67,591,1623643936681,-1,-1,-1
68,599,1623643936681,-1,-1,-1
69,527,1623643937694,-1,-1,-1
70,647,1623643938706,-1,-1,-1
71,591,1623643938706,-1,-1,-1
72,639,1623643939681,-1,-1,-1
73,551,1623643939681,-1,-1,-1
74,599,1623643940694,-1,-1,-1
75,599,1623643941706,-1,-1,-1
76,599,1623643941706,-1,-1,-1
77,663,1623643942682,-1,-1,-1
78,591,1623643943690,-1,-1,-1
79,615,1623643943690,-1,-1,-1
80,639,1623643944705,-1,-1,-1
81,575,1623643944706,-1,-1,-1
82,575,1623643945680,-1,-1,-1
83,479,1623643945680,-1,-1,-1
84,663,1623643946696,-1,-1,-1
85,647,1623643952693,-1,-1,-1
86,551,1623643957683,-1,-1,-1
87,607,1623643958693,-1,-1,-1
88,607,1623643958693,-1,-1,-1
89,655,1623643959706,-1,-1,-1
90,687,1623643960685,-1,-1,-1
91,655,1623643960685,-1,-1,-1
92,631,1623643961692,-1,-1,-1
93,607,1623643961692,-1,-1,-1
94,583,1623643962706,-1,-1,-1
95,623,1623643963671,-1,-1,-1
96,583,1623643963671,-1,-1,-1
97,551,1623643964686,-1,-1,-1
98,599,1623643964686,-1,-1,-1
99,575,1623643965664,-1,-1,-1
100,591,1623643966675,-1,-1,-1
101,583,1623643966675,-1,-1,-1
102,591,1623643967688,-1,-1,-1
103,631,1623643967688,-1,-1,-1
104,607,1623643968700,-1,-1,-1
105,679,1623643969680,-1,-1,-1
106,423,1623643969680,-1,-1,-1
107,783,1623643971661,-1,-1,-1
108,535,1623643974669,-1,-1,-1
109,607,1623643974669,-1,-1,-1
110,591,1623643976685,-1,-1,-1
111,575,1623643976686,-1,-1,-1
112,655,1623643980669,-1,-1,-1
113,543,1623643981682,-1,-1,-1
114,575,1623643982694,-1,-1,-1
115,599,1623643982694,-1,-1,-1
116,543,1623643983669,-1,-1,-1
117,575,1623643983669,-1,-1,-1
118,575,1623643984718,-1,-1,-1
119,599,1623643985694,-1,-1,-1
120,567,1623643987680,-1,-1,-1
121,695,1623643988694,-1,-1,-1
122,503,1623643988694,-1,-1,-1
123,639,1623643989669,-1,-1,-1
124,431,1623643989669,-1,-1,-1
125,775,1623643990680,-1,-1,-1
126,583,1623643991685,-1,-1,-1
127,591,1623643991685,-1,-1,-1
128,615,1623643992668,-1,-1,-1
129,543,1623643992668,-1,-1,-1
130,615,1623643993675,-1,-1,-1
131,471,1623643993675,-1,-1,-1
132,583,1623643996681,-1,-1,-1
133,607,1623643996681,-1,-1,-1
134,511,1623643997693,-1,-1,-1
135,519,1623643999680,-1,-1,-1
136,647,1623643999680,-1,-1,-1
137,479,1623644001706,-1,-1,-1
138,719,1623644002673,-1,-1,-1
139,543,1623644002673,-1,-1,-1
140,567,1623644003686,-1,-1,-1
141,591,1623644003686,-1,-1,-1
142,583,1623644004669,-1,-1,-1
143,615,1623644005680,-1,-1,-1
144,575,1623644007667,-1,-1,-1
145,679,1623644008681,-1,-1,-1
146,583,1623644009692,-1,-1,-1
147,535,1623644010669,-1,-1,-1
148,583,1623644011683,-1,-1,-1
149,535,1623644011683,-1,-1,-1
150,559,1623644012692,-1,-1,-1
151,567,1623644012692,-1,-1,-1
152,559,1623644013669,-1,-1,-1
153,519,1623644013669,-1,-1,-1
154,591,1623644014679,-1,-1,-1
155,743,1623644016668,-1,-1,-1
156,567,1623644017712,-1,-1,-1
157,575,1623644018689,-1,-1,-1
158,615,1623644018689,-1,-1,-1
159,591,1623644019668,-1,-1,-1
160,631,1623644020678,-1,-1,-1
161,583,1623644020678,-1,-1,-1
162,575,1623644021692,-1,-1,-1
163,631,1623644021692,-1,-1,-1
164,575,1623644022668,-1,-1,-1
165,567,1623644025668,-1,-1,-1
166,671,1623644026681,-1,-1,-1
167,631,1623644027694,-1,-1,-1
168,543,1623644028705,-1,-1,-1
169,583,1623644028705,-1,-1,-1
170,719,1623644030695,-1,-1,-1
171,703,1623644031669,-1,-1,-1
172,519,1623644034704,-1,-1,-1
173,599,1623644038681,-1,-1,-1
174,599,1623644039692,-1,-1,-1
175,551,1623644039692,-1,-1,-1
176,623,1623644040708,-1,-1,-1
177,407,1623644040708,-1,-1,-1
178,647,1623644044673,-1,-1,-1
179,471,1623644045693,-1,-1,-1
180,543,1623644047681,-1,-1,-1
181,647,1623644047681,-1,-1,-1
182,607,1623644048691,-1,-1,-1
183,647,1623644048691,-1,-1,-1
184,639,1623644049667,-1,-1,-1
185,575,1623644050681,-1,-1,-1
186,623,1623644050681,-1,-1,-1
187,599,1623644051691,-1,-1,-1
188,599,1623644052667,-1,-1,-1
189,583,1623644052667,-1,-1,-1
190,519,1623644053679,-1,-1,-1
191,615,1623644053679,-1,-1,-1
192,559,1623644054692,-1,-1,-1
193,583,1623644054692,-1,-1,-1
194,559,1623644057693,-1,-1,-1
195,583,1623644058669,-1,-1,-1
196,511,1623644058669,-1,-1,-1
197,575,1623644060692,-1,-1,-1
198,495,1623644061666,-1,-1,-1
199,711,1623644065717,-1,-1,-1
200,583,1623644066692,-1,-1,-1
201,567,1623644072693,-1,-1,-1
202,543,1623644072693,-1,-1,-1
203,639,1623644073668,-1,-1,-1
204,607,1623644075692,-1,-1,-1
205,615,1623644076668,-1,-1,-1
206,575,1623644076668,-1,-1,-1
207,535,1623644077681,-1,-1,-1
208,527,1623644077681,-1,-1,-1
209,631,1623644078693,-1,-1,-1
210,503,1623644079668,-1,-1,-1
211,583,1623644081694,-1,-1,-1
212,607,1623644083680,-1,-1,-1
213,615,1623644084694,-1,-1,-1
214,647,1623644087693,-1,-1,-1
215,591,1623644087693,-1,-1,-1
216,607,1623644090694,-1,-1,-1
217,559,1623644091668,-1,-1,-1
218,615,1623644093692,-1,-1,-1
219,615,1623644093692,-1,-1,-1
220,583,1623644094669,-1,-1,-1
221,599,1623644095679,-1,-1,-1
222,655,1623644095679,-1,-1,-1
223,559,1623644096691,-1,-1,-1
224,639,1623644097666,-1,-1,-1
225,623,1623644097666,-1,-1,-1
226,583,1623644098681,-1,-1,-1
227,599,1623644098681,-1,-1,-1
228,639,1623644099693,-1,-1,-1
229,591,1623644100706,-1,-1,-1
230,599,1623644100706,-1,-1,-1
231,607,1623644101682,-1,-1,-1
232,575,1623644101682,-1,-1,-1
233,647,1623644102690,-1,-1,-1
234,663,1623644103669,-1,-1,-1
235,599,1623644105692,-1,-1,-1
236,607,1623644105692,-1,-1,-1
237,607,1623644106669,-1,-1,-1
238,543,1623644106669,-1,-1,-1
239,671,1623644107679,-1,-1,-1
240,599,1623644108693,-1,-1,-1
241,583,1623644108693,-1,-1,-1
242,559,1623644109666,-1,-1,-1
243,495,1623644109666,-1,-1,-1
244,591,1623644110679,-1,-1,-1
245,559,1623644110679,-1,-1,-1
246,591,1623644111655,-1,-1,-1
247,647,1623644115666,-1,-1,-1
248,567,1623644117692,-1,-1,-1
249,551,1623644119679,-1,-1,-1
250,591,1623644120655,-1,-1,-1
251,599,1623644121667,-1,-1,-1
252,559,1623644121667,-1,-1,-1
253,567,1623644122684,-1,-1,-1
