,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,655,1623438307539,-1,-1,-1
1,695,1623438311544,-1,-1,-1
2,895,1623438312561,-1,-1,-1
3,823,1623438313570,-1,-1,-1
4,951,1623438314582,-1,-1,-1
5,615,1623438323547,-1,-1,-1
6,775,1623438324559,-1,-1,-1
7,599,1623438324559,-1,-1,-1
8,607,1623438325541,-1,-1,-1
9,447,1623438325541,-1,-1,-1
10,399,1623438344637,-1,-1,-1
11,639,1623438371554,-1,-1,-1
12,663,1623438376533,-1,-1,-1
13,631,1623438378555,-1,-1,-1
14,903,1623438422544,-1,-1,-1
15,863,1623438423598,-1,-1,-1
16,527,1623438423598,-1,-1,-1
17,783,1623438428539,-1,-1,-1
18,759,1623438428539,-1,-1,-1
19,711,1623438429555,-1,-1,-1
20,879,1623438430528,-1,-1,-1
21,751,1623438431544,-1,-1,-1
22,687,1623438434583,-1,-1,-1
23,959,1623438442528,-1,-1,-1
24,607,1623438443550,-1,-1,-1
25,671,1623438448527,-1,-1,-1
26,639,1623438449543,-1,-1,-1
27,775,1623438451528,-1,-1,-1
28,791,1623438451528,-1,-1,-1
29,751,1623438455540,-1,-1,-1
30,575,1623438474523,-1,-1,-1
31,607,1623438530541,-1,-1,-1
32,743,1623438531554,-1,-1,-1
33,511,1623438537557,-1,-1,-1
34,623,1623438543553,-1,-1,-1
35,591,1623438545541,-1,-1,-1
36,559,1623438574529,-1,-1,-1
37,567,1623438581541,-1,-1,-1
38,631,1623438587580,-1,-1,-1
39,607,1623438591512,-1,-1,-1
40,655,1623438595531,-1,-1,-1
41,703,1623438595531,-1,-1,-1
42,447,1623438596548,-1,-1,-1
43,927,1623438610528,-1,-1,-1
44,863,1623438611538,-1,-1,-1
45,583,1623438612532,-1,-1,-1
46,431,1623438612532,-1,-1,-1
47,495,1623438615529,-1,-1,-1
48,423,1623438615529,-1,-1,-1
49,631,1623438624528,-1,-1,-1
50,639,1623438625544,-1,-1,-1
51,623,1623438625544,-1,-1,-1
52,447,1623438626553,-1,-1,-1
53,495,1623438627529,-1,-1,-1
54,383,1623438627529,-1,-1,-1
55,527,1623438629542,-1,-1,-1
56,559,1623438646544,-1,-1,-1
57,623,1623438647557,-1,-1,-1
58,535,1623438648516,-1,-1,-1
59,463,1623438648516,-1,-1,-1
60,471,1623438650542,-1,-1,-1
61,687,1623438656555,-1,-1,-1
62,447,1623438662556,-1,-1,-1
63,591,1623438662556,-1,-1,-1
64,375,1623438663559,-1,-1,-1
65,543,1623438664527,-1,-1,-1
66,383,1623438664527,-1,-1,-1
67,519,1623438666530,-1,-1,-1
68,359,1623438666530,-1,-1,-1
69,431,1623438673544,-1,-1,-1
70,535,1623438708515,-1,-1,-1
71,415,1623438715567,-1,-1,-1
72,631,1623438718542,-1,-1,-1
73,647,1623438721568,-1,-1,-1
74,687,1623438722541,-1,-1,-1
75,527,1623438725501,-1,-1,-1
76,647,1623438726513,-1,-1,-1
77,647,1623438737515,-1,-1,-1
78,503,1623438739537,-1,-1,-1
79,775,1623438740517,-1,-1,-1
80,551,1623438740517,-1,-1,-1
81,439,1623438742540,-1,-1,-1
82,671,1623438743553,-1,-1,-1
83,415,1623438743553,-1,-1,-1
84,631,1623438744515,-1,-1,-1
85,823,1623438747531,-1,-1,-1
86,423,1623438748543,-1,-1,-1
87,679,1623438749553,-1,-1,-1
88,599,1623438752510,-1,-1,-1
89,591,1623438754566,-1,-1,-1
90,623,1623438759516,-1,-1,-1
91,735,1623438762530,-1,-1,-1
