,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,550,1623430016414,-1,-1,-1
1,434,1623430016414,-1,-1,-1
2,786,1623430017412,-1,-1,-1
3,894,1623430018413,-1,-1,-1
4,532,1623430019357,-1,-1,-1
5,1156,1623430020357,-1,-1,-1
6,764,1623430020358,-1,-1,-1
7,681,1623430021307,-1,-1,-1
8,760,1623430022307,-1,-1,-1
9,730,1623430022307,-1,-1,-1
10,728,1623430023259,-1,-1,-1
11,717,1623430024259,-1,-1,-1
12,622,1623430025211,-1,-1,-1
13,744,1623430026262,-1,-1,-1
14,656,1623430026262,-1,-1,-1
15,581,1623430027208,-1,-1,-1
16,694,1623430028158,-1,-1,-1
17,688,1623430028158,-1,-1,-1
18,663,1623430029159,-1,-1,-1
19,663,1623430029159,-1,-1,-1
20,679,1623430030107,-1,-1,-1
21,688,1623430031109,-1,-1,-1
22,679,1623430031109,-1,-1,-1
23,710,1623430032061,-1,-1,-1
24,739,1623430033057,-1,-1,-1
25,668,1623430034061,-1,-1,-1
26,695,1623430034061,-1,-1,-1
27,730,1623430035061,-1,-1,-1
28,732,1623430036007,-1,-1,-1
29,736,1623430036958,-1,-1,-1
30,688,1623430036958,-1,-1,-1
31,682,1623430037958,-1,-1,-1
32,714,1623430038908,-1,-1,-1
33,674,1623430038908,-1,-1,-1
34,683,1623430039907,-1,-1,-1
35,667,1623430040909,-1,-1,-1
36,593,1623430041857,-1,-1,-1
37,708,1623430041858,-1,-1,-1
38,358,1623430041858,-1,-1,-1
39,295,1623430042857,-1,-1,-1
40,598,1623430042858,-1,-1,-1
41,539,1623430043857,-1,-1,-1
42,667,1623430044806,-1,-1,-1
43,582,1623430044806,-1,-1,-1
44,450,1623430045807,-1,-1,-1
45,314,1623430045807,-1,-1,-1
46,518,1623430046757,-1,-1,-1
47,593,1623430046757,-1,-1,-1
48,699,1623430047811,-1,-1,-1
49,600,1623430048707,-1,-1,-1
50,735,1623430048707,-1,-1,-1
51,553,1623430049707,-1,-1,-1
52,764,1623430050658,-1,-1,-1
53,730,1623430050658,-1,-1,-1
54,718,1623430051657,-1,-1,-1
55,633,1623430052614,-1,-1,-1
56,583,1623430052614,-1,-1,-1
57,597,1623430053610,-1,-1,-1
58,418,1623430053610,-1,-1,-1
59,633,1623430054609,-1,-1,-1
60,538,1623430055566,-1,-1,-1
61,833,1623430055566,-1,-1,-1
62,569,1623430056559,-1,-1,-1
63,611,1623430057507,-1,-1,-1
64,764,1623430057507,-1,-1,-1
65,613,1623430058511,-1,-1,-1
66,675,1623430059459,-1,-1,-1
67,646,1623430059459,-1,-1,-1
68,654,1623430060458,-1,-1,-1
69,326,1623430060458,-1,-1,-1
70,355,1623430061512,-1,-1,-1
71,414,1623430061512,-1,-1,-1
72,363,1623430062409,-1,-1,-1
73,398,1623430062409,-1,-1,-1
74,305,1623430062409,-1,-1,-1
75,634,1623430063407,-1,-1,-1
76,892,1623430064357,-1,-1,-1
77,772,1623430065360,-1,-1,-1
78,442,1623430065360,-1,-1,-1
79,613,1623430066360,-1,-1,-1
80,475,1623430066360,-1,-1,-1
81,420,1623430067308,-1,-1,-1
82,638,1623430067308,-1,-1,-1
83,670,1623430068312,-1,-1,-1
84,663,1623430069257,-1,-1,-1
85,743,1623430069257,-1,-1,-1
86,779,1623430070263,-1,-1,-1
87,727,1623430071211,-1,-1,-1
88,414,1623430072209,-1,-1,-1
89,413,1623430072209,-1,-1,-1
90,742,1623430073208,-1,-1,-1
91,470,1623430073208,-1,-1,-1
92,533,1623430073208,-1,-1,-1
93,298,1623430074161,-1,-1,-1
94,291,1623430074161,-1,-1,-1
95,324,1623430075161,-1,-1,-1
96,672,1623430075162,-1,-1,-1
97,900,1623430076111,-1,-1,-1
98,1123,1623430077161,-1,-1,-1
99,1229,1623430078057,-1,-1,-1
100,744,1623430079059,-1,-1,-1
101,653,1623430080008,-1,-1,-1
102,1188,1623430081059,-1,-1,-1
103,1479,1623430082958,-1,-1,-1
104,822,1623430083958,-1,-1,-1
105,484,1623430083959,-1,-1,-1
106,314,1623430083959,-1,-1,-1
107,692,1623430084907,-1,-1,-1
