,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,631,1626844017617,-1,-1,-1
1,743,1626844017618,-1,-1,-1
2,663,1626844017618,-1,-1,-1
3,639,1626844018610,-1,-1,-1
4,695,1626844018610,-1,-1,-1
5,679,1626844019647,-1,-1,-1
6,767,1626844020630,-1,-1,-1
7,815,1626844021625,-1,-1,-1
8,623,1626844021625,-1,-1,-1
9,823,1626844022616,-1,-1,-1
10,887,1626844023637,-1,-1,-1
11,631,1626844025616,-1,-1,-1
12,631,1626844029638,-1,-1,-1
13,615,1626844030627,-1,-1,-1
14,703,1626844032636,-1,-1,-1
15,679,1626844032636,-1,-1,-1
16,687,1626844033626,-1,-1,-1
17,695,1626844034615,-1,-1,-1
18,711,1626844034615,-1,-1,-1
19,647,1626844035660,-1,-1,-1
20,663,1626844036656,-1,-1,-1
21,695,1626844037645,-1,-1,-1
22,663,1626844037645,-1,-1,-1
23,695,1626844041635,-1,-1,-1
24,711,1626844042626,-1,-1,-1
25,479,1626844043615,-1,-1,-1
26,719,1626844047636,-1,-1,-1
27,599,1626844051621,-1,-1,-1
28,631,1626844052611,-1,-1,-1
29,599,1626844060621,-1,-1,-1
30,735,1626844062631,-1,-1,-1
31,799,1626844065636,-1,-1,-1
32,687,1626844065636,-1,-1,-1
33,703,1626844066626,-1,-1,-1
34,687,1626844067616,-1,-1,-1
35,631,1626844068661,-1,-1,-1
36,663,1626844068661,-1,-1,-1
37,607,1626844069652,-1,-1,-1
38,583,1626844069652,-1,-1,-1
39,559,1626844072626,-1,-1,-1
40,559,1626844073616,-1,-1,-1
41,559,1626844073616,-1,-1,-1
42,567,1626844074606,-1,-1,-1
43,599,1626844075625,-1,-1,-1
44,647,1626844075625,-1,-1,-1
45,631,1626844076613,-1,-1,-1
46,703,1626844077609,-1,-1,-1
47,783,1626844077609,-1,-1,-1
48,751,1626844078625,-1,-1,-1
49,735,1626844079616,-1,-1,-1
50,599,1626844081626,-1,-1,-1
51,679,1626844083606,-1,-1,-1
52,703,1626844084626,-1,-1,-1
53,743,1626844084626,-1,-1,-1
54,679,1626844087626,-1,-1,-1
55,735,1626844087626,-1,-1,-1
56,743,1626844088611,-1,-1,-1
57,607,1626844089601,-1,-1,-1
58,671,1626844089601,-1,-1,-1
59,695,1626844090622,-1,-1,-1
60,599,1626844092606,-1,-1,-1
61,639,1626844093626,-1,-1,-1
62,623,1626844093626,-1,-1,-1
63,807,1626844094617,-1,-1,-1
64,767,1626844095606,-1,-1,-1
65,831,1626844096626,-1,-1,-1
66,791,1626844096626,-1,-1,-1
67,743,1626844097616,-1,-1,-1
68,751,1626844098605,-1,-1,-1
69,687,1626844100616,-1,-1,-1
70,671,1626844101607,-1,-1,-1
71,631,1626844103612,-1,-1,-1
72,615,1626844103612,-1,-1,-1
73,687,1626844104603,-1,-1,-1
74,615,1626844106614,-1,-1,-1
75,767,1626844107604,-1,-1,-1
76,671,1626844107604,-1,-1,-1
77,711,1626844108624,-1,-1,-1
78,631,1626844109614,-1,-1,-1
79,703,1626844109614,-1,-1,-1
80,671,1626844110604,-1,-1,-1
