,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,663,1623264676661,-1,-1,-1
1,708,1623264676663,-1,-1,-1
2,716,1623264676663,-1,-1,-1
3,686,1623264676663,-1,-1,-1
4,701,1623264676665,-1,-1,-1
5,663,1623264679681,-1,-1,-1
6,640,1623264680658,-1,-1,-1
7,678,1623264681644,-1,-1,-1
8,648,1623264681646,-1,-1,-1
9,625,1623264682683,-1,-1,-1
10,602,1623264683670,-1,-1,-1
11,640,1623264683670,-1,-1,-1
12,693,1623264685646,-1,-1,-1
13,670,1623264687674,-1,-1,-1
14,708,1623264687674,-1,-1,-1
15,716,1623264688664,-1,-1,-1
16,678,1623264736725,-1,-1,-1
17,655,1623264736726,-1,-1,-1
18,648,1623264736726,-1,-1,-1
19,663,1623264736726,-1,-1,-1
20,632,1623264766735,-1,-1,-1
21,594,1623264766735,-1,-1,-1
22,617,1623264766736,-1,-1,-1
23,617,1623264766736,-1,-1,-1
24,602,1623264766736,-1,-1,-1
25,632,1623264767724,-1,-1,-1
26,625,1623264767724,-1,-1,-1
27,586,1623264771730,-1,-1,-1
28,640,1623264776776,-1,-1,-1
29,602,1623264777759,-1,-1,-1
30,648,1623264779742,-1,-1,-1
31,648,1623264780733,-1,-1,-1
32,610,1623264790771,-1,-1,-1
33,640,1623264790771,-1,-1,-1
34,617,1623264790771,-1,-1,-1
35,625,1623264790771,-1,-1,-1
36,533,1623264799766,-1,-1,-1
37,617,1623264799766,-1,-1,-1
38,747,1623264799766,-1,-1,-1
39,922,1623264799767,-1,-1,-1
40,907,1623264800756,-1,-1,-1
41,869,1623264802783,-1,-1,-1
42,678,1623264807776,-1,-1,-1
43,708,1623264807776,-1,-1,-1
44,724,1623264810795,-1,-1,-1
45,655,1623264810795,-1,-1,-1
46,686,1623264811786,-1,-1,-1
47,678,1623264813763,-1,-1,-1
48,670,1623264814796,-1,-1,-1
49,640,1623264815790,-1,-1,-1
50,556,1623264817771,-1,-1,-1
51,716,1623264821778,-1,-1,-1
52,670,1623264821778,-1,-1,-1
53,708,1623264822806,-1,-1,-1
54,678,1623264823797,-1,-1,-1
55,663,1623264823797,-1,-1,-1
56,686,1623264824787,-1,-1,-1
57,678,1623264825775,-1,-1,-1
58,686,1623264825775,-1,-1,-1
59,632,1623264827800,-1,-1,-1
60,739,1623264827800,-1,-1,-1
61,747,1623264828790,-1,-1,-1
62,762,1623264857819,-1,-1,-1
63,747,1623264857819,-1,-1,-1
64,686,1623264857820,-1,-1,-1
65,701,1623264857820,-1,-1,-1
66,663,1623264858813,-1,-1,-1
67,663,1623264859800,-1,-1,-1
68,663,1623264859800,-1,-1,-1
69,648,1623264860829,-1,-1,-1
70,663,1623264861825,-1,-1,-1
71,663,1623264861825,-1,-1,-1
72,564,1623264880859,-1,-1,-1
73,640,1623264880859,-1,-1,-1
74,648,1623264880859,-1,-1,-1
75,602,1623264880859,-1,-1,-1
76,610,1623264881851,-1,-1,-1
77,579,1623264882841,-1,-1,-1
78,488,1623264886844,-1,-1,-1
79,663,1623264887835,-1,-1,-1
80,678,1623264887835,-1,-1,-1
81,632,1623264890844,-1,-1,-1
82,701,1623264901875,-1,-1,-1
83,663,1623264901875,-1,-1,-1
84,617,1623264901875,-1,-1,-1
85,632,1623264901875,-1,-1,-1
86,655,1623264901875,-1,-1,-1
87,594,1623264902862,-1,-1,-1
88,678,1623264903852,-1,-1,-1
89,640,1623264904839,-1,-1,-1
90,602,1623264905879,-1,-1,-1
91,655,1623264906864,-1,-1,-1
92,586,1623264911860,-1,-1,-1
93,732,1623264916856,-1,-1,-1
94,693,1623264917891,-1,-1,-1
95,693,1623264928881,-1,-1,-1
96,648,1623264928881,-1,-1,-1
97,663,1623264928881,-1,-1,-1
98,648,1623264928881,-1,-1,-1
99,708,1623264939901,-1,-1,-1
100,678,1623264939901,-1,-1,-1
101,655,1623264939901,-1,-1,-1
102,747,1623264939901,-1,-1,-1
103,708,1623264939901,-1,-1,-1
104,701,1623264940884,-1,-1,-1
105,724,1623264941875,-1,-1,-1
106,693,1623264942909,-1,-1,-1
107,640,1623264944889,-1,-1,-1
108,648,1623264946914,-1,-1,-1
109,586,1623264947904,-1,-1,-1
110,663,1623264948894,-1,-1,-1
111,625,1623264948894,-1,-1,-1
112,663,1623264949889,-1,-1,-1
113,625,1623264950925,-1,-1,-1
114,678,1623264950925,-1,-1,-1
115,625,1623264951908,-1,-1,-1
116,663,1623264952901,-1,-1,-1
117,586,1623264975943,-1,-1,-1
118,594,1623264975943,-1,-1,-1
119,617,1623264975943,-1,-1,-1
120,724,1623264975943,-1,-1,-1
121,663,1623265173081,-1,-1,-1
122,693,1623265173081,-1,-1,-1
123,648,1623265173081,-1,-1,-1
124,655,1623265173081,-1,-1,-1
125,663,1623265174124,-1,-1,-1
126,625,1623265175107,-1,-1,-1
127,678,1623265176099,-1,-1,-1
128,648,1623265179111,-1,-1,-1
129,701,1623265180107,-1,-1,-1
130,708,1623265180107,-1,-1,-1
131,708,1623265181091,-1,-1,-1
132,678,1623265182133,-1,-1,-1
133,632,1623265185097,-1,-1,-1
134,663,1623265185097,-1,-1,-1
135,655,1623265186139,-1,-1,-1
136,564,1623265187127,-1,-1,-1
137,602,1623265199141,-1,-1,-1
