,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,799,1624034800766,-1,-1,-1
1,455,1624034800766,-1,-1,-1
2,495,1624034800766,-1,-1,-1
3,503,1624034803795,-1,-1,-1
4,519,1624034805800,-1,-1,-1
5,719,1624034806770,-1,-1,-1
6,439,1624034816808,-1,-1,-1
7,567,1624034818785,-1,-1,-1
8,527,1624034818785,-1,-1,-1
9,623,1624034819804,-1,-1,-1
10,511,1624034819804,-1,-1,-1
11,447,1624034822808,-1,-1,-1
12,615,1624034822808,-1,-1,-1
13,559,1624034832803,-1,-1,-1
14,383,1624034832803,-1,-1,-1
15,383,1624034838811,-1,-1,-1
16,567,1624034841803,-1,-1,-1
17,543,1624034842807,-1,-1,-1
18,383,1624034842807,-1,-1,-1
19,439,1624034842807,-1,-1,-1
20,583,1624034844816,-1,-1,-1
21,519,1624034851808,-1,-1,-1
22,527,1624034852800,-1,-1,-1
23,447,1624034852800,-1,-1,-1
24,351,1624034853790,-1,-1,-1
25,439,1624034853790,-1,-1,-1
26,471,1624034853790,-1,-1,-1
27,599,1624034860762,-1,-1,-1
28,415,1624034861795,-1,-1,-1
29,359,1624034865788,-1,-1,-1
30,391,1624034866769,-1,-1,-1
31,487,1624034866769,-1,-1,-1
32,359,1624034867782,-1,-1,-1
33,407,1624034869792,-1,-1,-1
34,375,1624034874784,-1,-1,-1
35,567,1624034875790,-1,-1,-1
36,487,1624034875790,-1,-1,-1
37,399,1624034876790,-1,-1,-1
38,407,1624034877800,-1,-1,-1
39,463,1624034878771,-1,-1,-1
40,415,1624034878771,-1,-1,-1
41,431,1624034883806,-1,-1,-1
42,591,1624034883806,-1,-1,-1
43,503,1624034891800,-1,-1,-1
44,511,1624034893817,-1,-1,-1
45,431,1624034893817,-1,-1,-1
46,471,1624034894792,-1,-1,-1
47,391,1624034895802,-1,-1,-1
48,543,1624034896772,-1,-1,-1
49,399,1624034897811,-1,-1,-1
50,599,1624034899809,-1,-1,-1
51,503,1624034901792,-1,-1,-1
52,431,1624034901792,-1,-1,-1
53,463,1624034906791,-1,-1,-1
54,583,1624034908786,-1,-1,-1
55,503,1624034909783,-1,-1,-1
56,431,1624034910795,-1,-1,-1
57,519,1624034912809,-1,-1,-1
58,431,1624034912809,-1,-1,-1
59,711,1624034913788,-1,-1,-1
60,703,1624034913788,-1,-1,-1
61,623,1624034914758,-1,-1,-1
62,703,1624034915801,-1,-1,-1
63,431,1624034915801,-1,-1,-1
64,671,1624034916794,-1,-1,-1
65,535,1624034918797,-1,-1,-1
66,543,1624034919779,-1,-1,-1
67,599,1624034922784,-1,-1,-1
68,575,1624034922784,-1,-1,-1
69,687,1624034923797,-1,-1,-1
70,399,1624034952843,-1,-1,-1
71,479,1624034956774,-1,-1,-1
72,671,1624034956774,-1,-1,-1
73,567,1624034964786,-1,-1,-1
74,559,1624034964786,-1,-1,-1
75,535,1624034965791,-1,-1,-1
76,615,1624034966783,-1,-1,-1
77,415,1624034966783,-1,-1,-1
78,679,1624034967796,-1,-1,-1
79,615,1624034967796,-1,-1,-1
80,583,1624034968788,-1,-1,-1
81,399,1624034976780,-1,-1,-1
82,415,1624034999785,-1,-1,-1
83,447,1624034999785,-1,-1,-1
84,391,1624034999785,-1,-1,-1
85,631,1624035000778,-1,-1,-1
86,687,1624035001771,-1,-1,-1
87,399,1624035008811,-1,-1,-1
88,719,1624035009799,-1,-1,-1
89,527,1624035010773,-1,-1,-1
90,751,1624035010773,-1,-1,-1
91,423,1624035011798,-1,-1,-1
92,719,1624035012771,-1,-1,-1
93,399,1624035016756,-1,-1,-1
94,711,1624035017788,-1,-1,-1
95,431,1624035018781,-1,-1,-1
96,783,1624035018781,-1,-1,-1
97,463,1624035020779,-1,-1,-1
98,671,1624035021774,-1,-1,-1
99,407,1624035023775,-1,-1,-1
100,623,1624035024786,-1,-1,-1
101,639,1624035025755,-1,-1,-1
102,687,1624035026790,-1,-1,-1
103,391,1624035027780,-1,-1,-1
104,735,1624035027780,-1,-1,-1
105,447,1624035028747,-1,-1,-1
106,719,1624035028747,-1,-1,-1
107,383,1624035029761,-1,-1,-1
108,767,1624035030752,-1,-1,-1
109,423,1624035031787,-1,-1,-1
110,695,1624035032777,-1,-1,-1
111,415,1624035032777,-1,-1,-1
112,695,1624035033786,-1,-1,-1
113,567,1624035038762,-1,-1,-1
114,615,1624035039753,-1,-1,-1
