,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,1039,1624068796981,-1,-1,-1
1,951,1624068801932,-1,-1,-1
2,607,1624068805945,-1,-1,-1
3,663,1624068806926,-1,-1,-1
4,903,1624068807952,-1,-1,-1
5,607,1624068809922,-1,-1,-1
6,671,1624068812931,-1,-1,-1
7,799,1624068814957,-1,-1,-1
8,983,1624068817916,-1,-1,-1
9,783,1624068822988,-1,-1,-1
10,671,1624068823926,-1,-1,-1
11,903,1624068823926,-1,-1,-1
12,647,1624068824930,-1,-1,-1
13,543,1624068825952,-1,-1,-1
14,695,1624068830923,-1,-1,-1
15,647,1624068832909,-1,-1,-1
16,671,1624068834935,-1,-1,-1
17,775,1624068838920,-1,-1,-1
18,967,1624068839925,-1,-1,-1
19,511,1624068847912,-1,-1,-1
20,599,1624068854960,-1,-1,-1
21,919,1624068855936,-1,-1,-1
22,831,1624068856925,-1,-1,-1
23,687,1624068856926,-1,-1,-1
24,687,1624068863930,-1,-1,-1
25,1015,1624068864934,-1,-1,-1
26,1023,1624068867951,-1,-1,-1
27,751,1624068868923,-1,-1,-1
28,847,1624068869924,-1,-1,-1
29,983,1624068877993,-1,-1,-1
30,983,1624068880911,-1,-1,-1
31,1119,1624068886964,-1,-1,-1
32,1087,1624068898928,-1,-1,-1
33,887,1624068901908,-1,-1,-1
34,639,1624068916928,-1,-1,-1
35,543,1624068919913,-1,-1,-1
36,847,1624068923967,-1,-1,-1
37,775,1624068924972,-1,-1,-1
38,1023,1624068927941,-1,-1,-1
39,895,1624068934960,-1,-1,-1
40,1183,1624068935929,-1,-1,-1
41,1247,1624068940913,-1,-1,-1
42,1183,1624068943909,-1,-1,-1
43,935,1624068944931,-1,-1,-1
44,1127,1624068945946,-1,-1,-1
45,727,1624068946923,-1,-1,-1
46,607,1624068949925,-1,-1,-1
47,1103,1624068952909,-1,-1,-1
48,1015,1624068953919,-1,-1,-1
49,1143,1624068954945,-1,-1,-1
50,791,1624068955911,-1,-1,-1
51,759,1624068956923,-1,-1,-1
52,887,1624068957973,-1,-1,-1
53,815,1624068965937,-1,-1,-1
54,1343,1624068974930,-1,-1,-1
55,775,1624068977937,-1,-1,-1
56,759,1624068978990,-1,-1,-1
57,935,1624068980922,-1,-1,-1
58,767,1624068981895,-1,-1,-1
59,863,1624068982985,-1,-1,-1
60,735,1624068982985,-1,-1,-1
61,863,1624068984003,-1,-1,-1
62,751,1624068988925,-1,-1,-1
63,647,1624068991913,-1,-1,-1
64,871,1624068992922,-1,-1,-1
65,655,1624068993934,-1,-1,-1
66,799,1624068995927,-1,-1,-1
67,727,1624069000911,-1,-1,-1
68,799,1624069001922,-1,-1,-1
69,727,1624069004925,-1,-1,-1
70,911,1624069005906,-1,-1,-1
71,775,1624069005906,-1,-1,-1
72,815,1624069006915,-1,-1,-1
73,807,1624069007931,-1,-1,-1
74,791,1624069008904,-1,-1,-1
75,775,1624069009921,-1,-1,-1
76,719,1624069009921,-1,-1,-1
77,543,1624069010963,-1,-1,-1
78,879,1624069014005,-1,-1,-1
79,831,1624069014005,-1,-1,-1
80,791,1624069014896,-1,-1,-1
81,823,1624069015911,-1,-1,-1
82,823,1624069016929,-1,-1,-1
83,783,1624069017902,-1,-1,-1
84,751,1624069017902,-1,-1,-1
85,775,1624069022920,-1,-1,-1
86,823,1624069023897,-1,-1,-1
87,807,1624069025931,-1,-1,-1
88,767,1624069026953,-1,-1,-1
89,719,1624069027965,-1,-1,-1
90,831,1624069028976,-1,-1,-1
91,839,1624069028976,-1,-1,-1
92,863,1624069029909,-1,-1,-1
93,719,1624069032899,-1,-1,-1
94,911,1624069033949,-1,-1,-1
95,847,1624069034937,-1,-1,-1
96,767,1624069035907,-1,-1,-1
97,815,1624069036924,-1,-1,-1
98,855,1624069037928,-1,-1,-1
99,847,1624069037928,-1,-1,-1
100,815,1624069038908,-1,-1,-1
101,823,1624069039924,-1,-1,-1
102,823,1624069040928,-1,-1,-1
103,831,1624069041900,-1,-1,-1
104,839,1624069042908,-1,-1,-1
105,799,1624069042909,-1,-1,-1
106,815,1624069043922,-1,-1,-1
107,855,1624069044900,-1,-1,-1
108,839,1624069045910,-1,-1,-1
109,791,1624069046981,-1,-1,-1
110,871,1624069047913,-1,-1,-1
111,823,1624069047913,-1,-1,-1
112,791,1624069049005,-1,-1,-1
113,887,1624069049926,-1,-1,-1
114,823,1624069050908,-1,-1,-1
115,783,1624069051909,-1,-1,-1
116,863,1624069052926,-1,-1,-1
117,815,1624069052926,-1,-1,-1
118,847,1624069053899,-1,-1,-1
119,807,1624069054910,-1,-1,-1
120,831,1624069055927,-1,-1,-1
121,759,1624069057910,-1,-1,-1
122,759,1624069058930,-1,-1,-1
123,767,1624069059970,-1,-1,-1
124,719,1624069060955,-1,-1,-1
125,719,1624069060955,-1,-1,-1
126,791,1624069061923,-1,-1,-1
127,759,1624069070923,-1,-1,-1
128,799,1624069071896,-1,-1,-1
129,783,1624069071897,-1,-1,-1
130,879,1624069072912,-1,-1,-1
131,719,1624069073961,-1,-1,-1
132,831,1624069074900,-1,-1,-1
133,903,1624069075922,-1,-1,-1
134,767,1624069076922,-1,-1,-1
135,903,1624069076922,-1,-1,-1
136,951,1624069077905,-1,-1,-1
137,871,1624069083937,-1,-1,-1
138,919,1624069085931,-1,-1,-1
139,919,1624069086912,-1,-1,-1
140,639,1624069104011,-1,-1,-1
141,807,1624069104943,-1,-1,-1
142,751,1624069104943,-1,-1,-1
143,1095,1624069106971,-1,-1,-1
144,567,1624069106972,-1,-1,-1
145,807,1624069110905,-1,-1,-1
146,807,1624069111908,-1,-1,-1
147,839,1624069112928,-1,-1,-1
148,703,1624069113988,-1,-1,-1
149,879,1624069114915,-1,-1,-1
150,871,1624069115936,-1,-1,-1
151,823,1624069115936,-1,-1,-1
152,679,1624069116914,-1,-1,-1
153,983,1624069117911,-1,-1,-1
154,855,1624069118938,-1,-1,-1
155,615,1624069119950,-1,-1,-1
156,991,1624069120924,-1,-1,-1
157,903,1624069120924,-1,-1,-1
158,767,1624069121923,-1,-1,-1
159,839,1624069122898,-1,-1,-1
160,839,1624069123954,-1,-1,-1
161,831,1624069124931,-1,-1,-1
162,871,1624069126913,-1,-1,-1
163,855,1624069130927,-1,-1,-1
164,823,1624069130927,-1,-1,-1
165,823,1624069131900,-1,-1,-1
166,671,1624069132912,-1,-1,-1
167,1015,1624069133922,-1,-1,-1
168,743,1624069134897,-1,-1,-1
169,975,1624069135909,-1,-1,-1
170,759,1624069135909,-1,-1,-1
171,895,1624069136923,-1,-1,-1
172,847,1624069137902,-1,-1,-1
173,799,1624069138956,-1,-1,-1
174,879,1624069139967,-1,-1,-1
175,831,1624069140945,-1,-1,-1
176,855,1624069145922,-1,-1,-1
177,671,1624069145922,-1,-1,-1
178,911,1624069146900,-1,-1,-1
179,983,1624069147915,-1,-1,-1
180,815,1624069149014,-1,-1,-1
181,863,1624069149902,-1,-1,-1
182,855,1624069150916,-1,-1,-1
183,863,1624069151930,-1,-1,-1
184,919,1624069153956,-1,-1,-1
185,815,1624069154966,-1,-1,-1
186,863,1624069155900,-1,-1,-1
187,735,1624069156906,-1,-1,-1
188,935,1624069157918,-1,-1,-1
189,1135,1624069159923,-1,-1,-1
190,863,1624069160939,-1,-1,-1
191,719,1624069161922,-1,-1,-1
192,967,1624069162915,-1,-1,-1
193,887,1624069164044,-1,-1,-1
194,871,1624069165907,-1,-1,-1
195,831,1624069166927,-1,-1,-1
196,839,1624069167896,-1,-1,-1
197,831,1624069168946,-1,-1,-1
198,831,1624069169931,-1,-1,-1
199,735,1624069169931,-1,-1,-1
200,935,1624069170896,-1,-1,-1
201,823,1624069171920,-1,-1,-1
202,839,1624069172887,-1,-1,-1
203,839,1624069173903,-1,-1,-1
204,863,1624069174961,-1,-1,-1
205,767,1624069174961,-1,-1,-1
206,839,1624069175935,-1,-1,-1
207,823,1624069176901,-1,-1,-1
208,711,1624069177913,-1,-1,-1
209,967,1624069178887,-1,-1,-1
210,863,1624069179894,-1,-1,-1
211,839,1624069179894,-1,-1,-1
212,831,1624069180923,-1,-1,-1
213,863,1624069181903,-1,-1,-1
214,839,1624069182904,-1,-1,-1
215,823,1624069183957,-1,-1,-1
216,775,1624069184903,-1,-1,-1
217,839,1624069184903,-1,-1,-1
218,799,1624069185903,-1,-1,-1
219,903,1624069186914,-1,-1,-1
220,815,1624069187881,-1,-1,-1
221,791,1624069188934,-1,-1,-1
222,543,1624069188934,-1,-1,-1
223,1039,1624069194902,-1,-1,-1
224,767,1624069195916,-1,-1,-1
225,847,1624069196900,-1,-1,-1
226,663,1624069199026,-1,-1,-1
227,823,1624069200907,-1,-1,-1
228,791,1624069201928,-1,-1,-1
229,911,1624069202898,-1,-1,-1
230,783,1624069203916,-1,-1,-1
231,895,1624069205894,-1,-1,-1
232,719,1624069207954,-1,-1,-1
233,823,1624069208969,-1,-1,-1
234,1000,1624069209955,-1,-1,-1
235,759,1624069209955,-1,-1,-1
236,783,1624069210917,-1,-1,-1
237,1007,1624069211893,-1,-1,-1
238,831,1624069212917,-1,-1,-1
239,879,1624069213951,-1,-1,-1
240,831,1624069214890,-1,-1,-1
241,887,1624069215943,-1,-1,-1
242,775,1624069215943,-1,-1,-1
243,911,1624069216922,-1,-1,-1
244,855,1624069217883,-1,-1,-1
245,551,1624069218977,-1,-1,-1
246,815,1624069220898,-1,-1,-1
247,751,1624069221903,-1,-1,-1
248,951,1624069222957,-1,-1,-1
249,823,1624069223962,-1,-1,-1
250,935,1624069224941,-1,-1,-1
251,767,1624069225927,-1,-1,-1
252,575,1624069242897,-1,-1,-1
253,535,1624069250895,-1,-1,-1
254,663,1624069254899,-1,-1,-1
255,615,1624069255955,-1,-1,-1
256,831,1624069256890,-1,-1,-1
257,583,1624069256890,-1,-1,-1
258,511,1624069258711,-1,-1,-1
259,599,1624069259726,-1,-1,-1
260,855,1624069260736,-1,-1,-1
261,479,1624069260736,-1,-1,-1
262,551,1624069264712,-1,-1,-1
263,871,1624069267717,-1,-1,-1
264,727,1624069268724,-1,-1,-1
265,4247,1624069280748,-1,-1,-1
266,663,1624069282718,-1,-1,-1
267,863,1624069284749,-1,-1,-1
268,511,1624069285723,-1,-1,-1
269,3127,1624069289732,-1,-1,-1
270,575,1624069291724,-1,-1,-1
271,503,1624069291724,-1,-1,-1
272,455,1624069292738,-1,-1,-1
273,431,1624069292738,-1,-1,-1
274,543,1624069293781,-1,-1,-1
275,719,1624069294723,-1,-1,-1
276,527,1624069295742,-1,-1,-1
277,2991,1624069298777,-1,-1,-1
278,519,1624069299745,-1,-1,-1
279,631,1624069299745,-1,-1,-1
280,455,1624069300727,-1,-1,-1
281,527,1624069301733,-1,-1,-1
282,743,1624069302834,-1,-1,-1
283,479,1624069302834,-1,-1,-1
284,639,1624069303727,-1,-1,-1
285,799,1624069304738,-1,-1,-1
286,439,1624069304738,-1,-1,-1
287,767,1624069307729,-1,-1,-1
288,623,1624069309717,-1,-1,-1
289,679,1624069311738,-1,-1,-1
290,815,1624069316727,-1,-1,-1
291,823,1624069318714,-1,-1,-1
292,655,1624069319728,-1,-1,-1
293,743,1624069321731,-1,-1,-1
294,583,1624069321731,-1,-1,-1
295,527,1624069322732,-1,-1,-1
296,743,1624069322733,-1,-1,-1
297,623,1624069323786,-1,-1,-1
298,679,1624069330726,-1,-1,-1
299,511,1624069330726,-1,-1,-1
300,711,1624069331742,-1,-1,-1
301,663,1624069332793,-1,-1,-1
302,767,1624069346727,-1,-1,-1
303,847,1624069348725,-1,-1,-1
304,863,1624069349737,-1,-1,-1
305,863,1624069355745,-1,-1,-1
306,775,1624069357720,-1,-1,-1
307,863,1624069365724,-1,-1,-1
308,871,1624069368741,-1,-1,-1
309,855,1624069372723,-1,-1,-1
310,839,1624069373769,-1,-1,-1
311,1015,1624069383788,-1,-1,-1
312,799,1624069383788,-1,-1,-1
313,807,1624069384729,-1,-1,-1
314,839,1624069387716,-1,-1,-1
315,871,1624069388767,-1,-1,-1
316,871,1624069389702,-1,-1,-1
317,823,1624069390716,-1,-1,-1
318,831,1624069393721,-1,-1,-1
