,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,791,1623072923559,-1,-1,-1
1,639,1623072923559,-1,-1,-1
2,775,1623072923559,-1,-1,-1
3,759,1623072923559,-1,-1,-1
4,783,1623072923559,-1,-1,-1
5,767,1623072923559,-1,-1,-1
6,735,1623072923559,-1,-1,-1
7,759,1623072923559,-1,-1,-1
8,679,1623072923559,-1,-1,-1
9,743,1623072924100,-1,-1,-1
10,727,1623072924100,-1,-1,-1
11,711,1623072924100,-1,-1,-1
12,735,1623072925090,-1,-1,-1
13,711,1623072926079,-1,-1,-1
14,719,1623072926079,-1,-1,-1
15,743,1623072927085,-1,-1,-1
16,743,1623072928074,-1,-1,-1
17,735,1623072929064,-1,-1,-1
18,743,1623072929064,-1,-1,-1
19,727,1623072930083,-1,-1,-1
20,711,1623072931073,-1,-1,-1
21,695,1623072931073,-1,-1,-1
22,687,1623072932067,-1,-1,-1
23,695,1623072933084,-1,-1,-1
24,695,1623072934077,-1,-1,-1
25,695,1623072934077,-1,-1,-1
26,711,1623072935067,-1,-1,-1
27,671,1623072937074,-1,-1,-1
28,791,1623072938065,-1,-1,-1
29,815,1623072939083,-1,-1,-1
30,719,1623072940104,-1,-1,-1
31,767,1623072940104,-1,-1,-1
32,751,1623072941093,-1,-1,-1
33,727,1623072942084,-1,-1,-1
34,703,1623072942084,-1,-1,-1
35,671,1623072943073,-1,-1,-1
36,679,1623072944064,-1,-1,-1
37,535,1623072946074,-1,-1,-1
38,847,1623072947064,-1,-1,-1
39,767,1623072947064,-1,-1,-1
40,695,1623072948084,-1,-1,-1
41,751,1623072949073,-1,-1,-1
42,719,1623072952073,-1,-1,-1
43,727,1623072952074,-1,-1,-1
44,719,1623072953063,-1,-1,-1
45,679,1623072954054,-1,-1,-1
46,695,1623072955074,-1,-1,-1
47,807,1623072955074,-1,-1,-1
48,751,1623072956063,-1,-1,-1
49,767,1623072957053,-1,-1,-1
50,799,1623072958072,-1,-1,-1
51,759,1623072960052,-1,-1,-1
52,783,1623072961073,-1,-1,-1
53,799,1623072962061,-1,-1,-1
54,807,1623072962061,-1,-1,-1
55,807,1623072963052,-1,-1,-1
56,783,1623072964074,-1,-1,-1
57,759,1623072965063,-1,-1,-1
58,751,1623072965063,-1,-1,-1
59,735,1623072966054,-1,-1,-1
60,727,1623072967076,-1,-1,-1
61,727,1623072968068,-1,-1,-1
62,735,1623072968068,-1,-1,-1
63,783,1623072969060,-1,-1,-1
64,799,1623072970109,-1,-1,-1
65,791,1623072971067,-1,-1,-1
66,807,1623072972059,-1,-1,-1
67,831,1623072972059,-1,-1,-1
68,823,1623072973108,-1,-1,-1
69,799,1623072974099,-1,-1,-1
70,807,1623072975089,-1,-1,-1
71,839,1623072976072,-1,-1,-1
72,855,1623072977067,-1,-1,-1
73,759,1623072977067,-1,-1,-1
74,799,1623072978088,-1,-1,-1
75,839,1623072981089,-1,-1,-1
76,711,1623072981089,-1,-1,-1
77,815,1623072982078,-1,-1,-1
