,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,1039,1624545673869,-1,-1,-1
1,991,1624545678902,-1,-1,-1
2,663,1624545694885,-1,-1,-1
3,815,1624545699888,-1,-1,-1
4,727,1624545700876,-1,-1,-1
5,783,1624545704894,-1,-1,-1
6,767,1624545706873,-1,-1,-1
7,767,1624545707915,-1,-1,-1
8,807,1624545708878,-1,-1,-1
9,751,1624545708878,-1,-1,-1
10,711,1624545709871,-1,-1,-1
11,639,1624545710889,-1,-1,-1
12,679,1624545710889,-1,-1,-1
13,623,1624545711880,-1,-1,-1
14,751,1624545712868,-1,-1,-1
15,631,1624545714876,-1,-1,-1
16,671,1624545715893,-1,-1,-1
17,783,1624545716883,-1,-1,-1
18,831,1624545717868,-1,-1,-1
19,815,1624545717868,-1,-1,-1
20,783,1624545718893,-1,-1,-1
21,743,1624545719881,-1,-1,-1
22,711,1624545720872,-1,-1,-1
23,759,1624545720872,-1,-1,-1
24,719,1624545721883,-1,-1,-1
25,703,1624545722878,-1,-1,-1
26,703,1624545723869,-1,-1,-1
27,687,1624545723869,-1,-1,-1
28,583,1624545724880,-1,-1,-1
29,791,1624545725877,-1,-1,-1
30,743,1624545727884,-1,-1,-1
31,735,1624545728874,-1,-1,-1
32,663,1624545728874,-1,-1,-1
33,639,1624545729892,-1,-1,-1
34,663,1624545731871,-1,-1,-1
35,743,1624545732888,-1,-1,-1
36,895,1624545733880,-1,-1,-1
37,671,1624545736877,-1,-1,-1
38,671,1624545737868,-1,-1,-1
39,639,1624545737868,-1,-1,-1
40,671,1624545738885,-1,-1,-1
41,727,1624545739874,-1,-1,-1
42,807,1624545740919,-1,-1,-1
43,783,1624545740919,-1,-1,-1
44,719,1624545741880,-1,-1,-1
45,743,1624545742871,-1,-1,-1
46,783,1624545743889,-1,-1,-1
47,751,1624545743890,-1,-1,-1
48,655,1624545753873,-1,-1,-1
49,663,1624545753873,-1,-1,-1
50,695,1624545758878,-1,-1,-1
51,687,1624545759868,-1,-1,-1
52,791,1624545759868,-1,-1,-1
53,743,1624545760884,-1,-1,-1
54,727,1624545761901,-1,-1,-1
55,807,1624545762864,-1,-1,-1
56,807,1624545762864,-1,-1,-1
57,751,1624545763881,-1,-1,-1
58,607,1624545765885,-1,-1,-1
59,735,1624545766881,-1,-1,-1
60,703,1624545767869,-1,-1,-1
61,663,1624545767869,-1,-1,-1
62,671,1624545768887,-1,-1,-1
63,655,1624545769878,-1,-1,-1
64,727,1624545769878,-1,-1,-1
65,767,1624545770867,-1,-1,-1
66,743,1624545771886,-1,-1,-1
67,767,1624545772876,-1,-1,-1
68,687,1624545772876,-1,-1,-1
69,615,1624545773864,-1,-1,-1
70,631,1624545774882,-1,-1,-1
71,631,1624545774882,-1,-1,-1
72,743,1624545775871,-1,-1,-1
73,735,1624545776862,-1,-1,-1
74,703,1624545776862,-1,-1,-1
75,727,1624545777874,-1,-1,-1
