,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,647,1624021128629,-1,-1,-1
1,631,1624021128629,-1,-1,-1
2,631,1624021128629,-1,-1,-1
3,663,1624021128629,-1,-1,-1
4,671,1624021128629,-1,-1,-1
5,695,1624021128629,-1,-1,-1
6,679,1624021128629,-1,-1,-1
7,671,1624021128629,-1,-1,-1
8,655,1624021128629,-1,-1,-1
9,655,1624021129145,-1,-1,-1
10,655,1624021129145,-1,-1,-1
11,639,1624021129145,-1,-1,-1
12,647,1624021129145,-1,-1,-1
13,647,1624021129625,-1,-1,-1
14,639,1624021130625,-1,-1,-1
15,631,1624021130626,-1,-1,-1
16,639,1624021131626,-1,-1,-1
17,599,1624021132627,-1,-1,-1
18,687,1624021132627,-1,-1,-1
19,711,1624021133629,-1,-1,-1
20,679,1624021134668,-1,-1,-1
21,639,1624021134668,-1,-1,-1
22,671,1624021135629,-1,-1,-1
23,647,1624021136621,-1,-1,-1
24,599,1624021138668,-1,-1,-1
25,631,1624021138672,-1,-1,-1
26,631,1624021139630,-1,-1,-1
27,639,1624021139631,-1,-1,-1
28,631,1624021140631,-1,-1,-1
29,623,1624021141630,-1,-1,-1
30,599,1624021141630,-1,-1,-1
31,591,1624021142626,-1,-1,-1
32,447,1624021144620,-1,-1,-1
33,791,1624021150619,-1,-1,-1
34,751,1624021151630,-1,-1,-1
35,711,1624021151631,-1,-1,-1
36,679,1624021152628,-1,-1,-1
37,639,1624021153628,-1,-1,-1
38,623,1624021153628,-1,-1,-1
39,607,1624021154629,-1,-1,-1
40,591,1624021154629,-1,-1,-1
41,599,1624021155630,-1,-1,-1
42,607,1624021156621,-1,-1,-1
43,655,1624021156621,-1,-1,-1
44,839,1624021158630,-1,-1,-1
45,831,1624021159619,-1,-1,-1
46,775,1624021160627,-1,-1,-1
47,743,1624021160627,-1,-1,-1
48,679,1624021161619,-1,-1,-1
49,663,1624021162619,-1,-1,-1
50,623,1624021162619,-1,-1,-1
51,599,1624021163627,-1,-1,-1
52,615,1624021164626,-1,-1,-1
53,575,1624021164626,-1,-1,-1
54,583,1624021165629,-1,-1,-1
55,783,1624021167659,-1,-1,-1
56,807,1624021169622,-1,-1,-1
57,727,1624021170673,-1,-1,-1
58,679,1624021171627,-1,-1,-1
59,631,1624021171628,-1,-1,-1
60,623,1624021172626,-1,-1,-1
61,623,1624021173659,-1,-1,-1
62,687,1624021173659,-1,-1,-1
63,663,1624021174629,-1,-1,-1
64,647,1624021175628,-1,-1,-1
65,623,1624021175628,-1,-1,-1
66,591,1624021176628,-1,-1,-1
67,623,1624021176628,-1,-1,-1
68,655,1624021177623,-1,-1,-1
69,703,1624021178624,-1,-1,-1
70,703,1624021178624,-1,-1,-1
71,679,1624021179619,-1,-1,-1
72,655,1624021180619,-1,-1,-1
73,599,1624021180619,-1,-1,-1
74,663,1624021181628,-1,-1,-1
75,631,1624021182632,-1,-1,-1
76,599,1624021182632,-1,-1,-1
77,567,1624021183621,-1,-1,-1
78,583,1624021183621,-1,-1,-1
79,599,1624021184627,-1,-1,-1
80,647,1624021185629,-1,-1,-1
81,727,1624021185629,-1,-1,-1
82,759,1624021186627,-1,-1,-1
83,751,1624021187629,-1,-1,-1
84,791,1624021188629,-1,-1,-1
85,799,1624021189627,-1,-1,-1
86,767,1624021189627,-1,-1,-1
87,751,1624021190627,-1,-1,-1
88,687,1624021191629,-1,-1,-1
89,639,1624021191629,-1,-1,-1
90,607,1624021192628,-1,-1,-1
91,575,1624021193629,-1,-1,-1
92,607,1624021193629,-1,-1,-1
93,623,1624021194625,-1,-1,-1
94,655,1624021194625,-1,-1,-1
95,631,1624021195628,-1,-1,-1
96,615,1624021196626,-1,-1,-1
97,655,1624021196626,-1,-1,-1
98,703,1624021197628,-1,-1,-1
99,735,1624021198668,-1,-1,-1
100,727,1624021199629,-1,-1,-1
101,695,1624021199629,-1,-1,-1
102,687,1624021200668,-1,-1,-1
103,615,1624021201627,-1,-1,-1
104,623,1624021201627,-1,-1,-1
