,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,695,1622828098451,-1,-1,-1
1,655,1622828098451,-1,-1,-1
2,655,1622828098451,-1,-1,-1
3,647,1622828098451,-1,-1,-1
4,703,1622828098451,-1,-1,-1
5,711,1622828098451,-1,-1,-1
6,695,1622828098451,-1,-1,-1
7,687,1622828098451,-1,-1,-1
8,671,1622828098451,-1,-1,-1
9,655,1622828098904,-1,-1,-1
10,647,1622828098904,-1,-1,-1
11,655,1622828099897,-1,-1,-1
12,631,1622828100884,-1,-1,-1
13,623,1622828100885,-1,-1,-1
14,695,1622828101875,-1,-1,-1
15,695,1622828107877,-1,-1,-1
16,775,1622828109884,-1,-1,-1
17,687,1622828110874,-1,-1,-1
18,671,1622828111863,-1,-1,-1
19,695,1622828111863,-1,-1,-1
20,663,1622828112883,-1,-1,-1
21,623,1622828113873,-1,-1,-1
22,559,1622828116877,-1,-1,-1
23,647,1622828117866,-1,-1,-1
24,647,1622828117866,-1,-1,-1
25,599,1622828118885,-1,-1,-1
26,639,1622828119875,-1,-1,-1
27,615,1622828119875,-1,-1,-1
28,607,1622828120863,-1,-1,-1
29,663,1622828120863,-1,-1,-1
30,711,1622828122874,-1,-1,-1
31,783,1622828123863,-1,-1,-1
32,839,1622828124883,-1,-1,-1
33,831,1622828125875,-1,-1,-1
34,759,1622828126865,-1,-1,-1
35,727,1622828126867,-1,-1,-1
36,719,1622828127884,-1,-1,-1
37,719,1622828128874,-1,-1,-1
38,719,1622828128874,-1,-1,-1
39,703,1622828129863,-1,-1,-1
40,703,1622828130883,-1,-1,-1
41,679,1622828131873,-1,-1,-1
42,591,1622828131873,-1,-1,-1
43,727,1622828132872,-1,-1,-1
44,623,1622828132873,-1,-1,-1
45,623,1622828133883,-1,-1,-1
46,631,1622828134876,-1,-1,-1
47,687,1622828134876,-1,-1,-1
48,695,1622828135863,-1,-1,-1
49,767,1622828136883,-1,-1,-1
50,799,1622828137875,-1,-1,-1
51,775,1622828137875,-1,-1,-1
52,759,1622828138862,-1,-1,-1
53,719,1622828139883,-1,-1,-1
54,671,1622828140875,-1,-1,-1
55,655,1622828140875,-1,-1,-1
56,623,1622828141861,-1,-1,-1
57,639,1622828142884,-1,-1,-1
58,615,1622828142884,-1,-1,-1
59,655,1622828143873,-1,-1,-1
60,671,1622828143874,-1,-1,-1
61,695,1622828144862,-1,-1,-1
62,791,1622828145883,-1,-1,-1
63,855,1622828147863,-1,-1,-1
64,839,1622828148913,-1,-1,-1
65,799,1622828148913,-1,-1,-1
66,767,1622828149873,-1,-1,-1
67,751,1622828150863,-1,-1,-1
