,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,639,1623184981111,-1,-1,-1
1,575,1623184982125,-1,-1,-1
2,599,1623184982125,-1,-1,-1
3,623,1623184983124,-1,-1,-1
4,591,1623184983124,-1,-1,-1
5,631,1623184985129,-1,-1,-1
6,623,1623184987098,-1,-1,-1
7,487,1623184988123,-1,-1,-1
8,663,1623184991131,-1,-1,-1
9,599,1623184993125,-1,-1,-1
10,623,1623184994110,-1,-1,-1
11,639,1623184994110,-1,-1,-1
12,599,1623184995132,-1,-1,-1
13,631,1623184997125,-1,-1,-1
14,639,1623184998144,-1,-1,-1
15,639,1623184998144,-1,-1,-1
16,623,1623184999163,-1,-1,-1
17,599,1623184999163,-1,-1,-1
18,671,1623185000133,-1,-1,-1
19,535,1623185002121,-1,-1,-1
20,543,1623185003124,-1,-1,-1
21,535,1623185003124,-1,-1,-1
22,543,1623185004122,-1,-1,-1
23,559,1623185004123,-1,-1,-1
24,591,1623185005098,-1,-1,-1
25,527,1623185008096,-1,-1,-1
26,567,1623185011100,-1,-1,-1
27,495,1623185011100,-1,-1,-1
28,535,1623185017116,-1,-1,-1
29,495,1623185017116,-1,-1,-1
30,439,1623185018108,-1,-1,-1
31,631,1623185022174,-1,-1,-1
32,655,1623185025131,-1,-1,-1
33,639,1623185026109,-1,-1,-1
34,655,1623185026109,-1,-1,-1
35,567,1623185029096,-1,-1,-1
36,527,1623185029096,-1,-1,-1
37,583,1623185030110,-1,-1,-1
38,527,1623185030110,-1,-1,-1
39,567,1623185031122,-1,-1,-1
40,495,1623185031122,-1,-1,-1
41,535,1623185032132,-1,-1,-1
42,527,1623185032132,-1,-1,-1
43,527,1623185033109,-1,-1,-1
44,511,1623185034121,-1,-1,-1
45,503,1623185034121,-1,-1,-1
46,543,1623185035096,-1,-1,-1
47,495,1623185035096,-1,-1,-1
48,463,1623185036107,-1,-1,-1
49,511,1623185036108,-1,-1,-1
50,495,1623185037120,-1,-1,-1
51,543,1623185037120,-1,-1,-1
52,431,1623185038095,-1,-1,-1
53,519,1623185038095,-1,-1,-1
54,479,1623185039110,-1,-1,-1
55,479,1623185039110,-1,-1,-1
56,511,1623185039110,-1,-1,-1
57,423,1623185040120,-1,-1,-1
58,535,1623185045107,-1,-1,-1
59,503,1623185046123,-1,-1,-1
60,519,1623185048108,-1,-1,-1
61,567,1623185048108,-1,-1,-1
62,551,1623185049121,-1,-1,-1
63,551,1623185049121,-1,-1,-1
64,567,1623185050095,-1,-1,-1
65,551,1623185050095,-1,-1,-1
66,551,1623185051110,-1,-1,-1
67,559,1623185051110,-1,-1,-1
68,527,1623185052134,-1,-1,-1
69,511,1623185055120,-1,-1,-1
70,543,1623185055120,-1,-1,-1
71,503,1623185057109,-1,-1,-1
72,535,1623185057109,-1,-1,-1
73,543,1623185058124,-1,-1,-1
74,735,1623185061149,-1,-1,-1
75,639,1623185065140,-1,-1,-1
76,599,1623185068094,-1,-1,-1
77,535,1623185071093,-1,-1,-1
78,535,1623185072108,-1,-1,-1
79,527,1623185072108,-1,-1,-1
80,543,1623185076121,-1,-1,-1
81,655,1623185076121,-1,-1,-1
82,543,1623185077159,-1,-1,-1
83,615,1623185077159,-1,-1,-1
84,583,1623185078106,-1,-1,-1
85,575,1623185079125,-1,-1,-1
86,583,1623185079125,-1,-1,-1
87,583,1623185083093,-1,-1,-1
88,607,1623185086122,-1,-1,-1
89,631,1623185087106,-1,-1,-1
90,703,1623185088119,-1,-1,-1
91,559,1623185091127,-1,-1,-1
92,559,1623185092128,-1,-1,-1
93,559,1623185092128,-1,-1,-1
94,519,1623185093119,-1,-1,-1
95,567,1623185093119,-1,-1,-1
96,615,1623185096105,-1,-1,-1
97,511,1623185098132,-1,-1,-1
98,639,1623185099106,-1,-1,-1
99,615,1623185099106,-1,-1,-1
100,607,1623185100118,-1,-1,-1
101,591,1623185101093,-1,-1,-1
102,599,1623185101093,-1,-1,-1
103,591,1623185102105,-1,-1,-1
104,607,1623185102105,-1,-1,-1
105,607,1623185103117,-1,-1,-1
106,591,1623185104114,-1,-1,-1
107,607,1623185104114,-1,-1,-1
108,639,1623185105105,-1,-1,-1
109,551,1623185107093,-1,-1,-1
110,615,1623185108106,-1,-1,-1
111,575,1623185108106,-1,-1,-1
112,615,1623185109170,-1,-1,-1
113,575,1623185110092,-1,-1,-1
114,575,1623185110092,-1,-1,-1
115,407,1623185111108,-1,-1,-1
116,727,1623185111109,-1,-1,-1
117,543,1623185113092,-1,-1,-1
118,567,1623185113092,-1,-1,-1
119,583,1623185114105,-1,-1,-1
120,591,1623185115120,-1,-1,-1
121,599,1623185115120,-1,-1,-1
122,583,1623185116092,-1,-1,-1
123,599,1623185116092,-1,-1,-1
