,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,732,1623417429275,-1,-1,-1
1,648,1623417429275,-1,-1,-1
2,716,1623417429275,-1,-1,-1
3,716,1623417429275,-1,-1,-1
4,693,1623417430275,-1,-1,-1
5,701,1623417431273,-1,-1,-1
6,693,1623417432279,-1,-1,-1
7,686,1623417432279,-1,-1,-1
8,678,1623417433274,-1,-1,-1
9,678,1623417434275,-1,-1,-1
10,663,1623417434275,-1,-1,-1
11,678,1623417435323,-1,-1,-1
12,693,1623417436273,-1,-1,-1
13,678,1623417437273,-1,-1,-1
14,678,1623417437273,-1,-1,-1
15,708,1623417438324,-1,-1,-1
16,686,1623417439325,-1,-1,-1
17,693,1623417439326,-1,-1,-1
18,708,1623417440330,-1,-1,-1
19,686,1623417441324,-1,-1,-1
20,693,1623417441324,-1,-1,-1
21,701,1623417442330,-1,-1,-1
22,686,1623417443324,-1,-1,-1
23,701,1623417444325,-1,-1,-1
24,693,1623417444325,-1,-1,-1
25,686,1623417445324,-1,-1,-1
26,701,1623417446381,-1,-1,-1
27,708,1623417446381,-1,-1,-1
28,708,1623417447329,-1,-1,-1
29,716,1623417448382,-1,-1,-1
30,716,1623417449328,-1,-1,-1
31,701,1623417449328,-1,-1,-1
32,739,1623417450332,-1,-1,-1
33,777,1623417451331,-1,-1,-1
34,602,1623417460328,-1,-1,-1
35,655,1623417460328,-1,-1,-1
36,670,1623417460328,-1,-1,-1
37,670,1623417460328,-1,-1,-1
38,663,1623417460328,-1,-1,-1
39,678,1623417461329,-1,-1,-1
40,686,1623417462331,-1,-1,-1
41,678,1623417463330,-1,-1,-1
42,686,1623417463330,-1,-1,-1
43,701,1623417464379,-1,-1,-1
44,701,1623417465331,-1,-1,-1
45,693,1623417465331,-1,-1,-1
46,708,1623417466330,-1,-1,-1
47,693,1623417467380,-1,-1,-1
48,693,1623417468330,-1,-1,-1
49,708,1623417468330,-1,-1,-1
50,708,1623417469331,-1,-1,-1
51,701,1623417470329,-1,-1,-1
52,701,1623417470329,-1,-1,-1
53,686,1623417471429,-1,-1,-1
54,678,1623417472332,-1,-1,-1
55,655,1623417473330,-1,-1,-1
56,648,1623417473330,-1,-1,-1
57,640,1623417474329,-1,-1,-1
58,655,1623417475330,-1,-1,-1
59,670,1623417475330,-1,-1,-1
60,678,1623417476330,-1,-1,-1
61,693,1623417477328,-1,-1,-1
62,724,1623417477328,-1,-1,-1
63,724,1623417478425,-1,-1,-1
64,724,1623417479330,-1,-1,-1
65,724,1623417480329,-1,-1,-1
66,716,1623417480329,-1,-1,-1
67,693,1623417481380,-1,-1,-1
68,678,1623417482330,-1,-1,-1
