,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,716,1622544167368,-1,-1,-1
1,648,1622544167368,-1,-1,-1
2,808,1622544167368,-1,-1,-1
3,739,1622544167368,-1,-1,-1
4,571,1622544168346,-1,-1,-1
5,693,1622544247411,-1,-1,-1
6,670,1622544247411,-1,-1,-1
7,701,1622544247411,-1,-1,-1
8,610,1622544247411,-1,-1,-1
9,663,1622544302471,-1,-1,-1
10,770,1622544302471,-1,-1,-1
11,510,1622544302471,-1,-1,-1
12,701,1622544302471,-1,-1,-1
13,663,1622544303446,-1,-1,-1
14,640,1622544304464,-1,-1,-1
15,579,1622544418567,-1,-1,-1
16,708,1622544418567,-1,-1,-1
17,770,1622544418567,-1,-1,-1
18,716,1622544418567,-1,-1,-1
19,739,1622544418567,-1,-1,-1
20,800,1622544419583,-1,-1,-1
21,625,1622544448600,-1,-1,-1
22,617,1622544448600,-1,-1,-1
23,732,1622544448600,-1,-1,-1
24,655,1622544448600,-1,-1,-1
25,686,1622544449612,-1,-1,-1
26,663,1622544449612,-1,-1,-1
27,708,1622544450596,-1,-1,-1
28,777,1622544451608,-1,-1,-1
29,800,1622544452588,-1,-1,-1
30,907,1622544453605,-1,-1,-1
31,823,1622544453605,-1,-1,-1
32,831,1622544454618,-1,-1,-1
33,792,1622544455601,-1,-1,-1
34,724,1622544456613,-1,-1,-1
35,442,1622544466623,-1,-1,-1
36,678,1622544466623,-1,-1,-1
37,678,1622544466623,-1,-1,-1
38,815,1622544466623,-1,-1,-1
39,686,1622544467635,-1,-1,-1
40,854,1622544468621,-1,-1,-1
41,708,1622544468621,-1,-1,-1
42,876,1622544469636,-1,-1,-1
43,785,1622544470682,-1,-1,-1
44,800,1622544471625,-1,-1,-1
45,831,1622544472645,-1,-1,-1
46,823,1622544472645,-1,-1,-1
47,808,1622544473621,-1,-1,-1
48,854,1622544474636,-1,-1,-1
49,1181,1622544574704,-1,-1,-1
50,457,1622544574704,-1,-1,-1
51,480,1622544574704,-1,-1,-1
52,1143,1622544574704,-1,-1,-1
53,586,1622544648765,-1,-1,-1
54,1517,1622544648765,-1,-1,-1
55,670,1622544648765,-1,-1,-1
56,640,1622544648765,-1,-1,-1
57,907,1622544649815,-1,-1,-1
58,945,1622544653772,-1,-1,-1
59,632,1622544653772,-1,-1,-1
60,899,1622544653772,-1,-1,-1
61,777,1622544653772,-1,-1,-1
62,418,1622544667807,-1,-1,-1
63,968,1622544667807,-1,-1,-1
64,617,1622544667807,-1,-1,-1
65,815,1622544667807,-1,-1,-1
66,510,1622544667807,-1,-1,-1
67,815,1622544687827,-1,-1,-1
68,754,1622544687828,-1,-1,-1
69,739,1622544687828,-1,-1,-1
70,632,1622544687828,-1,-1,-1
71,808,1622544688809,-1,-1,-1
72,732,1622544717859,-1,-1,-1
73,701,1622544717859,-1,-1,-1
74,663,1622544717859,-1,-1,-1
75,701,1622544717859,-1,-1,-1
76,708,1622544718839,-1,-1,-1
77,678,1622544720836,-1,-1,-1
78,518,1622544720836,-1,-1,-1
79,1029,1622544721850,-1,-1,-1
80,754,1622544722861,-1,-1,-1
81,792,1622544727875,-1,-1,-1
82,579,1622544727875,-1,-1,-1
83,884,1622544727875,-1,-1,-1
84,640,1622544727875,-1,-1,-1
85,693,1622544733856,-1,-1,-1
86,762,1622544733856,-1,-1,-1
87,716,1622544733856,-1,-1,-1
88,678,1622544733856,-1,-1,-1
89,739,1622544734872,-1,-1,-1
90,708,1622544735849,-1,-1,-1
91,701,1622544736870,-1,-1,-1
92,724,1622544744885,-1,-1,-1
93,739,1622544744885,-1,-1,-1
94,747,1622544744885,-1,-1,-1
95,800,1622544744885,-1,-1,-1
96,739,1622544745860,-1,-1,-1
97,686,1622544756889,-1,-1,-1
98,831,1622544756889,-1,-1,-1
99,777,1622544756889,-1,-1,-1
100,792,1622544756889,-1,-1,-1
101,838,1622544757867,-1,-1,-1
102,785,1622544757867,-1,-1,-1
103,747,1622544758881,-1,-1,-1
104,770,1622544759902,-1,-1,-1
105,777,1622544760871,-1,-1,-1
106,747,1622544761896,-1,-1,-1
107,747,1622544761896,-1,-1,-1
108,770,1622544762873,-1,-1,-1
109,754,1622544763924,-1,-1,-1
110,785,1622544764904,-1,-1,-1
111,732,1622544764904,-1,-1,-1
112,716,1622544765880,-1,-1,-1
113,747,1622544766900,-1,-1,-1
114,747,1622544767880,-1,-1,-1
115,747,1622544767880,-1,-1,-1
116,762,1622544768891,-1,-1,-1
117,732,1622544769906,-1,-1,-1
118,739,1622544770889,-1,-1,-1
119,770,1622544771900,-1,-1,-1
120,747,1622544771900,-1,-1,-1
121,724,1622544772918,-1,-1,-1
122,747,1622544773897,-1,-1,-1
123,739,1622544774915,-1,-1,-1
124,739,1622544774915,-1,-1,-1
125,747,1622544775893,-1,-1,-1
126,754,1622544776909,-1,-1,-1
127,770,1622544777921,-1,-1,-1
128,770,1622544777921,-1,-1,-1
129,739,1622544778901,-1,-1,-1
130,747,1622544779919,-1,-1,-1
131,724,1622544780898,-1,-1,-1
132,762,1622544780898,-1,-1,-1
133,747,1622544781910,-1,-1,-1
134,732,1622544782892,-1,-1,-1
135,716,1622544783942,-1,-1,-1
136,754,1622544784922,-1,-1,-1
137,739,1622544784922,-1,-1,-1
138,708,1622544785904,-1,-1,-1
139,747,1622544786920,-1,-1,-1
140,724,1622544787899,-1,-1,-1
141,732,1622544787899,-1,-1,-1
142,686,1622544788914,-1,-1,-1
143,739,1622544789891,-1,-1,-1
144,724,1622544789891,-1,-1,-1
145,708,1622544790942,-1,-1,-1
146,724,1622544791924,-1,-1,-1
147,724,1622544792903,-1,-1,-1
148,739,1622544792903,-1,-1,-1
149,701,1622544795917,-1,-1,-1
150,693,1622544796926,-1,-1,-1
151,686,1622544797908,-1,-1,-1
152,678,1622544797908,-1,-1,-1
153,770,1622544798925,-1,-1,-1
154,678,1622544823986,-1,-1,-1
155,785,1622544823986,-1,-1,-1
156,716,1622544823986,-1,-1,-1
157,815,1622544823986,-1,-1,-1
158,708,1622544826961,-1,-1,-1
159,663,1622544826961,-1,-1,-1
160,663,1622544826961,-1,-1,-1
161,678,1622544826961,-1,-1,-1
162,739,1622544827939,-1,-1,-1
163,625,1622544828956,-1,-1,-1
164,708,1622544828956,-1,-1,-1
165,678,1622544829936,-1,-1,-1
166,411,1622544829936,-1,-1,-1
167,526,1622544830953,-1,-1,-1
168,762,1622544835957,-1,-1,-1
169,785,1622544835957,-1,-1,-1
170,800,1622544836935,-1,-1,-1
171,777,1622544837951,-1,-1,-1
172,800,1622544838964,-1,-1,-1
173,777,1622544839946,-1,-1,-1
174,792,1622544839946,-1,-1,-1
175,777,1622544840960,-1,-1,-1
176,785,1622544841976,-1,-1,-1
177,754,1622544842951,-1,-1,-1
178,770,1622544842951,-1,-1,-1
179,762,1622544844002,-1,-1,-1
180,747,1622544844951,-1,-1,-1
181,724,1622544845963,-1,-1,-1
182,739,1622544845963,-1,-1,-1
183,732,1622544846979,-1,-1,-1
184,686,1622544847958,-1,-1,-1
185,716,1622544848978,-1,-1,-1
186,693,1622544848979,-1,-1,-1
187,541,1622544849956,-1,-1,-1
188,678,1622544860000,-1,-1,-1
189,686,1622544860000,-1,-1,-1
190,686,1622544860000,-1,-1,-1
191,701,1622544860000,-1,-1,-1
192,708,1622544860983,-1,-1,-1
193,693,1622544860983,-1,-1,-1
194,693,1622544862003,-1,-1,-1
195,686,1622544862977,-1,-1,-1
196,693,1622544862977,-1,-1,-1
197,701,1622544864029,-1,-1,-1
198,701,1622544864973,-1,-1,-1
199,708,1622544865984,-1,-1,-1
200,724,1622544865984,-1,-1,-1
201,732,1622544867041,-1,-1,-1
202,732,1622544867983,-1,-1,-1
203,739,1622544869002,-1,-1,-1
204,724,1622544869002,-1,-1,-1
205,739,1622544869976,-1,-1,-1
206,754,1622544870992,-1,-1,-1
207,724,1622544872007,-1,-1,-1
208,686,1622544872984,-1,-1,-1
209,708,1622544874000,-1,-1,-1
210,701,1622544874983,-1,-1,-1
211,732,1622544884994,-1,-1,-1
212,701,1622544884994,-1,-1,-1
213,716,1622544884994,-1,-1,-1
214,724,1622544884994,-1,-1,-1
215,732,1622544884994,-1,-1,-1
216,716,1622544886004,-1,-1,-1
217,724,1622544886985,-1,-1,-1
218,747,1622544888003,-1,-1,-1
219,708,1622544888003,-1,-1,-1
220,724,1622544889049,-1,-1,-1
221,747,1622544890000,-1,-1,-1
