,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,727,1622913958497,-1,-1,-1
1,727,1622913958497,-1,-1,-1
2,767,1622913958498,-1,-1,-1
3,543,1622913958498,-1,-1,-1
4,631,1622913958498,-1,-1,-1
5,639,1622913958498,-1,-1,-1
6,735,1622913958498,-1,-1,-1
7,711,1622913958498,-1,-1,-1
8,671,1622913958498,-1,-1,-1
9,767,1622913959044,-1,-1,-1
10,719,1622913959044,-1,-1,-1
11,719,1622913959044,-1,-1,-1
12,727,1622913961509,-1,-1,-1
13,911,1622913965499,-1,-1,-1
14,831,1622913966520,-1,-1,-1
15,967,1622913969520,-1,-1,-1
16,815,1622913985508,-1,-1,-1
17,975,1622913986499,-1,-1,-1
18,695,1622913991508,-1,-1,-1
19,799,1622913992499,-1,-1,-1
20,767,1622913993489,-1,-1,-1
21,831,1622913994509,-1,-1,-1
22,687,1622913998498,-1,-1,-1
23,927,1622913999488,-1,-1,-1
24,551,1622914003518,-1,-1,-1
25,567,1622914007508,-1,-1,-1
26,847,1622914008496,-1,-1,-1
27,599,1622914011496,-1,-1,-1
28,887,1622914012516,-1,-1,-1
29,799,1622914015508,-1,-1,-1
30,775,1622914015509,-1,-1,-1
31,775,1622914016505,-1,-1,-1
32,679,1622914017495,-1,-1,-1
33,695,1622914021547,-1,-1,-1
34,591,1622914028499,-1,-1,-1
35,719,1622914029489,-1,-1,-1
36,439,1622914029490,-1,-1,-1
37,791,1622914031499,-1,-1,-1
38,719,1622914032489,-1,-1,-1
39,839,1622914033508,-1,-1,-1
40,767,1622914033508,-1,-1,-1
41,727,1622914036508,-1,-1,-1
42,935,1622914037499,-1,-1,-1
43,903,1622914040501,-1,-1,-1
44,823,1622914041488,-1,-1,-1
45,807,1622914042515,-1,-1,-1
46,583,1622914042516,-1,-1,-1
47,935,1622914043504,-1,-1,-1
48,807,1622914048513,-1,-1,-1
49,759,1622914050489,-1,-1,-1
50,783,1622914051509,-1,-1,-1
51,599,1622914053488,-1,-1,-1
52,775,1622914065495,-1,-1,-1
53,631,1622914066514,-1,-1,-1
54,655,1622914067498,-1,-1,-1
55,767,1622914071495,-1,-1,-1
56,727,1622914072507,-1,-1,-1
57,743,1622914072507,-1,-1,-1
58,871,1622914073505,-1,-1,-1
59,735,1622914074489,-1,-1,-1
60,871,1622914078509,-1,-1,-1
61,887,1622914079498,-1,-1,-1
62,695,1622914080488,-1,-1,-1
63,727,1622914080488,-1,-1,-1
64,727,1622914081508,-1,-1,-1
65,743,1622914082498,-1,-1,-1
66,719,1622914083487,-1,-1,-1
67,719,1622914083487,-1,-1,-1
68,719,1622914084507,-1,-1,-1
69,703,1622914085499,-1,-1,-1
70,695,1622914085499,-1,-1,-1
71,695,1622914086487,-1,-1,-1
72,687,1622914087538,-1,-1,-1
73,687,1622914087538,-1,-1,-1
74,687,1622914088498,-1,-1,-1
75,695,1622914089487,-1,-1,-1
76,671,1622914090508,-1,-1,-1
77,687,1622914090508,-1,-1,-1
78,711,1622914091498,-1,-1,-1
79,719,1622914092488,-1,-1,-1
80,751,1622914092488,-1,-1,-1
81,871,1622914093508,-1,-1,-1
82,895,1622914095488,-1,-1,-1
83,903,1622914096507,-1,-1,-1
84,927,1622914097498,-1,-1,-1
85,935,1622914098489,-1,-1,-1
86,871,1622914099508,-1,-1,-1
87,911,1622914100498,-1,-1,-1
88,903,1622914101488,-1,-1,-1
89,871,1622914102508,-1,-1,-1
90,895,1622914102508,-1,-1,-1
91,903,1622914103498,-1,-1,-1
92,863,1622914104488,-1,-1,-1
93,887,1622914105508,-1,-1,-1
94,935,1622914106498,-1,-1,-1
95,887,1622914107488,-1,-1,-1
96,895,1622914108507,-1,-1,-1
97,903,1622914109497,-1,-1,-1
98,871,1622914110488,-1,-1,-1
99,887,1622914110488,-1,-1,-1
100,887,1622914111508,-1,-1,-1
101,855,1622914112500,-1,-1,-1
102,863,1622914113488,-1,-1,-1
103,855,1622914114511,-1,-1,-1
104,839,1622914115497,-1,-1,-1
105,863,1622914116487,-1,-1,-1
106,855,1622914116487,-1,-1,-1
107,847,1622914117508,-1,-1,-1
108,863,1622914118498,-1,-1,-1
109,903,1622914119488,-1,-1,-1
110,935,1622914120538,-1,-1,-1
111,951,1622914121498,-1,-1,-1
112,871,1622914122489,-1,-1,-1
113,863,1622914123507,-1,-1,-1
114,807,1622914124498,-1,-1,-1
115,791,1622914124498,-1,-1,-1
116,823,1622914125488,-1,-1,-1
117,927,1622914126508,-1,-1,-1
118,959,1622914127498,-1,-1,-1
119,943,1622914128487,-1,-1,-1
120,943,1622914129507,-1,-1,-1
121,863,1622914131217,-1,-1,-1
122,807,1622914131487,-1,-1,-1
123,711,1622914131487,-1,-1,-1
124,743,1622914132507,-1,-1,-1
125,775,1622914133498,-1,-1,-1
126,895,1622914134488,-1,-1,-1
127,871,1622914135507,-1,-1,-1
128,815,1622914135507,-1,-1,-1
129,791,1622914136497,-1,-1,-1
130,815,1622914137494,-1,-1,-1
131,831,1622914138507,-1,-1,-1
132,807,1622914139498,-1,-1,-1
133,775,1622914139498,-1,-1,-1
134,767,1622914140488,-1,-1,-1
135,735,1622914141507,-1,-1,-1
136,695,1622914142497,-1,-1,-1
137,695,1622914142497,-1,-1,-1
138,727,1622914143487,-1,-1,-1
139,759,1622914144507,-1,-1,-1
140,943,1622914147509,-1,-1,-1
141,927,1622914148497,-1,-1,-1
142,935,1622914149489,-1,-1,-1
143,935,1622914150477,-1,-1,-1
144,695,1622914151498,-1,-1,-1
145,815,1622914151498,-1,-1,-1
146,991,1622914152488,-1,-1,-1
147,791,1622914153478,-1,-1,-1
148,767,1622914154497,-1,-1,-1
149,775,1622914155489,-1,-1,-1
150,791,1622914156477,-1,-1,-1
151,847,1622914156477,-1,-1,-1
152,879,1622914157497,-1,-1,-1
153,887,1622914158487,-1,-1,-1
154,911,1622914159477,-1,-1,-1
155,863,1622914160498,-1,-1,-1
156,903,1622914161490,-1,-1,-1
157,871,1622914162478,-1,-1,-1
158,887,1622914163503,-1,-1,-1
159,879,1622914163503,-1,-1,-1
160,855,1622914164488,-1,-1,-1
161,879,1622914165478,-1,-1,-1
162,871,1622914166497,-1,-1,-1
163,887,1622914167488,-1,-1,-1
164,903,1622914168477,-1,-1,-1
165,871,1622914169497,-1,-1,-1
166,863,1622914170487,-1,-1,-1
167,871,1622914170487,-1,-1,-1
168,823,1622914171507,-1,-1,-1
169,847,1622914172497,-1,-1,-1
170,823,1622914173487,-1,-1,-1
171,823,1622914174477,-1,-1,-1
172,823,1622914175497,-1,-1,-1
173,823,1622914175497,-1,-1,-1
174,791,1622914176487,-1,-1,-1
175,847,1622914177477,-1,-1,-1
176,815,1622914178497,-1,-1,-1
177,839,1622914179488,-1,-1,-1
178,871,1622914180477,-1,-1,-1
179,871,1622914183477,-1,-1,-1
180,671,1622914183477,-1,-1,-1
181,511,1622914184496,-1,-1,-1
182,919,1622914185487,-1,-1,-1
183,823,1622914192477,-1,-1,-1
184,887,1622914193498,-1,-1,-1
185,919,1622914194487,-1,-1,-1
186,903,1622914195477,-1,-1,-1
187,863,1622914196497,-1,-1,-1
188,847,1622914197487,-1,-1,-1
189,815,1622914198477,-1,-1,-1
190,791,1622914199534,-1,-1,-1
191,783,1622914199534,-1,-1,-1
192,775,1622914200488,-1,-1,-1
193,767,1622914201478,-1,-1,-1
194,783,1622914202497,-1,-1,-1
195,759,1622914202497,-1,-1,-1
196,743,1622914203488,-1,-1,-1
197,703,1622914204507,-1,-1,-1
198,687,1622914205527,-1,-1,-1
199,775,1622914205527,-1,-1,-1
200,943,1622914206490,-1,-1,-1
201,927,1622914207477,-1,-1,-1
202,919,1622914208528,-1,-1,-1
203,1000,1622914209517,-1,-1,-1
204,983,1622914210477,-1,-1,-1
205,863,1622914211498,-1,-1,-1
206,799,1622914212487,-1,-1,-1
207,783,1622914213479,-1,-1,-1
208,767,1622914213479,-1,-1,-1
209,815,1622914214496,-1,-1,-1
210,871,1622914215937,-1,-1,-1
211,951,1622914216481,-1,-1,-1
212,919,1622914217500,-1,-1,-1
213,943,1622914218491,-1,-1,-1
214,903,1622914219482,-1,-1,-1
215,911,1622914220507,-1,-1,-1
216,839,1622914220507,-1,-1,-1
217,863,1622914221491,-1,-1,-1
218,879,1622914222480,-1,-1,-1
219,887,1622914223500,-1,-1,-1
220,879,1622914224493,-1,-1,-1
221,847,1622914225480,-1,-1,-1
222,799,1622914226500,-1,-1,-1
223,791,1622914226501,-1,-1,-1
224,775,1622914227490,-1,-1,-1
225,775,1622914228481,-1,-1,-1
226,767,1622914229471,-1,-1,-1
227,767,1622914229471,-1,-1,-1
228,807,1622914230491,-1,-1,-1
229,815,1622914231482,-1,-1,-1
230,855,1622914232471,-1,-1,-1
231,879,1622914233491,-1,-1,-1
232,847,1622914234481,-1,-1,-1
233,831,1622914235470,-1,-1,-1
234,799,1622914235470,-1,-1,-1
235,775,1622914236520,-1,-1,-1
236,791,1622914237511,-1,-1,-1
237,783,1622914239490,-1,-1,-1
238,743,1622914240481,-1,-1,-1
239,559,1622914242491,-1,-1,-1
240,967,1622914243480,-1,-1,-1
241,791,1622914244470,-1,-1,-1
242,775,1622914245490,-1,-1,-1
243,783,1622914245490,-1,-1,-1
244,831,1622914246481,-1,-1,-1
245,615,1622914251490,-1,-1,-1
246,991,1622914252481,-1,-1,-1
247,783,1622914257497,-1,-1,-1
248,759,1622914257497,-1,-1,-1
