	RR	Timestamp	SensorContact	errorEstimate	blockerBit	
0	620	1,62538E+12	-1	-1	-1	
1	615	1,62538E+12	-1	-1	-1	0
2	609	1,62538E+12	-1	-1	-1	0
3	625	1,62538E+12	-1	-1	-1	0
4	624	1,62538E+12	-1	-1	-1	0
5	644	1,62538E+12	-1	-1	-1	1040
6	668	1,62538E+12	-1	-1	-1	0
7	681	1,62538E+12	-1	-1	-1	944
8	695	1,62538E+12	-1	-1	-1	1035
9	692	1,62538E+12	-1	-1	-1	1755
10	682	1,62538E+12	-1	-1	-1	0
11	697	1,62538E+12	-1	-1	-1	989
12	666	1,62538E+12	-1	-1	-1	991
13	683	1,62538E+12	-1	-1	-1	0
14	626	1,62538E+12	-1	-1	-1	988
15	642	1,62538E+12	-1	-1	-1	992
16	625	1,62538E+12	-1	-1	-1	0
17	641	1,62538E+12	-1	-1	-1	989
18	592	1,62538E+12	-1	-1	-1	0
19	593	1,62538E+12	-1	-1	-1	986
20	594	1,62538E+12	-1	-1	-1	991
21	594	1,62538E+12	-1	-1	-1	0
22	617	1,62538E+12	-1	-1	-1	994
23	576	1,62538E+12	-1	-1	-1	0
24	595	1,62538E+12	-1	-1	-1	989
25	586	1,62538E+12	-1	-1	-1	990
26	601	1,62538E+12	-1	-1	-1	1
27	600	1,62538E+12	-1	-1	-1	987
28	601	1,62538E+12	-1	-1	-1	0
29	611	1,62538E+12	-1	-1	-1	994
30	621	1,62538E+12	-1	-1	-1	986
31	626	1,62538E+12	-1	-1	-1	0
32	630	1,62538E+12	-1	-1	-1	994
33	637	1,62538E+12	-1	-1	-1	988
34	638	1,62538E+12	-1	-1	-1	0
35	637	1,62538E+12	-1	-1	-1	991
36	626	1,62538E+12	-1	-1	-1	0
37	645	1,62538E+12	-1	-1	-1	990
38	599	1,62538E+12	-1	-1	-1	988
39	622	1,62538E+12	-1	-1	-1	0
40	612	1,62538E+12	-1	-1	-1	989
41	624	1,62538E+12	-1	-1	-1	988
42	624	1,62538E+12	-1	-1	-1	0
43	623	1,62538E+12	-1	-1	-1	992
44	633	1,62538E+12	-1	-1	-1	0
45	631	1,62538E+12	-1	-1	-1	991
46	642	1,62538E+12	-1	-1	-1	985
47	636	1,62538E+12	-1	-1	-1	0
48	638	1,62538E+12	-1	-1	-1	993
49	634	1,62538E+12	-1	-1	-1	994
50	638	1,62538E+12	-1	-1	-1	0
51	637	1,62538E+12	-1	-1	-1	989
52	631	1,62538E+12	-1	-1	-1	1
53	642	1,62538E+12	-1	-1	-1	992
54	642	1,62538E+12	-1	-1	-1	984
55	655	1,62538E+12	-1	-1	-1	0
56	655	1,62538E+12	-1	-1	-1	998
57	659	1,62538E+12	-1	-1	-1	980
58	680	1,62538E+12	-1	-1	-1	0
59	674	1,62538E+12	-1	-1	-1	990
60	676	1,62538E+12	-1	-1	-1	990
61	693	1,62538E+12	-1	-1	-1	0
62	675	1,62538E+12	-1	-1	-1	995
63	673	1,62538E+12	-1	-1	-1	987
64	681	1,62538E+12	-1	-1	-1	997
65	666	1,62538E+12	-1	-1	-1	0
66	660	1,62538E+12	-1	-1	-1	988
67	666	1,62538E+12	-1	-1	-1	989
68	681	1,62538E+12	-1	-1	-1	0
69	690	1,62538E+12	-1	-1	-1	990
70	687	1,62538E+12	-1	-1	-1	986
71	703	1,62538E+12	-1	-1	-1	0
72	711	1,62538E+12	-1	-1	-1	990
73	707	1,62538E+12	-1	-1	-1	990
74	706	1,62538E+12	-1	-1	-1	0
75	689	1,62538E+12	-1	-1	-1	990
76	682	1,62538E+12	-1	-1	-1	991
77	673	1,62538E+12	-1	-1	-1	0
78	674	1,62538E+12	-1	-1	-1	989
79	672	1,62538E+12	-1	-1	-1	990
80	670	1,62538E+12	-1	-1	-1	0
81	671	1,62538E+12	-1	-1	-1	988
82	685	1,62538E+12	-1	-1	-1	992
83	711	1,62538E+12	-1	-1	-1	991
84	701	1,62538E+12	-1	-1	-1	0
85	714	1,62538E+12	-1	-1	-1	990
86	686	1,62538E+12	-1	-1	-1	989
87	695	1,62538E+12	-1	-1	-1	0
88	696	1,62538E+12	-1	-1	-1	990
89	689	1,62538E+12	-1	-1	-1	990
90	681	1,62538E+12	-1	-1	-1	0
91	671	1,62538E+12	-1	-1	-1	992
92	675	1,62538E+12	-1	-1	-1	992
93	680	1,62538E+12	-1	-1	-1	0
94	704	1,62538E+12	-1	-1	-1	986
95	684	1,62538E+12	-1	-1	-1	993
96	699	1,62538E+12	-1	-1	-1	992
97	701	1,62538E+12	-1	-1	-1	1
98	713	1,62538E+12	-1	-1	-1	987
99	698	1,62538E+12	-1	-1	-1	992
100	683	1,62538E+12	-1	-1	-1	0
101	675	1,62538E+12	-1	-1	-1	989
102	668	1,62538E+12	-1	-1	-1	992
103	670	1,62538E+12	-1	-1	-1	0
104	663	1,62538E+12	-1	-1	-1	988
105	659	1,62538E+12	-1	-1	-1	990
106	671	1,62538E+12	-1	-1	-1	0
107	657	1,62538E+12	-1	-1	-1	990
108	662	1,62538E+12	-1	-1	-1	990
109	671	1,62538E+12	-1	-1	-1	0
110	665	1,62538E+12	-1	-1	-1	989
111	667	1,62538E+12	-1	-1	-1	996
112	667	1,62538E+12	-1	-1	-1	0
113	663	1,62538E+12	-1	-1	-1	981
114	670	1,62538E+12	-1	-1	-1	990
115	664	1,62538E+12	-1	-1	-1	0
116	666	1,62538E+12	-1	-1	-1	993
117	659	1,62538E+12	-1	-1	-1	990
118	670	1,62538E+12	-1	-1	-1	0
119	671	1,62538E+12	-1	-1	-1	991
120	669	1,62538E+12	-1	-1	-1	990
121	670	1,62538E+12	-1	-1	-1	0
122	672	1,62538E+12	-1	-1	-1	989
123	664	1,62538E+12	-1	-1	-1	990
124	662	1,62538E+12	-1	-1	-1	0
125	665	1,62538E+12	-1	-1	-1	990
126	654	1,62538E+12	-1	-1	-1	986
127	645	1,62538E+12	-1	-1	-1	0
128	643	1,62538E+12	-1	-1	-1	991
129	645	1,62538E+12	-1	-1	-1	990
130	646	1,62538E+12	-1	-1	-1	0
131	650	1,62538E+12	-1	-1	-1	1983
132	638	1,62538E+12	-1	-1	-1	987
133	645	1,62538E+12	-1	-1	-1	0
134	643	1,62538E+12	-1	-1	-1	993
135	642	1,62538E+12	-1	-1	-1	0
136	658	1,62538E+12	-1	-1	-1	990
137	639	1,62538E+12	-1	-1	-1	990
138	649	1,62538E+12	-1	-1	-1	0
139	646	1,62538E+12	-1	-1	-1	990
140	645	1,62538E+12	-1	-1	-1	990
141	643	1,62538E+12	-1	-1	-1	0
142	647	1,62538E+12	-1	-1	-1	991
143	639	1,62538E+12	-1	-1	-1	989
144	637	1,62538E+12	-1	-1	-1	0
145	648	1,62538E+12	-1	-1	-1	990
