,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,991,1624047936011,-1,-1,-1
1,943,1624047942957,-1,-1,-1
2,951,1624047943933,-1,-1,-1
3,879,1624047943933,-1,-1,-1
4,1079,1624047946933,-1,-1,-1
5,847,1624047947948,-1,-1,-1
6,903,1624047950949,-1,-1,-1
7,935,1624047951958,-1,-1,-1
8,911,1624047952931,-1,-1,-1
9,919,1624047952931,-1,-1,-1
10,919,1624047953947,-1,-1,-1
11,935,1624047954957,-1,-1,-1
12,911,1624047957959,-1,-1,-1
13,887,1624047958935,-1,-1,-1
14,895,1624047959946,-1,-1,-1
15,871,1624047960957,-1,-1,-1
16,911,1624047961932,-1,-1,-1
17,951,1624047962946,-1,-1,-1
18,935,1624047962946,-1,-1,-1
19,927,1624047963957,-1,-1,-1
20,975,1624047964932,-1,-1,-1
21,911,1624047965945,-1,-1,-1
22,943,1624047966957,-1,-1,-1
23,911,1624047967932,-1,-1,-1
24,975,1624047968944,-1,-1,-1
25,879,1624047969958,-1,-1,-1
26,911,1624047970933,-1,-1,-1
27,1000,1624047971984,-1,-1,-1
28,871,1624047972956,-1,-1,-1
29,719,1624047973933,-1,-1,-1
30,975,1624047983946,-1,-1,-1
31,1000,1624047984957,-1,-1,-1
32,919,1624047985932,-1,-1,-1
33,911,1624047986945,-1,-1,-1
34,927,1624047987956,-1,-1,-1
35,679,1624047992944,-1,-1,-1
36,879,1624047995945,-1,-1,-1
37,879,1624047996956,-1,-1,-1
38,895,1624047997932,-1,-1,-1
39,919,1624047998945,-1,-1,-1
40,839,1624047999957,-1,-1,-1
41,927,1624048000932,-1,-1,-1
42,879,1624048000932,-1,-1,-1
43,847,1624048001944,-1,-1,-1
44,855,1624048002957,-1,-1,-1
45,831,1624048003934,-1,-1,-1
46,895,1624048010943,-1,-1,-1
47,895,1624048011958,-1,-1,-1
48,927,1624048012932,-1,-1,-1
49,871,1624048013944,-1,-1,-1
50,911,1624048014957,-1,-1,-1
51,967,1624048015936,-1,-1,-1
52,799,1624048016945,-1,-1,-1
53,927,1624048018932,-1,-1,-1
54,911,1624048019943,-1,-1,-1
55,935,1624048020961,-1,-1,-1
56,919,1624048021968,-1,-1,-1
57,927,1624048022944,-1,-1,-1
58,935,1624048023960,-1,-1,-1
59,975,1624048024932,-1,-1,-1
60,871,1624048025945,-1,-1,-1
61,983,1624048026956,-1,-1,-1
62,927,1624048027931,-1,-1,-1
63,935,1624048028944,-1,-1,-1
64,991,1624048029956,-1,-1,-1
65,983,1624048034945,-1,-1,-1
66,847,1624048034945,-1,-1,-1
67,967,1624048037982,-1,-1,-1
68,927,1624048038957,-1,-1,-1
69,903,1624048039931,-1,-1,-1
70,1000,1624048040945,-1,-1,-1
71,839,1624048041956,-1,-1,-1
72,967,1624048042934,-1,-1,-1
73,895,1624048043945,-1,-1,-1
74,919,1624048044960,-1,-1,-1
75,895,1624048046009,-1,-1,-1
76,1007,1624048046945,-1,-1,-1
77,919,1624048048932,-1,-1,-1
78,911,1624048049944,-1,-1,-1
79,959,1624048050956,-1,-1,-1
80,991,1624048051933,-1,-1,-1
81,951,1624048053016,-1,-1,-1
82,975,1624048053955,-1,-1,-1
83,1000,1624048054970,-1,-1,-1
84,959,1624048055944,-1,-1,-1
85,983,1624048058942,-1,-1,-1
86,1175,1624048059954,-1,-1,-1
87,967,1624048060931,-1,-1,-1
88,967,1624048063932,-1,-1,-1
89,919,1624048065958,-1,-1,-1
90,887,1624048066935,-1,-1,-1
91,943,1624048067945,-1,-1,-1
92,919,1624048068958,-1,-1,-1
93,967,1624048069931,-1,-1,-1
94,911,1624048070945,-1,-1,-1
95,943,1624048071958,-1,-1,-1
96,927,1624048072932,-1,-1,-1
97,911,1624048074019,-1,-1,-1
98,927,1624048074922,-1,-1,-1
99,935,1624048075932,-1,-1,-1
100,887,1624048076946,-1,-1,-1
101,935,1624048077919,-1,-1,-1
102,935,1624048077919,-1,-1,-1
103,895,1624048078932,-1,-1,-1
104,911,1624048079946,-1,-1,-1
105,871,1624048083925,-1,-1,-1
106,919,1624048084944,-1,-1,-1
107,919,1624048085944,-1,-1,-1
108,935,1624048086920,-1,-1,-1
109,951,1624048087969,-1,-1,-1
110,871,1624048089922,-1,-1,-1
111,935,1624048092924,-1,-1,-1
112,935,1624048094120,-1,-1,-1
113,935,1624048094949,-1,-1,-1
114,927,1624048095923,-1,-1,-1
115,927,1624048096933,-1,-1,-1
116,911,1624048097944,-1,-1,-1
117,927,1624048098920,-1,-1,-1
118,943,1624048099932,-1,-1,-1
119,887,1624048100952,-1,-1,-1
120,983,1624048101919,-1,-1,-1
121,935,1624048102932,-1,-1,-1
122,911,1624048102932,-1,-1,-1
123,951,1624048103945,-1,-1,-1
124,1000,1624048104956,-1,-1,-1
125,983,1624048105933,-1,-1,-1
126,855,1624048106946,-1,-1,-1
127,991,1624048111933,-1,-1,-1
128,975,1624048115945,-1,-1,-1
129,935,1624048116921,-1,-1,-1
130,959,1624048117933,-1,-1,-1
131,655,1624048118944,-1,-1,-1
132,1231,1624048119918,-1,-1,-1
133,911,1624048120970,-1,-1,-1
134,959,1624048121943,-1,-1,-1
135,1007,1624048126931,-1,-1,-1
136,991,1624048129933,-1,-1,-1
137,959,1624048130945,-1,-1,-1
138,967,1624048131919,-1,-1,-1
139,959,1624048132933,-1,-1,-1
140,959,1624048133948,-1,-1,-1
141,1000,1624048134997,-1,-1,-1
142,991,1624048135934,-1,-1,-1
143,983,1624048136943,-1,-1,-1
144,1023,1624048137956,-1,-1,-1
145,671,1624048140921,-1,-1,-1
146,1207,1624048141932,-1,-1,-1
147,943,1624048142946,-1,-1,-1
148,943,1624048143921,-1,-1,-1
149,927,1624048144934,-1,-1,-1
150,911,1624048148945,-1,-1,-1
151,1143,1624048155020,-1,-1,-1
152,711,1624048156002,-1,-1,-1
153,959,1624048156934,-1,-1,-1
154,1007,1624048160944,-1,-1,-1
155,943,1624048161919,-1,-1,-1
156,1000,1624048162934,-1,-1,-1
157,959,1624048163943,-1,-1,-1
158,1000,1624048164920,-1,-1,-1
159,983,1624048165936,-1,-1,-1
160,975,1624048166944,-1,-1,-1
161,983,1624048167919,-1,-1,-1
162,935,1624048167920,-1,-1,-1
163,863,1624048170959,-1,-1,-1
164,1000,1624048171933,-1,-1,-1
165,1000,1624048172946,-1,-1,-1
166,1031,1624048173919,-1,-1,-1
167,879,1624048175007,-1,-1,-1
168,1111,1624048175945,-1,-1,-1
169,919,1624048178944,-1,-1,-1
170,1015,1624048179919,-1,-1,-1
171,1087,1624048180932,-1,-1,-1
172,855,1624048181946,-1,-1,-1
173,983,1624048182921,-1,-1,-1
174,975,1624048183934,-1,-1,-1
175,983,1624048184944,-1,-1,-1
176,911,1624048188920,-1,-1,-1
177,887,1624048189932,-1,-1,-1
178,887,1624048190946,-1,-1,-1
179,847,1624048190946,-1,-1,-1
180,863,1624048191920,-1,-1,-1
181,831,1624048192934,-1,-1,-1
182,903,1624048193946,-1,-1,-1
183,1000,1624048194921,-1,-1,-1
184,1015,1624048196008,-1,-1,-1
185,1015,1624048196981,-1,-1,-1
186,1071,1624048197920,-1,-1,-1
187,1000,1624048198941,-1,-1,-1
188,1000,1624048199943,-1,-1,-1
189,1055,1624048200921,-1,-1,-1
190,1031,1624048201932,-1,-1,-1
191,959,1624048204936,-1,-1,-1
192,959,1624048205907,-1,-1,-1
193,1007,1624048206920,-1,-1,-1
194,1015,1624048207934,-1,-1,-1
195,1000,1624048208908,-1,-1,-1
196,991,1624048209919,-1,-1,-1
197,959,1624048210931,-1,-1,-1
198,1007,1624048211910,-1,-1,-1
199,1151,1624048215998,-1,-1,-1
200,1087,1624048218921,-1,-1,-1
201,1039,1624048219932,-1,-1,-1
202,943,1624048220945,-1,-1,-1
203,1071,1624048221922,-1,-1,-1
204,1031,1624048224919,-1,-1,-1
205,967,1624048225932,-1,-1,-1
206,967,1624048229907,-1,-1,-1
207,1199,1624048232909,-1,-1,-1
208,983,1624048233921,-1,-1,-1
209,1000,1624048234933,-1,-1,-1
210,903,1624048235982,-1,-1,-1
211,1103,1624048236995,-1,-1,-1
212,983,1624048237934,-1,-1,-1
213,1023,1624048238907,-1,-1,-1
214,991,1624048241908,-1,-1,-1
215,911,1624048242920,-1,-1,-1
216,951,1624048245920,-1,-1,-1
217,1000,1624048246933,-1,-1,-1
218,1071,1624048250915,-1,-1,-1
219,1023,1624048251919,-1,-1,-1
220,1000,1624048252934,-1,-1,-1
221,959,1624048253944,-1,-1,-1
222,1000,1624048254920,-1,-1,-1
223,943,1624048257996,-1,-1,-1
224,927,1624048258931,-1,-1,-1
225,951,1624048260919,-1,-1,-1
226,767,1624048261935,-1,-1,-1
227,1199,1624048262907,-1,-1,-1
228,991,1624048263920,-1,-1,-1
229,943,1624048264933,-1,-1,-1
230,1015,1624048265909,-1,-1,-1
231,735,1624048266922,-1,-1,-1
232,1183,1624048267939,-1,-1,-1
233,951,1624048268911,-1,-1,-1
234,1039,1624048269957,-1,-1,-1
235,927,1624048270933,-1,-1,-1
236,919,1624048275920,-1,-1,-1
237,1039,1624048278921,-1,-1,-1
238,839,1624048279933,-1,-1,-1
239,831,1624048280911,-1,-1,-1
240,719,1624048281921,-1,-1,-1
241,1151,1624048284921,-1,-1,-1
242,695,1624048284921,-1,-1,-1
243,1119,1624048285934,-1,-1,-1
244,911,1624048286944,-1,-1,-1
245,943,1624048287922,-1,-1,-1
246,1031,1624048288936,-1,-1,-1
247,1263,1624048293922,-1,-1,-1
248,975,1624048294932,-1,-1,-1
249,983,1624048295912,-1,-1,-1
250,943,1624048296920,-1,-1,-1
251,1047,1624048297934,-1,-1,-1
252,1047,1624048298908,-1,-1,-1
253,1000,1624048299921,-1,-1,-1
254,975,1624048300932,-1,-1,-1
255,951,1624048301907,-1,-1,-1
256,983,1624048302957,-1,-1,-1
257,983,1624048303931,-1,-1,-1
258,839,1624048304908,-1,-1,-1
259,935,1624048308920,-1,-1,-1
260,927,1624048309932,-1,-1,-1
261,943,1624048310909,-1,-1,-1
262,935,1624048310909,-1,-1,-1
263,583,1624048311921,-1,-1,-1
264,967,1624048313909,-1,-1,-1
265,943,1624048314921,-1,-1,-1
266,983,1624048318933,-1,-1,-1
267,1031,1624048322907,-1,-1,-1
268,983,1624048323919,-1,-1,-1
269,967,1624048324936,-1,-1,-1
270,967,1624048328908,-1,-1,-1
271,951,1624048329925,-1,-1,-1
272,943,1624048330931,-1,-1,-1
273,967,1624048331907,-1,-1,-1
274,983,1624048332921,-1,-1,-1
275,943,1624048333933,-1,-1,-1
276,951,1624048334909,-1,-1,-1
277,991,1624048335921,-1,-1,-1
278,991,1624048336935,-1,-1,-1
279,991,1624048337910,-1,-1,-1
280,1031,1624048338998,-1,-1,-1
281,1000,1624048339935,-1,-1,-1
282,983,1624048340908,-1,-1,-1
283,1007,1624048341920,-1,-1,-1
284,967,1624048344923,-1,-1,-1
285,1023,1624048345933,-1,-1,-1
286,671,1624048345933,-1,-1,-1
287,967,1624048351933,-1,-1,-1
288,1071,1624048353921,-1,-1,-1
289,983,1624048357936,-1,-1,-1
290,943,1624048357936,-1,-1,-1
291,983,1624048358946,-1,-1,-1
292,1023,1624048360896,-1,-1,-1
293,1000,1624048361912,-1,-1,-1
294,983,1624048363933,-1,-1,-1
295,959,1624048366897,-1,-1,-1
296,951,1624048367908,-1,-1,-1
297,967,1624048368922,-1,-1,-1
298,903,1624048369934,-1,-1,-1
299,1000,1624048370910,-1,-1,-1
300,951,1624048371922,-1,-1,-1
301,975,1624048372932,-1,-1,-1
302,919,1624048373913,-1,-1,-1
303,959,1624048374920,-1,-1,-1
304,959,1624048375897,-1,-1,-1
305,959,1624048376913,-1,-1,-1
306,951,1624048377923,-1,-1,-1
307,967,1624048378900,-1,-1,-1
308,967,1624048379945,-1,-1,-1
309,935,1624048380921,-1,-1,-1
310,983,1624048384904,-1,-1,-1
311,967,1624048384904,-1,-1,-1
312,791,1624048385947,-1,-1,-1
313,1103,1624048386921,-1,-1,-1
314,967,1624048387900,-1,-1,-1
315,911,1624048388909,-1,-1,-1
316,983,1624048389920,-1,-1,-1
317,807,1624048390900,-1,-1,-1
318,911,1624048394910,-1,-1,-1
319,903,1624048395922,-1,-1,-1
320,919,1624048396898,-1,-1,-1
321,927,1624048397907,-1,-1,-1
322,919,1624048397907,-1,-1,-1
323,695,1624048398923,-1,-1,-1
324,1135,1624048399932,-1,-1,-1
325,935,1624048400909,-1,-1,-1
326,935,1624048401920,-1,-1,-1
327,927,1624048402933,-1,-1,-1
328,919,1624048403907,-1,-1,-1
329,943,1624048406908,-1,-1,-1
330,1239,1624048409907,-1,-1,-1
331,679,1624048409907,-1,-1,-1
332,951,1624048415909,-1,-1,-1
333,911,1624048416927,-1,-1,-1
334,831,1624048417896,-1,-1,-1
335,1079,1624048418947,-1,-1,-1
336,671,1624048420899,-1,-1,-1
337,951,1624048423902,-1,-1,-1
338,1007,1624048424909,-1,-1,-1
339,1007,1624048427910,-1,-1,-1
340,911,1624048428919,-1,-1,-1
341,943,1624048432897,-1,-1,-1
342,911,1624048434921,-1,-1,-1
343,935,1624048435932,-1,-1,-1
344,959,1624048436910,-1,-1,-1
345,967,1624048440995,-1,-1,-1
346,927,1624048441901,-1,-1,-1
347,703,1624048442908,-1,-1,-1
348,1183,1624048443921,-1,-1,-1
349,935,1624048444896,-1,-1,-1
350,927,1624048445908,-1,-1,-1
351,911,1624048446920,-1,-1,-1
352,927,1624048447895,-1,-1,-1
353,615,1624048447895,-1,-1,-1
354,1175,1624048448908,-1,-1,-1
355,879,1624048449921,-1,-1,-1
356,855,1624048450899,-1,-1,-1
357,775,1624048453895,-1,-1,-1
358,1063,1624048459898,-1,-1,-1
359,967,1624048460983,-1,-1,-1
360,943,1624048462327,-1,-1,-1
361,1007,1624048462933,-1,-1,-1
362,1023,1624048463907,-1,-1,-1
363,1015,1624048464919,-1,-1,-1
364,1039,1624048465899,-1,-1,-1
365,1031,1624048466908,-1,-1,-1
366,1007,1624048467921,-1,-1,-1
367,1015,1624048468933,-1,-1,-1
368,1039,1624048469906,-1,-1,-1
369,1015,1624048470920,-1,-1,-1
370,1039,1624048471893,-1,-1,-1
371,1055,1624048472982,-1,-1,-1
372,1047,1624048473917,-1,-1,-1
373,871,1624048474893,-1,-1,-1
374,1151,1624048475905,-1,-1,-1
375,799,1624048476922,-1,-1,-1
376,919,1624048482922,-1,-1,-1
377,935,1624048485921,-1,-1,-1
378,927,1624048486894,-1,-1,-1
379,943,1624048487907,-1,-1,-1
380,935,1624048488919,-1,-1,-1
381,943,1624048488919,-1,-1,-1
382,911,1624048489896,-1,-1,-1
383,943,1624048490907,-1,-1,-1
384,983,1624048491922,-1,-1,-1
385,1000,1624048492897,-1,-1,-1
386,927,1624048493907,-1,-1,-1
387,983,1624048494921,-1,-1,-1
388,1000,1624048495895,-1,-1,-1
389,895,1624048500920,-1,-1,-1
390,983,1624048501932,-1,-1,-1
391,927,1624048507895,-1,-1,-1
392,903,1624048507895,-1,-1,-1
393,911,1624048508910,-1,-1,-1
394,935,1624048511908,-1,-1,-1
395,927,1624048512920,-1,-1,-1
396,935,1624048513938,-1,-1,-1
397,935,1624048514908,-1,-1,-1
398,959,1624048515921,-1,-1,-1
399,943,1624048516894,-1,-1,-1
400,951,1624048517907,-1,-1,-1
401,975,1624048518924,-1,-1,-1
402,975,1624048519894,-1,-1,-1
403,959,1624048520909,-1,-1,-1
404,967,1624048521919,-1,-1,-1
405,855,1624048522898,-1,-1,-1
406,1087,1624048523908,-1,-1,-1
407,975,1624048525896,-1,-1,-1
408,943,1624048526909,-1,-1,-1
409,943,1624048527919,-1,-1,-1
410,1047,1624048528895,-1,-1,-1
411,1007,1624048533920,-1,-1,-1
412,983,1624048534932,-1,-1,-1
413,735,1624048538907,-1,-1,-1
414,775,1624048541907,-1,-1,-1
