,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,655,1624005075421,-1,-1,-1
1,679,1624005077400,-1,-1,-1
2,679,1624005078412,-1,-1,-1
3,623,1624005078412,-1,-1,-1
4,575,1624005085394,-1,-1,-1
5,543,1624005086398,-1,-1,-1
6,415,1624005086399,-1,-1,-1
7,775,1624005087484,-1,-1,-1
8,655,1624005087484,-1,-1,-1
9,583,1624005088387,-1,-1,-1
10,623,1624005090420,-1,-1,-1
11,727,1624005091430,-1,-1,-1
12,591,1624005092399,-1,-1,-1
13,687,1624005093418,-1,-1,-1
14,559,1624005094393,-1,-1,-1
15,663,1624005094395,-1,-1,-1
16,575,1624005097384,-1,-1,-1
17,559,1624005101404,-1,-1,-1
18,455,1624005101404,-1,-1,-1
19,615,1624005109426,-1,-1,-1
20,535,1624005109426,-1,-1,-1
21,607,1624005110403,-1,-1,-1
22,591,1624005111412,-1,-1,-1
23,735,1624005111412,-1,-1,-1
24,647,1624005112458,-1,-1,-1
25,615,1624005113396,-1,-1,-1
26,671,1624005113397,-1,-1,-1
27,583,1624005114453,-1,-1,-1
28,559,1624005114453,-1,-1,-1
29,695,1624005115384,-1,-1,-1
30,615,1624005116403,-1,-1,-1
31,479,1624005116403,-1,-1,-1
32,655,1624005118383,-1,-1,-1
33,687,1624005118383,-1,-1,-1
34,639,1624005119397,-1,-1,-1
35,631,1624005120410,-1,-1,-1
36,631,1624005120410,-1,-1,-1
37,711,1624005129410,-1,-1,-1
38,599,1624005131398,-1,-1,-1
39,607,1624005131398,-1,-1,-1
40,687,1624005133394,-1,-1,-1
41,751,1624005134402,-1,-1,-1
42,2751,1624005137479,-1,-1,-1
43,543,1624005137479,-1,-1,-1
44,679,1624005142503,-1,-1,-1
45,727,1624005145394,-1,-1,-1
46,623,1624005145394,-1,-1,-1
47,607,1624005146404,-1,-1,-1
48,567,1624005149434,-1,-1,-1
49,503,1624005152438,-1,-1,-1
50,543,1624005154467,-1,-1,-1
51,527,1624005155408,-1,-1,-1
52,559,1624005155408,-1,-1,-1
53,567,1624005156412,-1,-1,-1
54,551,1624005157423,-1,-1,-1
55,551,1624005157423,-1,-1,-1
56,575,1624005158405,-1,-1,-1
57,559,1624005158406,-1,-1,-1
58,551,1624005159413,-1,-1,-1
59,559,1624005159413,-1,-1,-1
60,575,1624005160390,-1,-1,-1
61,551,1624005161399,-1,-1,-1
62,559,1624005161400,-1,-1,-1
63,551,1624005162408,-1,-1,-1
64,567,1624005162408,-1,-1,-1
65,551,1624005163386,-1,-1,-1
66,543,1624005163387,-1,-1,-1
67,559,1624005164400,-1,-1,-1
68,551,1624005164400,-1,-1,-1
69,567,1624005165454,-1,-1,-1
70,559,1624005166429,-1,-1,-1
71,543,1624005166429,-1,-1,-1
72,551,1624005167437,-1,-1,-1
73,575,1624005167437,-1,-1,-1
74,535,1624005168418,-1,-1,-1
75,543,1624005168418,-1,-1,-1
76,551,1624005169388,-1,-1,-1
77,567,1624005169388,-1,-1,-1
78,551,1624005170402,-1,-1,-1
79,543,1624005171413,-1,-1,-1
80,543,1624005171413,-1,-1,-1
81,551,1624005172387,-1,-1,-1
82,567,1624005172387,-1,-1,-1
83,543,1624005173404,-1,-1,-1
84,527,1624005173404,-1,-1,-1
85,551,1624005174456,-1,-1,-1
86,567,1624005174457,-1,-1,-1
87,591,1624005175429,-1,-1,-1
88,567,1624005176443,-1,-1,-1
89,583,1624005176443,-1,-1,-1
90,543,1624005177414,-1,-1,-1
91,567,1624005177414,-1,-1,-1
92,559,1624005178430,-1,-1,-1
93,583,1624005178430,-1,-1,-1
94,551,1624005179399,-1,-1,-1
95,399,1624005179400,-1,-1,-1
96,623,1624005180490,-1,-1,-1
97,663,1624005181389,-1,-1,-1
98,551,1624005181389,-1,-1,-1
99,535,1624005182514,-1,-1,-1
100,535,1624005182515,-1,-1,-1
101,559,1624005183383,-1,-1,-1
102,551,1624005183383,-1,-1,-1
103,535,1624005184393,-1,-1,-1
104,543,1624005184393,-1,-1,-1
105,543,1624005185402,-1,-1,-1
106,543,1624005186378,-1,-1,-1
107,567,1624005186378,-1,-1,-1
108,719,1624005187387,-1,-1,-1
109,511,1624005187387,-1,-1,-1
110,399,1624005188442,-1,-1,-1
111,527,1624005188442,-1,-1,-1
112,551,1624005190426,-1,-1,-1
113,559,1624005193386,-1,-1,-1
114,535,1624005194405,-1,-1,-1
115,551,1624005194407,-1,-1,-1
116,575,1624005196393,-1,-1,-1
117,559,1624005197399,-1,-1,-1
118,575,1624005197399,-1,-1,-1
119,591,1624005198412,-1,-1,-1
120,639,1624005199385,-1,-1,-1
121,575,1624005199385,-1,-1,-1
122,575,1624005200398,-1,-1,-1
123,583,1624005200398,-1,-1,-1
124,607,1624005201372,-1,-1,-1
125,623,1624005202392,-1,-1,-1
126,583,1624005202392,-1,-1,-1
127,575,1624005203510,-1,-1,-1
128,607,1624005203510,-1,-1,-1
129,599,1624005204379,-1,-1,-1
130,559,1624005204379,-1,-1,-1
131,607,1624005206402,-1,-1,-1
132,591,1624005207417,-1,-1,-1
133,551,1624005207417,-1,-1,-1
134,463,1624005208392,-1,-1,-1
135,791,1624005209400,-1,-1,-1
136,551,1624005209400,-1,-1,-1
137,583,1624005210375,-1,-1,-1
138,455,1624005210375,-1,-1,-1
139,783,1624005211388,-1,-1,-1
140,623,1624005212478,-1,-1,-1
141,527,1624005212478,-1,-1,-1
142,663,1624005213418,-1,-1,-1
143,639,1624005213418,-1,-1,-1
144,639,1624005214391,-1,-1,-1
145,607,1624005215406,-1,-1,-1
