,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,711,1623412579072,-1,-1,-1
1,487,1623412579072,-1,-1,-1
2,495,1623412579610,-1,-1,-1
3,583,1623412585513,-1,-1,-1
4,583,1623412586487,-1,-1,-1
5,567,1623412586487,-1,-1,-1
6,543,1623412587535,-1,-1,-1
7,591,1623412588548,-1,-1,-1
8,567,1623412588548,-1,-1,-1
9,591,1623412589486,-1,-1,-1
10,567,1623412589486,-1,-1,-1
11,583,1623412590502,-1,-1,-1
12,687,1623412591511,-1,-1,-1
13,623,1623412591511,-1,-1,-1
14,719,1623412593501,-1,-1,-1
15,663,1623412595487,-1,-1,-1
16,583,1623412599499,-1,-1,-1
17,567,1623412602500,-1,-1,-1
18,615,1623412602500,-1,-1,-1
19,591,1623412603512,-1,-1,-1
20,631,1623412603512,-1,-1,-1
21,583,1623412604486,-1,-1,-1
22,679,1623412605498,-1,-1,-1
23,527,1623412605498,-1,-1,-1
24,655,1623412606510,-1,-1,-1
25,591,1623412606510,-1,-1,-1
26,607,1623412607487,-1,-1,-1
27,591,1623412608499,-1,-1,-1
28,615,1623412610486,-1,-1,-1
29,559,1623412610486,-1,-1,-1
30,607,1623412614498,-1,-1,-1
31,399,1623412616522,-1,-1,-1
32,735,1623412617502,-1,-1,-1
33,567,1623412617502,-1,-1,-1
34,631,1623412618512,-1,-1,-1
35,607,1623412619485,-1,-1,-1
36,807,1623412621511,-1,-1,-1
37,703,1623412624517,-1,-1,-1
38,503,1623412625485,-1,-1,-1
39,671,1623412625485,-1,-1,-1
40,639,1623412626500,-1,-1,-1
41,623,1623412627512,-1,-1,-1
42,607,1623412627512,-1,-1,-1
43,639,1623412628484,-1,-1,-1
44,639,1623412629500,-1,-1,-1
45,607,1623412629500,-1,-1,-1
46,647,1623412630511,-1,-1,-1
47,623,1623412630511,-1,-1,-1
48,631,1623412631486,-1,-1,-1
49,607,1623412632503,-1,-1,-1
50,671,1623412632503,-1,-1,-1
51,559,1623412633515,-1,-1,-1
52,639,1623412634487,-1,-1,-1
53,599,1623412634487,-1,-1,-1
54,623,1623412635498,-1,-1,-1
55,623,1623412635498,-1,-1,-1
56,663,1623412636549,-1,-1,-1
57,695,1623412637523,-1,-1,-1
58,583,1623412637523,-1,-1,-1
59,623,1623412638497,-1,-1,-1
60,479,1623412638497,-1,-1,-1
61,847,1623412639511,-1,-1,-1
62,631,1623412640485,-1,-1,-1
63,503,1623412642512,-1,-1,-1
64,655,1623412643488,-1,-1,-1
65,639,1623412644500,-1,-1,-1
66,655,1623412644500,-1,-1,-1
67,639,1623412645511,-1,-1,-1
68,639,1623412646485,-1,-1,-1
69,647,1623412646485,-1,-1,-1
70,647,1623412647498,-1,-1,-1
71,639,1623412648518,-1,-1,-1
72,623,1623412651512,-1,-1,-1
73,599,1623412651512,-1,-1,-1
74,655,1623412652487,-1,-1,-1
75,663,1623412653538,-1,-1,-1
76,647,1623412655489,-1,-1,-1
77,615,1623412655489,-1,-1,-1
78,607,1623412657548,-1,-1,-1
79,695,1623412658487,-1,-1,-1
80,647,1623412658487,-1,-1,-1
81,591,1623412659505,-1,-1,-1
82,623,1623412660473,-1,-1,-1
83,615,1623412660473,-1,-1,-1
84,623,1623412661487,-1,-1,-1
85,639,1623412662498,-1,-1,-1
86,623,1623412662499,-1,-1,-1
87,647,1623412663513,-1,-1,-1
88,695,1623412664487,-1,-1,-1
89,591,1623412664487,-1,-1,-1
90,623,1623412665498,-1,-1,-1
91,663,1623412665498,-1,-1,-1
92,607,1623412666475,-1,-1,-1
93,631,1623412667485,-1,-1,-1
94,615,1623412669475,-1,-1,-1
95,631,1623412669475,-1,-1,-1
96,639,1623412670524,-1,-1,-1
97,639,1623412670524,-1,-1,-1
98,655,1623412674498,-1,-1,-1
99,607,1623412675474,-1,-1,-1
100,455,1623412675474,-1,-1,-1
101,591,1623412676487,-1,-1,-1
102,815,1623412677535,-1,-1,-1
103,431,1623412677535,-1,-1,-1
104,839,1623412678475,-1,-1,-1
105,655,1623412679488,-1,-1,-1
106,591,1623412679488,-1,-1,-1
107,623,1623412680498,-1,-1,-1
108,615,1623412681475,-1,-1,-1
109,471,1623412681475,-1,-1,-1
110,559,1623412682486,-1,-1,-1
111,647,1623412682486,-1,-1,-1
112,591,1623412683501,-1,-1,-1
113,647,1623412684473,-1,-1,-1
114,623,1623412685487,-1,-1,-1
115,647,1623412687510,-1,-1,-1
116,479,1623412687510,-1,-1,-1
117,799,1623412688486,-1,-1,-1
118,607,1623412689499,-1,-1,-1
119,655,1623412689499,-1,-1,-1
120,655,1623412690473,-1,-1,-1
121,647,1623412691486,-1,-1,-1
122,671,1623412691486,-1,-1,-1
123,703,1623412697523,-1,-1,-1
124,511,1623412697523,-1,-1,-1
