,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,1023,1619019274744,-1,-1,-1
1,855,1619019274744,-1,-1,-1
2,831,1619019275335,-1,-1,-1
3,783,1619019276237,-1,-1,-1
4,823,1619019277249,-1,-1,-1
5,927,1619019278251,-1,-1,-1
6,831,1619019280249,-1,-1,-1
7,735,1619019282249,-1,-1,-1
8,1031,1619019283250,-1,-1,-1
9,759,1619019284249,-1,-1,-1
10,839,1619019285250,-1,-1,-1
11,815,1619019285250,-1,-1,-1
12,831,1619019286257,-1,-1,-1
13,791,1619019287259,-1,-1,-1
14,831,1619019288250,-1,-1,-1
15,775,1619019289253,-1,-1,-1
16,815,1619019289254,-1,-1,-1
17,775,1619019290263,-1,-1,-1
18,775,1619019291260,-1,-1,-1
19,639,1619019293295,-1,-1,-1
20,871,1619019294257,-1,-1,-1
21,751,1619019301256,-1,-1,-1
22,831,1619019304257,-1,-1,-1
23,903,1619019306258,-1,-1,-1
24,663,1619019307263,-1,-1,-1
25,911,1619019308260,-1,-1,-1
26,783,1619019315259,-1,-1,-1
27,799,1619019317257,-1,-1,-1
28,759,1619019318261,-1,-1,-1
29,759,1619019319258,-1,-1,-1
30,783,1619019320258,-1,-1,-1
31,839,1619019320258,-1,-1,-1
32,791,1619019323253,-1,-1,-1
33,815,1619019324254,-1,-1,-1
34,791,1619019324254,-1,-1,-1
35,799,1619019325260,-1,-1,-1
36,767,1619019328257,-1,-1,-1
37,783,1619019328257,-1,-1,-1
38,799,1619019329259,-1,-1,-1
39,807,1619019330260,-1,-1,-1
40,759,1619019333259,-1,-1,-1
41,831,1619019334258,-1,-1,-1
42,759,1619019335262,-1,-1,-1
43,799,1619019336260,-1,-1,-1
44,775,1619019336260,-1,-1,-1
45,831,1619019337261,-1,-1,-1
46,583,1619019338262,-1,-1,-1
47,807,1619019340258,-1,-1,-1
48,799,1619019340258,-1,-1,-1
49,799,1619019341259,-1,-1,-1
50,847,1619019342299,-1,-1,-1
51,791,1619019343260,-1,-1,-1
52,863,1619019345264,-1,-1,-1
53,815,1619019351260,-1,-1,-1
54,711,1619019353261,-1,-1,-1
55,1047,1619019354258,-1,-1,-1
56,831,1619019357262,-1,-1,-1
57,783,1619019358259,-1,-1,-1
58,791,1619019359298,-1,-1,-1
59,919,1619019362258,-1,-1,-1
60,839,1619019363259,-1,-1,-1
61,839,1619019364260,-1,-1,-1
62,823,1619019365261,-1,-1,-1
63,839,1619019365261,-1,-1,-1
64,831,1619019366262,-1,-1,-1
65,879,1619019367258,-1,-1,-1
66,847,1619019368261,-1,-1,-1
67,839,1619019369260,-1,-1,-1
68,839,1619019370260,-1,-1,-1
69,847,1619019371258,-1,-1,-1
70,855,1619019371258,-1,-1,-1
71,855,1619019372261,-1,-1,-1
72,831,1619019373263,-1,-1,-1
73,839,1619019377262,-1,-1,-1
74,775,1619019385255,-1,-1,-1
75,791,1619019385255,-1,-1,-1
76,799,1619019386253,-1,-1,-1
77,751,1619019389262,-1,-1,-1
78,799,1619019389262,-1,-1,-1
79,719,1619019390261,-1,-1,-1
80,799,1619019392297,-1,-1,-1
81,791,1619019393261,-1,-1,-1
82,783,1619019394261,-1,-1,-1
83,623,1619019397264,-1,-1,-1
84,823,1619019400260,-1,-1,-1
85,895,1619019401260,-1,-1,-1
86,767,1619019401260,-1,-1,-1
87,847,1619019402260,-1,-1,-1
88,839,1619019407261,-1,-1,-1
89,823,1619019408298,-1,-1,-1
90,951,1619019409261,-1,-1,-1
91,655,1619019411259,-1,-1,-1
92,911,1619019412261,-1,-1,-1
93,815,1619019415256,-1,-1,-1
94,823,1619019416260,-1,-1,-1
95,1023,1619019419264,-1,-1,-1
96,847,1619019419264,-1,-1,-1
97,767,1619019420261,-1,-1,-1
98,799,1619019421260,-1,-1,-1
99,815,1619019422263,-1,-1,-1
100,823,1619019423259,-1,-1,-1
101,839,1619019423259,-1,-1,-1
102,807,1619019424255,-1,-1,-1
103,791,1619019425297,-1,-1,-1
104,807,1619019426259,-1,-1,-1
105,823,1619019427260,-1,-1,-1
106,847,1619019428260,-1,-1,-1
107,647,1619019428260,-1,-1,-1
108,951,1619019429265,-1,-1,-1
109,815,1619019430260,-1,-1,-1
110,775,1619019431262,-1,-1,-1
111,791,1619019433261,-1,-1,-1
112,791,1619019434261,-1,-1,-1
113,831,1619019435259,-1,-1,-1
114,831,1619019437260,-1,-1,-1
115,1007,1619019438260,-1,-1,-1
116,607,1619019439261,-1,-1,-1
117,831,1619019440260,-1,-1,-1
118,823,1619019440260,-1,-1,-1
119,839,1619019441300,-1,-1,-1
120,855,1619019442260,-1,-1,-1
121,1063,1619019443261,-1,-1,-1
122,847,1619019446258,-1,-1,-1
123,799,1619019446258,-1,-1,-1
124,791,1619019449268,-1,-1,-1
125,759,1619019449268,-1,-1,-1
126,863,1619019452260,-1,-1,-1
127,847,1619019454258,-1,-1,-1
128,767,1619019455263,-1,-1,-1
129,855,1619019458297,-1,-1,-1
130,799,1619019460259,-1,-1,-1
131,759,1619019461260,-1,-1,-1
132,823,1619019462262,-1,-1,-1
133,783,1619019462262,-1,-1,-1
134,895,1619019463261,-1,-1,-1
135,783,1619019469260,-1,-1,-1
136,703,1619019469260,-1,-1,-1
137,831,1619019470259,-1,-1,-1
138,807,1619019471259,-1,-1,-1
139,735,1619019472223,-1,-1,-1
140,767,1619019472223,-1,-1,-1
141,815,1619019473222,-1,-1,-1
142,815,1619019476222,-1,-1,-1
143,895,1619019477260,-1,-1,-1
144,687,1619019477260,-1,-1,-1
145,799,1619019478223,-1,-1,-1
146,791,1619019479222,-1,-1,-1
