,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,664,1623244601979,-1,-1,-1
1,664,1623244601979,-1,-1,-1
2,664,1623244602970,-1,-1,-1
3,664,1623244603974,-1,-1,-1
4,664,1623244603974,-1,-1,-1
5,671,1623244604965,-1,-1,-1
6,648,1623244605968,-1,-1,-1
7,656,1623244605968,-1,-1,-1
8,648,1623244606969,-1,-1,-1
9,687,1623244608062,-1,-1,-1
10,718,1623244608062,-1,-1,-1
11,679,1623244608960,-1,-1,-1
12,789,1623244610061,-1,-1,-1
13,687,1623244610965,-1,-1,-1
14,679,1623244610965,-1,-1,-1
15,671,1623244611961,-1,-1,-1
16,625,1623244613071,-1,-1,-1
17,609,1623244613071,-1,-1,-1
18,625,1623244614064,-1,-1,-1
19,609,1623244615060,-1,-1,-1
20,601,1623244615060,-1,-1,-1
21,585,1623244616066,-1,-1,-1
22,617,1623244616066,-1,-1,-1
23,578,1623244617062,-1,-1,-1
24,617,1623244618064,-1,-1,-1
25,710,1623244618064,-1,-1,-1
26,796,1623244619063,-1,-1,-1
27,726,1623244622063,-1,-1,-1
28,734,1623244622063,-1,-1,-1
29,640,1623244624063,-1,-1,-1
30,726,1623244625167,-1,-1,-1
31,625,1623244626067,-1,-1,-1
32,632,1623244627064,-1,-1,-1
33,593,1623244627064,-1,-1,-1
34,617,1623244628063,-1,-1,-1
35,609,1623244628063,-1,-1,-1
36,640,1623244629066,-1,-1,-1
37,640,1623244630065,-1,-1,-1
38,640,1623244630065,-1,-1,-1
39,695,1623244631167,-1,-1,-1
40,687,1623244632064,-1,-1,-1
41,773,1623244633060,-1,-1,-1
42,882,1623244633060,-1,-1,-1
43,835,1623244634064,-1,-1,-1
44,859,1623244635063,-1,-1,-1
45,531,1623244636065,-1,-1,-1
46,726,1623244638060,-1,-1,-1
47,703,1623244638060,-1,-1,-1
48,695,1623244639162,-1,-1,-1
49,679,1623244640058,-1,-1,-1
50,640,1623244643063,-1,-1,-1
51,617,1623244644061,-1,-1,-1
52,765,1623244645065,-1,-1,-1
53,640,1623244646059,-1,-1,-1
54,656,1623244647060,-1,-1,-1
55,679,1623244648059,-1,-1,-1
56,695,1623244649060,-1,-1,-1
57,726,1623244649060,-1,-1,-1
58,710,1623244650059,-1,-1,-1
59,710,1623244651059,-1,-1,-1
60,718,1623244652066,-1,-1,-1
61,695,1623244652066,-1,-1,-1
62,695,1623244653059,-1,-1,-1
63,679,1623244654066,-1,-1,-1
64,664,1623244654066,-1,-1,-1
65,640,1623244655063,-1,-1,-1
66,632,1623244656163,-1,-1,-1
67,640,1623244656163,-1,-1,-1
68,632,1623244657060,-1,-1,-1
69,625,1623244658065,-1,-1,-1
70,656,1623244658065,-1,-1,-1
71,664,1623244659060,-1,-1,-1
72,679,1623244660065,-1,-1,-1
73,687,1623244660065,-1,-1,-1
74,726,1623244661065,-1,-1,-1
75,742,1623244662067,-1,-1,-1
76,718,1623244663162,-1,-1,-1
77,695,1623244663162,-1,-1,-1
78,671,1623244664068,-1,-1,-1
79,625,1623244665065,-1,-1,-1
80,625,1623244665065,-1,-1,-1
81,601,1623244666065,-1,-1,-1
82,617,1623244666065,-1,-1,-1
83,617,1623244667066,-1,-1,-1
84,617,1623244668062,-1,-1,-1
85,640,1623244668062,-1,-1,-1
86,671,1623244669060,-1,-1,-1
87,695,1623244670068,-1,-1,-1
88,695,1623244671066,-1,-1,-1
89,710,1623244671066,-1,-1,-1
90,710,1623244672059,-1,-1,-1
91,726,1623244673065,-1,-1,-1
92,703,1623244673065,-1,-1,-1
93,718,1623244674064,-1,-1,-1
94,679,1623244675063,-1,-1,-1
95,679,1623244676064,-1,-1,-1
96,664,1623244676064,-1,-1,-1
97,656,1623244677065,-1,-1,-1
98,640,1623244678062,-1,-1,-1
99,640,1623244678062,-1,-1,-1
100,664,1623244679063,-1,-1,-1
101,726,1623244680065,-1,-1,-1
102,726,1623244680065,-1,-1,-1
103,742,1623244681065,-1,-1,-1
104,828,1623244682063,-1,-1,-1
105,734,1623244683067,-1,-1,-1
106,742,1623244684065,-1,-1,-1
107,718,1623244684065,-1,-1,-1
108,710,1623244685066,-1,-1,-1
109,687,1623244686066,-1,-1,-1
110,664,1623244686066,-1,-1,-1
111,640,1623244687062,-1,-1,-1
112,648,1623244688063,-1,-1,-1
113,625,1623244688063,-1,-1,-1
114,632,1623244689167,-1,-1,-1
115,640,1623244690065,-1,-1,-1
116,640,1623244690065,-1,-1,-1
117,640,1623244691061,-1,-1,-1
118,640,1623244692063,-1,-1,-1
119,648,1623244692063,-1,-1,-1
120,648,1623244693062,-1,-1,-1
121,640,1623244694064,-1,-1,-1
122,640,1623244694064,-1,-1,-1
123,640,1623244695166,-1,-1,-1
124,625,1623244696066,-1,-1,-1
125,617,1623244696066,-1,-1,-1
126,609,1623244697064,-1,-1,-1
127,617,1623244697064,-1,-1,-1
128,625,1623244698063,-1,-1,-1
129,617,1623244699065,-1,-1,-1
130,617,1623244699065,-1,-1,-1
131,625,1623244700066,-1,-1,-1
132,632,1623244701061,-1,-1,-1
133,625,1623244701062,-1,-1,-1
134,632,1623244702066,-1,-1,-1
135,625,1623244703060,-1,-1,-1
136,625,1623244703060,-1,-1,-1
137,625,1623244704067,-1,-1,-1
138,625,1623244704067,-1,-1,-1
139,609,1623244705066,-1,-1,-1
140,609,1623244706165,-1,-1,-1
141,601,1623244706165,-1,-1,-1
142,601,1623244707062,-1,-1,-1
143,609,1623244708064,-1,-1,-1
144,617,1623244708065,-1,-1,-1
145,609,1623244709064,-1,-1,-1
146,609,1623244709064,-1,-1,-1
147,617,1623244710060,-1,-1,-1
148,617,1623244711063,-1,-1,-1
149,632,1623244711063,-1,-1,-1
150,632,1623244712059,-1,-1,-1
151,617,1623244713066,-1,-1,-1
152,632,1623244713066,-1,-1,-1
153,632,1623244714064,-1,-1,-1
154,617,1623244715064,-1,-1,-1
155,632,1623244715064,-1,-1,-1
156,625,1623244716062,-1,-1,-1
157,625,1623244716063,-1,-1,-1
158,632,1623244717064,-1,-1,-1
159,640,1623244718064,-1,-1,-1
160,625,1623244718064,-1,-1,-1
161,625,1623244719065,-1,-1,-1
162,632,1623244720064,-1,-1,-1
163,625,1623244720064,-1,-1,-1
164,625,1623244721067,-1,-1,-1
165,617,1623244722165,-1,-1,-1
166,625,1623244722165,-1,-1,-1
167,625,1623244723165,-1,-1,-1
168,617,1623244724065,-1,-1,-1
169,632,1623244724065,-1,-1,-1
170,632,1623244725061,-1,-1,-1
171,632,1623244725061,-1,-1,-1
172,625,1623244726067,-1,-1,-1
173,648,1623244727164,-1,-1,-1
174,640,1623244727164,-1,-1,-1
175,648,1623244728068,-1,-1,-1
176,664,1623244729061,-1,-1,-1
177,679,1623244729061,-1,-1,-1
178,703,1623244730065,-1,-1,-1
179,703,1623244731064,-1,-1,-1
