,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,663,1622827972911,-1,-1,-1
1,695,1622827972911,-1,-1,-1
2,679,1622827972911,-1,-1,-1
3,687,1622827972911,-1,-1,-1
4,671,1622827972911,-1,-1,-1
5,663,1622827972911,-1,-1,-1
6,687,1622827972911,-1,-1,-1
7,727,1622827972911,-1,-1,-1
8,695,1622827972911,-1,-1,-1
9,679,1622827973410,-1,-1,-1
10,703,1622827973410,-1,-1,-1
11,687,1622827973410,-1,-1,-1
12,647,1622827974411,-1,-1,-1
13,679,1622827974411,-1,-1,-1
14,647,1622827975410,-1,-1,-1
15,679,1622827976404,-1,-1,-1
16,695,1622827976404,-1,-1,-1
17,639,1622827977403,-1,-1,-1
18,671,1622827978410,-1,-1,-1
19,631,1622827978410,-1,-1,-1
20,711,1622827979403,-1,-1,-1
21,711,1622827980415,-1,-1,-1
22,703,1622827980415,-1,-1,-1
23,679,1622827981415,-1,-1,-1
24,687,1622827982404,-1,-1,-1
25,679,1622827982404,-1,-1,-1
26,615,1622827983405,-1,-1,-1
27,671,1622827987412,-1,-1,-1
28,687,1622827988415,-1,-1,-1
29,663,1622827988415,-1,-1,-1
30,687,1622827989413,-1,-1,-1
31,647,1622827990404,-1,-1,-1
32,463,1622827992406,-1,-1,-1
33,607,1622827996445,-1,-1,-1
34,711,1622827997404,-1,-1,-1
35,631,1622827999415,-1,-1,-1
36,487,1622828001412,-1,-1,-1
37,647,1622828002411,-1,-1,-1
38,695,1622828004408,-1,-1,-1
39,727,1622828012404,-1,-1,-1
40,703,1622828012404,-1,-1,-1
41,743,1622828013408,-1,-1,-1
42,679,1622828014405,-1,-1,-1
43,711,1622828014405,-1,-1,-1
44,695,1622828015413,-1,-1,-1
45,679,1622828016453,-1,-1,-1
46,591,1622828018404,-1,-1,-1
47,647,1622828020408,-1,-1,-1
48,503,1622828020409,-1,-1,-1
49,687,1622828022412,-1,-1,-1
50,735,1622828023406,-1,-1,-1
51,735,1622828023406,-1,-1,-1
52,775,1622828024409,-1,-1,-1
53,767,1622828025410,-1,-1,-1
54,735,1622828026431,-1,-1,-1
55,783,1622828026431,-1,-1,-1
56,751,1622828027407,-1,-1,-1
57,647,1622828029412,-1,-1,-1
58,695,1622828030413,-1,-1,-1
59,623,1622828031411,-1,-1,-1
60,727,1622828031411,-1,-1,-1
61,671,1622828032407,-1,-1,-1
62,607,1622828033446,-1,-1,-1
63,687,1622828033446,-1,-1,-1
64,615,1622828034404,-1,-1,-1
65,671,1622828035449,-1,-1,-1
66,615,1622828035449,-1,-1,-1
67,663,1622828036408,-1,-1,-1
68,631,1622828036408,-1,-1,-1
69,751,1622828043404,-1,-1,-1
70,679,1622828046483,-1,-1,-1
71,623,1622828048415,-1,-1,-1
72,703,1622828049449,-1,-1,-1
73,687,1622828050403,-1,-1,-1
74,671,1622828050403,-1,-1,-1
75,679,1622828051403,-1,-1,-1
76,535,1622828057410,-1,-1,-1
77,591,1622828058406,-1,-1,-1
78,615,1622828058406,-1,-1,-1
79,711,1622828059411,-1,-1,-1
80,767,1622828060446,-1,-1,-1
81,727,1622828060446,-1,-1,-1
82,703,1622828061409,-1,-1,-1
83,663,1622828062403,-1,-1,-1
84,647,1622828062403,-1,-1,-1
85,623,1622828063486,-1,-1,-1
86,479,1622828063486,-1,-1,-1
87,719,1622828066500,-1,-1,-1
88,679,1622828067409,-1,-1,-1
89,663,1622828068406,-1,-1,-1
90,655,1622828068406,-1,-1,-1
91,751,1622828069405,-1,-1,-1
92,591,1622828070403,-1,-1,-1
93,823,1622828072411,-1,-1,-1
94,631,1622828072412,-1,-1,-1
95,607,1622828073443,-1,-1,-1
96,439,1622828075411,-1,-1,-1
97,607,1622828076451,-1,-1,-1
98,663,1622828077411,-1,-1,-1
99,591,1622828077411,-1,-1,-1
100,519,1622828078412,-1,-1,-1
101,631,1622828080403,-1,-1,-1
102,663,1622828080403,-1,-1,-1
103,639,1622828081410,-1,-1,-1
104,647,1622828082489,-1,-1,-1
105,695,1622828082489,-1,-1,-1
106,623,1622828083415,-1,-1,-1
107,687,1622828084403,-1,-1,-1
108,727,1622828084403,-1,-1,-1
109,679,1622828085406,-1,-1,-1
110,719,1622828086412,-1,-1,-1
111,647,1622828086413,-1,-1,-1
112,695,1622828087445,-1,-1,-1
113,679,1622828088412,-1,-1,-1
114,687,1622828088412,-1,-1,-1
115,623,1622828089413,-1,-1,-1
116,647,1622828090450,-1,-1,-1
117,687,1622828090450,-1,-1,-1
118,711,1622828091405,-1,-1,-1
119,711,1622828092450,-1,-1,-1
120,711,1622828093409,-1,-1,-1
121,719,1622828093409,-1,-1,-1
122,759,1622828094406,-1,-1,-1
123,743,1622828095403,-1,-1,-1
124,775,1622828096409,-1,-1,-1
125,703,1622828096409,-1,-1,-1
126,743,1622828097405,-1,-1,-1
127,807,1622828098438,-1,-1,-1
128,695,1622828099453,-1,-1,-1
129,751,1622828099453,-1,-1,-1
130,719,1622828100404,-1,-1,-1
131,663,1622828101410,-1,-1,-1
132,703,1622828101410,-1,-1,-1
133,663,1622828102409,-1,-1,-1
134,719,1622828103445,-1,-1,-1
135,647,1622828103445,-1,-1,-1
136,647,1622828104408,-1,-1,-1
137,647,1622828105404,-1,-1,-1
138,671,1622828105404,-1,-1,-1
139,655,1622828106405,-1,-1,-1
140,695,1622828107411,-1,-1,-1
141,719,1622828107412,-1,-1,-1
142,687,1622828108414,-1,-1,-1
143,687,1622828109452,-1,-1,-1
144,671,1622828109452,-1,-1,-1
145,599,1622828111409,-1,-1,-1
146,615,1622828112405,-1,-1,-1
147,623,1622828113412,-1,-1,-1
148,631,1622828113413,-1,-1,-1
149,663,1622828114405,-1,-1,-1
150,703,1622828115568,-1,-1,-1
151,751,1622828115568,-1,-1,-1
152,855,1622828117404,-1,-1,-1
153,783,1622828118403,-1,-1,-1
154,743,1622828119403,-1,-1,-1
155,735,1622828119404,-1,-1,-1
156,735,1622828120406,-1,-1,-1
157,695,1622828121413,-1,-1,-1
158,671,1622828121413,-1,-1,-1
159,679,1622828122413,-1,-1,-1
160,655,1622828123405,-1,-1,-1
161,679,1622828124450,-1,-1,-1
162,679,1622828124450,-1,-1,-1
163,671,1622828125404,-1,-1,-1
164,639,1622828125404,-1,-1,-1
165,687,1622828126423,-1,-1,-1
166,655,1622828127403,-1,-1,-1
167,719,1622828128403,-1,-1,-1
168,615,1622828128403,-1,-1,-1
169,631,1622828129404,-1,-1,-1
170,647,1622828129404,-1,-1,-1
171,639,1622828130405,-1,-1,-1
172,615,1622828131406,-1,-1,-1
173,639,1622828131406,-1,-1,-1
174,615,1622828132523,-1,-1,-1
175,575,1622828133414,-1,-1,-1
176,631,1622828133414,-1,-1,-1
177,591,1622828134446,-1,-1,-1
178,583,1622828134446,-1,-1,-1
179,751,1622828135405,-1,-1,-1
180,791,1622828136410,-1,-1,-1
181,839,1622828137403,-1,-1,-1
182,831,1622828138403,-1,-1,-1
183,783,1622828138403,-1,-1,-1
184,711,1622828139408,-1,-1,-1
185,695,1622828140404,-1,-1,-1
186,743,1622828141410,-1,-1,-1
187,711,1622828141410,-1,-1,-1
188,679,1622828142408,-1,-1,-1
189,719,1622828143409,-1,-1,-1
190,687,1622828143410,-1,-1,-1
191,679,1622828144410,-1,-1,-1
192,647,1622828145412,-1,-1,-1
193,615,1622828145412,-1,-1,-1
194,615,1622828146408,-1,-1,-1
195,615,1622828146408,-1,-1,-1
196,647,1622828147407,-1,-1,-1
197,743,1622828148443,-1,-1,-1
198,791,1622828149403,-1,-1,-1
199,791,1622828149403,-1,-1,-1
200,791,1622828150402,-1,-1,-1
201,743,1622828151403,-1,-1,-1
202,751,1622828152404,-1,-1,-1
203,655,1622828152405,-1,-1,-1
204,639,1622828153413,-1,-1,-1
205,647,1622828154406,-1,-1,-1
206,599,1622828154407,-1,-1,-1
207,623,1622828155411,-1,-1,-1
208,671,1622828156445,-1,-1,-1
209,647,1622828156445,-1,-1,-1
210,711,1622828157408,-1,-1,-1
211,791,1622828158409,-1,-1,-1
212,855,1622828160404,-1,-1,-1
213,815,1622828160404,-1,-1,-1
214,815,1622828161410,-1,-1,-1
215,759,1622828162450,-1,-1,-1
216,751,1622828163408,-1,-1,-1
217,751,1622828163408,-1,-1,-1
218,735,1622828166409,-1,-1,-1
219,695,1622828166409,-1,-1,-1
220,767,1622828167453,-1,-1,-1
221,711,1622828168409,-1,-1,-1
222,679,1622828168409,-1,-1,-1
223,671,1622828169410,-1,-1,-1
224,687,1622828170406,-1,-1,-1
225,727,1622828171410,-1,-1,-1
226,711,1622828171410,-1,-1,-1
227,703,1622828172409,-1,-1,-1
228,687,1622828173403,-1,-1,-1
229,687,1622828173403,-1,-1,-1
230,679,1622828174411,-1,-1,-1
231,727,1622828175411,-1,-1,-1
232,759,1622828175411,-1,-1,-1
233,791,1622828176408,-1,-1,-1
234,751,1622828177408,-1,-1,-1
235,679,1622828178409,-1,-1,-1
236,679,1622828178409,-1,-1,-1
237,679,1622828179489,-1,-1,-1
238,687,1622828180409,-1,-1,-1
239,687,1622828180409,-1,-1,-1
240,671,1622828181450,-1,-1,-1
241,639,1622828182415,-1,-1,-1
242,631,1622828182415,-1,-1,-1
243,679,1622828183412,-1,-1,-1
244,727,1622828184413,-1,-1,-1
245,647,1622828184413,-1,-1,-1
246,839,1622828185410,-1,-1,-1
247,799,1622828186411,-1,-1,-1
248,831,1622828187410,-1,-1,-1
249,687,1622828193413,-1,-1,-1
250,679,1622828194409,-1,-1,-1
251,647,1622828195484,-1,-1,-1
252,671,1622828195484,-1,-1,-1
253,655,1622828196408,-1,-1,-1
254,655,1622828197403,-1,-1,-1
255,711,1622828197403,-1,-1,-1
256,647,1622828198443,-1,-1,-1
257,695,1622828199408,-1,-1,-1
258,671,1622828199408,-1,-1,-1
259,695,1622828200403,-1,-1,-1
260,719,1622828201424,-1,-1,-1
261,743,1622828201424,-1,-1,-1
262,711,1622828202405,-1,-1,-1
263,743,1622828203404,-1,-1,-1
264,703,1622828204407,-1,-1,-1
265,655,1622828204407,-1,-1,-1
266,639,1622828205410,-1,-1,-1
267,647,1622828206424,-1,-1,-1
268,583,1622828206424,-1,-1,-1
269,575,1622828207411,-1,-1,-1
270,623,1622828207411,-1,-1,-1
271,719,1622828209422,-1,-1,-1
272,623,1622828212405,-1,-1,-1
273,647,1622828213402,-1,-1,-1
274,663,1622828213402,-1,-1,-1
275,719,1622828214442,-1,-1,-1
276,807,1622828215404,-1,-1,-1
277,775,1622828216403,-1,-1,-1
278,775,1622828216403,-1,-1,-1
279,775,1622828217423,-1,-1,-1
280,735,1622828218410,-1,-1,-1
281,719,1622828219402,-1,-1,-1
282,695,1622828219402,-1,-1,-1
283,591,1622828220443,-1,-1,-1
284,623,1622828221408,-1,-1,-1
285,623,1622828221408,-1,-1,-1
286,647,1622828222406,-1,-1,-1
287,647,1622828222406,-1,-1,-1
288,679,1622828223409,-1,-1,-1
289,615,1622828224404,-1,-1,-1
290,631,1622828224404,-1,-1,-1
291,639,1622828225445,-1,-1,-1
292,679,1622828226403,-1,-1,-1
293,671,1622828226403,-1,-1,-1
294,687,1622828227410,-1,-1,-1
295,719,1622828228486,-1,-1,-1
296,823,1622828229412,-1,-1,-1
297,855,1622828229412,-1,-1,-1
298,735,1622828230443,-1,-1,-1
299,751,1622828231443,-1,-1,-1
300,743,1622828232402,-1,-1,-1
301,759,1622828232402,-1,-1,-1
302,727,1622828233403,-1,-1,-1
303,719,1622828234404,-1,-1,-1
304,695,1622828235405,-1,-1,-1
305,695,1622828235405,-1,-1,-1
306,687,1622828236402,-1,-1,-1
307,727,1622828237403,-1,-1,-1
308,607,1622828237403,-1,-1,-1
309,639,1622828238403,-1,-1,-1
310,679,1622828239403,-1,-1,-1
311,663,1622828239403,-1,-1,-1
312,631,1622828240404,-1,-1,-1
313,663,1622828241404,-1,-1,-1
314,679,1622828241404,-1,-1,-1
315,695,1622828242402,-1,-1,-1
316,719,1622828243407,-1,-1,-1
317,719,1622828243407,-1,-1,-1
318,695,1622828244403,-1,-1,-1
319,671,1622828245411,-1,-1,-1
320,663,1622828245411,-1,-1,-1
321,631,1622828246404,-1,-1,-1
322,655,1622828247449,-1,-1,-1
323,655,1622828247449,-1,-1,-1
324,647,1622828248403,-1,-1,-1
