,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,577,1623248690927,-1,-1,-1
1,582,1623248690927,-1,-1,-1
2,582,1623248690927,-1,-1,-1
3,603,1623248690927,-1,-1,-1
4,615,1623248690927,-1,-1,-1
5,602,1623248691929,-1,-1,-1
6,589,1623248691929,-1,-1,-1
7,601,1623248692882,-1,-1,-1
8,597,1623248692883,-1,-1,-1
9,582,1623248693880,-1,-1,-1
10,584,1623248694883,-1,-1,-1
11,567,1623248694883,-1,-1,-1
12,568,1623248695828,-1,-1,-1
13,569,1623248695828,-1,-1,-1
14,561,1623248696829,-1,-1,-1
15,595,1623248697784,-1,-1,-1
16,603,1623248697784,-1,-1,-1
17,618,1623248698784,-1,-1,-1
18,615,1623248698784,-1,-1,-1
19,605,1623248699735,-1,-1,-1
20,595,1623248700731,-1,-1,-1
21,586,1623248700731,-1,-1,-1
22,570,1623248701684,-1,-1,-1
23,552,1623248701684,-1,-1,-1
24,590,1623248703681,-1,-1,-1
25,1128,1623248703681,-1,-1,-1
26,508,1623248704634,-1,-1,-1
27,550,1623248704634,-1,-1,-1
28,634,1623248705633,-1,-1,-1
29,769,1623248706588,-1,-1,-1
30,807,1623248707585,-1,-1,-1
31,753,1623248707585,-1,-1,-1
32,752,1623248708532,-1,-1,-1
33,742,1623248709529,-1,-1,-1
34,758,1623248710534,-1,-1,-1
35,778,1623248710534,-1,-1,-1
36,663,1623248711478,-1,-1,-1
37,690,1623248712528,-1,-1,-1
38,670,1623248712528,-1,-1,-1
39,616,1623248713429,-1,-1,-1
40,607,1623248714432,-1,-1,-1
41,616,1623248714432,-1,-1,-1
42,1113,1623248715484,-1,-1,-1
43,1120,1623248717378,-1,-1,-1
44,655,1623248717378,-1,-1,-1
45,1002,1623248718330,-1,-1,-1
46,590,1623248720283,-1,-1,-1
47,1279,1623248720283,-1,-1,-1
48,796,1623248721279,-1,-1,-1
49,910,1623248722278,-1,-1,-1
50,732,1623248723236,-1,-1,-1
51,623,1623248723236,-1,-1,-1
52,603,1623248724238,-1,-1,-1
53,585,1623248725234,-1,-1,-1
54,556,1623248725234,-1,-1,-1
55,565,1623248726184,-1,-1,-1
56,569,1623248726184,-1,-1,-1
57,633,1623248727136,-1,-1,-1
58,560,1623248728134,-1,-1,-1
59,449,1623248728134,-1,-1,-1
60,565,1623248729080,-1,-1,-1
61,571,1623248729080,-1,-1,-1
62,534,1623248730087,-1,-1,-1
63,525,1623248730087,-1,-1,-1
64,534,1623248731084,-1,-1,-1
65,548,1623248731084,-1,-1,-1
66,789,1623248732132,-1,-1,-1
67,1288,1623248733983,-1,-1,-1
68,1059,1623248734983,-1,-1,-1
69,503,1623248734983,-1,-1,-1
70,570,1623248735984,-1,-1,-1
71,774,1623248735984,-1,-1,-1
72,599,1623248736936,-1,-1,-1
73,780,1623248737935,-1,-1,-1
74,595,1623248738887,-1,-1,-1
75,793,1623248738887,-1,-1,-1
76,768,1623248739886,-1,-1,-1
77,509,1623248740835,-1,-1,-1
78,1055,1623248741832,-1,-1,-1
79,565,1623248741832,-1,-1,-1
80,561,1623248742833,-1,-1,-1
81,1415,1623248743786,-1,-1,-1
82,1645,1623248745729,-1,-1,-1
83,408,1623248745729,-1,-1,-1
