,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,735,1623236806025,-1,-1,-1
1,743,1623236806025,-1,-1,-1
2,735,1623236806025,-1,-1,-1
3,751,1623236806025,-1,-1,-1
4,735,1623236806025,-1,-1,-1
5,751,1623236806025,-1,-1,-1
6,711,1623236806025,-1,-1,-1
7,711,1623236806025,-1,-1,-1
8,703,1623236806025,-1,-1,-1
9,711,1623236806523,-1,-1,-1
10,663,1623236806523,-1,-1,-1
11,719,1623236806523,-1,-1,-1
12,711,1623236806523,-1,-1,-1
13,695,1623236807026,-1,-1,-1
14,751,1623236808030,-1,-1,-1
15,751,1623236812019,-1,-1,-1
16,743,1623236813028,-1,-1,-1
17,751,1623236814065,-1,-1,-1
18,703,1623236814065,-1,-1,-1
19,727,1623236815029,-1,-1,-1
20,719,1623236816058,-1,-1,-1
21,711,1623236817031,-1,-1,-1
22,711,1623236817031,-1,-1,-1
23,727,1623236818027,-1,-1,-1
24,727,1623236819022,-1,-1,-1
25,711,1623236819024,-1,-1,-1
26,719,1623236820025,-1,-1,-1
27,719,1623236821026,-1,-1,-1
28,703,1623236822021,-1,-1,-1
29,719,1623236822021,-1,-1,-1
30,719,1623236823029,-1,-1,-1
31,735,1623236824027,-1,-1,-1
32,679,1623236824027,-1,-1,-1
33,751,1623236825025,-1,-1,-1
34,655,1623236826028,-1,-1,-1
35,703,1623236827023,-1,-1,-1
36,671,1623236827023,-1,-1,-1
37,719,1623236828148,-1,-1,-1
38,663,1623236829027,-1,-1,-1
39,759,1623236829027,-1,-1,-1
40,559,1623236830021,-1,-1,-1
41,927,1623236831027,-1,-1,-1
42,671,1623236833058,-1,-1,-1
43,807,1623236834028,-1,-1,-1
44,671,1623236834028,-1,-1,-1
45,751,1623236835026,-1,-1,-1
46,639,1623236836026,-1,-1,-1
47,703,1623236837108,-1,-1,-1
48,663,1623236837108,-1,-1,-1
49,599,1623236838026,-1,-1,-1
50,639,1623236838026,-1,-1,-1
51,551,1623236839023,-1,-1,-1
52,567,1623236841030,-1,-1,-1
53,567,1623236844020,-1,-1,-1
54,599,1623236844020,-1,-1,-1
55,575,1623236845019,-1,-1,-1
56,567,1623236846098,-1,-1,-1
57,551,1623236846098,-1,-1,-1
58,575,1623236847023,-1,-1,-1
59,615,1623236847023,-1,-1,-1
60,631,1623236848058,-1,-1,-1
61,631,1623236849063,-1,-1,-1
62,663,1623236849063,-1,-1,-1
63,711,1623236850022,-1,-1,-1
64,727,1623236851018,-1,-1,-1
65,703,1623236853017,-1,-1,-1
66,703,1623236854063,-1,-1,-1
67,439,1623236861026,-1,-1,-1
68,783,1623236868028,-1,-1,-1
69,559,1623236871067,-1,-1,-1
