,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,754,1622642745516,-1,-1,-1
1,777,1622642746467,-1,-1,-1
2,777,1622642746467,-1,-1,-1
3,785,1622642747442,-1,-1,-1
4,808,1622642748460,-1,-1,-1
5,800,1622642749477,-1,-1,-1
6,808,1622642750450,-1,-1,-1
7,808,1622642751467,-1,-1,-1
8,815,1622642751467,-1,-1,-1
9,800,1622642752455,-1,-1,-1
10,792,1622642753467,-1,-1,-1
11,792,1622642754481,-1,-1,-1
12,800,1622642755460,-1,-1,-1
13,808,1622642755460,-1,-1,-1
14,792,1622642756478,-1,-1,-1
15,792,1622642757455,-1,-1,-1
16,800,1622642758474,-1,-1,-1
17,800,1622642759491,-1,-1,-1
18,792,1622642760467,-1,-1,-1
19,800,1622642760467,-1,-1,-1
20,831,1622642761502,-1,-1,-1
21,762,1622642784517,-1,-1,-1
22,701,1622642784517,-1,-1,-1
23,701,1622642784517,-1,-1,-1
24,869,1622642784517,-1,-1,-1
25,785,1622642785564,-1,-1,-1
26,785,1622642785564,-1,-1,-1
27,808,1622642786545,-1,-1,-1
28,785,1622642787523,-1,-1,-1
29,792,1622642788504,-1,-1,-1
30,815,1622642789517,-1,-1,-1
31,815,1622642789517,-1,-1,-1
32,876,1622642790533,-1,-1,-1
33,777,1622642796520,-1,-1,-1
34,792,1622642797532,-1,-1,-1
35,670,1622642812546,-1,-1,-1
36,876,1622642812546,-1,-1,-1
37,762,1622642812546,-1,-1,-1
38,831,1622642812546,-1,-1,-1
39,808,1622642813559,-1,-1,-1
40,854,1622642814550,-1,-1,-1
41,792,1622642814550,-1,-1,-1
42,815,1622642815556,-1,-1,-1
43,747,1622642816572,-1,-1,-1
44,808,1622642817558,-1,-1,-1
45,815,1622642818567,-1,-1,-1
46,800,1622642819551,-1,-1,-1
47,800,1622642819552,-1,-1,-1
48,831,1622642820565,-1,-1,-1
49,808,1622642821579,-1,-1,-1
50,800,1622642822563,-1,-1,-1
51,808,1622642823577,-1,-1,-1
52,815,1622642824560,-1,-1,-1
53,831,1622642824560,-1,-1,-1
54,815,1622642825569,-1,-1,-1
