,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,903,1623121973335,-1,-1,-1
1,511,1623121978393,-1,-1,-1
2,775,1623121979333,-1,-1,-1
3,695,1623121984366,-1,-1,-1
4,631,1623121985336,-1,-1,-1
5,503,1623121986351,-1,-1,-1
6,639,1623121989347,-1,-1,-1
7,551,1623121994330,-1,-1,-1
8,503,1623121996317,-1,-1,-1
9,503,1623121998342,-1,-1,-1
10,567,1623122013348,-1,-1,-1
11,463,1623122021330,-1,-1,-1
12,735,1623122033416,-1,-1,-1
13,791,1623122035318,-1,-1,-1
14,655,1623122040420,-1,-1,-1
15,679,1623122045333,-1,-1,-1
16,431,1623122046347,-1,-1,-1
17,439,1623122055383,-1,-1,-1
18,631,1623122057340,-1,-1,-1
19,519,1623122057340,-1,-1,-1
20,503,1623122061348,-1,-1,-1
21,575,1623122062327,-1,-1,-1
22,575,1623122063336,-1,-1,-1
23,711,1623122078339,-1,-1,-1
24,495,1623122079348,-1,-1,-1
25,687,1623122086329,-1,-1,-1
26,463,1623122086329,-1,-1,-1
27,711,1623122088343,-1,-1,-1
28,463,1623122088344,-1,-1,-1
29,831,1623122089325,-1,-1,-1
30,671,1623122092323,-1,-1,-1
31,671,1623122093340,-1,-1,-1
32,727,1623122094350,-1,-1,-1
33,655,1623122097345,-1,-1,-1
34,591,1623122098328,-1,-1,-1
35,623,1623122102334,-1,-1,-1
36,535,1623122104323,-1,-1,-1
37,519,1623122110324,-1,-1,-1
38,647,1623122112348,-1,-1,-1
39,647,1623122113320,-1,-1,-1
40,847,1623122120372,-1,-1,-1
41,863,1623122123333,-1,-1,-1
42,631,1623122123333,-1,-1,-1
43,495,1623122125324,-1,-1,-1
44,815,1623122126335,-1,-1,-1
45,695,1623122126335,-1,-1,-1
46,431,1623122130312,-1,-1,-1
47,615,1623122145346,-1,-1,-1
48,583,1623122145346,-1,-1,-1
49,575,1623122149361,-1,-1,-1
50,631,1623122150409,-1,-1,-1
51,679,1623122151305,-1,-1,-1
52,679,1623122151305,-1,-1,-1
53,831,1623122154305,-1,-1,-1
54,543,1623122154305,-1,-1,-1
55,607,1623122176327,-1,-1,-1
56,623,1623122176327,-1,-1,-1
57,719,1623122181311,-1,-1,-1
58,663,1623122183334,-1,-1,-1
59,607,1623122192336,-1,-1,-1
60,727,1623122194318,-1,-1,-1
61,503,1623122195331,-1,-1,-1
62,663,1623122203325,-1,-1,-1
63,463,1623122205316,-1,-1,-1
64,527,1623122206323,-1,-1,-1
65,703,1623122206323,-1,-1,-1
66,671,1623122208313,-1,-1,-1
67,719,1623122209322,-1,-1,-1
68,607,1623122209322,-1,-1,-1
69,567,1623122210335,-1,-1,-1
70,719,1623122211351,-1,-1,-1
71,535,1623122213329,-1,-1,-1
72,631,1623122218318,-1,-1,-1
73,631,1623122218318,-1,-1,-1
74,679,1623122219335,-1,-1,-1
75,711,1623122220306,-1,-1,-1
76,671,1623122220306,-1,-1,-1
77,583,1623122221324,-1,-1,-1
78,615,1623122235312,-1,-1,-1
