,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,743,1623119642323,-1,-1,-1
1,655,1623119642323,-1,-1,-1
2,471,1623119642323,-1,-1,-1
3,903,1623119643346,-1,-1,-1
4,583,1623119643346,-1,-1,-1
5,799,1623119644372,-1,-1,-1
6,535,1623119644372,-1,-1,-1
7,863,1623119648329,-1,-1,-1
8,567,1623119648329,-1,-1,-1
9,695,1623119649315,-1,-1,-1
10,623,1623119650307,-1,-1,-1
11,791,1623119651328,-1,-1,-1
12,543,1623119651328,-1,-1,-1
13,559,1623119654329,-1,-1,-1
14,639,1623119654330,-1,-1,-1
15,599,1623119658318,-1,-1,-1
16,735,1623119660358,-1,-1,-1
17,655,1623119660358,-1,-1,-1
18,655,1623119661323,-1,-1,-1
19,727,1623119662310,-1,-1,-1
20,687,1623119664319,-1,-1,-1
21,679,1623119664319,-1,-1,-1
22,679,1623119665340,-1,-1,-1
23,703,1623119666329,-1,-1,-1
24,711,1623119667317,-1,-1,-1
25,655,1623119667318,-1,-1,-1
26,679,1623119668309,-1,-1,-1
27,655,1623119670319,-1,-1,-1
28,671,1623119671310,-1,-1,-1
29,663,1623119671310,-1,-1,-1
30,679,1623119672329,-1,-1,-1
31,687,1623119673317,-1,-1,-1
32,479,1623119675329,-1,-1,-1
33,831,1623119675329,-1,-1,-1
34,727,1623119676319,-1,-1,-1
35,711,1623119678330,-1,-1,-1
36,719,1623119679318,-1,-1,-1
37,479,1623119679318,-1,-1,-1
38,855,1623119680310,-1,-1,-1
39,855,1623119682321,-1,-1,-1
40,663,1623119684329,-1,-1,-1
41,703,1623119686310,-1,-1,-1
42,583,1623119690330,-1,-1,-1
43,727,1623119691318,-1,-1,-1
44,759,1623119691319,-1,-1,-1
45,727,1623119692309,-1,-1,-1
46,655,1623119693360,-1,-1,-1
47,719,1623119695306,-1,-1,-1
48,663,1623119695306,-1,-1,-1
49,887,1623119696329,-1,-1,-1
50,1000,1623119707310,-1,-1,-1
51,919,1623119708330,-1,-1,-1
52,719,1623119709320,-1,-1,-1
53,727,1623119709320,-1,-1,-1
54,679,1623119711329,-1,-1,-1
55,703,1623119713309,-1,-1,-1
56,583,1623119714328,-1,-1,-1
57,687,1623119716310,-1,-1,-1
58,655,1623119718319,-1,-1,-1
59,679,1623119719308,-1,-1,-1
60,591,1623119719308,-1,-1,-1
61,687,1623119720328,-1,-1,-1
62,671,1623119721319,-1,-1,-1
63,671,1623119721319,-1,-1,-1
64,519,1623119722309,-1,-1,-1
65,687,1623119724320,-1,-1,-1
66,655,1623119725310,-1,-1,-1
67,647,1623119727319,-1,-1,-1
68,679,1623119727319,-1,-1,-1
69,503,1623119728310,-1,-1,-1
70,799,1623119729330,-1,-1,-1
71,695,1623119729330,-1,-1,-1
72,839,1623119731309,-1,-1,-1
73,535,1623119736320,-1,-1,-1
74,647,1623119736320,-1,-1,-1
75,575,1623119738331,-1,-1,-1
76,591,1623119742320,-1,-1,-1
77,703,1623119743310,-1,-1,-1
78,703,1623119743310,-1,-1,-1
79,591,1623119744331,-1,-1,-1
80,839,1623119748318,-1,-1,-1
81,751,1623119751319,-1,-1,-1
82,631,1623119751319,-1,-1,-1
83,663,1623119752309,-1,-1,-1
84,735,1623119753328,-1,-1,-1
85,631,1623119753328,-1,-1,-1
86,751,1623119754319,-1,-1,-1
87,519,1623119755309,-1,-1,-1
88,711,1623119757319,-1,-1,-1
89,655,1623119757319,-1,-1,-1
90,511,1623119758309,-1,-1,-1
91,887,1623119759299,-1,-1,-1
92,623,1623119759299,-1,-1,-1
93,783,1623119760320,-1,-1,-1
94,607,1623119761309,-1,-1,-1
95,727,1623119762329,-1,-1,-1
96,735,1623119762330,-1,-1,-1
97,615,1623119763319,-1,-1,-1
98,743,1623119764307,-1,-1,-1
99,679,1623119764307,-1,-1,-1
100,727,1623119765329,-1,-1,-1
101,687,1623119766319,-1,-1,-1
102,495,1623119766319,-1,-1,-1
103,847,1623119767310,-1,-1,-1
104,815,1623119768329,-1,-1,-1
105,591,1623119769320,-1,-1,-1
106,839,1623119769321,-1,-1,-1
107,615,1623119770308,-1,-1,-1
108,679,1623119771329,-1,-1,-1
109,719,1623119773309,-1,-1,-1
110,679,1623119773309,-1,-1,-1
111,855,1623119774329,-1,-1,-1
112,919,1623119775326,-1,-1,-1
113,719,1623119777330,-1,-1,-1
114,607,1623119778319,-1,-1,-1
115,607,1623119778319,-1,-1,-1
116,663,1623119779309,-1,-1,-1
117,663,1623119780329,-1,-1,-1
118,671,1623119780329,-1,-1,-1
119,663,1623119781320,-1,-1,-1
120,559,1623119782309,-1,-1,-1
121,775,1623119782309,-1,-1,-1
122,631,1623119783329,-1,-1,-1
123,671,1623119784319,-1,-1,-1
124,615,1623119788310,-1,-1,-1
125,727,1623119789328,-1,-1,-1
126,711,1623119789329,-1,-1,-1
127,703,1623119790320,-1,-1,-1
128,703,1623119791309,-1,-1,-1
129,719,1623119791310,-1,-1,-1
130,647,1623119792329,-1,-1,-1
131,559,1623119793319,-1,-1,-1
132,799,1623119793319,-1,-1,-1
133,703,1623119794308,-1,-1,-1
134,719,1623119795328,-1,-1,-1
135,703,1623119796321,-1,-1,-1
136,671,1623119796321,-1,-1,-1
137,751,1623119797309,-1,-1,-1
138,711,1623119798329,-1,-1,-1
139,623,1623119800306,-1,-1,-1
140,631,1623119800306,-1,-1,-1
141,711,1623119801326,-1,-1,-1
142,679,1623119802316,-1,-1,-1
143,615,1623119802316,-1,-1,-1
144,767,1623119805317,-1,-1,-1
145,831,1623119809338,-1,-1,-1
146,735,1623119810326,-1,-1,-1
147,623,1623119811316,-1,-1,-1
148,527,1623119811316,-1,-1,-1
149,807,1623119814319,-1,-1,-1
150,631,1623119816329,-1,-1,-1
151,655,1623119817319,-1,-1,-1
152,743,1623119819329,-1,-1,-1
153,687,1623119821309,-1,-1,-1
154,759,1623119823319,-1,-1,-1
155,639,1623119824309,-1,-1,-1
156,671,1623119825299,-1,-1,-1
157,679,1623119825299,-1,-1,-1
158,647,1623119826319,-1,-1,-1
159,551,1623119827309,-1,-1,-1
160,583,1623119829319,-1,-1,-1
161,863,1623119830309,-1,-1,-1
162,847,1623119830309,-1,-1,-1
163,623,1623119835321,-1,-1,-1
164,479,1623119836307,-1,-1,-1
165,575,1623119839309,-1,-1,-1
166,687,1623119840300,-1,-1,-1
167,719,1623119841319,-1,-1,-1
168,687,1623119842339,-1,-1,-1
169,687,1623119842339,-1,-1,-1
170,679,1623119843329,-1,-1,-1
171,543,1623119846299,-1,-1,-1
172,703,1623119846299,-1,-1,-1
173,775,1623119847319,-1,-1,-1
174,711,1623119848310,-1,-1,-1
175,623,1623119848310,-1,-1,-1
176,687,1623119850319,-1,-1,-1
177,471,1623119851307,-1,-1,-1
178,887,1623119852299,-1,-1,-1
179,679,1623119852299,-1,-1,-1
180,647,1623119853319,-1,-1,-1
181,671,1623119855299,-1,-1,-1
182,647,1623119857309,-1,-1,-1
183,687,1623119858301,-1,-1,-1
184,703,1623119858301,-1,-1,-1
185,719,1623119859319,-1,-1,-1
186,623,1623119860309,-1,-1,-1
187,623,1623119860309,-1,-1,-1
188,887,1623119861299,-1,-1,-1
189,719,1623119864299,-1,-1,-1
190,671,1623119868319,-1,-1,-1
191,623,1623119869306,-1,-1,-1
192,719,1623119871319,-1,-1,-1
193,727,1623119871319,-1,-1,-1
194,671,1623119872309,-1,-1,-1
195,551,1623119873299,-1,-1,-1
196,911,1623119877319,-1,-1,-1
197,695,1623119878309,-1,-1,-1
198,511,1623119879295,-1,-1,-1
199,687,1623119879295,-1,-1,-1
200,695,1623119881308,-1,-1,-1
201,703,1623119882295,-1,-1,-1
202,703,1623119883318,-1,-1,-1
203,719,1623119883319,-1,-1,-1
204,791,1623119884310,-1,-1,-1
205,647,1623119888299,-1,-1,-1
206,719,1623119889316,-1,-1,-1
207,503,1623119891299,-1,-1,-1
208,871,1623119892319,-1,-1,-1
209,695,1623119895319,-1,-1,-1
210,679,1623119900299,-1,-1,-1
211,743,1623119900299,-1,-1,-1
212,623,1623119901319,-1,-1,-1
213,767,1623119905309,-1,-1,-1
214,1111,1623119906299,-1,-1,-1
215,991,1623119907319,-1,-1,-1
216,695,1623119908399,-1,-1,-1
217,711,1623119912300,-1,-1,-1
218,671,1623119915298,-1,-1,-1
219,615,1623119915299,-1,-1,-1
220,615,1623119916290,-1,-1,-1
221,623,1623119917309,-1,-1,-1
222,615,1623119917309,-1,-1,-1
223,663,1623119918298,-1,-1,-1
224,567,1623119921299,-1,-1,-1
225,647,1623119922289,-1,-1,-1
226,599,1623119922289,-1,-1,-1
227,543,1623119923307,-1,-1,-1
228,823,1623119924299,-1,-1,-1
229,751,1623119926308,-1,-1,-1
230,823,1623119926309,-1,-1,-1
231,655,1623119927299,-1,-1,-1
232,719,1623119928319,-1,-1,-1
233,623,1623119928319,-1,-1,-1
234,695,1623119929309,-1,-1,-1
235,679,1623119930297,-1,-1,-1
236,719,1623119931319,-1,-1,-1
237,759,1623119931319,-1,-1,-1
238,599,1623119933299,-1,-1,-1
239,711,1623119934317,-1,-1,-1
240,599,1623119934317,-1,-1,-1
241,679,1623119935307,-1,-1,-1
242,775,1623119936299,-1,-1,-1
243,663,1623119937319,-1,-1,-1
244,783,1623119937319,-1,-1,-1
245,735,1623119938309,-1,-1,-1
246,831,1623119942330,-1,-1,-1
247,687,1623119944309,-1,-1,-1
248,855,1623119946289,-1,-1,-1
249,687,1623119947310,-1,-1,-1
250,687,1623119949289,-1,-1,-1
251,671,1623119957300,-1,-1,-1
252,591,1623119958289,-1,-1,-1
253,599,1623119963299,-1,-1,-1
254,607,1623119965310,-1,-1,-1
255,623,1623119967318,-1,-1,-1
256,671,1623119967318,-1,-1,-1
257,503,1623119968309,-1,-1,-1
258,823,1623119969300,-1,-1,-1
259,559,1623119969300,-1,-1,-1
260,439,1623119970286,-1,-1,-1
261,815,1623119971309,-1,-1,-1
262,703,1623119973350,-1,-1,-1
263,671,1623119973350,-1,-1,-1
264,855,1623119976286,-1,-1,-1
265,727,1623119977305,-1,-1,-1
266,823,1623119980309,-1,-1,-1
267,711,1623119986309,-1,-1,-1
268,623,1623119986309,-1,-1,-1
269,607,1623119987299,-1,-1,-1
270,607,1623119988289,-1,-1,-1
271,687,1623119988289,-1,-1,-1
272,615,1623119989308,-1,-1,-1
273,631,1623119989308,-1,-1,-1
274,663,1623119990299,-1,-1,-1
275,815,1623119992309,-1,-1,-1
276,567,1623119993299,-1,-1,-1
277,695,1623119993299,-1,-1,-1
278,631,1623119997287,-1,-1,-1
279,735,1623120002296,-1,-1,-1
280,687,1623120006284,-1,-1,-1
281,527,1623120007337,-1,-1,-1
282,663,1623120009287,-1,-1,-1
283,623,1623120009287,-1,-1,-1
284,607,1623120010306,-1,-1,-1
285,751,1623120012289,-1,-1,-1
286,647,1623120016309,-1,-1,-1
287,791,1623120018286,-1,-1,-1
288,855,1623120019309,-1,-1,-1
289,599,1623120020300,-1,-1,-1
290,583,1623120023296,-1,-1,-1
291,607,1623120024289,-1,-1,-1
292,759,1623120024289,-1,-1,-1
293,623,1623120025309,-1,-1,-1
294,639,1623120026299,-1,-1,-1
295,687,1623120026299,-1,-1,-1
