,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,703,1627295960695,-1,-1,-1
1,708,1627295960695,-1,-1,-1
2,707,1627295960695,-1,-1,-1
3,698,1627295960695,-1,-1,-1
4,700,1627295960695,-1,-1,-1
5,695,1627295961718,-1,-1,-1
6,679,1627295961718,-1,-1,-1
7,673,1627295962690,-1,-1,-1
8,682,1627295963765,-1,-1,-1
9,677,1627295963765,-1,-1,-1
10,677,1627295964880,-1,-1,-1
11,681,1627295965880,-1,-1,-1
12,716,1627295966875,-1,-1,-1
13,740,1627295966875,-1,-1,-1
14,752,1627295967876,-1,-1,-1
15,724,1627295968872,-1,-1,-1
16,737,1627295968872,-1,-1,-1
17,724,1627295969872,-1,-1,-1
18,713,1627295970870,-1,-1,-1
19,699,1627295971868,-1,-1,-1
20,686,1627295971868,-1,-1,-1
21,678,1627295972864,-1,-1,-1
22,682,1627295973861,-1,-1,-1
23,666,1627295973861,-1,-1,-1
24,669,1627295974868,-1,-1,-1
25,682,1627295975862,-1,-1,-1
26,340,1627295975863,-1,-1,-1
27,353,1627295975864,-1,-1,-1
28,686,1627295976859,-1,-1,-1
29,693,1627295977851,-1,-1,-1
30,692,1627295977851,-1,-1,-1
31,692,1627295978852,-1,-1,-1
32,700,1627295979850,-1,-1,-1
33,673,1627295980845,-1,-1,-1
34,667,1627295980846,-1,-1,-1
35,676,1627295981842,-1,-1,-1
36,664,1627295982842,-1,-1,-1
37,651,1627295982842,-1,-1,-1
38,658,1627295983838,-1,-1,-1
39,666,1627295984836,-1,-1,-1
40,664,1627295984836,-1,-1,-1
41,669,1627295985831,-1,-1,-1
42,678,1627295986831,-1,-1,-1
43,699,1627295986831,-1,-1,-1
44,689,1627295987828,-1,-1,-1
45,681,1627295988824,-1,-1,-1
46,697,1627295988824,-1,-1,-1
47,687,1627295989820,-1,-1,-1
48,675,1627295990818,-1,-1,-1
49,666,1627295990818,-1,-1,-1
50,674,1627295991816,-1,-1,-1
